Date,Open,High,Low,Close,Volume,Adj Close
2012-06-01,8404.04,8541.27,8323.91,8500.33,6050420000,8500.33
2012-05-31,8300.5,8463.7,8221.65,8403.8,5738980000,8403.8
2012-05-30,8473.65,8534.66,8280.82,8300.02,5698800000,8300.02
2012-05-29,8275.33,8523.59,8194.33,8473.49,5667050000,8473.49
2012-05-25,8292.21,8415.75,8218.86,8277.32,5155320000,8277.32
2012-05-24,8416.07,8416.07,8185.25,8292.13,6019840000,8292.13
2012-05-23,8471.82,8645.85,8376.4,8422.04,8205060000,8422.04
2012-05-22,8502.48,8594.16,8402.61,8474.85,6616270000,8474.85
2012-05-21,8270.15,8534.66,8270.15,8504.08,5702150000,8504.08
2012-05-18,8326.22,8422.28,8206.67,8268.64,5439720000,8268.64
2012-05-17,8285.92,8427.93,8218.94,8331.32,6134870000,8331.32
2012-05-16,8461.8,8461.8,8208.74,8284.89,7091820000,8284.89
2012-05-15,8419.17,8574.88,8306.47,8469.11,6871750400,8469.11
2012-05-14,8569.23,8569.23,8347.41,8418.77,6150600000,8418.77
2012-05-11,8410.73,8657.96,8388.11,8574.65,8163280000,8574.65
2012-05-10,8513.56,8651.51,8296.04,8409.85,9120100000,8409.85
2012-05-09,8403.48,8608.26,8350.12,8512.28,8555040000,8512.28
2012-05-08,8425.55,8520.8,8321.37,8410.65,6882860000,8410.65
2012-05-07,8213.6,8488.87,8213.6,8426.74,7038840000,8426.74
2012-05-04,8167.41,8278.28,8047.54,8212.41,5312170000,8212.41
2012-05-03,8188.51,8383.81,8083.62,8168.12,6862540000,8168.12
2012-05-02,8018.31,8278.12,8018.31,8185.73,6101620000,8185.73
2012-05-01,8023.56,8136.74,7898.75,8016.95,6328000000,8016.95
2012-04-30,8073.82,8152.27,7920.42,8025.0,5613460000,8025.0
2012-04-27,7957.45,8182.3,7905.6,8076.29,7114440000,8076.29
2012-04-26,7886.81,8015.36,7762.8,7957.06,6563100000,7957.06
2012-04-25,7964.78,8111.02,7802.46,7886.57,7327860000,7886.57
2012-04-24,7841.73,8027.54,7699.79,7969.56,7436489600,7969.56
2012-04-23,8128.94,8128.94,7801.58,7841.73,6973960000,7841.73
2012-04-20,8125.43,8251.2,8024.92,8131.33,7352009600,8131.33
2012-04-19,8029.14,8201.81,7933.08,8125.43,6598670000,8125.43
2012-04-18,7914.92,8069.92,7808.19,8029.62,6241100000,8029.62
2012-04-17,8057.41,8076.05,7840.53,7920.18,7569840000,7920.18
2012-04-16,8082.02,8146.86,7888.96,8057.81,6434890000,8057.81
2012-04-12,7839.89,8150.44,7839.89,8083.38,7600710400,8083.38
2012-04-11,7788.68,7925.36,7715.09,7837.11,5938460000,7837.11
2012-04-10,7968.92,7968.92,7733.56,7789.56,5155580000,7789.56
2012-04-09,8016.16,8037.42,7830.66,7975.85,6210000000,7975.85
2012-04-06,7980.63,8090.71,7850.33,8017.59,5855640000,8017.59
2012-04-05,7763.99,8129.33,7763.99,7978.08,7542809600,7978.08
2012-04-04,7606.13,7804.77,7450.74,7761.6,6034140000,7761.6
2012-04-03,7523.77,7744.24,7502.98,7608.92,6089100000,7608.92
2012-04-02,7773.31,7773.31,7406.85,7522.02,5912660000,7522.02
2012-03-30,7922.57,7922.57,7695.97,7776.18,5600210000,7776.18
2012-03-29,7752.36,7969.0,7709.19,7924.56,6992960000,7924.56
2012-03-28,7659.81,7897.48,7539.54,7749.81,7687180000,7749.81
2012-03-27,7773.47,7837.11,7585.98,7660.21,6767980000,7660.21
2012-03-26,7279.25,7789.24,7279.25,7775.86,7715769600,7775.86
2012-03-23,7402.31,7524.81,7215.77,7278.38,7643720000,7278.38
2012-03-22,7489.68,7624.45,7325.13,7400.8,9033870400,7400.8
2012-03-21,7395.7,7592.03,7218.24,7486.58,9098449600,7486.58
2012-03-20,7218.0,7407.41,7129.6,7395.7,6156800000,7395.7
2012-03-19,7225.33,7428.75,7171.41,7216.97,7883540000,7216.97
2012-03-16,7219.2,7241.98,7106.34,7223.98,6787089600,7223.98
2012-03-15,6932.39,7198.25,6840.79,7170.06,7326630400,7170.06
2012-03-14,6923.13,7078.22,6804.55,6930.4,7287809600,6930.4
2012-03-13,6547.01,6951.5,6547.01,6926.49,8618329600,6926.49
2012-03-12,6625.74,6758.44,6440.08,6547.05,7277320000,6547.05
2012-03-09,6595.16,6776.44,6443.27,6626.94,7331830400,6626.94
2012-03-08,6874.01,6874.01,6531.28,6594.44,7507249600,6594.44
2012-03-07,6726.5,7012.19,6715.11,6875.84,7673620000,6875.84
2012-03-06,6764.81,6922.59,6661.74,6726.02,7583230400,6726.02
2012-03-05,7056.48,7056.48,6736.69,6763.29,7868289600,6763.29
2012-03-01,7269.06,7451.13,7135.25,7182.08,7599969600,7182.08
2012-02-29,7349.58,7442.13,7123.94,7270.89,7483640000,7270.89
2012-02-28,7115.34,7396.34,7077.35,7350.94,7234489600,7350.94
2012-02-27,7365.99,7477.1,7092.64,7114.78,6509300000,7114.78
2012-02-24,7461.49,7500.44,7226.29,7365.67,8210590400,7365.67
2012-02-23,7555.23,7679.01,7420.63,7465.95,5746940000,7465.95
2012-02-22,7546.35,7661.56,7451.37,7555.63,5740710000,7555.63
