source,target,value
Guntakal Junction,Bellary Junction,1
Jharsuguda Junction,Sambalpur Junction,1
Moradabad,Kashipur,1
Samastipur Junction,Barauni Junction,1
Kashipur,Moradabad,1
Mandar Hill,Bhagalpur,1
Bhagalpur,Mandar Hill,1
Karimganj Junction,Dullabcherra,1
Dullabcherra,Karimganj Junction,1
Sakri Junction,Nirmali,1
Nirmali,Sakri Junction,1
Jambusar Junction,Pratapnagar,1
Pratapnagar,Jambusar Junction,1
Kamareddi,Nizamabad,1
Nizamabad,Kamareddi,1
Bhanvad,Porbandar,1
Samastipur Junction,Muzaffarpur Junction,1
Porbandar,Bhanvad,1
Muzaffarpur Junction,Samastipur Junction,1
Old Delhi,Farukhnagar,1
Farukhnagar,Old Delhi,1
Mahoba,Banda Junction,1
Banda Junction,Mahoba,1
Ambala Cantt. Junction,Patiala,1
Patiala,Ambala Cantt. Junction,1
Beawar,Ajmer Junction,1
Ajmer Junction,Beawar,1
Sahibganj Junction,Barharwa Junction,1
Jammu Tawi,Udhampur,1
Jamalpur Junction,Bhagalpur,1
Udhampur,Jammu Tawi,1
Barharwa Junction,Sahibganj Junction,1
Banka,Bhagalpur,1
Bhagalpur,Banka,1
Dhone Junction,Kurnool Town,1
Shahu Maharaj Terminus,Sangli,1
Moradabad,Gajraula Junction,1
Chhapra Junction,Sonpur Junction,1
Dornakal Junction,Bhadrachalam Road,1
Bhadrachalam Road,Dornakal Junction,1
Sangli,Shahu Maharaj Terminus,1
Sonpur Junction,Chhapra Junction,1
Gajraula Junction,Moradabad,1
Biraul,Darbhanga Junction,1
Darbhanga Junction,Biraul,1
Dhone Junction,Gooty Junction,1
Phulera Junction,Jaipur Junction,1
Gooty Junction,Dhone Junction,1
Kolkata Howrah Junction,Kolaghat Goods,1
Jaipur Junction,Phulera Junction,1
Kolaghat Goods,Kolkata Howrah Junction,1
Vasco Da Gama,Kulem,1
Kulem,Vasco Da Gama,1
Chalisgaon Junction,Dhule,1
Dhule,Chalisgaon Junction,1
Ujjain Junction,Nagda Junction,1
Palwal,New Delhi,1
New Delhi,Palwal,1
Nagda Junction,Ujjain Junction,1
Raghuraj Singh,Rae Bareli Junction,1
New Jalpaiguri,Haldibari,1
Haldibari,New Jalpaiguri,1
Gomoh Junction,Sindri Town,1
Rae Bareli Junction,Raghuraj Singh,1
Jamner,Pachora Junction,1
Pachora Junction,Jamner,1
Murliganj,Purnia Junction,1
Purnia Junction,Murliganj,1
Sindri Town,Gomoh Junction,1
Jiribam,Silchar,1
Silchar,Jiribam,1
New Jalpaiguri,Aluabari Road,1
Vriddhachalam Junction,Cuddalore Port Junction,1
Cuddalore Port Junction,Vriddhachalam Junction,1
Rohtak Junction,Jind Junction,1
Kolkata Howrah Junction,Tarakeswar,1
Alappuzha,Ernakulam Junction (South),1
Ernakulam Junction (South),Alappuzha,1
Tarakeswar,Kolkata Howrah Junction,1
Jaunpur Junction,Varanasi Junction,1
Dhanbad Junction,Asansol Junction,1
Asansol Junction,Dhanbad Junction,1
Mughal Sarai Junction,Dildarnagar Junction,1
Aunrihar Junction,Jaunpur Junction,1
Jaunpur Junction,Aunrihar Junction,1
Bareilly MG,Pilibhit Junction,1
Pilibhit Junction,Bareilly MG,1
Dhaulpur,Tantpur,1
Dildarnagar Junction,Mughal Sarai Junction,1
Narkatiaganj Junction,Sugauli,1
Lal Kuan,Kashipur,1
Kashipur,Lal Kuan,1
Chengalpattu,Chennai Beach,1
Diamond Harbour,Kolkata Sealdah,1
Chennai Beach,Chengalpattu,1
Sugauli,Narkatiaganj Junction,1
Parbhani Junction,Huzur Sahib Nanded,1
Kolkata Sealdah,Diamond Harbour,1
Bhagalpur,Jamalpur Junction,1
Surat,Bharuch Junction,1
Bharuch Junction,Surat,1
Kottayam,Ernakulam Junction (South),1
Ernakulam Junction (South),Kottayam,1
Tirunelveli Junction,Tuticorin,1
Tuticorin,Tirunelveli Junction,1
Karaikkudi Junction,Manamadurai Junction,1
Manamadurai Junction,Karaikkudi Junction,1
Chhapra Junction,Siwan Junction,1
Tiruchendur,Tirunelveli Junction,1
Siwan Junction,Chhapra Junction,1
Arakkonam Junction,Katpadi Junction,1
Katpadi Junction,Arakkonam Junction,1
Mysore Junction,Chamarajanagar,1
Tirunelveli Junction,Tiruchendur,1
Chamarajanagar,Mysore Junction,1
Pilibhit Junction,Tanakpur,1
Tanakpur,Pilibhit Junction,1
Dindigul Junction,Madurai Junction,1
Tatanagar Junction,Chakradharpur,1
Madurai Junction,Dindigul Junction,1
Chakradharpur,Tatanagar Junction,1
Nadiad Junction,Bhadran,1
Bhadran,Nadiad Junction,1
Kosamba Junction,Umarpada,1
Umarpada,Kosamba Junction,1
Arakkonam Junction,Chengalpattu,1
Chengalpattu,Arakkonam Junction,1
Shimoga Town,Birur Junction,1
Birur Junction,Shimoga Town,1
Pratapnagar,Bodeli,1
Rajendra Nagar Bihar,Islampur,1
Bodeli,Pratapnagar,1
Islampur,Rajendra Nagar Bihar,1
Siliguri Junction,Haldibari,1
Haldibari,Siliguri Junction,1
Bilimora Junction,Waghai,1
Waghai,Bilimora Junction,1
Saharsa Junction,Rathopur,1
Rathopur,Saharsa Junction,1
Bihariganj,Purnia Junction,1
Virar,Dahanu Road,1
Dahanu Road,Virar,1
Kolkata Howrah Junction,Bhogpur,1
Bangalore City Junction,Chik Ballapur,1
Chik Ballapur,Bangalore City Junction,1
Trivandrum Central,Kollam Junction,1
Kollam Junction,Trivandrum Central,1
Mahesana Junction,Viramgam Junction,1
Viramgam Junction,Mahesana Junction,1
Bhimavaram Junction,Gudivada Junction,1
Lohardaga,Ranchi Junction,1
Bangalore Yesvantpur Junction,Hosur,1
Ranchi Junction,Lohardaga,1
Hosur,Bangalore Yesvantpur Junction,1
Muri,Hatia,1
Shoranur Junction,Nilambur Road,1
Nilambur Road,Shoranur Junction,1
Mailani,Pilibhit Junction,1
Pilibhit Junction,Mailani,1
Mahesana Junction,Ahmedabad Junction,1
Chennai Central,Arakkonam Junction,1
Arakkonam Junction,Chennai Central,1
Guntakal Junction,Dhone Junction,1
Bhimavaram Junction,Rajahmundry,1
Mhow,Fatehabad Chowk Junction,1
Fatehabad Chowk Junction,Mhow,1
Darbhanga Junction,Sitamarhi,1
Sitamarhi,Darbhanga Junction,1
Telibandha,Dhamtari,1
Dhamtari,Telibandha,1
Balamu Junction,Sitapur Cantt.,1
Arakkonam Junction,Chennai Beach,1
Balamu Junction,Lucknow,1
Ambala Cantt. Junction,Kalka,1
Kalka,Ambala Cantt. Junction,1
Chennai Beach,Arakkonam Junction,1
Lucknow,Balamu Junction,1
Ahmedabad Junction,Mahesana Junction,1
Sitapur Cantt.,Balamu Junction,1
Bangalore City Junction,Bangarapet Junction,1
Bangarapet Junction,Bangalore City Junction,1
Bangalore City Junction,Tumkur,1
Tumkur,Bangalore City Junction,1
Shamli,Saharanpur,1
Old Delhi,Rohtak Junction,1
Saharanpur,Shamli,1
Rohtak Junction,Old Delhi,1
Sirmuttra,Dhaulpur,1
Dhaulpur,Sirmuttra,1
Malsar,Dabhoi Junction,1
Dabhoi Junction,Malsar,1
Panskura,Kolkata Howrah Junction,1
Kolkata Howrah Junction,Panskura,1
Secunderabad Junction,Mirzapali,1
Ponneri,Tiruvallur,1
Nagercoil Junction,Trivandrum Central,1
Arakkonam Junction,Vellore Cantt.,1
Trivandrum Central,Nagercoil Junction,1
Mirzapali,Secunderabad Junction,1
Vellore Cantt.,Arakkonam Junction,1
Veraval,Kodinar,1
Kodinar,Veraval,1
Vikarabad Junction,Secunderabad Junction,1
Secunderabad Junction,Vikarabad Junction,1
Jasidih Junction,Dumka,1
Dumka,Jasidih Junction,1
Rohtak Junction,New Delhi,1
New Delhi,Rohtak Junction,1
Nandol Dehegam,Ahmedabad Junction,1
Ahmedabad Junction,Nandol Dehegam,1
Etah,Tundla Junction,1
Tundla Junction,Etah,1
Azimganj Junction,Katwa,1
Katwa,Azimganj Junction,1
Vadodara Junction,Kathana,1
Rohtak Junction,Tilak Bridge,1
Kathana,Vadodara Junction,1
Tilak Bridge,Rohtak Junction,1
Darbhanga Junction,Jaynagar,1
Jaynagar,Darbhanga Junction,1
Tirunelveli Junction,Nagercoil Junction,1
Mughal Sarai Junction,Jaunpur Junction,1
Balaghat Junction,Nainpur Junction,1
Nainpur Junction,Balaghat Junction,1
Maksi,Indore Junction BG,1
Indore Junction BG,Maksi,1
Suratgarh Junction,Anupgarh,1
Anupgarh,Suratgarh Junction,1
Daund Junction,Pune Junction,1
Gaya Junction,Koderma,1
Pune Junction,Daund Junction,1
Narasapur,Nidadavolu Junction,1
Nidadavolu Junction,Narasapur,1
Moradabad,Ramnagar,1
Danapur,Raghunathpur,1
