source,target,value
Jharsuguda Junction,Hatia,1
Kolkata Shalimar,Baripada,1
Baripada,Kolkata Shalimar,1
Tiruchirappalli Junction,Rameswaram,1
Rameswaram,Tiruchirappalli Junction,1
Guntakal Junction,Gulbarga,1
Katihar Junction,Darbhanga Junction,1
Amritsar Junction,Chandigarh,1
Chandigarh,Amritsar Junction,1
Manikpur Junction,Kanpur Central,1
Kamakhya,Dhubri,1
Virar,Bharuch Junction,1
Bharuch Junction,Virar,1
Dhubri,Kamakhya,1
Aishbagh,Tikunia,1
Darbhanga Junction,Katihar Junction,1
Macherla,Bhimavaram Junction,1
Katihar Junction,Hajipur Junction,1
Hajipur Junction,Katihar Junction,1
Ambala Cantt. Junction,Old Delhi,1
Old Delhi,Ambala Cantt. Junction,1
Garhbeta,Ranchi Junction,1
Ranchi Junction,Garhbeta,1
Tikunia,Aishbagh,1
Kathgodam,Delhi Anand Vihar Terminus,1
Delhi Anand Vihar Terminus,Kathgodam,1
Rajendra Nagar Bihar,Banka,1
Banka,Rajendra Nagar Bihar,1
Jaipur Junction,Bayana Junction,1
Bayana Junction,Jaipur Junction,1
Bangalore City Junction,Shimoga Town,1
Shimoga Town,Bangalore City Junction,1
Bareilly,Old Delhi,1
Old Delhi,Bareilly,1
Coimbatore Main Junction,Kannur Main,1
Baripada,Bhubaneswar,1
Bhubaneswar,Baripada,1
Shimoga Town,Mysore Junction,1
Mysore Junction,Shimoga Town,1
Hyderabad Kacheguda,Huzur Sahib Nanded,1
Kannur Main,Coimbatore Main Junction,1
Huzur Sahib Nanded,Hyderabad Kacheguda,1
Danapur,Jaynagar,1
Jaynagar,Danapur,1
Old Delhi,Kathgodam,1
Kathgodam,Old Delhi,1
Dhanbad Junction,Kharagpur Junction,1
Kharagpur Junction,Dhanbad Junction,1
Delhi Hazrat Nizamuddin,Ambala Cantt. Junction,1
Ambala Cantt. Junction,Delhi Hazrat Nizamuddin,1
Gorakhpur Junction,Lucknow Junction,1
Lucknow Junction,Gorakhpur Junction,1
Miraj Junction,Hubli Junction,1
Hubli Junction,Miraj Junction,1
Ratlam Junction,Bhopal Junction,1
Mathura Junction,Bhiwani,1
Bhiwani,Mathura Junction,1
Huzur Sahib Nanded,Hyderabad Deccan Nampally,1
Kolkata Howrah Junction,Adra Junction,1
Adra Junction,Kolkata Howrah Junction,1
Ernakulam Junction (South),Kannur Main,1
Kannur Main,Ernakulam Junction (South),1
Lucknow,Varanasi Junction,1
Lucknow,Vindhyachal,1
Vindhyachal,Lucknow,1
Tirupati Main,Puducherry,1
Puducherry,Tirupati Main,1
Guwahati,Alipur Duar Junction,1
Alipur Duar Junction,Guwahati,1
Katihar Junction,Patna Junction,1
Patna Junction,Katihar Junction,1
Arakkonam Junction,Bangalore City Junction,1
Bangalore City Junction,Arakkonam Junction,1
Damoh,Bhopal Junction,1
Bhopal Junction,Damoh,1
Patna Junction,Dhanbad Junction,1
Dhanbad Junction,Patna Junction,1
Jhansi Junction,Lucknow,1
Lucknow,Jhansi Junction,1
Akola Junction,Mhow,1
Mhow,Akola Junction,1
Kolkata Howrah Junction,Bhadrakh,1
Gudur Junction,Vijayawada Junction,1
Vijayawada Junction,Gudur Junction,1
Parli Vaijnath,Akola Junction,1
Akola Junction,Parli Vaijnath,1
Secunderabad Junction,Sirpur Kagaznagar,1
Sirpur Kagaznagar,Secunderabad Junction,1
Alipur Duar Junction,Kamakhya,1
Kamakhya,Alipur Duar Junction,1
Valsad,Ahmedabad Junction,1
Ahmedabad Junction,Valsad,1
Raipur Junction,Itwari,1
Giridih,Danapur,1
Itarsi Junction,Nagpur Junction,1
Bodhan,Mahbubnagar,1
Udaipur City,Ahmedabad Junction,1
Ahmedabad Junction,Udaipur City,1
Danapur,Giridih,1
Itwari,Raipur Junction,1
Kalka,Bhiwani,1
Bhiwani,Kalka,1
Jaisalmer,Jodhpur Junction,1
Jodhpur Junction,Jaisalmer,1
Rewari,Bhatinda Junction,1
Narasapur,Visakhapatnam Junction,1
Bhatinda Junction,Rewari,1
Udaipur City,Ajmer Junction,1
Visakhapatnam Junction,Narasapur,1
Ajmer Junction,Udaipur City,1
Palanpur Junction,Gandhidham Bg,1
Gandhidham Bg,Palanpur Junction,1
Palakkad Town,Tiruchirappalli Junction,1
Tiruchirappalli Junction,Palakkad Town,1
Old Delhi,Kalka,1
New Delhi,Kalka,1
Kalka,New Delhi,1
Jaipur Junction,Delhi Sarai Rohilla,1
Delhi Sarai Rohilla,Jaipur Junction,1
Dehradun,New Delhi,1
New Delhi,Dehradun,1
New Jalpaiguri,Balurghat,1
Balurghat,New Jalpaiguri,1
Guruvayur,Trivandrum Central,1
Trivandrum Central,Guruvayur,1
Bina Junction,Kota Junction,1
Barwadih Junction,Chunar,1
Kota Junction,Bina Junction,1
Bhildi,Jodhpur Junction,1
Arsikere Junction,Hubli Junction,1
Hubli Junction,Arsikere Junction,1
Jodhpur Junction,Bhildi,1
Delhi Sarai Rohilla,Kalka,1
Kalka,Delhi Sarai Rohilla,1
Aluabari Road,New Jalpaiguri,1
Danapur,Sahibganj Junction,1
Sahibganj Junction,Danapur,1
Parli Vaijnath,Adilabad,1
Adilabad,Parli Vaijnath,1
Muzaffarpur Junction,Gorakhpur Junction,1
Gorakhpur Junction,Muzaffarpur Junction,1
Kolkata Shalimar,Bhojudih Junction,1
Bhojudih Junction,Kolkata Shalimar,1
Rishikesh,Old Delhi,1
Old Delhi,Rishikesh,1
Pune Junction,Manmad Junction,1
Manmad Junction,Pune Junction,1
Bhusaval Junction,Wardha Junction,1
Wardha Junction,Bhusaval Junction,1
Solapur Junction,Shahu Maharaj Terminus,1
Shahu Maharaj Terminus,Solapur Junction,1
Aishbagh,Bareilly MG,1
Bareilly MG,Aishbagh,1
Pune Junction,Shahu Maharaj Terminus,1
Shahu Maharaj Terminus,Pune Junction,1
Dehri On Sone,Barkakana Junction,1
KasGanj,Lucknow Junction,1
Lucknow Junction,KasGanj,1
Nagpur Junction,Itarsi Junction,1
Bhatinda Junction,Lalgarh Junction,1
Haldia,Asansol Junction,1
Rayagada,Sambalpur Junction,1
Asansol Junction,Haldia,1
Sambalpur Junction,Rayagada,1
Kolkata Chitpur,Giridih,1
Bhusaval Junction,Itarsi Junction,1
Tanakpur,Aishbagh,1
Aishbagh,Tanakpur,1
Itarsi Junction,Bhusaval Junction,1
Jaisalmer,Lalgarh Junction,1
Kolkata Howrah Junction,Purulia Junction,1
Purulia Junction,Kolkata Howrah Junction,1
Lalgarh Junction,Jaisalmer,1
Munabao,Bhagat Ki Kothi,1
Bhagat Ki Kothi,Munabao,1
Nagarsol,Huzur Sahib Nanded,1
Chopan,Katni,1
Katni,Chopan,1
Jaisalmer,Bikaner Junction,1
Bikaner Junction,Jaisalmer,1
Trivandrum Central,Shoranur Junction,1
Shoranur Junction,Trivandrum Central,1
Shri Ganganagar,Ambala Cantt. Junction,1
Ambala Cantt. Junction,Shri Ganganagar,1
Baidyanathdham Deoghar,Ranchi Junction,1
New Delhi,Ludhiana Junction,1
Ludhiana Junction,New Delhi,1
Agra Cantt.,Lucknow Junction,1
Lucknow Junction,Agra Cantt.,1
Gonda Junction,Mailani,1
Mailani,Gonda Junction,1
Bhadrachalam Road,Sirpur Town,1
Bhopal HabibGanj,Jabalpur Junction,1
Jabalpur Junction,Bhopal HabibGanj,1
Secunderabad Junction,Manuguru,1
Manuguru,Secunderabad Junction,1
Malda Town,Kolkata Howrah Junction,1
Kolkata Howrah Junction,Malda Town,1
Ranchi Junction,Baidyanathdham Deoghar,1
Dhone Junction,Guntur Junction,1
Agra Fort,Kota Junction,1
Guntur Junction,Dhone Junction,1
Hatia,Barddhaman Junction,1
Banspani,Puri,1
Puri,Banspani,1
Villupuram Junction,Madurai Junction,1
Allahabad Junction,Farrukhabad,1
Farrukhabad,Allahabad Junction,1
Itarsi Junction,Katni,1
Angul,Puri,1
Katni,Itarsi Junction,1
Dehradun,Kathgodam,1
Kathgodam,Dehradun,1
Giridih,Kolkata Chitpur,1
Chennai Egmore,Tiruchirappalli Junction,1
Tiruchirappalli Junction,Chennai Egmore,1
Sainagar Shirdi,Mumbai Dadar Central,1
Mumbai Dadar Central,Sainagar Shirdi,1
Hatia,Kharagpur Junction,1
Surat,Bhusaval Junction,1
Bhusaval Junction,Surat,1
Kharagpur Junction,Hatia,1
Kota Junction,Yamuna Bridge Agra,1
Old Delhi,Bhatinda Junction,1
Bhatinda Junction,Old Delhi,1
Madurai Junction,Villupuram Junction,1
Kalka,Old Delhi,1
Alappuzha,Kannur Main,1
Kannur Main,Alappuzha,1
Delhi Sarai Rohilla,Dehradun,1
Dehradun,Delhi Sarai Rohilla,1
Hyderabad Deccan Nampally,Parbhani Junction,1
Puri,Sambalpur Junction,1
Sambalpur Junction,Puri,1
Khurda Road Junction,Kharagpur Junction,1
Bhubaneswar,Jharsuguda Junction,1
Kharagpur Junction,Khurda Road Junction,1
Repalle,Secunderabad Junction,1
Jharsuguda Junction,Bhubaneswar,1
Secunderabad Junction,Repalle,1
Valsad,Dahod,1
Dahod,Valsad,1
Tirupati Main,Bangalore Yesvantpur Junction,1
Bangalore Yesvantpur Junction,Tirupati Main,1
Gwalior Junction,Bina Junction,1
Bina Junction,Gwalior Junction,1
Barddhaman Junction,Hatia,1
Amritsar Junction,Hisar,1
Hisar,Amritsar Junction,1
Tinsukia Junction,Lumding Junction,1
Lumding Junction,Tinsukia Junction,1
Malda Town,Kolkata Sealdah,1
Kolkata Sealdah,Malda Town,1
Solapur Junction,Falaknuma,1
Hyderabad Kacheguda,Repalle,1
Huzur Sahib Nanded,Manmad Junction,1
Vijayawada Junction,Visakhapatnam Junction,1
Visakhapatnam Junction,Vijayawada Junction,1
Vijayawada Junction,Secunderabad Junction,1
Secunderabad Junction,Vijayawada Junction,1
Mangalore Central,Palakkad Junction,1
Palakkad Junction,Mangalore Central,1
Vikarabad Junction,Guntur Junction,1
Guntur Junction,Vikarabad Junction,1
Chennai Egmore,Salem Junction,1
Salem Junction,Chennai Egmore,1
Varanasi Junction,Kanpur Central,1
Kanpur Central,Varanasi Junction,1
Hubli Junction,Solapur Junction,1
Chennai Central,Bangalore City Junction,1
Solapur Junction,Hubli Junction,1
Erode Junction,Tirunelveli Junction,1
Tirunelveli Junction,Erode Junction,1
Hyderabad Kacheguda,Guntakal Junction,1
Chirmiri,Damoh,1
Bangalore City Junction,Chennai Central,1
Mayiladuturai Junction,Coimbatore Main Junction,1
Coimbatore Main Junction,Mayiladuturai Junction,1
Aishbagh,Lal Kuan,1
Lal Kuan,Aishbagh,1
Viramgam Junction,Valsad,1
Valsad,Viramgam Junction,1
Guntakal Junction,Secunderabad Junction,1
Rajendra Nagar Bihar,Barkakana Junction,1
Barkakana Junction,Rajendra Nagar Bihar,1
Madurai Junction,Kollam Junction,1
Kollam Junction,Madurai Junction,1
Balharshah Junction,Secunderabad Junction,1
Raichur,Bijapur,1
Secunderabad Junction,Balharshah Junction,1
Bijapur,Raichur,1
Bokaro Steel City,Kolkata Howrah Junction,1
Haridwar Junction,Una Himachal,1
Una Himachal,Haridwar Junction,1
Jaipur Junction,Hisar,1
Hisar,Jaipur Junction,1
Gorakhpur Junction,Sonpur Junction,1
Sonpur Junction,Gorakhpur Junction,1
Bangalore Yesvantpur Junction,Chennai Central,1
Chennai Central,Bangalore Yesvantpur Junction,1
Guntakal Junction,Tirupati Main,1
Tirupati Main,Guntakal Junction,1
Una Himachal,Old Delhi,1
Old Delhi,Una Himachal,1
Asansol Junction,Digha Flag Station,1
Talguppa,Mysore Junction,1
Mysore Junction,Talguppa,1
Machilipatnam,Visakhapatnam Junction,1
Visakhapatnam Junction,Machilipatnam,1
Mumbai CST,Aurangabad,1
Aurangabad,Mumbai CST,1
Ratlam Junction,Ajmer Junction,1
Ajmer Junction,Ratlam Junction,1
Mumbai Dadar Central,Dhule,1
Dhule,Mumbai Dadar Central,1
Kolkata Chitpur,Dhaca Cantt.,1
Dhaca Cantt.,Kolkata Chitpur,1
Ajmer Junction,Agra Fort,1
Agra Fort,Ajmer Junction,1
Guwahati,Jorhat Town,1
Jorhat Town,Guwahati,1
Palakkad Town,Trivandrum Central,1
Trivandrum Central,Palakkad Town,1
Solapur Junction,Dharwar,1
Dharwar,Solapur Junction,1
Sadulpur Junction,Suratgarh Junction,1
Puri,Gunupur,1
Gunupur,Puri,1
Durg Junction,Chirmiri,1
Chirmiri,Durg Junction,1
Bikaner Junction,Jaipur Junction,1
Jaipur Junction,Bikaner Junction,1
Balharshah Junction,Bhadrachalam Road,1
Guntur Junction,Tirupati Main,1
Tirupati Main,Guntur Junction,1
Secunderabad Junction,Guntur Junction,1
Guntur Junction,Secunderabad Junction,1
Visakhapatnam Junction,Guntur Junction,1
Guntur Junction,Visakhapatnam Junction,1
Itarsi Junction,Jhansi Junction,1
Jhansi Junction,Itarsi Junction,1
Firozpur Cantt.,Old Delhi,1
Old Delhi,Firozpur Cantt.,1
Farrukhabad,Bareilly,1
Bareilly,Farrukhabad,1
Jhansi Junction,Allahabad Junction,1
Allahabad Junction,Jhansi Junction,1
Vadodara Junction,Mumbai Central,1
Mumbai Central,Vadodara Junction,1
Nagpur Junction,Bhusaval Junction,1
Bhusaval Junction,Nagpur Junction,1
Trivandrum Central,Nilambur Road,1
Chennai Egmore,Mettur Dam,1
Nilambur Road,Trivandrum Central,1
Mettur Dam,Chennai Egmore,1
Rewari,Degana Junction,1
Degana Junction,Rewari,1
Lalgarh Junction,Abohar,1
Chennai Egmore,Mannargudi,1
Mannargudi,Chennai Egmore,1
Erode Junction,Chennai Central,1
Chennai Central,Erode Junction,1
Bhubaneswar,Balangir,1
Balangir,Bhubaneswar,1
Kolkata Howrah Junction,Barbil,1
Barbil,Kolkata Howrah Junction,1
Jabalpur Junction,Nagpur Junction,1
Nagpur Junction,Jabalpur Junction,1
Trivandrum Central,Kozhikode Main,1
Kozhikode Main,Trivandrum Central,1
Malda Town,Patna Junction,1
Patna Junction,Malda Town,1
Dahod,Bhopal HabibGanj,1
Bhopal HabibGanj,Dahod,1
Rewa,Chirmiri,1
Chirmiri,Rewa,1
Delhi Hazrat Nizamuddin,Jhansi Junction,1
Jhansi Junction,Delhi Hazrat Nizamuddin,1
Mariani Junction,Guwahati,1
Guwahati,Mariani Junction,1
Puri,Kharagpur Junction,1
Amritsar Junction,Haridwar Junction,1
Haridwar Junction,Amritsar Junction,1
Kanniyakumari,Rameswaram,1
Rameswaram,Kanniyakumari,1
Mangalore Central,Coimbatore Main Junction,1
Coimbatore Main Junction,Mangalore Central,1
Sitapur City,Old Delhi,1
Old Delhi,Sitapur City,1
Una Himachal,New Delhi,1
New Delhi,Una Himachal,1
Varanasi Junction,Rajgir,1
Rajgir,Varanasi Junction,1
Bilaspur Junction,Nagpur Junction,1
Nagpur Junction,Bilaspur Junction,1
Patna Junction,Ranchi Junction,1
Ranchi Junction,Patna Junction,1
Old Delhi,Hoshiarpur,1
Hoshiarpur,Old Delhi,1
Lumding Junction,Agartala,1
Agartala,Lumding Junction,1
Gondia Junction,Raigarh,1
Raigarh,Gondia Junction,1
Hatia,Patna Junction,1
Patna Junction,Hatia,1
Bandikui Junction,Bareilly,1
Rourkela,Bhubaneswar,1
Bhubaneswar,Rourkela,1
Rajendra Nagar Bihar,Hatia,1
Kasganj Mg,Aishbagh,1
Hatia,Rajendra Nagar Bihar,1
Aishbagh,Kasganj Mg,1
Mumbai Dadar Central,Ratnagiri,1
Manmad Junction,Dharmabad,1
Ratnagiri,Mumbai Dadar Central,1
Dharmabad,Manmad Junction,1
Kolkata Howrah Junction,Ranchi Junction,1
Ranchi Junction,Kolkata Howrah Junction,1
Kolkata Howrah Junction,Hatia,1
Hatia,Kolkata Howrah Junction,1
Fazilka,Rewari,1
Mumbai Central,Nandurbar,1
Nandurbar,Mumbai Central,1
Old Delhi,Shri Ganganagar,1
Shri Ganganagar,Old Delhi,1
Chennai Egmore,Kumbakonam,1
Kumbakonam,Chennai Egmore,1
Shri Ganganagar,Rewari,1
Rewari,Shri Ganganagar,1
Pandharpur,Mumbai CST,1
Mumbai CST,Pandharpur,1
Bina Junction,Nagda Junction,1
Nagda Junction,Bina Junction,1
Prayag,Bareilly,1
Viramgam Junction,Okha,1
Okha,Viramgam Junction,1
Ahmedabad Junction,Veraval,1
Chennai Central,Vijayawada Junction,1
Vijayawada Junction,Chennai Central,1
Secunderabad Junction,Machilipatnam,1
Machilipatnam,Secunderabad Junction,1
Bareilly,Prayag,1
Akola Junction,Ratlam Junction,1
Ratlam Junction,Akola Junction,1
Veraval,Ahmedabad Junction,1
Kota Junction,Indore Junction BG,1
Indore Junction BG,Kota Junction,1
Ambikapur,Jabalpur Junction,1
Jabalpur Junction,Ambikapur,1
Shri Ganganagar,Kalka,1
Kalka,Shri Ganganagar,1
Rewari,Fazilka,1
Itarsi Junction,Satna,1
Satna,Itarsi Junction,1
Hyderabad Deccan Nampally,Purna Junction,1
Purna Junction,Hyderabad Deccan Nampally,1
Somnath,Ahmedabad Junction,1
Rampur Hat,Gaya Junction,1
Nagore,Chennai Egmore,1
Chennai Egmore,Nagore,1
New Delhi,Kanpur Central,1
Kanpur Central,New Delhi,1
Balurghat,Kolkata Chitpur,1
Mayiladuturai Junction,Tirunelveli Junction,1
Kolkata Chitpur,Balurghat,1
Miraj Junction,Parli Vaijnath,1
Kolkata Howrah Junction,Chakradharpur,1
Parli Vaijnath,Miraj Junction,1
Chakradharpur,Kolkata Howrah Junction,1
Bhubaneswar,Kolkata Howrah Junction,1
Kolkata Howrah Junction,Bhubaneswar,1
Jalandhar City,New Delhi,1
New Delhi,Jalandhar City,1
Coimbatore Main Junction,Bangalore Yesvantpur Junction,1
Bangalore Yesvantpur Junction,Coimbatore Main Junction,1
Mumbai CST,Bhusaval Junction,1
Bhusaval Junction,Mumbai CST,1
New Delhi,Ajmer Junction,1
Ajmer Junction,New Delhi,1
Bhubaneswar,Visakhapatnam Junction,1
Visakhapatnam Junction,Bhubaneswar,1
Nagpur Junction,Kazipet Junction,1
Kazipet Junction,Nagpur Junction,1
Hyderabad Deccan Nampally,Bijapur,1
Lumding Junction,Alipur Duar Junction,1
Alipur Duar Junction,Lumding Junction,1
New Delhi,Amritsar Junction,1
Amritsar Junction,New Delhi,1
Jalandhar City,Firozpur Cantt.,1
Varanasi Junction,Khajuraho,1
Khajuraho,Varanasi Junction,1
Mangalore Central,Verna,1
Verna,Mangalore Central,1
Kolkata Sealdah,Balurghat,1
Balurghat,Kolkata Sealdah,1
Jodhpur Junction,Ahmedabad Junction,1
Ahmedabad Junction,Jodhpur Junction,1
Mumbai CST,Solapur Junction,1
Solapur Junction,Mumbai CST,1
Sainagar Shirdi,Mumbai CST,1
Mumbai CST,Sainagar Shirdi,1
Kolkata Howrah Junction,Mokameh Junction,1
Gonda Junction,Bareilly MG,1
Chopan,Gomoh Junction,1
Damoh,Kota Junction,1
Gomoh Junction,Chopan,1
Mokameh Junction,Kolkata Howrah Junction,1
Kota Junction,Damoh,1
Puducherry,Bangalore Yesvantpur Junction,1
Bangalore Yesvantpur Junction,Puducherry,1
Barkakana Junction,Varanasi Junction,1
Varanasi Junction,Barkakana Junction,1
Bijapur,Bolarum,1
Delhi Hazrat Nizamuddin,Kota Junction,1
Kota Junction,Delhi Hazrat Nizamuddin,1
Bikaner Junction,Delhi Sarai Rohilla,1
Delhi Sarai Rohilla,Bikaner Junction,1
Kanpur Central,Kathgodam,1
Kathgodam,Kanpur Central,1
Narasapur,Hyderabad Deccan Nampally,1
Hyderabad Deccan Nampally,Narasapur,1
Ahmedabad Junction,Mumbai Borivali,1
Dehradun,Amritsar Junction,1
Amritsar Junction,Dehradun,1
Motihari,Manduadih,1
Manduadih,Motihari,1
Coimbatore Main Junction,Tuticorin,1
Tuticorin,Coimbatore Main Junction,1
Jaipur Junction,Nagda Junction,1
Bilaspur Junction,Rewa,1
Rewa,Bilaspur Junction,1
Kolkata Howrah Junction,Jamalpur Junction,1
Machilipatnam,Tirupati Main,1
Tirupati Main,Machilipatnam,1
Jamalpur Junction,Kolkata Howrah Junction,1
Bangalore City Junction,Hubli Junction,1
Hubli Junction,Bangalore City Junction,1
New Jalpaiguri,Darbhanga Junction,1
Darbhanga Junction,New Jalpaiguri,1
Durg Junction,Ambikapur,1
Ambikapur,Durg Junction,1
Tatanagar Junction,Bilaspur Junction,1
Jodhpur Junction,Hisar,1
Hisar,Jodhpur Junction,1
Bilaspur Junction,Tatanagar Junction,1
Attari,Old Delhi,1
Coimbatore Main Junction,Tirupati Main,1
Tirupati Main,Coimbatore Main Junction,1
Old Delhi,Attari,1
Visakhapatnam Junction,Kirandul,1
Chopan,Ranchi Junction,1
Kolkata Chitpur,Radhikapur,1
Radhikapur,Kolkata Chitpur,1
Indore Junction BG,Udaipur City,1
Udaipur City,Indore Junction BG,1
Asansol Junction,Varanasi Junction,1
Ranchi Junction,Chopan,1
Ahmedabad Junction,Mumbai Bandra Terminus,1
Mumbai Bandra Terminus,Ahmedabad Junction,1
Singrauli,Patna Junction,1
Patna Junction,Singrauli,1
Bhopal Junction,Gwalior Junction,1
Gwalior Junction,Bhopal Junction,1
Shri Ganganagar,Haridwar Junction,1
Haridwar Junction,Shri Ganganagar,1
Shri Ganganagar,Delhi Sarai Rohilla,1
Delhi Sarai Rohilla,Shri Ganganagar,1
Jharsuguda Junction,Gondia Junction,1
Gondia Junction,Jharsuguda Junction,1
Varanasi Junction,Asansol Junction,1
Bangalore City Junction,Dharwar,1
Dharwar,Bangalore City Junction,1
Bhatinda Junction,Jammu Tawi,1
Jammu Tawi,Bhatinda Junction,1
Ahmedabad Junction,Mumbai Central,1
Mumbai Central,Ahmedabad Junction,1
Mysore Junction,Dharwar,1
Dharwar,Mysore Junction,1
New Delhi,Lucknow,1
Lucknow,New Delhi,1
Barkakana Junction,Patna Junction,1
Patna Junction,Barkakana Junction,1
Kota Junction,Bhind,1
Pathankot,Old Delhi,1
Old Delhi,Pathankot,1
Rajendra Nagar Bihar,Tatanagar Junction,1
Tatanagar Junction,Rajendra Nagar Bihar,1
Ahmedabad Junction,Ajmer Junction,1
Ajmer Junction,Ahmedabad Junction,1
Chennai Central,Coimbatore Main Junction,1
Coimbatore Main Junction,Chennai Central,1
Madurai Junction,Chennai Egmore,1
Chennai Egmore,Madurai Junction,1
Coimbatore Main Junction,Nagercoil Junction,1
Nagercoil Junction,Coimbatore Main Junction,1
Mumbai CST,Daund Junction,1
KasGanj,Gonda Junction,1
Gonda Junction,KasGanj,1
Okha,Ahmedabad Junction,1
Ahmedabad Junction,Okha,1
Chennai Central,Mysore Junction,1
Mysore Junction,Chennai Central,1
Kolkata Shalimar,Puri,1
Puri,Kolkata Shalimar,1
Bhind,Kota Junction,1
Danapur,New Jalpaiguri,1
New Jalpaiguri,Danapur,1
Kolkata Howrah Junction,Puri,1
Puri,Kolkata Howrah Junction,1
Mathura Junction,Allahabad Junction,1
Allahabad Junction,Mathura Junction,1
Bhagalpur,Ranchi Junction,1
Danapur,Tatanagar Junction,1
Kamakhya,Dibrugarh,1
Tatanagar Junction,Danapur,1
Dibrugarh,Kamakhya,1
Gevra Road,Nagpur Junction,1
Manduadih,Lucknow Junction,1
Lucknow Junction,Manduadih,1
Puri,Kolkata Santragachi Junction,1
Akola Junction,Hyderabad Kacheguda,1
Hyderabad Kacheguda,Akola Junction,1
Ranchi Junction,Bhagalpur,1
Shahu Maharaj Terminus,Mumbai CST,1
Mumbai CST,Shahu Maharaj Terminus,1
Lucknow,Saharanpur,1
Saharanpur,Lucknow,1
Tirupati Main,Narasapur,1
Narasapur,Tirupati Main,1
Rourkela,Puri,1
Surat,Bhavnagar Terminus,1
Bhavnagar Terminus,Surat,1
Vadodara Junction,Kota Junction,1
Kota Junction,Vadodara Junction,1
Chennai Central,Sri Satya Sai Prasanthi Nilayam,1
Sri Satya Sai Prasanthi Nilayam,Chennai Central,1
Bangalore City Junction,Hospet Junction,1
Hospet Junction,Bangalore City Junction,1
Visakhapatnam Junction,Raipur Junction,1
Raipur Junction,Visakhapatnam Junction,1
Mumbai CST,Latur,1
Latur,Mumbai CST,1
Patna Junction,Kolkata Howrah Junction,1
Kolkata Howrah Junction,Patna Junction,1
Chennai Central,Mettupalayam,1
Mettupalayam,Chennai Central,1
Nizamabad,Pandharpur,1
Pandharpur,Nizamabad,1
Patna Junction,Kolkata Chitpur,1
Kolkata Chitpur,Patna Junction,1
Chamarajanagar,Tirupati Main,1
Tirupati Main,Chamarajanagar,1
Darbhanga Junction,Kolkata Howrah Junction,1
Kolkata Howrah Junction,Darbhanga Junction,1
Vijayawada Junction,Rayagada,1
Rayagada,Vijayawada Junction,1
Okha,Bhavnagar Terminus,1
Bhavnagar Terminus,Okha,1
Darbhanga Junction,Kolkata Chitpur,1
Kolkata Chitpur,Darbhanga Junction,1
Danapur,Kolkata Howrah Junction,1
Kolkata Howrah Junction,Danapur,1
Jogbani,Kolkata Chitpur,1
Kolkata Chitpur,Jogbani,1
Puri,Digha Flag Station,1
Digha Flag Station,Puri,1
Kolkata Howrah Junction,Muzaffarpur Junction,1
Muzaffarpur Junction,Kolkata Howrah Junction,1
Chhapra Junction,Kanpur Anwarganj,1
Kanpur Anwarganj,Chhapra Junction,1
Puri,Rourkela,1
Surat,Hapa,1
Hapa,Surat,1
Gorakhpur Junction,Kanpur Anwarganj,1
Rajgir,Kolkata Howrah Junction,1
Kanpur Anwarganj,Gorakhpur Junction,1
Kolkata Howrah Junction,Rajgir,1
Bhopal HabibGanj,Rewa,1
Rewa,Bhopal HabibGanj,1
Indore Junction BG,Chhindwara Junction,1
Chhindwara Junction,Indore Junction BG,1
Jabalpur Junction,Indore Junction BG,1
Indore Junction BG,Jabalpur Junction,1
Huzur Sahib Nanded,Pune Junction,1
Pune Junction,Huzur Sahib Nanded,1
Rishikesh,Jammu Tawi,1
Jammu Tawi,Rishikesh,1
Gandhidham Bg,Jodhpur Junction,1
Jodhpur Junction,Gandhidham Bg,1
Varanasi Junction,Bareilly,1
Bareilly,Varanasi Junction,1
Jamnagar,Surat,1
Surat,Jamnagar,1
Indore Junction BG,Gwalior Junction,1
Gwalior Junction,Indore Junction BG,1
Jaipur Junction,Suratgarh Junction,1
Suratgarh Junction,Jaipur Junction,1
Surat,Amravati,1
Amravati,Surat,1
Dibrugarh Town,Guwahati,1
Guwahati,Dibrugarh Town,1
Bijapur,Mumbai CST,1
Visakhapatnam Junction,Durg Junction,1
Durg Junction,Visakhapatnam Junction,1
Mumbai CST,Bijapur,1
Kakinada Port,Secunderabad Junction,1
Secunderabad Junction,Kakinada Port,1
Kolkata Chitpur,Muzaffarpur Junction,1
Muzaffarpur Junction,Kolkata Chitpur,1
New Jalpaiguri,Kolkata Sealdah,1
Kolkata Sealdah,New Jalpaiguri,1
Kazipet Junction,Visakhapatnam Junction,1
Muzaffarpur Junction,Kolkata Sealdah,1
Indore Junction BG,Gandhinagar Capital,1
Gandhinagar Capital,Indore Junction BG,1
Ledo,Guwahati,1
Guwahati,Ledo,1
Ranchi Junction,Varanasi Junction,1
Varanasi Junction,Ranchi Junction,1
Kolkata Sealdah,Muzaffarpur Junction,1
New Delhi,Jammu Tawi,1
Jammu Tawi,New Delhi,1
Hubli Junction,Tirupati Main,1
Tirupati Main,Hubli Junction,1
Jammu Tawi,Delhi Sarai Rohilla,1
Delhi Sarai Rohilla,Jammu Tawi,1
Rishikesh,Bandikui Junction,1
Bandikui Junction,Rishikesh,1
Jabalpur Junction,Lucknow Junction,1
Ernakulam Junction (South),Nagore,1
Nagore,Ernakulam Junction (South),1
Lucknow Junction,Jabalpur Junction,1
Aurangabad,Hyderabad Deccan Nampally,1
Hyderabad Deccan Nampally,Aurangabad,1
