field	occupation	n	count	expected	diff
ARCHITECTURE	OFF-FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE	67	2414	2730.91749747	0.883952005960048
ARCHITECTURE	OFF-MISCELLANEOUS OFFICE AND ADMINISTRATIVE SUPPORT	20	556	1061.35582311099	0.523858246116068
ARCHITECTURE	OFF-OFFICE CLERKS, GENERAL	18	874	1225.83305537188	0.712984526049391
ARCHITECTURE	OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS	56	1964	3754.45576138872	0.52311177033913
ARCHITECTURE	PRT-POLICE OFFICERS	14	363	1683.39831472124	0.215635240231372
ARCHITECTURE	SAL-FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS	51	1938	2784.28184358612	0.696050223674152
ARCHITECTURE	SAL-FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS	93	3313	4620.31073893227	0.717051338578499
ARCHITECTURE	SAL-INSURANCE SALES AGENTS	22	495	1474.9314488593	0.335608817876131
ARCHITECTURE	SAL-REAL ESTATE BROKERS AND SALES AGENTS	74	2174	1603.9231399665	1.35542654496861
ARCHITECTURE	SAL-RETAIL SALESPERSONS	88	3598	3502.25578390999	1.02733787078884
ARCHITECTURE	SAL-SALES REPRESENTATIVES, SERVICES, ALL OTHER	29	957	1846.07211969896	0.518397948697724
ARCHITECTURE	SAL-SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING	63	1844	4149.81055286228	0.444357634284805
ARCHITECTURE	SAL-SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SALES	14	517	1296.84300464658	0.398660437807501
COMMUNICATIONS	BUS-HUMAN RESOURCES WORKERS	480	17974	8043.67580607873	2.2345505255715
COMMUNICATIONS	BUS-MANAGEMENT ANALYSTS	266	9041	9800.33458322025	0.922519524535381
COMMUNICATIONS	BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS	380	12969	4227.77923885383	3.06756792805387
COMMUNICATIONS	CMM-COMPUTER OCCUPATIONS, ALL OTHER	61	2161	3839.72366124801	0.56280091763104
COMMUNICATIONS	CMM-COMPUTER PROGRAMMERS	77	2872	7147.37577238423	0.401825801729458
COMMUNICATIONS	CMM-COMPUTER SUPPORT SPECIALISTS	124	4484	4872.21434814828	0.920320757584111
COMMUNICATIONS	CMM-COMPUTER SYSTEMS ANALYSTS	97	3859	7412.18257101157	0.52062937778843
COMMUNICATIONS	CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE	116	4887	17940.6480664264	0.272398186615421
COMMUNICATIONS	CMS-CLERGY	201	6005	5202.20705979252	1.15431775993928
COMMUNICATIONS	CMS-COUNSELORS	258	9262	10078.7855283198	0.918959925675099
COMMUNICATIONS	CMS-SOCIAL WORKERS	187	6579	12864.4236311371	0.511410397281707
COMMUNICATIONS	EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS	1014	31555	67475.9224828873	0.467648293478355
COMMUNICATIONS	EDU-OTHER TEACHERS AND INSTRUCTORS	161	5573	5523.3210437692	1.00899439953555
COMMUNICATIONS	EDU-POSTSECONDARY TEACHERS	367	11979	18367.3035363496	0.652191541142284
COMMUNICATIONS	EDU-PRESCHOOL AND KINDERGARTEN TEACHERS	57	2060	4597.52557578925	0.44806711045786
COMMUNICATIONS	EDU-SECONDARY SCHOOL TEACHERS	225	7428	15347.0563414353	0.484001611432496
COMMUNICATIONS	EDU-SPECIAL EDUCATION TEACHERS	70	2393	4431.01181029514	0.540057238042119
COMMUNICATIONS	EDU-TEACHER ASSISTANTS	124	4565	3452.4706804935	1.32224149673227
COMMUNICATIONS	ENG-CIVIL ENGINEERS	8	274	5421.14043213748	0.0505428707169583
COMMUNICATIONS	ENG-ELECTRICAL AND ELECTRONICS ENGINEERS	10	324	3899.21615285097	0.0830936237692548
COMMUNICATIONS	ENG-MECHANICAL ENGINEERS	7	365	3458.28950766546	0.10554350617291
COMMUNICATIONS	ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS	38	1558	7596.12773686996	0.205104502447715
COMMUNICATIONS	ENT-DESIGNERS	260	9554	8235.42121008574	1.16011066784288
COMMUNICATIONS	FIN-ACCOUNTANTS AND AUDITORS	277	10102	17383.5455270145	0.581124258241865
COMMUNICATIONS	FIN-CREDIT COUNSELORS AND LOAN OFFICERS	103	3694	3378.10506598981	1.09351246566916
COMMUNICATIONS	FIN-PERSONAL FINANCIAL ADVISORS	122	4588	5183.79749451572	0.885065438002535
COMMUNICATIONS	HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES	48	1677	3457.98853384622	0.484964014075177
COMMUNICATIONS	LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL	473	15065	19439.4976862379	0.774968584227627
COMMUNICATIONS	MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS	15	628	3478.37951009968	0.180543841802358
COMMUNICATIONS	MED-PHARMACISTS	15	565	4637.88114871892	0.121822871669764
COMMUNICATIONS	MED-PHYSICAL THERAPISTS	19	646	3548.280679618	0.182060005486811
COMMUNICATIONS	MED-PHYSICIANS AND SURGEONS	51	1751	15680.560414304	0.111666927312286
COMMUNICATIONS	MED-REGISTERED NURSES	156	5513	29888.4559310703	0.184452486027189
COMMUNICATIONS	MGR-CHIEF EXECUTIVES AND LEGISLATORS	387	14106	12406.592289771	1.13697618737985
COMMUNICATIONS	MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS	188	6785	8476.27550893196	0.80046949781779
COMMUNICATIONS	MGR-CONSTRUCTION MANAGERS	73	2847	4618.44325622638	0.616441480830537
COMMUNICATIONS	MGR-EDUCATION ADMINISTRATORS	403	13678	13287.4172529263	1.02939493354043
COMMUNICATIONS	MGR-FINANCIAL MANAGERS	295	10359	12061.3251568004	0.858860851965295
COMMUNICATIONS	MGR-FOOD SERVICE MANAGERS	144	6232	4394.76954622841	1.41804932760315
COMMUNICATIONS	MGR-GENERAL AND OPERATIONS MANAGERS	341	11670	10119.4169939171	1.15322849201836
