rank,image,Country,overall_life,male,female,url
69, //upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Mauritius.svg/45px-Flag_of_Mauritius.svg.png,Mauritius,75.2,71,79.4,http://en.wikipedia.org/wiki/Mauritius
70, //upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg/45px-Flag_of_Saint_Kitts_and_Nevis.svg.png,Saint Kitts and Nevis,75.1,72.2,78,http://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
71, //upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Vietnam.svg/45px-Flag_of_Vietnam.svg.png,Vietnam,75,73,77,http://en.wikipedia.org/wiki/Vietnam
72, //upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/46px-Flag_of_Hungary.svg.png,Hungary,75,71,79,http://en.wikipedia.org/wiki/Hungary
73, //upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Venezuela.svg/45px-Flag_of_Venezuela.svg.png,Venezuela,75,71.5,78.5,http://en.wikipedia.org/wiki/Venezuela
74, //upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_Macedonia.svg/46px-Flag_of_Macedonia.svg.png,Macedonia,75,73,77,http://en.wikipedia.org/wiki/Republic_of_Macedonia
75, //upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/45px-Flag_of_Syria.svg.png,Syria,75,72,78,http://en.wikipedia.org/wiki/Syria
76, //upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Thailand.svg/45px-Flag_of_Thailand.svg.png,Thailand,74.9,71.4,78.4,http://en.wikipedia.org/wiki/Thailand
77, //upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Trinidad_and_Tobago.svg/46px-Flag_of_Trinidad_and_Tobago.svg.png,Trinidad and Tobago,70.8,66.5,75.8,http://en.wikipedia.org/wiki/Trinidad_and_Tobago
78, //upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Seychelles.svg/46px-Flag_of_Seychelles.svg.png,Seychelles,74.7,71,78.4,http://en.wikipedia.org/wiki/Seychelles
79, //upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Sri_Lanka.svg/46px-Flag_of_Sri_Lanka.svg.png,Sri Lanka,74.7,71.4,78,http://en.wikipedia.org/wiki/Sri_Lanka
80, //upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Paraguay.svg/46px-Flag_of_Paraguay.svg.png,Paraguay,74.7,71.6,77.8,http://en.wikipedia.org/wiki/Paraguay
80, //upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/45px-Flag_of_Peru.svg.png,Peru,74.7,71.6,77.8,http://en.wikipedia.org/wiki/Peru
81, //upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/46px-Flag_of_El_Salvador.svg.png,El Salvador,74.6,70.8,78.4,http://en.wikipedia.org/wiki/El_Salvador
82, //upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/46px-Flag_of_Jordan.svg.png,Jordan,74.6,72.4,76.8,http://en.wikipedia.org/wiki/Jordan
83, //upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/45px-Flag_of_Colombia.svg.png,Colombia,74.6,72.4,76.8,http://en.wikipedia.org/wiki/Colombia
84, //upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Tonga.svg/46px-Flag_of_Tonga.svg.png,Tonga,74.5,73,76,http://en.wikipedia.org/wiki/Tonga
85, //upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/46px-Flag_of_Cape_Verde.svg.png,Cape Verde,74.5,70.6,78.4,http://en.wikipedia.org/wiki/Cape_Verde
86, //upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/46px-Flag_of_Latvia.svg.png,Latvia,74.5,69.5,78.5,http://en.wikipedia.org/wiki/Latvia
87, //upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Nicaragua.svg/46px-Flag_of_Nicaragua.svg.png,Nicaragua,74.5,71.5,77.5,http://en.wikipedia.org/wiki/Nicaragua
88, //upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Libya.svg/46px-Flag_of_Libya.svg.png,Libya,74.5,71,78,http://en.wikipedia.org/wiki/Libya
89, //upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/45px-Flag_of_Georgia.svg.png,Georgia,74.5,70.2,78.8,http://en.wikipedia.org/wiki/Georgia_(country)
90, //upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/45px-Flag_of_Tunisia.svg.png,Tunisia,74.5,72.5,76.5,http://en.wikipedia.org/wiki/Tunisia
91, //upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Montenegro.svg/46px-Flag_of_Montenegro.svg.png,Montenegro,74.5,71.5,77.5,http://en.wikipedia.org/wiki/Montenegro
92, //upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/46px-Flag_of_Bulgaria.svg.png,Bulgaria,74.5,71,78,http://en.wikipedia.org/wiki/Bulgaria
93, //upload.wikimedia.org/wikipedia/commons/thumb/6/60/Flag_of_Suriname.svg/45px-Flag_of_Suriname.svg.png,Suriname,74.5,72,77,http://en.wikipedia.org/wiki/Suriname
94, //upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/45px-Flag_of_Turkey.svg.png,Turkey,74.4,72.4,76.4,http://en.wikipedia.org/wiki/Turkey
95, //upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/46px-Flag_of_Armenia.svg.png,Armenia,74.4,70.6,78.2,http://en.wikipedia.org/wiki/Armenia
