,Country,rank,image,overall_life,male,female,url,population
42,Czech Republic,44, //upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/45px-Flag_of_the_Czech_Republic.svg.png,78,75,81,http://en.wikipedia.org/wiki/Czech_Republic,10512400
43,Panama,45, //upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/45px-Flag_of_Panama.svg.png,77.8,74.6,81,http://en.wikipedia.org/wiki/Panama,3405813
44,Poland,46, //upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/46px-Flag_of_Poland.svg.png,77,72.5,81.5,http://en.wikipedia.org/wiki/Poland,38502396
45,Croatia,47, //upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/46px-Flag_of_Croatia.svg.png,77.5,74.5,80.5,http://en.wikipedia.org/wiki/Croatia,4290612
46,Dominica,48, //upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/46px-Flag_of_Dominica.svg.png,77.5,75,80,http://en.wikipedia.org/wiki/Dominica,71293
47,Uruguay,49, //upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Uruguay.svg/45px-Flag_of_Uruguay.svg.png,77.3,74.2,80.4,http://en.wikipedia.org/wiki/Uruguay,3286314
48,Mexico,50, //upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/46px-Flag_of_Mexico.svg.png,77.2,74.2,80.2,http://en.wikipedia.org/wiki/Mexico,119713203
49,Maldives,51, //upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Maldives.svg/45px-Flag_of_Maldives.svg.png,77.2,76.2,78.2,http://en.wikipedia.org/wiki/Maldives,317280
50,Bahrain,52, //upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/46px-Flag_of_Bahrain.svg.png,77,75,79,http://en.wikipedia.org/wiki/Bahrain,1234571
51,Belize,53, //upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/45px-Flag_of_Belize.svg.png,76.9,74.4,79.4,http://en.wikipedia.org/wiki/Belize,349728
52,Slovakia,54, //upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Slovakia.svg/45px-Flag_of_Slovakia.svg.png,76.8,73.4,80.2,http://en.wikipedia.org/wiki/Slovakia,5415949
53,Bahamas,55, //upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/46px-Flag_of_the_Bahamas.svg.png,76.5,73.5,79.5,http://en.wikipedia.org/wiki/The_Bahamas,351461
54,Grenada,56, //upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Grenada.svg/46px-Flag_of_Grenada.svg.png,76.5,73,80,http://en.wikipedia.org/wiki/Grenada,103328
55,Brazil,57, //upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/43px-Flag_of_Brazil.svg.png,76.2,72.6,79.8,http://en.wikipedia.org/wiki/Brazil,201032714
56,Estonia,58, //upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/46px-Flag_of_Estonia.svg.png,76.1,71,81.2,http://en.wikipedia.org/wiki/Estonia,1311870
57,Ecuador,59, //upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/45px-Flag_of_Ecuador.svg.png,76,73,79,http://en.wikipedia.org/wiki/Ecuador,15710300
58,Argentina,60, //upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/46px-Flag_of_Argentina.svg.png,76,73,79,http://en.wikipedia.org/wiki/Argentina,40117096
59,Saint Vincent and the Grenadines,61, //upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg/45px-Flag_of_Saint_Vincent_and_the_Grenadines.svg.png,76,73,79,http://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines,109000
60,Oman,62, //upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Oman.svg/46px-Flag_of_Oman.svg.png,76,73,79,http://en.wikipedia.org/wiki/Oman,3992000
61,Bosnia and Herzegovina,63, //upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/46px-Flag_of_Bosnia_and_Herzegovina.svg.png,76,74,78,http://en.wikipedia.org/wiki/Bosnia_and_Herzegovina,3791622
62,Lithuania,64, //upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Lithuania.svg/46px-Flag_of_Lithuania.svg.png,75.9,70.8,81,http://en.wikipedia.org/wiki/Lithuania,2941953
63,Antigua and Barbuda,65, //upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/45px-Flag_of_Antigua_and_Barbuda.svg.png,75.8,74.4,77.2,http://en.wikipedia.org/wiki/Antigua_and_Barbuda,86295
64,Malaysia,66, //upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Malaysia.svg/46px-Flag_of_Malaysia.svg.png,75.7,72.2,79.2,http://en.wikipedia.org/wiki/Malaysia,30061000
65,Saint Lucia,67, //upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Saint_Lucia.svg/46px-Flag_of_Saint_Lucia.svg.png,75.5,71.5,79.5,http://en.wikipedia.org/wiki/Saint_Lucia,180000
66,Qatar,68, //upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Qatar.svg/46px-Flag_of_Qatar.svg.png,75.5,73,78,http://en.wikipedia.org/wiki/Qatar,2116400
67,Mauritius,69, //upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Mauritius.svg/45px-Flag_of_Mauritius.svg.png,75.2,71,79.4,http://en.wikipedia.org/wiki/Mauritius,1257900
68,Saint Kitts and Nevis,70, //upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg/45px-Flag_of_Saint_Kitts_and_Nevis.svg.png,75.1,72.2,78,http://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis,54000
69,Vietnam,71, //upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Vietnam.svg/45px-Flag_of_Vietnam.svg.png,75,73,77,http://en.wikipedia.org/wiki/Vietnam,89708900
70,Hungary,72, //upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/46px-Flag_of_Hungary.svg.png,75,71,79,http://en.wikipedia.org/wiki/Hungary,9879000
71,Venezuela,73, //upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Venezuela.svg/45px-Flag_of_Venezuela.svg.png,75,71.5,78.5,http://en.wikipedia.org/wiki/Venezuela,28946101
72,Macedonia,74, //upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_Macedonia.svg/46px-Flag_of_Macedonia.svg.png,75,73,77,http://en.wikipedia.org/wiki/Republic_of_Macedonia,2062294
73,Syria,75, //upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/45px-Flag_of_Syria.svg.png,75,72,78,http://en.wikipedia.org/wiki/Syria,21898000
74,Thailand,76, //upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Thailand.svg/45px-Flag_of_Thailand.svg.png,74.9,71.4,78.4,http://en.wikipedia.org/wiki/Thailand,65926261
75,Trinidad and Tobago,77, //upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Trinidad_and_Tobago.svg/46px-Flag_of_Trinidad_and_Tobago.svg.png,70.8,66.5,75.8,http://en.wikipedia.org/wiki/Trinidad_and_Tobago,1328019
76,Seychelles,78, //upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Seychelles.svg/46px-Flag_of_Seychelles.svg.png,74.7,71,78.4,http://en.wikipedia.org/wiki/Seychelles,90945
77,Sri Lanka,79, //upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Sri_Lanka.svg/46px-Flag_of_Sri_Lanka.svg.png,74.7,71.4,78,http://en.wikipedia.org/wiki/Sri_Lanka,20277597
78,Paraguay,80, //upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Paraguay.svg/46px-Flag_of_Paraguay.svg.png,74.7,71.6,77.8,http://en.wikipedia.org/wiki/Paraguay,6783374
79,Peru,80, //upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/45px-Flag_of_Peru.svg.png,74.7,71.6,77.8,http://en.wikipedia.org/wiki/Peru,30475144
80,El Salvador,81, //upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/46px-Flag_of_El_Salvador.svg.png,74.6,70.8,78.4,http://en.wikipedia.org/wiki/El_Salvador,6340000
81,Jordan,82, //upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/46px-Flag_of_Jordan.svg.png,74.6,72.4,76.8,http://en.wikipedia.org/wiki/Jordan,6565000
82,Colombia,83, //upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/45px-Flag_of_Colombia.svg.png,74.6,72.4,76.8,http://en.wikipedia.org/wiki/Colombia,47529000
83,Tonga,84, //upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Tonga.svg/46px-Flag_of_Tonga.svg.png,74.5,73,76,http://en.wikipedia.org/wiki/Tonga,103036
84,Cape Verde,85, //upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/46px-Flag_of_Cape_Verde.svg.png,74.5,70.6,78.4,http://en.wikipedia.org/wiki/Cape_Verde,491875
85,Latvia,86, //upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/46px-Flag_of_Latvia.svg.png,74.5,69.5,78.5,http://en.wikipedia.org/wiki/Latvia,2003900
86,Nicaragua,87, //upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Nicaragua.svg/46px-Flag_of_Nicaragua.svg.png,74.5,71.5,77.5,http://en.wikipedia.org/wiki/Nicaragua,6071045
87,Libya,88, //upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Libya.svg/46px-Flag_of_Libya.svg.png,74.5,71,78,http://en.wikipedia.org/wiki/Libya,6202000
88,Georgia,89, //upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/45px-Flag_of_Georgia.svg.png,74.5,70.2,78.8,http://en.wikipedia.org/wiki/Georgia_(country),4483800
89,Tunisia,90, //upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/45px-Flag_of_Tunisia.svg.png,74.5,72.5,76.5,http://en.wikipedia.org/wiki/Tunisia,10886500
90,Montenegro,91, //upload.wikimedia.org/wikipedia/commons/thumb/6/64/Flag_of_Montenegro.svg/46px-Flag_of_Montenegro.svg.png,74.5,71.5,77.5,http://en.wikipedia.org/wiki/Montenegro,620029
91,Bulgaria,92, //upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/46px-Flag_of_Bulgaria.svg.png,74.5,71,78,http://en.wikipedia.org/wiki/Bulgaria,7282041
92,Suriname,93, //upload.wikimedia.org/wikipedia/commons/thumb/6/60/Flag_of_Suriname.svg/45px-Flag_of_Suriname.svg.png,74.5,72,77,http://en.wikipedia.org/wiki/Suriname,534189
93,Turkey,94, //upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/45px-Flag_of_Turkey.svg.png,74.4,72.4,76.4,http://en.wikipedia.org/wiki/Turkey,76667864
94,Armenia,95, //upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/46px-Flag_of_Armenia.svg.png,74.4,70.6,78.2,http://en.wikipedia.org/wiki/Armenia,3017400
95,Saudi Arabia,96, //upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/45px-Flag_of_Saudi_Arabia.svg.png,74.3,72.4,76.2,http://en.wikipedia.org/wiki/Saudi_Arabia,29994272
96,China,97, //upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/45px-Flag_of_the_People%27s_Republic_of_China.svg.png,74.2,72,76.4,http://en.wikipedia.org/wiki/China,1371467900
97,Samoa,98, //upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Samoa.svg/46px-Flag_of_Samoa.svg.png,74,71,77,http://en.wikipedia.org/wiki/Samoa,187820
98,Lebanon,99, //upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/45px-Flag_of_Lebanon.svg.png,74,72.5,76.5,http://en.wikipedia.org/wiki/Lebanon,4822000
99,Palau,100, //upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Palau.svg/46px-Flag_of_Palau.svg.png,74,70,78,http://en.wikipedia.org/wiki/Palau,20956
100,Romania,101, //upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/45px-Flag_of_Romania.svg.png,74,70,78,http://en.wikipedia.org/wiki/Romania,20121641
101,Honduras,102, //upload.wikimedia.org/wikipedia/commons/thumb/8/82/Flag_of_Honduras.svg/46px-Flag_of_Honduras.svg.png,74,72,76,http://en.wikipedia.org/wiki/Honduras,8555072
102,Albania,103, //upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/42px-Flag_of_Albania.svg.png,74,72,76,http://en.wikipedia.org/wiki/Albania,2821977
103,Serbia,104, //upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Serbia.svg/45px-Flag_of_Serbia.svg.png,74,71,77,http://en.wikipedia.org/wiki/Serbia,7181505
104,Jamaica,105, //upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/46px-Flag_of_Jamaica.svg.png,74.8,71.5,78.2,http://en.wikipedia.org/wiki/Jamaica,2711476
105,Iran,106, //upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/46px-Flag_of_Iran.svg.png,73.5,72,75,http://en.wikipedia.org/wiki/Iran,77327000
106,Marshall Islands,107, //upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Flag_of_the_Marshall_Islands.svg/46px-Flag_of_the_Marshall_Islands.svg.png,73.5,69,75,http://en.wikipedia.org/wiki/Marshall_Islands,56086
107,Algeria,108, //upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/45px-Flag_of_Algeria.svg.png,73.3,71.8,74.8,http://en.wikipedia.org/wiki/Algeria,38700000
108,Egypt,109, //upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/45px-Flag_of_Egypt.svg.png,73.2,71.2,75.2,http://en.wikipedia.org/wiki/Egypt,86216600
109,Dominican Republic,110, //upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/46px-Flag_of_the_Dominican_Republic.svg.png,73.2,72,74.4,http://en.wikipedia.org/wiki/Dominican_Republic,9445281
110,Fiji,111, //upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/46px-Flag_of_Fiji.svg.png,73,70,76,http://en.wikipedia.org/wiki/Fiji,858038
111,Philippines,112, //upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/46px-Flag_of_the_Philippines.svg.png,73,70,76,http://en.wikipedia.org/wiki/Philippines,99353500
112,Solomon Islands,113, //upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Solomon_Islands.svg/46px-Flag_of_the_Solomon_Islands.svg.png,73,71,75,http://en.wikipedia.org/wiki/Solomon_Islands,581344
113,Nauru,114, //upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flag_of_Nauru.svg/46px-Flag_of_Nauru.svg.png,73,70,76,http://en.wikipedia.org/wiki/Nauru,9945
114,Morocco,115, //upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/45px-Flag_of_Morocco.svg.png,73,71,75,http://en.wikipedia.org/wiki/Morocco,33217900
115,Belarus,116, //upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/46px-Flag_of_Belarus.svg.png,72.5,68.5,77.5,http://en.wikipedia.org/wiki/Belarus,9468100
116,Indonesia,117, //upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/45px-Flag_of_Indonesia.svg.png,72,68,76,http://en.wikipedia.org/wiki/Indonesia,249866000
117,Sao Tome and Principe,118, //upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Sao_Tome_and_Principe.svg/46px-Flag_of_Sao_Tome_and_Principe.svg.png,72,68,76,http://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe,187356
118,Vanuatu,119, //upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Vanuatu.svg/46px-Flag_of_Vanuatu.svg.png,72,71,74,http://en.wikipedia.org/wiki/Vanuatu,264652
119,Azerbaijan,120, //upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/46px-Flag_of_Azerbaijan.svg.png,71.5,69.5,74.5,http://en.wikipedia.org/wiki/Azerbaijan,9477100
120,Guatemala,121, //upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/46px-Flag_of_Guatemala.svg.png,71.5,68,75,http://en.wikipedia.org/wiki/Guatemala,15806675
121,Ukraine,122, //upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/45px-Flag_of_Ukraine.svg.png,71,65.5,76.5,http://en.wikipedia.org/wiki/Ukraine,45410071
122,Moldova,123, //upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Moldova.svg/46px-Flag_of_Moldova.svg.png,71,67,75,http://en.wikipedia.org/wiki/Moldova,3559500
123,Russia,124, //upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/45px-Flag_of_Russia.svg.png,70,64,76,http://en.wikipedia.org/wiki/Russia,143700000
124,Bhutan,125, //upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Bhutan.svg/45px-Flag_of_Bhutan.svg.png,70.8,69.2,72.4,http://en.wikipedia.org/wiki/Bhutan,745780
125,Guyana,126, //upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Guyana.svg/46px-Flag_of_Guyana.svg.png,70.5,67.5,73.5,http://en.wikipedia.org/wiki/Guyana,784894
