constituency,file_src,alliance
pattukottai,pattukottai/dmdk.jpg,
pattukottai,pattukottai/congress.jpg,
anaicut,anaicut/anaikattu_vijayakuma_bjp.jpg,
anaicut,anaicut/pmk.jpg,
anaicut,anaicut/tmk.jpg,
anaicut,anaicut/anaikattu_siva_naam.jpg,
anaicut,anaicut/dmk.jpg,
anaicut,anaicut/admk_kalai.jpg,
virudhunagar,virudhunagar/dmkdk_m_sayithi.jpg,
virudhunagar,virudhunagar/dmk_arr_srinivasan.jpg,
virudhunagar,virudhunagar/naam_tamilar_akilan.jpg,
virudhunagar,virudhunagar/bjp_c_kamtchi.jpg,
virudhunagar,virudhunagar/admk_k_kalanithi.jpg,
virudhunagar,virudhunagar/pmk_ganeshperumal.jpg,
peravoorani,peravoorani/rengaswamy.jpg,
peravoorani,peravoorani/elango.jpg,
peravoorani,peravoorani/thamayanthi.jpg,
peravoorani,peravoorani/ramalingam.jpg,
peravoorani,peravoorani/angchuham.jpg,
peravoorani,peravoorani/ashok_kumar.jpg,
peravoorani,peravoorani/kalai_vendan_pmk.jpg,
peravoorani,peravoorani/govindarajan.jpg,
peravoorani,peravoorani/jayaprakash.jpg,
andipatti,andipatti/dmdk_m_n_krishnamoorthy.jpg,
andipatti,andipatti/tambianath_naamthamilar.jpg,
andipatti,andipatti/admk_thangatamiselvan.jpg,
andipatti,andipatti/dmk_mukkaiya.jpg,
andipatti,andipatti/bjp_sr_chakaravarthi.jpg,
andipatti,andipatti/k_ravi_pmk.jpg,
solvanthan,solvanthan/bhavani dmk.jpg,
solvanthan,solvanthan/pandiyammal vck.jpg,
solvanthan,solvanthan/palanivelswamy bjp.jpg,
solvanthan,solvanthan/muthaiya pmk.jpg,
solvanthan,solvanthan/manikam_sozhavanthan_admk.jpg,
solvanthan,solvanthan/sakthi naam.jpg,
arcot,arcot/admk ramadoss.JPG,
arcot,arcot/admk_udahy.JPG,
arcot,arcot/pmk_karikalan.JPG,
arcot,arcot/dmk_eswaran.JPG,
arcot,arcot/bjp arcot.jpg,
marankudi,marankudi/naam_balamurugan.jpg,
marankudi,marankudi/dmk_trb_rajaa.jpg,
marankudi,marankudi/dmdk_a_murgaiyan.jpg,
marankudi,marankudi/pmk_balasubramaniyan.jpg,
marankudi,marankudi/ADMK_S_KAMARAJ.jpg,
marankudi,marankudi/bjp_siva.jpg,
podi,podi/dmdk_veerabithran.jpg,
podi,podi/bjp_venkatesan.jpg,
podi,podi/dmk_lakshmanan.jpg,
podi,podi/o_pannerselvam_podinayakanur_admk.jpg,
podi,podi/anbalagan_naamtamilar.jpg,
podi,podi/pmk_ramakrishnan.jpg,
nagai,nagai/pmk_balraj.jpg,
nagai,nagai/tamimun_ansari.jpg,
nagai,nagai/CPI.jpg,
nagai,nagai/mnmk_muhammad_jabarulla.jpg,
nagai,nagai/bjp_nethaji.jpg,
nagai,nagai/naam_tn_selvan.jpg,
jolarpet,jolarpet/then_mozhi.jpg,
jolarpet,jolarpet/pmk_ponnusamy.jpg,
jolarpet,jolarpet/bjp.jpg,
jolarpet,jolarpet/admk_veeramani.jpg,
jolarpet,jolarpet/dmdk_basah.jpg,
jolarpet,jolarpet/dmk.jpg,
vedasandhur,vedasandhur/ijk_sivaranjani.jpg,
vedasandhur,vedasandhur/DMDK_SRK_BABU.jpg,
vedasandhur,vedasandhur/admk_paramasivam.jpg,
vedasandhur,vedasandhur/naam_vetri.jpg,
vedasandhur,vedasandhur/cong_siva.jpg,
vedasandhur,vedasandhur/pmk_palanisamy.jpg,
rajapalayam,rajapalayam/BJP__Ramachanderaraja.jpg,
rajapalayam,rajapalayam/cpm_gurusamy.jpg,
rajapalayam,rajapalayam/namtamilar__.jpg,
rajapalayam,rajapalayam/aas_syam_rajapalayam_admk.jpg,
rajapalayam,rajapalayam/dmk__thangapandi.jpg,
rajapalayam,rajapalayam/pmk_lakashmanan.jpg,
vellore,vellore/naam.jpg,
vellore,vellore/dmk karthikayan.jpg,
vellore,vellore/bjp elangovan.jpg,
vellore,vellore/pmk lakshmi narayanan.jpg,
vellore,vellore/vc abdulrahman.jpg,
vellore,vellore/admk aarun razheed.jpg,
panrutti,panrutti/pmk.jpg,
panrutti,panrutti/bjp.jpg,
panrutti,panrutti/dmdk.jpg,
panrutti,panrutti/ntk.jpg,
panrutti,panrutti/admk.jpg,
panrutti,panrutti/dmk.jpg,
sivagangai,sivagangai/IJK Kulathaisamy_a.jpg,
sivagangai,sivagangai/Nam tamilar Kotaikumar.jpg,
sivagangai,sivagangai/ADMK Baskaran _a.jpg,
sivagangai,sivagangai/- makkal nala canditate- kunasekaran MLA (cpi)_a.jpg,
sivagangai,sivagangai/DMK Sathiyanathan_a.jpg,
sivagangai,sivagangai/PMK Rajasekar_a.jpg,
karikudi,karikudi/KARAIKUDI_BJB.jpg,
karikudi,karikudi/KARAIKUDI_NAM_TAMILAR_.jpg,
karikudi,karikudi/MDMK_-KARAIKUDI.jpg,
karikudi,karikudi/KARAIKUDI_-AIADMK.jpg,
karikudi,karikudi/pmk_karai.jpg,
karikudi,karikudi/KARAIKUDI_CONGRESS.jpg,
perambalur,perambalur/pmk.jpg,
perambalur,perambalur/bjp.jpg,
perambalur,perambalur/namthamilar.jpg,
perambalur,perambalur/sivagami.jpg,
perambalur,perambalur/dmdk.jpg,
perambalur,perambalur/admk.jpg,
kuruinchipadi,kuruinchipadi/pmk.jpg,
kuruinchipadi,kuruinchipadi/bjp.jpg,
kuruinchipadi,kuruinchipadi/dmdk.jpg,
kuruinchipadi,kuruinchipadi/ntk.jpg,
kuruinchipadi,kuruinchipadi/admk.jpg,
kuruinchipadi,kuruinchipadi/dmk.jpg,
dindugal,dindugal/balaji.jpg,
dindugal,dindugal/pmk_parasuram.jpg,
dindugal,dindugal/CPm.jpg,
dindugal,dindugal/baser_agamathu.jpg,
dindugal,dindugal/admk_seenivasan.jpg,
dindugal,dindugal/nam_tamilar.jpg,
vandhavasi,vandhavasi/naam neelakandan.jpg,
vandhavasi,vandhavasi/dmk amedkumar.jpg,
vandhavasi,vandhavasi/j sutha ijk.jpg,
vandhavasi,vandhavasi/pmk vadivelu.jpg,
vandhavasi,vandhavasi/admk v mohannathan.jpg,
vandhavasi,vandhavasi/vc metharamesh.jpg,
arakonam,arakonam/pmk arputham.jpg,
arakonam,arakonam/admk ravi.jpg,
arakonam,arakonam/vijayan bjp.jpg,
arakonam,arakonam/naam saravanan.jpg,
arakonam,arakonam/vck gopinath.jpg,
arakonam,arakonam/rajkumar dmk.jpg,
neyveli,neyveli/pmk.jpg,
neyveli,neyveli/ijk_(bjp).jpg,
neyveli,neyveli/cpi(m)_mnk.jpg,
neyveli,neyveli/ntk.jpg,
neyveli,neyveli/admk.jpg,
neyveli,neyveli/dmk.jpg,
manachanallur,manachanallur/pmk.jpg,
manachanallur,manachanallur/bjp.jpg,
manachanallur,manachanallur/dmdk.jpg,
manachanallur,manachanallur/nam_tamilar.jpg,
manachanallur,manachanallur/admk.jpg,
manachanallur,manachanallur/dmk.jpg,
thiruvidaimarudur,thiruvidaimarudur/naam_devi.jpg,
thiruvidaimarudur,thiruvidaimarudur/vc_vivekanathan.jpg,
thiruvidaimarudur,thiruvidaimarudur/u_setu_thiruvitaimaruthur_admk.jpg,
thiruvidaimarudur,thiruvidaimarudur/dmk_chezhian.jpg,
thiruvidaimarudur,thiruvidaimarudur/pmk_rs_mathiyan.jpg,
thiruvidaimarudur,thiruvidaimarudur/list_name.py,
thiruvidaimarudur,thiruvidaimarudur/bjp_s_vasudevan.jpg,
paramakudi,paramakudi/admk_paramakudi.jpg,
paramakudi,paramakudi/bjp_paramakudi.jpg,
paramakudi,paramakudi/pmk_paramakudi.jpg,
paramakudi,paramakudi/nam_paramakudi.jpg,
paramakudi,paramakudi/vc_pramakudi.jpg,
paramakudi,paramakudi/dmk_paramakudi.jpg,
cheyaru,cheyaru/naam rajesh.jpg,
cheyaru,cheyaru/pmk srinivasan.jpg,
cheyaru,cheyaru/dmk saravanan.jpg,
cheyaru,cheyaru/bjp baskaran.jpg,
cheyaru,cheyaru/congress vishnu prasad.jpg,
cheyaru,cheyaru/k mohan_seyyar_admk.jpg,
madurai east,madurai east/kalidas cpi.jpg,
madurai east,madurai east/naam sengakannan.jpg,
madurai east,madurai east/alaguraja pmk.jpg,
madurai east,madurai east/thaikkar p pandiyan_madurai kizhaku_admk.jpg,
madurai east,madurai east/murthy dmk.jpg,
madurai east,madurai east/maha suseenthram bjp.jpg,
