constituency,candidate,party,votes,rank
Jayankondam,"CHANDRAKASI, M",ADMK,79632,1
Sankari,SUNDARAM P.R,ADMK,97440,1
Paramathi-Velur,SUNDARAM P.R,ADMK,86757,1
Vridhachalam,ARUNMOZHITHEVAN.A,ADMK,83342,1
Thirumangalam,RADHAKRISHNAN T,ADMK,82891,1
Aravakurichi,"THAMBIDURAI,M.",ADMK,70012,1
Perambalur,"MARUTHARAJAA, R.P.",ADMK,93621,1
Manamadurai,SENTHILNATHAN PR,ADMK,82484,1
Thiruvidaimarudur,BHARATHI MOHAN R.K,ADMK,84754,1
Thuraiyur,"MARUTHARAJAA, R.P.",ADMK,75095,1
Pollachi,MAHENDRAN.C,ADMK,68380,1
Srivaikuntam,JEYASINGH THIYAGARAJ NATTERJEE.J,ADMK,60339,1
Tirukkoyilur,RAJENDRAN S,ADMK,75326,1
Anna Nagar,S.R. VIJAYAKUMAR,ADMK,74543,1
Poompuhar,BHARATHI MOHAN R.K,ADMK,95563,1
Maduranthakam,MARAGATHAM K,ADMK,79101,1
Yercaud,KAMARAJ. K,ADMK,100129,1
Srivilliputhur,VASANTHI.M,ADMK,77345,1
Periyakulam,"PARTHIPAN, R.",ADMK,85581,1
Natham,UDHAYA KUMAR .M,ADMK,95125,1
Palayamkottai,DEVADASA SUNDARAM,DMK,50040,1
Erode (East),SELVAKUMARA CHINNAYAN S,ADMK,59988,1
Thiruvarur,VIJAYAN. A.K.S,DMK,75985,1
Tiruchirappalli (West),KUMAR.P,ADMK,65379,1
Tiruchirappalli (East),KUMAR.P,ADMK,73438,1
Manapparai,"THAMBIDURAI,M.",ADMK,104235,1
Krishnarajapuram,"THAMBIDURAI,M.",ADMK,88252,1
Aranthangi,ANWAR RAAJHAA. A,ADMK,51408,1
Kavundampalayam,"NAGARAJAN, P.",ADMK,95394,1
Ulundurpet,RAJENDRAN S,ADMK,93416,1
Vilathikulam,JEYASINGH THIYAGARAJ NATTERJEE.J,ADMK,65903,1
Vellore,"SENGUTTUVAN, B.",ADMK,56931,1
Dharapuram,SELVAKUMARA CHINNAYAN S,ADMK,78183,1
Pattukkottai,PARASURAMAN.K,ADMK,76792,1
Peravurani,PARASURAMAN.K,ADMK,80198,1
Rajapalayam,VASANTHI.M,ADMK,70718,1
Thiru-Vi-Ka-Nagar,VENKATESH BABU .T.G,ADMK,57638,1
Udumalpet,MAHENDRAN.C,ADMK,73484,1
Srirangam,KUMAR.P,ADMK,103422,1
Gandharvakottai,KUMAR.P,ADMK,67826,1
Musiri,"MARUTHARAJAA, R.P.",ADMK,75308,1
Mailam,V.ELUMALAI,ADMK,73710,1
Veppanahalli,ASHOK KUMAR.K,ADMK,83112,1
Ramanathapuram,ANWAR RAAJHAA. A,ADMK,63268,1
Mettuppalayam,"GOPALAKRISHNAN, C.",ADMK,100332,1
Thiruporur,MARAGATHAM K,ADMK,79031,1
Kilvaithinankuppam,"SENGUTTUVAN, B.",ADMK,65138,1
Sivakasi,RADHAKRISHNAN T,ADMK,64840,1
Chengalpattu,MARAGATHAM K,ADMK,90460,1
Chidambaram,"CHANDRAKASI, M",ADMK,60042,1
Edappadi,PANNERSELVAM.V,ADMK,97855,1
Tiruttani,"HARI, G.",ADMK,100165,1
Thiruvallur,VENUGOPAL.P.(DR),ADMK,93878,1
Panruti,ARUNMOZHITHEVAN.A,ADMK,82418,1
Nannilam,GOPAL. DR. K,ADMK,98391,1
Uthangarai,ASHOK KUMAR.K,ADMK,72985,1
Coonoor,"GOPALAKRISHNAN, C.",ADMK,57882,1
Ambur,"SENGUTTUVAN, B.",ADMK,58103,1
Pallavaram,"RAMACHANDRAN, K.N. THIRU",ADMK,97338,1
Orathanadu,PARASURAMAN.K,ADMK,92334,1
Dindigul,UDHAYA KUMAR .M,ADMK,82270,1
Pappireddippatti,ANBUMANI RAMADOSS,PMK,90012,1
Nilakkottai,UDHAYA KUMAR .M,ADMK,86666,1
Nagercoil,RADHAKRISHNAN P.,BJP,71876,1
Mayuram,BHARATHI MOHAN R.K,ADMK,75859,1
Bargur,ASHOK KUMAR.K,ADMK,80493,1
Attur,KAMARAJ. K,ADMK,84127,1
Egmore,S.R. VIJAYAKUMAR,ADMK,47494,1
Bhavanisagar,"GOPALAKRISHNAN, C.",ADMK,97005,1
Tiruchendur,JEYASINGH THIYAGARAJ NATTERJEE.J,ADMK,57260,1
Thanjavur,PARASURAMAN.K,ADMK,77421,1
