YEAR,AC_NAME,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES,polled_votes,vote_percent
1994,CURTORIM,Goa,31,4,GEN,DIAS CONCEICAO SANTANO,M,,,IND,89,13630,0.65
1994,CURTORIM,Goa,31,5,GEN,AMONKAR VILAS CHANDRAKANT,M,,,MAG,84,13630,0.62
1994,CURTORIM,Goa,31,6,GEN,NARESH M. MIRAJKAR,M,,,IND,56,13630,0.41
1994,CURTORIM,Goa,31,7,GEN,NARENDRA LAXMIDAS THAKKAR,M,,,IND,29,13630,0.21
1994,NAVELIM,Goa,32,1,GEN,LUIZINHO FALEIRO,M,,,INC,8178,15733,51.98
1994,NAVELIM,Goa,32,2,GEN,PINTO NAZARIO JOSE,M,,,UGDP,5296,15733,33.66
1994,NAVELIM,Goa,32,3,GEN,BALU JOLAPURE,M,,,BJP,1107,15733,7.04
1994,NAVELIM,Goa,32,4,GEN,COUTINHO XAVIER PHILIP,M,,,IND,528,15733,3.36
1994,NAVELIM,Goa,32,5,GEN,SHAIKH GAWAS AHAMAD KASHINSAB,M,,,IND,220,15733,1.4
1994,NAVELIM,Goa,32,6,GEN,D'COSTA EMIDIO MANUEL,M,,,BSP,171,15733,1.09
1994,NAVELIM,Goa,32,7,GEN,DOSTA MINGUEL CAITANO,M,,,IND,88,15733,0.56
1994,NAVELIM,Goa,32,8,GEN,VASQUITO MARTINS,M,,,IND,69,15733,0.44
1994,NAVELIM,Goa,32,9,GEN,CHANDRAKANT APPAJI POL,M,,,IND,42,15733,0.27
1994,NAVELIM,Goa,32,10,GEN,FIGUEIREDO MENINO JOSEPH,M,,,IND,34,15733,0.22
1994,VELIM,Goa,33,1,GEN,FERNANDES MANU,M,,,IND,5409,11593,46.66
1994,VELIM,Goa,33,2,GEN,GRACIAS FARREL ELVIS,F,,,INC,2932,11593,25.29
1994,VELIM,Goa,33,3,GEN,RODRIGUES FILIP CRUZ,M,,,UGDP,2164,11593,18.67
1994,VELIM,Goa,33,4,GEN,CAIRO SAVIO LOURDES,M,,,IND,459,11593,3.96
1994,VELIM,Goa,33,5,GEN,LETAO CIRIO CAITANO,M,,,IND,230,11593,1.98
1994,VELIM,Goa,33,6,GEN,COUTINHO CIRIACO ANTONIO,M,,,JD,184,11593,1.59
1994,VELIM,Goa,33,7,GEN,MAXIMIANO G. FURTADO,M,,,MAG,171,11593,1.48
1994,VELIM,Goa,33,8,GEN,FURTADO ANTONIO DAMIAO,M,,,BSP,44,11593,0.38
1994,CUNCOLIM,Goa,34,1,GEN,D'SOUZA ARECIO AGAPITO,M,,,UGDP,5294,13332,39.71
1994,CUNCOLIM,Goa,34,2,GEN,SHANTARAM LAXMAN NAIK,M,,,INC,2909,13332,21.82
1994,CUNCOLIM,Goa,34,3,GEN,MASCARENHAS JOSEPH MIGUEL,M,,,IND,2362,13332,17.72
1994,CUNCOLIM,Goa,34,4,GEN,DESSAI SHABU BABANI,M,,,BJP,1620,13332,12.15
1994,CUNCOLIM,Goa,34,5,GEN,BILL CARDOZO,M,,,IND,911,13332,6.83
1994,CUNCOLIM,Goa,34,6,GEN,CAVARLHO SANTANO FRANCISCO,M,,,BSP,88,13332,0.66
1994,CUNCOLIM,Goa,34,7,GEN,DESAI UTTAM DATTARAM,M,,,IND,56,13332,0.42
1994,CUNCOLIM,Goa,34,7,GEN,DUAL DESSAI BHIKAN MOLU,M,,,IND,56,13332,0.42
1994,CUNCOLIM,Goa,34,9,GEN,ANTONIO FILOSIO GERMANO FERNANDES,M,,,IND,36,13332,0.27
1994,SANVORDEM,Goa,35,1,GEN,PRABHU VISHNU GOPAL,M,,,MAG,7256,15835,45.82
1994,SANVORDEM,Goa,35,2,GEN,MARATHE SADASHIV VAMAN,M,,,INC,5580,15835,35.24
1994,SANVORDEM,Goa,35,3,GEN,ULHAS BHIKAJI NAIK,M,,,CPM,1052,15835,6.64
1994,SANVORDEM,Goa,35,4,GEN,GHADI GOVIND HARICHANDRA,M,,,IND,938,15835,5.92
1994,SANVORDEM,Goa,35,5,GEN,TATE RAMAVITHAL,M,,,BSP,425,15835,2.68
1994,SANVORDEM,Goa,35,6,GEN,GAONKAR GANESH CHANDRU,M,,,IND,357,15835,2.25
1994,SANVORDEM,Goa,35,7,GEN,DESSAI SONBA RAGHOBA,M,,,IND,126,15835,0.8
1994,SANVORDEM,Goa,35,8,GEN,SHRIPAD YESHWANT GAONKAR,M,,,IND,101,15835,0.64
1994,SANGUEM,Goa,36,1,GEN,NAIK PANDU VASU,M,,,INC,5707,12689,44.98
1994,SANGUEM,Goa,36,2,GEN,PRABHU DESAI VIVEK KRISHNANATH,M,,,IND,3051,12689,24.04
1994,SANGUEM,Goa,36,3,GEN,NAIK TARI EKNATH BABLE,M,,,MAG,2969,12689,23.4
1994,SANGUEM,Goa,36,4,GEN,JOAQUIM V. LUIS D'COSTA,M,,,UGDP,851,12689,6.71
1994,SANGUEM,Goa,36,5,GEN,LAMBOR THAKO NAU,M,,,BSP,83,12689,0.65
1994,SANGUEM,Goa,36,6,GEN,CARDOZ JOSE LUIS,M,,,IND,28,12689,0.22
1994,CURCHOREM,Goa,37,1,GEN,DOMNIC FERNANDES,M,,,INC,7989,15880,50.31
1994,CURCHOREM,Goa,37,2,GEN,ADV. DESSAI NARAYAN MAHADEV,M,,,SHS,3163,15880,19.92
1994,CURCHOREM,Goa,37,3,GEN,DINIZ LUIS CONSTANCIO,M,,,UGDP,2664,15880,16.78
1994,CURCHOREM,Goa,37,4,GEN,NAIK ASHOK SHANKER,M,,,IND,1683,15880,10.6
1994,CURCHOREM,Goa,37,5,GEN,NAIK NEEL RAJARAM,M,,,IND,287,15880,1.81
1994,CURCHOREM,Goa,37,6,GEN,ADV. SHIRODKAR GURU INACIO,M,,,BSP,55,15880,0.35
1994,CURCHOREM,Goa,37,7,GEN,BANDODKAR RAMESH,M,,,IND,39,15880,0.25
1994,QUEPEM,Goa,38,1,GEN,PRAKASH SHANKAR VELIP,M,,,MAG,7579,16077,47.14
1994,QUEPEM,Goa,38,2,GEN,PEREIRA RAUL ROQUE,M,,,IND,4335,16077,26.96
1994,QUEPEM,Goa,38,3,GEN,VELIP KUSHALI KUSTH,M,,,INC,2077,16077,12.92
1994,QUEPEM,Goa,38,4,GEN,REBELLO REMET PAULO,M,,,UGDP,1746,16077,10.86
1994,QUEPEM,Goa,38,5,GEN,SHAIKH AZIM,M,,,IND,170,16077,1.06
1994,QUEPEM,Goa,38,5,GEN,NOMI GOVIND GAUNKAR,M,,,BSP,170,16077,1.06
1994,CANACONA,Goa,39,1,GEN,BANDEKAR SANJAY VIMAL,M,,,INC,6178,11749,52.58
1994,CANACONA,Goa,39,2,GEN,NAIK DESSAI CHANDRAKANT RAM ALIAS DR. SHABA NAIK,M,,,MAG,4881,11749,41.54
1994,CANACONA,Goa,39,3,GEN,VELIP GHURKO BHISSO,M,,,UGDP,460,11749,3.92
1994,CANACONA,Goa,39,4,GEN,FERNANDES INACINA,F,,,IND,134,11749,1.14
1994,CANACONA,Goa,39,5,GEN,KOMARPANT SOIRU MADHUKAR,M,,,BSP,96,11749,0.82
1994,POINGUINIM,Goa,40,1,GEN,ACHARYA GOVIND RAGHUCHANDRA,M,,,MAG,4516,10360,43.59
1994,POINGUINIM,Goa,40,2,GEN,GAONKAR VASU PAIK,M,,,INC,3400,10360,32.82
1994,POINGUINIM,Goa,40,3,GEN,ISIDOR DIOGO FERNANDES,M,,,IND,2316,10360,22.36
1994,POINGUINIM,Goa,40,4,GEN,PAGI CHANDRAKANT PUTU,M,,,BSP,128,10360,1.24
1999,MANDREM,Goa,1,1,GEN,KHALAP RAMAKANT DATTARAM,M,,,MAG,5401,13638,39.6
1999,MANDREM,Goa,1,2,GEN,PARAB SANGEETA GOPAL,F,,,INC,4219,13638,30.94
1999,MANDREM,Goa,1,3,GEN,PARSEKAR LAXIMIKANT YESHWANT,M,,,BJP,3017,13638,22.12
1999,MANDREM,Goa,1,4,GEN,VENGURLEKAR ANANT MAHADEV,M,,,IND,372,13638,2.73
1999,MANDREM,Goa,1,5,GEN,POKE YESHWANT LAXMAN,M,,,SHS,243,13638,1.78
1999,MANDREM,Goa,1,6,GEN,POKE GOVIND SADASHIV,M,,,IND,154,13638,1.13
1999,MANDREM,Goa,1,7,GEN,KASHALKAR VISHNU VITHAL,M,,,IND,133,13638,0.98
1999,MANDREM,Goa,1,8,GEN,GOVEKAR PRAKASH MAHADEV,M,,,GRCP,99,13638,0.73
1999,PERNEM,Goa,2,1,GEN,DESHPRABHU JITENDRA RAGHURAJ,M,,,INC,5129,12413,41.32
1999,PERNEM,Goa,2,2,GEN,KOTKAR PARSHURAM NAGESH,M,,,MAG,3963,12413,31.93
1999,PERNEM,Goa,2,3,GEN,PRABHU DESSAI UDAY DATTRAM,M,,,BJP,2762,12413,22.25
1999,PERNEM,Goa,2,4,GEN,POLJI CHANDRASHEKHAR PRABHAKAR,M,,,SHS,559,12413,4.5
1999,DARGALIM,Goa,3,1,SC,AZGAONKAR MONOHAR TRIMBAK,M,,,INC,4328,10084,42.92
