Thiruvaiyaru,72571,73186,77107,77322,84262,96617,96598,101974,101519,114898,173706,1069760,11
Avanashi,58735,58828,69907,61409,87187,104196,100149,116757,123579,134476,154654,1069877,11
Salem-I,80753,90847,90844,97010,105683,113343,110335,114875,110590,156561,,1070841,10
Bhavanisagar,52121,53971,71052,79858,88964,106088,101166,115646,113036,128086,163511,1073499,11
Papanasam,73047,77381,74553,71766,89198,93290,96987,103810,110844,123180,160162,1074218,11
Arcot,62393,67700,69203,73695,88568,95262,100896,107214,110974,123707,175610,1075222,11
Tiruttani,67237,70374,66547,72270,82548,84888,94046,107691,117063,122687,191237,1076588,11
Virudhunagar,66974,63060,74298,82454,94472,106584,94911,113773,115815,130333,134537,1077211,11
Vanur,59976,57047,62817,73512,90176,88784,106795,117386,122958,140884,158671,1079006,11
Aravakurichi,69096,56846,82467,87482,103887,114296,104232,107268,107301,100783,146509,1080167,11
Kadayanallur,72855,71728,75675,75380,92044,102230,98387,106563,105822,120446,162155,1083285,11
Palacodu,58310,61279,66797,74487,84117,95857,101609,114419,120685,150902,156258,1084720,11
Bodinayakkanur,69583,65091,70584,85275,88902,105871,100507,107079,106957,117347,167998,1085194,11
Krishnarajapuram,58381,65737,69235,78847,93650,107392,106094,114484,116247,126049,151699,1087815,11
Thirumaiyam,70889,72615,79825,86344,93695,106864,103295,113093,113248,117986,135429,1093283,11
Dharmapuri,68391,73592,63216,73671,85566,71889,105484,115730,120346,147708,168248,1093841,11
Hosur,40859,44287,53025,51913,72965,95364,99377,118830,130163,215406,172106,1094295,11
Andipatti,64442,57225,70649,74415,89781,105835,102897,113000,113080,134304,170652,1096280,11
Bhuvanagiri,68929,64585,76369,83931,92387,84795,103853,112920,110930,127834,170265,1096798,11
Harur,57318,60888,57770,69383,89763,89418,113790,126930,132781,155411,150272,1103724,11
Thiruverumbur,,,76713,90703,100130,125519,116460,125709,129508,189750,150543,1105035,9
Periyakulam,65671,66718,68720,81051,92044,103114,104915,114283,114463,137287,160242,1108508,11
Mettur,62801,56844,70436,83810,95699,90996,108245,115540,117169,138183,169607,1109330,11
Cuddalore,63705,66950,76269,82646,92663,99729,105873,119606,119862,140286,141930,1109519,11
Tirunelveli,67362,69698,68622,83394,94687,106862,100516,114165,104492,142908,157304,1110010,11
Kangayam,68119,63942,75223,81914,93887,108776,108849,112575,114962,123559,158338,1110144,11
Tuticorin,69044,68503,80565,94032,105442,124423,120361,148087,142582,157446,,1110485,10
Sankarapuram,51679,57016,68664,72831,89362,107129,105329,116754,126271,144844,170824,1110703,11
Oddamchatram,71680,69235,72804,77922,93200,107616,104070,113331,114010,118896,168785,1111549,11
Thanjavur,62269,68711,80092,80781,96314,112165,109736,120738,109460,123038,149130,1112434,11
Chengalpattu,69186,67558,67377,76245,90587,85167,106266,115493,120607,127475,186867,1112828,11
Vedaranyam,67016,65436,83613,85955,99390,100585,113679,115473,118353,132984,130708,1113192,11
Palani,72451,69764,68954,78830,94080,103520,103326,117924,114311,120386,169884,1113430,11
Madurai West,78899,85426,75103,95646,94167,102909,94060,98890,100840,131030,158950,1115920,11
Kallakurichi,69487,72887,68321,75055,84263,101354,103906,111956,117916,132298,178906,1116349,11
Arakkonam,72897,70294,73525,74355,100802,90869,110992,121374,121690,140646,141959,1119403,11
Alangulam,65377,71214,70987,76604,88294,109598,106288,115771,119509,135294,165134,1124070,11
Ramanathapuram,63150,62549,70524,81527,94047,106993,105098,116745,119150,144149,160703,1124635,11
Nannilam,56192,61835,80566,85013,96813,107813,106753,108798,113751,127511,180684,1125729,11
Katpadi,62109,64868,70389,68676,92988,99475,111652,123266,129746,151130,151498,1125797,11
Sankari,48804,45677,61530,80666,102256,103953,112901,117976,124639,144691,184859,1127952,11
Gingee,71086,66022,74644,83558,92647,90830,110903,120477,114094,129946,174449,1128656,11
Kumbakonam,73627,77265,81272,80453,90340,104961,103256,113224,118242,125038,161408,1129086,11
Tiruvadanai,71935,74401,88126,90601,99615,107314,104461,111436,111294,117605,156072,1132860,11
Vellore,67613,73735,87258,86803,100823,106539,104111,116193,115708,135359,140740,1134882,11
T-Nagar,65664,76775,75522,84164,99550,115667,105341,113853,119216,152632,129751,1138135,11
Cumbum,69465,70562,84109,96696,100118,113729,103596,107265,112001,117390,165321,1140252,11
Tenkasi,69318,70260,73194,73457,94312,109248,104893,115038,121473,139570,169910,1140673,11
Jayankondam,66100,72044,79412,87102,91310,73357,110557,122101,125359,135031,179981,1142354,11
Pattukkottai,64471,70794,86263,96249,98923,110852,109169,117423,116819,125918,146353,1143234,11
Perundurai,69955,68982,76607,80837,94549,113650,109961,121693,124623,137506,149561,1147924,11
Cheyyar,67570,71655,76930,78432,92282,99190,109021,116620,123026,135508,179221,1149455,11
Pollachi,63908,65567,77364,93334,103293,112070,114867,119324,123179,135722,141747,1150375,11
Kalasapakkam,63644,72853,75851,82443,93517,98533,113497,122092,130721,142192,155790,1151133,11
Panruti,71924,80940,73142,85891,96163,93166,106407,118663,122003,143148,161443,1152890,11
Rasipuram,73108,74827,77425,85463,98311,110592,105129,111500,117144,137750,162217,1153466,11
Mylapore,65768,76899,77167,83089,100374,118538,105954,118565,119385,147345,142882,1155966,11
Karaikudi,65230,66844,85557,89886,97504,111029,109483,122076,111753,131432,168797,1159591,11
Ulundurpet,56739,62534,71058,72385,88950,106718,110122,123463,133213,149061,191047,1165290,11
Sriperumbudur,76949,78818,67538,70553,86059,91210,104448,121900,141515,160042,172263,1171295,11
Thiruvarur,63506,64950,87031,90786,100500,109995,108665,115293,122652,135462,173159,1171999,11
Peravurani,78199,87832,84095,95643,94998,113093,114717,119484,117137,129781,140044,1175023,11
Srivilliputhur,68862,65558,81447,89536,102072,118063,113502,128393,120994,135549,153759,1177735,11
Arani,62621,62281,81799,84761,99678,106498,113405,122867,130201,141134,177723,1182968,11
Poonamallee,,,72774,77860,98506,121900,123225,142348,165860,203991,181531,1187995,9
Mannargudi,64836,67648,90515,91996,103147,113259,111232,120076,125256,137898,166186,1192049,11
Rajapalayam,73066,72990,74649,87003,100331,120575,108212,129427,129633,148122,148925,1192933,11
Kulithalai,72710,82343,80505,84072,97051,114429,115275,123046,125810,138070,159662,1192973,11
Namakkal,72671,73839,78720,82757,102155,118026,112669,123665,115601,143999,169649,1193751,11
Orathanadu,74371,79479,89768,93047,100955,114813,116099,119175,119676,128638,158681,1194702,11
Ariyalur,70751,75287,78989,87531,97353,108607,113474,116854,128384,132460,185749,1195439,11
Samayanallur,,,76448,94410,112731,140212,133126,169638,184277,286907,,1197749,8
Vridhachalam,77100,77645,76225,87510,93721,93044,115262,131213,137440,151731,158288,1199179,11
Villupuram,69985,69704,73980,88340,95152,95677,112866,128581,138453,154600,173050,1200388,11
Lalgudi,73776,73775,92415,99995,102500,118125,119798,122840,123719,132167,146201,1205311,11
Gummidipoondi,68262,74230,76456,85387,99384,98590,111484,124675,131019,156263,179616,1205366,11
Purasawalkam,71110,84063,91085,100724,119763,137613,127992,139022,143574,191680,,1206626,10
Ranipet,66488,67379,73377,82529,100844,92179,122356,140434,147686,168313,157749,1219334,11
Tiruvannamalai,77255,74956,84248,92609,97027,105394,113737,125822,134281,149893,171679,1226901,11
Mettuppalayam,65412,69566,80410,81860,103952,121209,119873,129404,142577,151546,171836,1237645,11
Musiri,63353,64641,88026,102868,110054,126174,112706,131898,137655,153726,150808,1241909,11
Athoor,74705,70675,69586,95171,106366,116289,118415,128403,130384,143432,189245,1242671,11
Udumalpet,68414,72293,83774,96619,105064,121842,124574,131906,138676,143593,156845,1243600,11
Palladam,68048,60583,82068,83337,94647,116038,114376,132825,147864,167080,176910,1243776,11
Vedasandur,62426,67821,72546,90985,109194,127615,124147,137863,133475,149370,168772,1244214,11
Edappadi,67528,65123,80558,97554,105871,92993,124281,131287,134243,169848,185494,1254780,11
Sattur,70536,58827,89659,99314,115117,125236,123261,136502,135045,149088,152462,1255047,11
Pudukkottai,73055,74095,85190,95877,102418,125661,123728,139794,143864,152502,139957,1256141,11
Modakkurichi,73992,77533,85083,95526,116060,131154,126904,117215,134487,146507,153092,1257553,11
Ponneri,66674,68136,74561,83033,104244,116616,119522,141856,149143,175229,162835,1261849,11
Dindigul,71918,69778,74387,100547,108039,123435,126250,143986,149877,152748,147805,1268770,11
Anna Nagar,,,85974,104731,121427,142965,131814,154842,160469,216659,151608,1270489,9
Aranthangi,80853,88377,94706,102604,111844,129746,130301,140242,127204,144402,128027,1278306,11
Perur,71130,68080,86429,98486,110774,136222,133240,158182,170464,246121,,1279128,10
Saidapet,87602,116290,74014,84261,107133,122784,110216,130871,129076,164295,154225,1280767,11
Perambur,74486,87056,79860,90258,100541,121939,116088,134760,132799,182379,162026,1282192,11
Veerapandi,64557,66479,71140,88061,96710,104369,117028,139054,146733,212846,179729,1286706,11
Alangudi,65132,79826,96652,107011,112667,128050,128837,138176,139735,152986,138203,1287275,11
Srirangam,68293,70615,83675,91921,104145,121783,116957,131623,137531,193841,178547,1298931,11
Sivakasi,68936,67074,78800,86561,107745,131503,127025,152781,155367,183001,147605,1306398,11
Kancheepuram,79715,83800,88312,95445,109137,112932,118566,139031,150953,172723,192235,1342849,11
Erode,76886,78167,88118,110104,134060,164552,152462,175129,182154,214918,,1376550,10
Karur,74648,81297,96428,106981,120258,141253,138114,147217,153697,170676,163031,1393600,11
Singanallur,69861,66598,92337,98582,110981,129195,122727,153574,166992,240267,158903,1410017,11
Alandur,,,82665,100332,124756,158532,151301,177478,198701,284403,168135,1446303,9
Tiruppur,70964,74281,94781,111215,126772,161247,159707,200542,212372,244194,,1456075,10
Thirupparankundram,76903,77591,81778,101180,109523,148417,139557,163580,169969,274014,162630,1505142,11
Tiruchengodu,65622,71610,96513,124904,140232,152797,153222,166010,181200,212068,149845,1514023,11
Perambalur,259120,262680,66165,69977,89264,100912,107803,117875,125499,133863,188725,1521883,11
Thondamuthur,71457,84873,95207,100495,117744,148168,149081,187656,191745,296863,160085,1603374,11
Thiruvottiyur,84001,95812,84567,102296,120141,148866,151797,180624,207167,341402,164716,1681389,11
Tambaram,,,91986,116326,145238,191400,193002,256370,322120,561888,178230,2056560,9
Villivakkam,,,90891,119548,169247,212886,212993,276880,341835,611084,130828,2166192,9
Tiruppattur,267692,288008,302718,319868,363258,423806,414628,455432,456582,510152,645778,4447922,11
