ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes
Pondicherry,1977,23,1,Karaikal,GEN,K. KANDHI,M,,,IND,3995
Pondicherry,1977,24,1,Karaikal South,GEN,S. RAMASSAMY,M,,,ADMK,3424
Pondicherry,1977,25,1,Neravy-Grand Aldee,GEN,V.M.C. VARADHAPILLAI,M,,,JNP,3314
Pondicherry,1977,26,1,Tirunallar,GEN,N.V. RAMALINGAM,M,,,DMK,2654
Pondicherry,1977,27,1,Neduncadu,SC,P. SELVARAJ,M,,,ADMK,2789
Pondicherry,1977,28,1,Mahe,GEN,RAGHAVAN K.V.,M,,,IND,2847
Pondicherry,1977,29,1,Palloor,GEN,CHANDRASEKRAN T.K.,M,,,IND,2853
Pondicherry,1977,30,1,Yanam,GEN,KAMICHETTY SRI PARASSOURAMA VARAPRASSADA RAO,M,,,JNP,2047
Pondicherry,1980,1,1,Muthialpet,GEN,G. PALANIRAJA,M,,,DMK,7396
Pondicherry,1980,2,1,Cassicade,GEN,V. KATHIRVELU,M,,,INC,3948
Pondicherry,1980,3,1,Raj Bhavan,GEN,L. JOSEPH MARIADASS,M,,,DMK,1880
Pondicherry,1980,4,1,Bussy,GEN,C. M. ACHRAFF,M,,,INC,2898
Pondicherry,1980,5,1,Oupalam,GEN,SITHA VEDANAYAGAM,M,,,DMK,5419
Pondicherry,1980,6,1,Orleampeth,GEN,NA. MANIMARAN ALIAS NA. MARIMUTHU,M,,,DMK,5721
Pondicherry,1980,7,1,Nellithope,GEN,P. RAMALINGAM,M,,,DMK,4019
Pondicherry,1980,8,1,Modeliarpeth,GEN,V. KOTHANDARAMAN ALIAS SABAPATHY,M,,,INC,5258
Pondicherry,1980,9,1,Ariankuppam,GEN,P. SUBBURAYAN,M,,,DMK,5900
Pondicherry,1980,10,1,Embalom,SC,G. MURUGESAN,M,,,INC,5033
Pondicherry,1980,11,1,Nettapakkam,GEN,R. SUBBARAYA GOUNDER,M,,,JNP,4201
Pondicherry,1980,12,1,Kuruvinatham,GEN,M. A. SHANMUGAM,M,,,DMK,3738
Pondicherry,1980,13,1,Bahour,SC,P. UTHIRAVELU,M,,,JNP,4154
Pondicherry,1980,14,1,Thirubuvanai,SC,P. CATTAVARAYANE,M,,,INC,6001
Pondicherry,1980,15,1,Mannadipeth,GEN,D. RAMACHANDRAN,M,,,DMK,5598
Pondicherry,1980,16,1,Ossudu,SC,P. MURTHY,M,,,DMK,5122
Pondicherry,1980,17,1,Villenour,GEN,M. VENUGOPAL,M,,,DMK,3810
Pondicherry,1980,18,1,Ozhukarai,GEN,G. PERUMAL RAJA,M,,,DMK,5493
Pondicherry,1980,19,1,Thattanchavady,GEN,V. PETHAPERUMAL,M,,,JNP,4824
Pondicherry,1980,20,1,Reddiarpalayam,GEN,RENUKA APPADURAI,F,,,INC,5409
Pondicherry,1980,21,1,Lawspet,GEN,M. O. H. FAROOK,M,,,INC,8980
Pondicherry,1980,22,1,Cotchery,GEN,G. PANJAVARNAM,M,,,DMK,4133
Pondicherry,1980,23,1,Karaikal,GEN,V. M. SALIH MARICAR,M,,,IND,4778
Pondicherry,1980,24,1,Karaikal South,GEN,S. SAVARIRAJAN,M,,,INC,4867
Pondicherry,1980,25,1,Neravy-Grand Aldee,GEN,V. M. C. SIVAKUMAR,M,,,DMK,5315
Pondicherry,1980,26,1,Tirunallar,GEN,N. V. RAMALINGAM,M,,,DMK,3573
Pondicherry,1980,27,1,Neduncadu,SC,M. CHANDIRAKASU,M,,,INC,4981
Pondicherry,1980,28,1,Mahe,GEN,K. V. RAGHAVAN,M,,,CPM,2638
Pondicherry,1980,29,1,Palloor,GEN,N. K. SACHINDRANATH,M,,,INC,2567
Pondicherry,1980,30,1,Yanam,GEN,KAMICHETTY SRI PARASSOURAMA VARAPRASSADA RAO,M,,,IND,2433
Pondicherry,1985,1,1,Muthialpet,GEN,G. PALANIRAJA,M,,,DMK,7820
Pondicherry,1985,2,1,Cassicade,GEN,P. KANNAN,M,,,INC,5273
Pondicherry,1985,3,1,Raj Bhavan,GEN,L. JOSEPH MARIADOSS,M,,,INC,2419
Pondicherry,1985,4,1,Bussy,GEN,C. M. ACHRAFF,M,,,INC,2213
Pondicherry,1985,5,1,Oupalam,GEN,P. K. LOGANATHAN,M,,,ADMK,3898
Pondicherry,1985,6,1,Orleampeth,GEN,M.A..S. SUBRAMANIAN,M,,,ADMK,6635
