ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,votes,party,color
Pondicherry,1974,21,1,Lawspet,GEN,"FAROOK, M. O. H.",M,,,3461,DMK,#800000
Pondicherry,1974,22,1,Cotchery,GEN,T. SUBBAIYA,M,,,3660,ADMK,#9DBC2A
Pondicherry,1974,23,1,Karaikal,GEN,K. KANDHI.,M,,,3964,ADMK,#9DBC2A
Pondicherry,1974,24,1,Karaikal South,GEN,S. RAMASAMY,M,,,3296,ADMK,#9DBC2A
Pondicherry,1974,25,1,Neravy Grand Aldee,GEN,V. M. C. VARADAPILLAI,M,,,5313,ADMK,#9DBC2A
Pondicherry,1974,26,1,Tirunallar,GEN,A. SOUNDARARENGAN,M,,,3742,DMK,#800000
Pondicherry,1974,27,1,Neduncadu,SC,R. COUPOUSAMY,M,,,2934,INC,#019733
Pondicherry,1974,28,1,Mahe,GEN,KUNNUMMAL RAGHAVAN,M,,,1816,CPM,#DE0000
Pondicherry,1974,29,1,Paloor,GEN,VANMERI NATAYI PURUSHOTHAMAN,M,,,1980,INC,#019733
Pondicherry,1974,30,1,Yanam,GEN,KAMICHETTY SRIPARASSOURAMA VARAPRASSADARAO,M,,,2284,IND,#888888
Pondicherry,1977,1,1,Muthialpet,GEN,G. PALANI RAJA,M,,,4170,ADMK,#9DBC2A
Pondicherry,1977,2,1,Cassicade,GEN,ANSARI DURAISAMY,M,,,3551,JNP,#9A9E56
Pondicherry,1977,3,1,Raj Bhavan,GEN,RAMAJAYAM D.,M,,,1411,JNP,#9A9E56
Pondicherry,1977,4,1,Bussy,GEN,SUSAIRAJ S.,M,,,1289,ADMK,#9DBC2A
Pondicherry,1977,5,1,Oupalam,GEN,C. N. PATHASARATHY,M,,,2551,ADMK,#9DBC2A
Pondicherry,1977,6,1,Orleampeth,GEN,N. MANIMARAM MARIMUTHU,M,,,3779,ADMK,#9DBC2A
Pondicherry,1977,7,1,Nellithope,GEN,R. KANNAN,M,,,2757,JNP,#9A9E56
Pondicherry,1977,8,1,Modeliarpeth,GEN,V. SABABADY KOTHANDRAMAN,M,,,3947,INC,#019733
