YEAR,AC_NAME,VOTES
1977,MUSIRI,88026
1977,MYLAPORE,77167
1977,NAGAPATTINAM,79488
1977,NAGERCOIL,73994
1977,NAMAKKAL,78720
1977,NANGUNERI,67359
1977,NANNILAM,80566
1977,NATHAM,64610
1977,NATRAMPALLI,69800
1977,NELLIKUPPAM,70464
1977,NILAKKOTTAI,55275
1977,ODDAMCHATRAM,72804
1977,OMALUR,61699
1977,ORATHANADU,89768
1977,OTTAPIDARAM,54517
1977,PADMANABHAPURAM,47914
1977,PALACODU,66797
1977,PALANI,68954
1977,PALAYAMKOTTAI,66087
1977,PALLADAM,82068
1977,PALLIPET,69830
1977,PANAMARATHUPATTI,61444
1977,PANRUTI,73142
1977,PAPANASAM,74553
1977,PARAMAKUDI,75194
1977,PARK TOWN,68426
1977,PATTUKKOTTAI,86263
1977,PENNAGARAM,54756
1977,PERAMBALUR,66165
1977,PERAMBUR,79860
1977,PERANAMALLUR,68840
1977,PERAVURANI,84095
1977,PERIYAKULAM,68720
1977,PERNAMBATTU,65939
1977,PERUNDURAI,76607
1977,PERUR,86429
1977,POLLACHI,77364
1977,POLUR,65135
1977,PONGALUR,62416
1977,PONNERI,74561
1977,POOMPUHAR,75880
1977,POONAMALLEE,72774
1977,PUDUKKOTTAI,85190
1977,PURASAWALKAM,91085
1977,RADHAPURAM,68265
1977,RAJAPALAYAM,74649
1977,RAMANATHAPURAM,70524
1977,RANIPET,73377
1977,RASIPURAM,77425
1977,RISHIVANDIYAM,66448
1977,ROYAPURAM,72194
1977,SAIDAPET,74014
1977,SALEM-I,90844
1977,SALEM-II,72063
1977,SAMAYANALLUR,76448
1977,SANKARANKOVIL,62965
1977,SANKARAPURAM,68664
1977,SANKARI,61530
1977,SATHYAMANGALAM,59040
1977,SATTANGULAM,67101
1977,SATTUR,89659
1977,SEDAPATTI,64429
1977,SENTHAMANGALAM,63712
1977,SHOLAVANDAN,74879
1977,SHOLINGUR,67995
1977,SINGANALLUR,92337
1977,SIRKAZHI,79034
1977,SIVAGANGA,76805
1977,SIVAKASI,78800
1977,SRIPERUMBUDUR,67538
1977,SRIRANGAM,83675
1977,SRIVAIKUNTAM,65390
1977,SRIVILLIPUTHUR,81447
1977,T-NAGAR,75522
1977,TALAVASAL,67933
1977,TAMBARAM,91986
1977,TARAMANGALAM,69041
1977,TENKASI,73194
1977,THALLI,60789
1977,THANDARAMBATTU,75263
1977,THANJAVUR,80092
1977,THENI,76906
1977,THIRUCHIRAPPALLI-I,65805
1977,THIRUCHIRAPPALLI-II,69850
1977,THIRUMAIYAM,79825
1977,THIRUMANGALAM,66582
1977,THIRUNAVALUR,68897
1977,THIRUPPARANKUNDRAM,81778
1977,THIRUTHURAIPUNDI,94079
1977,THIRUVAIYARU,77107
1977,THIRUVALLUR,67589
1977,THIRUVARUR,87031
1977,THIRUVATTAR,56964
1977,THIRUVERUMBUR,76713
1977,THIRUVIDAIMARUDUR,80712
1977,THIRUVONAM,81826
1977,THIRUVOTTIYUR,84567
1977,THONDAMUTHUR,95207
1977,THOTTIYAM,80508
1977,THOUSAND LIGHTS,71635
1977,TINDIVANAM,64261
1977,TIRUCHENDUR,71642
1977,TIRUCHENGODU,96513
1977,TIRUNELVELI,68622
1977,TIRUPPATTUR,151359
1977,TIRUPPORUR,55682
1977,TIRUPPUR,94781
1977,TIRUTTANI,66547
1977,TIRUVADANAI,88126
1977,TIRUVANNAMALAI,84248
1977,TRIPLICANE,65856
1977,TUTICORIN,80565
1977,UDHAGAMANDALAM,62652
1977,UDUMALPET,83774
1977,ULUNDURPET,71058
1977,UPPILIAPURAM,85324
1977,USILAMPATTI,57084
1977,UTHIRAMERUR,77457
1977,VALANGIMAN,67404
1977,VALPARAI,61215
1977,VANDAVASI,68862
1977,VANIYAMBADI,62108
1977,VANUR,62817
1977,VARAHUR,68757
1977,VASUDEVANALLUR,60418
1977,VEDARANYAM,83613
1977,VEDASANDUR,72546
1977,VEERAPANDI,71140
1977,VELLAKOIL,82248
1977,VELLORE,87258
1977,VILATHIKULAM,66125
1977,VILAVANCODE,66787
1977,VILLIVAKKAM,90891
1977,VILLUPURAM,73980
1977,VIRUDHUNAGAR,74298
1977,VRIDHACHALAM,76225
1977,YERCAUD,47810
1980,ACHARAPAKKAM,70347
1980,ALANDUR,100332
1980,ALANGUDI,107011
1980,ALANGULAM,76604
1980,AMBASAMUDRAM,65966
1980,ANAICUT,66034
1980,ANDHIYUR,60462
1980,ANDIMADAM,71532
1980,ANDIPATTI,74415
1980,ANNA NAGAR,104731
1980,ARAKKONAM,74355
1980,ARANI,84761
1980,ARANTHANGI,102604
1980,ARAVAKURICHI,87482
1980,ARCOT,73695
1980,ARIYALUR,87531
1980,ARUPPUKKOTTAI,79347
1980,ATHOOR,95171
1980,ATTUR,71886
1980,AVANASHI,61409
1980,BARGUR,69665
1980,BHAVANI,72517
1980,BHAVANISAGAR,79858
1980,BHUVANAGIRI,83931
1980,BODINAYAKKANUR,85275
1980,CHENGALPATTU,76245
1980,CHENGAM,55816
1980,CHEPAUK,58639
1980,CHERANMAHADEVI,74274
1980,CHEYYAR,78432
1980,CHIDAMBARAM,80699
1980,COIMBATORE NORTH,78959
1980,COIMBATORE SOUTH,74172
1980,COONOOR,60555
1980,CUDDALORE,82646
1980,CUMBUM,96696
1980,DHARAPURAM,77285
1980,DHARMAPURI,73671
1980,DINDIGUL,100547
1980,DR. RADHAKRISHNAN NAGAR,90648
1980,EDAPPADI,97554
1980,EGMORE,62427
1980,ERODE,110104
1980,GINGEE,83558
1980,GOBICHETTIPALAYAM,75278
1980,GUDALUR,62990
1980,GUDIYATTAM,70365
1980,GUMMIDIPOONDI,85387
1980,HARBOUR,60430
1980,HARUR,69383
1980,HOSUR,51913
1980,ILAYANGUDI,74048
1980,JAYANKONDAM,87102
1980,KADALADI,78284
1980,KADAYANALLUR,75380
1980,KALASAPAKKAM,82443
1980,KALLAKURICHI,75055
1980,KANCHEEPURAM,95445
1980,KANDAMANGALAM,69450
1980,KANGAYAM,81914
1980,KANNIYAKUMARI,74851
1980,KAPILAMALAI,86948
1980,KARAIKUDI,89886
1980,KARUR,106981
1980,KATPADI,68676
1980,KATTUMANNARKOIL,74022
1980,KAVERIPATTINAM,69296
1980,KILLIYOOR,58073
1980,KINATHUKKADAVU,79915
1980,KOLATHUR,88754
1980,KOLLACHAL,64076
1980,KOVILPATTI,76777
1980,KRISHNAGIRI,56327
1980,KRISHNARAJAPURAM,78847
1980,KULITHALAI,84072
1980,KUMBAKONAM,80453
1980,KURINJIPADI,77231
1980,KUTTALAM,82892
1980,LALGUDI,99995
1980,MADURAI CENTRAL,78617
1980,MADURAI EAST,74701
1980,MADURAI WEST,95646
1980,MADURANTHAKAM,82549
1980,MANAMADURAI,76077
1980,MANGALUR,83178
1980,MANNARGUDI,91996
1980,MARUNGAPURI,76282
1980,MAYURAM,77045
1980,MELMALAYANUR,81027
1980,MELUR,98912
1980,METTUPPALAYAM,81860
1980,METTUR,83810
1980,MODAKKURICHI,95526
1980,MORAPPUR,75370
1980,MUDHUKULATHUR,83043
1980,MUGAIYUR,74269
1980,MUSIRI,102868
1980,MYLAPORE,83089
1980,NAGAPATTINAM,85843
1980,NAGERCOIL,71824
1980,NAMAKKAL,82757
1980,NANGUNERI,70383
1980,NANNILAM,85013
1980,NATHAM,70261
1980,NATRAMPALLI,85881
1980,NELLIKUPPAM,73455
1980,NILAKKOTTAI,79372
1980,ODDAMCHATRAM,77922
1980,OMALUR,72846
1980,ORATHANADU,93047
1980,OTTAPIDARAM,63464
1980,PADMANABHAPURAM,53017
