constituency,name,party,margin,state,votes,Year,rank
Barbigha,SUDARSHAN KUMAR,Indian National Congress,15717,Bihar,46406,2015,1
Barh,GYANENDRA KUMAR SINGH,Bharatiya Janata Party,8359,Bihar,63989,2015,1
Barhara,SAROJ YADAV,Rashtriya Janata Dal,13308,Bihar,65001,2015,1
Barharia,SHYAM BAHADUR SINGH,Janata Dal (United),14583,Bihar,65168,2015,1
Baruraj,NAND KUMAR RAI,Rashtriya Janata Dal,4909,Bihar,68011,2015,1
Bathnaha (SC),DINKAR RAM,Bharatiya Janata Party,20166,Bihar,74763,2015,1
Begusarai,AMITA BHUSHAN,Indian National Congress,16531,Bihar,83521,2015,1
Belaganj,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,30341,Bihar,71067,2015,1
Beldaur,PANNA LAL SINGH PATEL,Janata Dal (United),13525,Bihar,63216,2015,1
Belhar,GIRIDHARI YADAV,Janata Dal (United),16191,Bihar,70348,2015,1
Belsand,SUNITA SINGH CHAUHAN,Janata Dal (United),5575,Bihar,33785,2015,1
Benipatti,BHAWANA JHA,Indian National Congress,4734,Bihar,55978,2015,1
Benipur,SUNIL CHOUDHARY,Janata Dal (United),26443,Bihar,69511,2015,1
Bettiah,MADAN MOHAN TIWARI,Indian National Congress,2320,Bihar,66786,2015,1
Bhabua,ANAND BHUSHAN PANDEY,Bharatiya Janata Party,7744,Bihar,50768,2015,1
Bhagalpur,AJEET SHARMA,Indian National Congress,10658,Bihar,70514,2015,1
Bhorey (SC),ANIL KUMAR,Indian National Congress,14871,Bihar,74365,2015,1
Bibhutipur,RAM BALAK SINGH,Janata Dal (United),17235,Bihar,57882,2015,1
Bihariganj,NIRANJAN KUMAR MEHTA,Janata Dal (United),29253,Bihar,78361,2015,1
Biharsharif,DR.SUNIL KUMAR,Bharatiya Janata Party,2340,Bihar,76201,2015,1
Bihpur,VARSHA RANI,Rashtriya Janata Dal,12716,Bihar,68963,2015,1
Bikram,SIDDHARTH,Indian National Congress,44311,Bihar,94088,2015,1
Bisfi,FAIYAZ AHMAD,Rashtriya Janata Dal,35325,Bihar,70975,2015,1
Bochaha (SC),BEBY KUMARI,Independent,24130,Bihar,67720,2015,1
Bodh Gaya (SC),KUMAR SARVJEET,Rashtriya Janata Dal,30473,Bihar,82656,2015,1
Brahampur,SHAMBHU NATH YADAV,Rashtriya Janata Dal,30776,Bihar,94079,2015,1
Buxar,SANJAY KUMAR TIWARI ALIAS MUNNA TIWARI,Indian National Congress,10181,Bihar,66527,2015,1
Chainpur,BRIJ KISHOR BIND,Bharatiya Janata Party,671,Bihar,58913,2015,1
Chakai,SAVITRI DEVI,Rashtriya Janata Dal,12113,Bihar,47064,2015,1
Chanpatia,PRAKASH RAI,Bharatiya Janata Party,464,Bihar,61304,2015,1
Chapra,DR. C.N. GUPTA,Bharatiya Janata Party,11379,Bihar,71646,2015,1
Chenari (SC),LALAN PASWAN,Rashtriya Lok Samta Party,9781,Bihar,68148,2015,1
Cheria Bariarpur,KUMARI MANJU VERMA,Janata Dal (United),29736,Bihar,69795,2015,1
Chhatapur,NIRAJ KUMAR SINGH,Bharatiya Janata Party,9292,Bihar,75697,2015,1
Chiraia,LAL BABU PRASAD GUPTA,Bharatiya Janata Party,4374,Bihar,62831,2015,1
Danapur,ASHA DEVI,Bharatiya Janata Party,5209,Bihar,72192,2015,1
Darauli (SC),SATYADEO RAM,Communist Party of India (Marxist-Leninist) (Liberation),9584,Bihar,49576,2015,1
Daraundha,KAVITA SINGH,Janata Dal (United),13222,Bihar,66255,2015,1
Darbhanga,SANJAY SARAOGI,Bharatiya Janata Party,7460,Bihar,77776,2015,1
