YEAR,AC_NAME,VOTES
1996,NEDUNCADU,12559.0
1996,NELLITHOPE,16828.0
1996,NERAVY-GRAND ALDEE,14212.0
1996,NETTAPAKKAM,13785.0
1996,ORLEAMPETH,16488.0
1996,OSSUDU,13722.0
1996,OUPALAM,13519.0
1996,OZHUKARAI,18965.0
1996,PALLOOR,9367.0
1996,RAJ BHAVAN,4607.0
1996,REDDIARPALAYAM,26235.0
1996,THATTANCHAVADY,23255.0
1996,THIRUBUVANAI,15391.0
1996,TIRUNALLAR,12493.0
1996,VILLENOUR,18906.0
1996,YANAM,13554.0
2001,ARIANKUPPAM,21645.0
2001,BAHOUR,15735.0
2001,BUSSY,4841.0
2001,CASSICADE,9462.0
2001,COTCHERY,16225.0
2001,EMBALOM,14633.0
2001,KARAIKAL,13370.0
2001,KARAIKAL SOUTH,11943.0
2001,KURUVINATHAM,15815.0
2001,LAWSPET,33573.0
2001,MAHE,9464.0
2001,MANNADIPETH,16168.0
2001,MODELIARPETH,22254.0
2001,MUTHIALPET,18033.0
2001,NEDUNCADU,12612.0
2001,NELLITHOPE,15130.0
2001,NERAVY-GRAND ALDEE,14209.0
2001,NETTAPAKKAM,15161.0
2001,ORLEAMPETH,15399.0
2001,OSSUDU,15481.0
2001,OUPALAM,14207.0
2001,OZHUKARAI,22343.0
2001,PALLOOR,9861.0
2001,RAJ BHAVAN,4167.0
2001,REDDIARPALAYAM,25522.0
2001,THATTANCHAVADY,24319.0
2001,THIRUBUVANAI,16617.0
2001,TIRUNALLAR,12832.0
2001,VILLENOUR,20462.0
2001,YANAM,15624.0
2006,ARIANKUPPAM,25867.0
2006,BAHOUR,18573.0
2006,BUSSY,4477.0
2006,CASSICADE,10076.0
2006,COTCHERY,20133.0
2006,EMBALOM,17765.0
2006,KARAIKAL,12703.0
2006,KARAIKAL SOUTH,14475.0
2006,KURUVINATHAM,17428.0
2006,LAWSPET,41668.0
2006,MAHE,10127.0
2006,MANNADIPETH,19308.0
2006,MODELIARPETH,28942.0
2006,MUTHIALPET,19916.0
2006,NEDUNCADU,14133.0
2006,NELLITHOPE,19215.0
2006,NERAVY-GRAND ALDEE,15748.0
2006,NETTAPAKKAM,17545.0
2006,ORLEAMPETH,16154.0
2006,OSSUDU,18555.0
2006,OUPALAM,15843.0
2006,OZHUKARAI,29233.0
2006,PALLOOR,11217.0
2006,RAJ BHAVAN,3920.0
2006,REDDIARPALAYAM,34330.0
2006,THATTANCHAVADY,29949.0
2006,THIRUBUVANAI,21105.0
2006,TIRUNALLAR,14565.0
2006,VILLENOUR,24202.0
2006,YANAM,18117.0
2011,ARIANKUPPAM,27239.0
2011,BAHOUR,22994.0
2011,EMBALAM,24893.0
2011,INDIRA NAGAR,24693.0
2011,KADIRGAMAM,23313.0
2011,KALAPET,22637.0
2011,KAMARAJ NAGAR,21303.0
2011,KARAIKAL NORTH,21827.0
2011,KARAIKAL SOUTH,21278.0
2011,LAWSPET,19673.0
2011,MAHE,21974.0
2011,MANAVELY,24110.0
2011,MANGALAM,26718.0
2011,MANNADIPET,25045.0
2011,MUDALIARPET,25340.0
2011,MUTHIALPET,21671.0
2011,NEDUNGADU,22658.0
2011,NELLITHOPE,22734.0
2011,NERAVY T.R. PATTINAM,22542.0
2011,NETTAPAKKAM,24560.0
2011,ORLEAMPETH,19880.0
2011,OUPALAM,22388.0
2011,OUSSUDU,22672.0
2011,OZHUKARAI,24017.0
2011,RAJ BHAVAN,19133.0
2011,THATTANCHAVADY,21470.0
2011,THIRUBHUVANAI,23269.0
2011,THIRUNALLAR,23050.0
2011,VILLIANUR,25188.0
2011,YANAM,29631.0
