year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes,color,polled_votes
2006,Mylapore,Tamil Nadu,13,1,GEN,"Shekher, S.Ve.",M,55,GEN,ADMK,62794,#9DBC2A,147345
2006,Saidapet,Tamil Nadu,14,1,GEN,"Senthamizhan, G.",M,43,GEN,ADMK,75973,#9DBC2A,164295
2006,Gummidipoondi,Tamil Nadu,15,1,GEN,Vijayakumar.K.S,M,35,GEN,ADMK,63147,#9DBC2A,156263
2006,Ponneri,Tamil Nadu,16,1,SC,Balaramanan.P,M,45,SC,ADMK,84259,#9DBC2A,175229
2006,Thiruvottiyur,Tamil Nadu,17,1,GEN,Samy. K.P.P,M,48,GEN,DMK,158204,#800000,341402
2006,Villivakkam,Tamil Nadu,18,1,GEN,Ranganathan. B,M,54,GEN,DMK,278850,#800000,611084
2006,Alandur,Tamil Nadu,19,1,GEN,"Anbarasan, T. M",M,46,GEN,DMK,133232,#800000,284403
2006,Tambaram,Tamil Nadu,20,1,GEN,"Raja, S.R",M,50,GEN,DMK,269717,#800000,561888
2006,Tirupporur,Tamil Nadu,21,1,SC,"Moorthy, D",M,40,SC,PMK,73328,#F0CC52,162708
2006,Chengalpattu,Tamil Nadu,22,1,GEN,"Arumugam, K",M,48,GEN,PMK,61664,#F0CC52,127475
2006,Maduranthakam,Tamil Nadu,23,1,GEN,"Ghayathri Devi, K",F,35,GEN,INC,51106,#019733,117418
2006,Acharapakkam,Tamil Nadu,24,1,SC,Sankara Valli @,F,64,SC,DMK,55116,#800000,109003
2006,Uthiramerur,Tamil Nadu,25,1,GEN,"Sundar,K",M,52,GEN,DMK,70488,#800000,144596
2006,Kancheepuram,Tamil Nadu,26,1,GEN,"Kamalambal, P",F,67,GEN,PMK,81366,#F0CC52,172723
2006,Sriperumbudur,Tamil Nadu,27,1,SC,"Yasodha, D",F,62,SC,INC,70066,#019733,160042
2006,Poonamallee,Tamil Nadu,28,1,GEN,Sudarsanam.D,M,63,GEN,INC,98920,#019733,203991
2006,Thiruvallur,Tamil Nadu,29,1,GEN,Shivaji. E.A.P,M,60,GEN,DMK,64378,#800000,133732
2006,Tiruttani,Tamil Nadu,30,1,GEN,Hari.G,M,46,GEN,ADMK,52871,#9DBC2A,122687
2006,Pallipet,Tamil Nadu,31,1,GEN,Raman. E.S.S,M,51,GEN,INC,58534,#019733,126680
2006,Arakkonam,Tamil Nadu,32,1,SC,Jaganmoorthy.M,M,38,SC,DMK,66338,#800000,140646
2006,Sholingur,Tamil Nadu,33,1,GEN,"Arul Anbarasu,D",M,33,GEN,INC,63502,#019733,138112
2006,Ranipet,Tamil Nadu,34,1,GEN,"Gandhi,R",M,61,GEN,DMK,92584,#800000,168313
2006,Arcot,Tamil Nadu,35,1,GEN,Elavazhagan.K.L,M,45,GEN,PMK,60286,#F0CC52,123707
2006,Katpadi,Tamil Nadu,36,1,GEN,Duraimurugan,M,66,GEN,DMK,86824,#800000,151130
2006,Gudiyattam,Tamil Nadu,37,1,GEN,Latha.G,F,42,GEN,CPI(M),48166,#DE0000,121338
2006,Pernambattu,Tamil Nadu,38,1,SC,Chinnasamy.A,M,53,SC,DMK,65805,#800000,131491
2006,Vaniyambadi,Tamil Nadu,39,1,GEN,Abdul Basith.H,M,40,GEN,DMK,69837,#800000,131360
2006,Natrampalli,Tamil Nadu,40,1,GEN,Sooriyakumar.N.K.R,M,46,GEN,DMK,78689,#800000,154916
2006,Tiruppattur,Tamil Nadu,41,1,GEN,Raja.T.K,M,41,GEN,PMK,71932,#F0CC52,255076
2006,Chengam,Tamil Nadu,42,1,SC,Polur Varadhan M,M,54,SC,INC,53366,#019733,124842
2006,Thandarambattu,Tamil Nadu,43,1,GEN,Velu E.V,M,61,GEN,DMK,81592,#800000,143976
2006,Tiruvannamalai,Tamil Nadu,44,1,GEN,Pitchandi K,M,51,GEN,DMK,74773,#800000,149893
2006,Kalasapakkam,Tamil Nadu,45,1,GEN,Krishnamurthy-Agri S.S,M,46,GEN,ADMK,68586,#9DBC2A,142192
2006,Polur,Tamil Nadu,46,1,GEN,Vijayakumar P.S,M,51,GEN,INC,58595,#019733,124456
2006,Anaicut,Tamil Nadu,47,1,GEN,Pandurangan. K,M,51,GEN,ADMK,59220,#9DBC2A,131556
2006,Vellore,Tamil Nadu,48,1,GEN,Gnanasekaran.C,M,56,GEN,INC,63957,#019733,135359
2006,Arani,Tamil Nadu,49,1,GEN,Sivanandam. R,M,57,GEN,DMK,69722,#800000,141134
2006,Cheyyar,Tamil Nadu,50,1,GEN,Vishnuprasad M K,M,34,GEN,INC,60109,#019733,135508
2006,Vandavasi,Tamil Nadu,51,1,SC,Jayaraman S P,M,54,SC,DMK,65762,#800000,123414
2006,Peranamallur,Tamil Nadu,52,1,GEN,Edirolimanian G,M,43,GEN,PMK,56331,#F0CC52,121231
2006,Melmalayanur,Tamil Nadu,53,1,GEN,Senthamizhselvan.P,M,41,GEN,PMK,56758,#F0CC52,123907
2006,Gingee,Tamil Nadu,54,1,GEN,Kannan.V,M,51,GEN,DMK,62350,#800000,129946
2006,Tindivanam,Tamil Nadu,55,1,GEN,Shanmugam. C.Ve.,M,41,GEN,ADMK,55856,#9DBC2A,118735
2006,Vanur,Tamil Nadu,56,1,SC,Ganapathy.N.,M,42,SC,ADMK,59978,#9DBC2A,140884
2006,Kandamangalam,Tamil Nadu,57,1,SC,Pushparaj. S,M,35,SC,DMK,64620,#800000,139441
2006,Villupuram,Tamil Nadu,58,1,GEN,Ponmudy.K,M,55,GEN,DMK,72462,#800000,154600
2006,Mugaiyur,Tamil Nadu,59,1,GEN,Kaliyavarathan.V.A.T,M,44,GEN,PMK,46313,#F0CC52,128303
2006,Thirunavalur,Tamil Nadu,60,1,GEN,Kumaraguru. R,M,45,GEN,ADMK,57235,#9DBC2A,125832
2006,Ulundurpet,Tamil Nadu,61,1,SC,Thirunavukarasu.K,M,45,SC,DMK,65662,#800000,149061
2006,Nellikuppam,Tamil Nadu,62,1,GEN,Rajendran.Saba.,M,44,GEN,DMK,57403,#800000,124365
2006,Cuddalore,Tamil Nadu,63,1,GEN,Iyappan.G.,M,49,GEN,DMK,67003,#800000,140286
2006,Panruti,Tamil Nadu,64,1,GEN,Velmurugan.T.,M,37,GEN,PMK,54653,#F0CC52,143148
2006,Kurinjipadi,Tamil Nadu,65,1,GEN,Panneerselvam.M.R.K.,M,48,GEN,DMK,56462,#800000,123708
2006,Bhuvanagiri,Tamil Nadu,66,1,GEN,Selvi Ramajayam,F,39,GEN,ADMK,65505,#9DBC2A,127834
2006,Kattumannarkoil,Tamil Nadu,67,1,SC,Ravikumar.D.,M,45,SC,VCK,57244,#222,111245
2006,Chidambaram,Tamil Nadu,68,1,GEN,Arunmozhidevan.A.,M,37,GEN,ADMK,56327,#9DBC2A,111066
2006,Vridhachalam,Tamil Nadu,69,1,GEN,Vijayakanth.A.,M,55,GEN,DMDK,61337,#FCEB00,151731
2006,Mangalur,Tamil Nadu,70,1,SC,Selvam.K,M,45,SC,VCK,62217,#222,142349
2006,Rishivandiyam,Tamil Nadu,71,1,GEN,Sivaraj. S,M,51,GEN,INC,54793,#019733,128194
2006,Kallakurichi,Tamil Nadu,72,1,GEN,Udhayasooriyan. T,M,42,GEN,DMK,64036,#800000,132298
2006,Sankarapuram,Tamil Nadu,73,1,GEN,Angaiyarkanni. A (Selvi),F,28,GEN,DMK,62970,#800000,144844
2006,Hosur,Tamil Nadu,74,1,GEN,Gopinath.K,M,42,GEN,INC,90647,#019733,215406
2006,Thalli,Tamil Nadu,75,1,GEN,Ramachandran T,M,38,GEN,IND,30032,#888888,123888
2006,Kaveripattinam,Tamil Nadu,76,1,GEN,Meganathan T A,M,46,GEN,PMK,64878,#F0CC52,141173
2006,Krishnagiri,Tamil Nadu,77,1,GEN,Senguttuvan T,M,53,GEN,DMK,69068,#800000,140271
2006,Bargur,Tamil Nadu,78,1,GEN,Thambidurai M,M,59,GEN,ADMK,61299,#9DBC2A,143663
2006,Harur,Tamil Nadu,79,1,SC,Dillibabu.P,M,41,SC,CPI(M),71030,#DE0000,155411
2006,Morappur,Tamil Nadu,80,1,GEN,Mullaivendhan.V,M,60,GEN,DMK,64962,#800000,126784
2006,Palacodu,Tamil Nadu,81,1,GEN,Anbalagan K.P,M,48,GEN,ADMK,66711,#9DBC2A,150902
2006,Dharmapuri,Tamil Nadu,82,1,GEN,Velusamy. L,M,40,GEN,PMK,76195,#F0CC52,147708
2006,Pennagaram,Tamil Nadu,83,1,GEN,Periannan.P.N,M,50,GEN,DMK,74109,#800000,149932
2006,Mettur,Tamil Nadu,84,1,GEN,Mani G K,M,55,GEN,PMK,66250,#F0CC52,138183
2006,Taramangalam,Tamil Nadu,85,1,GEN,Kannan P,M,44,GEN,PMK,49045,#F0CC52,141757
2006,Omalur,Tamil Nadu,86,1,GEN,Tamizharasu.A,M,44,GEN,PMK,58287,#F0CC52,134357
2006,Yercaud,Tamil Nadu,87,1,ST,Tamilselvan C,M,35,ST,DMK,48791,#800000,113626
2006,Salem-I,Tamil Nadu,88,1,GEN,Ravichandran. L.,M,41,GEN,ADMK,69083,#9DBC2A,156561
2006,Salem-Ii,Tamil Nadu,89,1,GEN,Arumugam S,M,66,GEN,DMK,85348,#800000,180545
2006,Veerapandi,Tamil Nadu,90,1,GEN,Rajendran A,M,41,GEN,DMK,90477,#800000,212846
2006,Panamarathupatti,Tamil Nadu,91,1,GEN,Rajendran R,M,47,GEN,DMK,73210,#800000,164238
2006,Attur,Tamil Nadu,92,1,GEN,Sundaram M R,M,50,GEN,INC,53617,#019733,118370
2006,Talavasal,Tamil Nadu,93,1,SC,Chinnadurai K,M,33,SC,DMK,60287,#800000,131943
2006,Rasipuram,Tamil Nadu,94,1,GEN,Ramaswamy.K.P,M,54,GEN,DMK,62629,#800000,137750
2006,Senthamangalam,Tamil Nadu,95,1,ST,Ponnusamy.K,M,54,ST,DMK,64506,#800000,129240
2006,Namakkal,Tamil Nadu,96,1,SC,Jayakumar.K,M,56,SC,INC,61306,#019733,143999
2006,Kapilamalai,Tamil Nadu,97,1,GEN,Nedunchezhian.K,M,51,GEN,PMK,58048,#F0CC52,122862
2006,Tiruchengodu,Tamil Nadu,98,1,GEN,Thanngamani.P,M,46,GEN,ADMK,85471,#9DBC2A,212068
2006,Sankari,Tamil Nadu,99,1,SC,Duraisamy.V.P,M,56,SC,DMK,67792,#800000,144691
2006,Edappadi,Tamil Nadu,100,1,GEN,Kaveri V,M,54,GEN,PMK,76027,#F0CC52,169848
2006,Mettuppalayam,Tamil Nadu,101,1,GEN,Chinnaraj.O.K .,M,51,GEN,ADMK,67445,#9DBC2A,151546
2006,Avanashi,Tamil Nadu,102,1,SC,Prema.R.,F,34,SC,ADMK,54562,#9DBC2A,134476
2006,Thondamuthur,Tamil Nadu,103,1,GEN,Kannappan.M.,M,71,GEN,MDMK,123490,#835C91,296863
2006,Singanallur,Tamil Nadu,104,1,GEN,Chinnaswamy.R.,M,67,GEN,ADMK,100283,#9DBC2A,240267
2006,Coimbatore North,Tamil Nadu,105,1,GEN,Malaravan.T.,M,57,GEN,ADMK,49957,#9DBC2A,100669
2006,Coimbatore South,Tamil Nadu,106,1,GEN,Pongalur Palanisamy.N.,M,61,GEN,DMK,51827,#800000,109103
2006,Perur,Tamil Nadu,107,1,GEN,Velumani.S.P.,M,36,GEN,ADMK,114024,#9DBC2A,246121
2006,Kinathukkadavu,Tamil Nadu,108,1,GEN,Damodaran.S.,M,53,GEN,ADMK,55493,#9DBC2A,117812
2006,Pollachi,Tamil Nadu,109,1,GEN,Pollachi Jayaraman .V.,M,53,GEN,ADMK,62455,#9DBC2A,135722
2006,Valparai,Tamil Nadu,110,1,SC,Kovaithangam.N.,M,58,SC,INC,46561,#019733,86321
2006,Udumalpet,Tamil Nadu,111,1,GEN,Shanmugavelu.C.,M,56,GEN,ADMK,66178,#9DBC2A,143593
2006,Dharapuram,Tamil Nadu,112,1,SC,Prabavathi.P,F,38,SC,DMK,55312,#800000,123871
2006,Vellakoil,Tamil Nadu,113,1,GEN,Saminathan.M.P,M,41,GEN,DMK,60909,#800000,117618
2006,Pongalur,Tamil Nadu,114,1,GEN,Mani.S.,M,46,GEN,DMK,47702,#800000,114351
2006,Palladam,Tamil Nadu,115,1,GEN,Velusamy.S.M.,M,52,GEN,ADMK,73059,#9DBC2A,167080
2006,Tiruppur,Tamil Nadu,116,1,GEN,Govindasamy.C,M,52,GEN,CPI(M),106073,#DE0000,244194
2006,Kangayam,Tamil Nadu,117,1,GEN,Sekar.S,M,39,GEN,INC,56946,#019733,123559
2006,Modakkurichi,Tamil Nadu,118,1,GEN,Palanisami.R.M,M,47,GEN,INC,64625,#019733,146507
2006,Perundurai,Tamil Nadu,119,1,GEN,Ponnudurai.C,M,46,GEN,ADMK,59631,#9DBC2A,137506
2006,Erode,Tamil Nadu,120,1,GEN,Raaja.Nkk.P,M,40,GEN,DMK,94938,#800000,214918
2006,Bhavani,Tamil Nadu,121,1,GEN,K V Ramanathan,M,43,GEN,PMK,52603,#F0CC52,126612
2006,Andhiyur,Tamil Nadu,122,1,SC,Gurusamy.S,M,53,SC,DMK,57043,#800000,111198
2006,Gobichettipalayam,Tamil Nadu,123,1,GEN,Sengottaiyan.K.A,M,59,GEN,ADMK,55181,#9DBC2A,121516
2006,Bhavanisagar,Tamil Nadu,124,1,GEN,Subramaniam.O,M,55,GEN,DMK,65055,#800000,128086
2006,Sathyamangalam,Tamil Nadu,125,1,GEN,Dharmalingam.L.P,M,47,GEN,DMK,56035,#800000,121465
2006,Coonoor,Tamil Nadu,126,1,SC,"Soundarapandian,A",M,39,SC,DMK,45303,#800000,95666
2006,Udhagamandalam,Tamil Nadu,127,1,GEN,Gopalan.B,M,60,GEN,INC,45551,#019733,95797
2006,Gudalur,Tamil Nadu,128,1,GEN,"Ramachandhiran,K",M,55,GEN,DMK,74147,#800000,143352
2006,Palani,Tamil Nadu,129,1,SC,Anbalakan.M,M,48,SC,DMK,57181,#800000,120386
2006,Oddamchatram,Tamil Nadu,130,1,GEN,Sakkarapani.R,M,45,GEN,DMK,63811,#800000,118896
2006,Periyakulam,Tamil Nadu,131,1,GEN,Panneer Selvam.O,M,56,GEN,ADMK,68345,#9DBC2A,137287
2006,Theni,Tamil Nadu,132,1,GEN,Ganesan Rd,M,43,GEN,ADMK,62194,#9DBC2A,136690
2006,Bodinayakkanur,Tamil Nadu,133,1,GEN,Lakshmanan S,M,34,GEN,DMK,51474,#800000,117347
2006,Cumbum,Tamil Nadu,134,1,GEN,Eramakrishnan N,M,57,GEN,MDMK,50761,#835C91,117390
2006,Andipatti,Tamil Nadu,135,1,GEN,Jayalalithaa J,F,58,GEN,ADMK,73927,#9DBC2A,134304
2006,Sedapatti,Tamil Nadu,136,1,GEN,Durairaj.C,M,55,GEN,ADMK,42590,#9DBC2A,97990
2006,Thirumangalam,Tamil Nadu,137,1,GEN,Elavarasan.Veera,M,46,GEN,MDMK,45067,#835C91,120248
2006,Usilampatti,Tamil Nadu,138,1,GEN,Mahendran.I,M,45,GEN,ADMK,39009,#9DBC2A,92503
2006,Nilakkottai,Tamil Nadu,139,1,SC,Thenmozhi .S.,F,43,SC,ADMK,53275,#9DBC2A,122838
2006,Sholavandan,Tamil Nadu,140,1,GEN,Moorthy.P,M,47,GEN,DMK,47771,#800000,112702
2006,Thirupparankundram,Tamil Nadu,141,1,GEN,Bose.A.K,M,58,GEN,ADMK,117306,#9DBC2A,274014
2006,Madurai West,Tamil Nadu,142,1,GEN,Shanmugam S V,M,59,GEN,ADMK,57208,#9DBC2A,131030
2006,Madurai Central,Tamil Nadu,143,1,GEN,Palanivelrajan.T,M,74,GEN,DMK,43185,#800000,94224
2006,Madurai East,Tamil Nadu,144,1,GEN,Nanmaran.N,M,58,GEN,CPI(M),36383,#DE0000,95244
2006,Samayanallur,Tamil Nadu,145,1,SC,Tamilarasi.R,F,30,SC,DMK,124656,#800000,286907
2006,Melur,Tamil Nadu,146,1,GEN,Samy.R,M,40,GEN,ADMK,64013,#9DBC2A,135283
2006,Natham,Tamil Nadu,147,1,GEN,Viswanathan.R,M,56,GEN,ADMK,62292,#9DBC2A,133614
2006,Dindigul,Tamil Nadu,148,1,GEN,Balabarathi.K,F,41,GEN,CPI(M),66811,#DE0000,152748
2006,Athoor,Tamil Nadu,149,1,GEN,Periasamy.I,M,53,GEN,DMK,76308,#800000,143432
2006,Vedasandur,Tamil Nadu,150,1,GEN,Dhandapani. M,M,59,GEN,INC,68953,#019733,149370
2006,Aravakurichi,Tamil Nadu,151,1,GEN,Khaleelur Rahman.M.A.,M,61,GEN,DMK,45960,#800000,100783
