ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes,color
Tamil Nadu,1977,175,1,Nagapattinam,GEN,R. Umanath,M,0,N/A,CPM,31519,#DE0000
Tamil Nadu,1977,176,1,Vedaranyam,GEN,M. Meenashisundaram,M,0,N/A,DMK,29601,#800000
Tamil Nadu,1977,177,1,Thiruthuraipundi,SC,P. Uthirapathy,M,0,N/A,CPI,43208,#DE0000
Tamil Nadu,1977,178,1,Mannargudi,GEN,M. Ambigapathy,M,0,N/A,CPI,34298,#DE0000
Tamil Nadu,1977,179,1,Pattukkottai,GEN,A.R. Marimuthu,M,0,N/A,INC,25993,#019733
Tamil Nadu,1977,180,1,Peravurani,GEN,M.R. Govindan,M,0,N/A,ADMK,32625,#9DBC2A
Tamil Nadu,1977,181,1,Orathanadu,GEN,T.M. Thailappan,M,0,N/A,DMK,31866,#800000
Tamil Nadu,1977,182,1,Thiruvonam,GEN,Durai Govindarajan,M,0,N/A,ADMK,23779,#9DBC2A
Tamil Nadu,1977,183,1,Thanjavur,GEN,S. Natarajan,M,0,N/A,DMK,33418,#800000
Tamil Nadu,1977,184,1,Thiruvaiyaru,GEN,G. Elangovan,M,0,N/A,DMK,28500,#800000
Tamil Nadu,1977,185,1,Papanasam,GEN,R.V. Soundararajan,M,0,N/A,INC,24904,#019733
Tamil Nadu,1977,186,1,Valangiman,SC,A. Chellappa,M,0,N/A,DMK,24270,#800000
Tamil Nadu,1977,187,1,Kumbakonam,GEN,S.R. Eradha,M,0,N/A,ADMK,26432,#9DBC2A
Tamil Nadu,1977,188,1,Thiruvidaimarudur,GEN,S. Ramalingam,M,0,N/A,DMK,26304,#800000
Tamil Nadu,1977,189,1,Thirumaiyam,GEN,N. Sundararaj,M,0,N/A,INC,20694,#019733
Tamil Nadu,1977,190,1,Kolathur,SC,V. Chinnaiah,M,0,N/A,INC,27071,#019733
Tamil Nadu,1977,191,1,Pudukkottai,GEN,R. Rajkumar Vijaya Raghunatha Tondaman,M,0,N/A,INC,36406,#019733
Tamil Nadu,1977,192,1,Alangudi,GEN,T. Pushparaju,M,0,N/A,INC,37634,#019733
Tamil Nadu,1977,193,1,Aranthangi,GEN,S. Thirunavukkarasu,M,0,N/A,ADMK,35468,#9DBC2A
Tamil Nadu,1977,194,1,Tiruppattur,GEN,S. Shanmugam Koothagudi,M,0,N/A,CPI,21579,#DE0000
Tamil Nadu,1977,195,1,Karaikudi,GEN,P. Kaliyappan,M,0,N/A,ADMK,27403,#9DBC2A
Tamil Nadu,1977,196,1,Tiruvadanai,GEN,Kr. Rm. Kariya Manickam Ambalam,M,0,N/A,INC,32386,#019733
Tamil Nadu,1977,197,1,Ilayangudi,GEN,R. Sivasamy,M,0,N/A,CPI,17677,#DE0000
Tamil Nadu,1977,198,1,Sivaganga,GEN,O. Subramanian,M,0,N/A,INC,23495,#019733
Tamil Nadu,1977,199,1,Manamadurai,SC,V.M. Subramanian,M,0,N/A,ADMK,28849,#9DBC2A
Tamil Nadu,1977,200,1,Paramakudi,SC,K. Ugrapandian,M,0,N/A,ADMK,27303,#9DBC2A
Tamil Nadu,1977,201,1,Ramanathapuram,GEN,T. Ramaswamy,M,0,N/A,ADMK,33048,#9DBC2A
Tamil Nadu,1977,202,1,Kadaladi,GEN,R.C. Subramanian,M,0,N/A,ADMK,25690,#9DBC2A
Tamil Nadu,1977,203,1,Mudhukulathur,GEN,S. Balakrishnan,M,0,N/A,INC,17709,#019733
Tamil Nadu,1977,204,1,Aruppukkottai,GEN,M.G. Ramachandran,M,0,N/A,ADMK,43065,#9DBC2A
Tamil Nadu,1977,205,1,Sattur,GEN,K.K.S.S.R. Ramachandran,M,0,N/A,ADMK,38772,#9DBC2A
Tamil Nadu,1977,206,1,Virudhunagar,GEN,M. Sundararajan,M,0,N/A,ADMK,33077,#9DBC2A
Tamil Nadu,1977,207,1,Sivakasi,GEN,K. Ramasamy,M,0,N/A,JNP,24518,#9A9E56
Tamil Nadu,1977,208,1,Srivilliputhur,GEN,R. Thamraikani,M,0,N/A,ADMK,25990,#9DBC2A
Tamil Nadu,1977,209,1,Rajapalayam,SC,K. Dhanuskodi,M,0,N/A,ADMK,28028,#9DBC2A
