year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes,color,polled_votes
1967,Madurai East,Tamil Nadu,140,1,GEN,K.P.Janakiammal,M,0,,CPM,32173,#ff5757,63936
1967,Melur South,Tamil Nadu,141,1,SC,O.P.Raman,M,0,,DMK,50913,#c0392b,80289
1967,Melur North,Tamil Nadu,142,1,GEN,P.Malaichamy,M,0,,DMK,38895,#c0392b,69271
1967,Vadamadurai,Tamil Nadu,143,1,GEN,P.T. Naicker,M,0,,INC,30507,#2ecc71,62115
1967,Dindigul,Tamil Nadu,144,1,GEN,A.Balasubramanayam,M,0,,CPM,42381,#ff5757,71918
1967,Athoor,Tamil Nadu,145,1,GEN,V.S.S.Manichettiar,M,0,,DMK,37879,#c0392b,74705
1967,Vedasandur,Tamil Nadu,146,1,GEN,N.Varadaraj,M,0,,CPM,30063,#ff5757,62426
1967,Aravakurichi,Tamil Nadu,147,1,GEN,S.K.Gounder,M,0,,SWA,46614,#222,69096
1967,Karur,Tamil Nadu,148,1,GEN,T.M.Nallaswamy,M,0,,INC,33552,#2ecc71,74648
1967,Thottiyam,Tamil Nadu,149,1,GEN,Vadivel,M,0,,DMK,39701,#c0392b,73608
1967,Musiri,Tamil Nadu,150,1,GEN,Muthuselvan,M,0,,DMK,32615,#c0392b,63353
1967,Uppiliapuram,Tamil Nadu,151,1,GEN,T.P.Alagamuthu,M,0,,DMK,43453,#c0392b,77199
1967,Perambalur,Tamil Nadu,152,1,SC,J.S.Rasu,M,0,,DMK,33657,#c0392b,66728
1967,Varahur,Tamil Nadu,153,1,GEN,R.Narayanan,M,0,,DMK,32846,#c0392b,66169
1967,Andimadam,Tamil Nadu,154,1,GEN,K.N.Ramchandran,M,0,,DMK,32253,#c0392b,66846
1967,Jayankondam,Tamil Nadu,155,1,SC,K.A.A.K.Moorthy,M,0,,DMK,34751,#c0392b,66100
1967,Ariyalur,Tamil Nadu,156,1,GEN,R.Karuppiam,M,0,,INC,26440,#2ecc71,70751
1967,Lalgudi,Tamil Nadu,157,1,GEN,D.Natarajan,M,0,,DMK,37352,#c0392b,73776
1967,Srirangam,Tamil Nadu,158,1,SC,S.Ramalingam,M,0,,INC,34474,#2ecc71,68293
1967,Tiruchirapalli-I,Tamil Nadu,159,1,GEN,M.S.Mani,M,0,,DMK,34504,#c0392b,66265
1967,Tiruchirapalli-Ii,Tamil Nadu,160,1,GEN,R.Nagasundaram,M,0,,DMK,26048,#c0392b,56528
1967,Thiruverambur,Tamil Nadu,161,1,GEN,V.Swaminathan,M,0,,INC,33513,#2ecc71,66825
1967,Kulithalai,Tamil Nadu,162,1,GEN,M.Kandaswamy,M,0,,DMK,36120,#c0392b,72710
1967,Krishnarajapuram,Tamil Nadu,163,1,SC,P.Soundarapandian,M,0,,DMK,28444,#c0392b,58381
1967,Kadavur,Tamil Nadu,164,1,GEN,K.K.Muthiah,M,0,,INC,35102,#2ecc71,63890
1967,Viralimalai,Tamil Nadu,165,1,GEN,S.S.Thethuvandar,M,0,,DMK,30288,#c0392b,61022
