YEAR,AC_NAME,PARTY,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color,Total Candidates
1977,Lawspet,ADMK,Pondicherry,21,1,GEN,N. VARADHAN,M,,,4477,9380,#b2d33c,4
1977,Couchery,ADMK,Pondicherry,22,1,GEN,T. SUBBIAH,M,,,3041,8037,#b2d33c,5
1977,Karaikal North,IND,Pondicherry,23,1,GEN,K. KANDHI,M,,,3995,9326,#bdc3c7,5
1977,Karaikal South,ADMK,Pondicherry,24,1,GEN,S. RAMASSAMY,M,,,3424,7230,#b2d33c,5
1977,Neravy-Grand Aldee,JNP,Pondicherry,25,1,GEN,V.M.C. VARADHAPILLAI,M,,,3314,9028,#9A9E56,4
1977,Tirunallar,DMK,Pondicherry,26,1,GEN,N.V. RAMALINGAM,M,,,2654,7793,#c0392b,4
1977,Nedungadu,ADMK,Pondicherry,27,1,SC,P. SELVARAJ,M,,,2789,7124,#b2d33c,4
1977,Mahe,IND,Pondicherry,28,1,GEN,RAGHAVAN K.V.,M,,,2847,5860,#bdc3c7,3
1977,Palloor,IND,Pondicherry,29,1,GEN,CHANDRASEKRAN T.K.,M,,,2853,5263,#bdc3c7,4
1977,Yanam,JNP,Pondicherry,30,1,GEN,KAMICHETTY SRI PARASSOURAMA VARAPRASSADA RAO,M,,,2047,4258,#9A9E56,3
1980,Muthialpet,DMK,Pondicherry,1,1,GEN,G. PALANIRAJA,M,,,7396,11609,#c0392b,4
1980,Cassicade,INC,Pondicherry,2,1,GEN,V. KATHIRVELU,M,,,3948,7647,#2ecc71,10
1980,Raj Bhavan,DMK,Pondicherry,3,1,GEN,L. JOSEPH MARIADASS,M,,,1880,4094,#c0392b,7
1980,Bussy,INC,Pondicherry,4,1,GEN,C. M. ACHRAFF,M,,,2898,4178,#2ecc71,5
1980,Oupalam,DMK,Pondicherry,5,1,GEN,SITHA VEDANAYAGAM,M,,,5419,7735,#c0392b,5
1980,Orleampeth,DMK,Pondicherry,6,1,GEN,NA. MANIMARAN ALIAS NA. MARIMUTHU,M,,,5721,9583,#c0392b,8
1980,Nellithope,DMK,Pondicherry,7,1,GEN,P. RAMALINGAM,M,,,4019,7470,#c0392b,6
1980,Mudaliarpet,INC,Pondicherry,8,1,GEN,V. KOTHANDARAMAN ALIAS SABAPATHY,M,,,5258,10867,#2ecc71,4
1980,Ariankuppam,DMK,Pondicherry,9,1,GEN,P. SUBBURAYAN,M,,,5900,10248,#c0392b,5
1980,Embalam,INC,Pondicherry,10,1,SC,G. MURUGESAN,M,,,5033,7369,#2ecc71,4
1980,Nettapakkam,JNP,Pondicherry,11,1,GEN,R. SUBBARAYA GOUNDER,M,,,4201,8421,#9A9E56,3
1980,Kuruvinatham,DMK,Pondicherry,12,1,GEN,M. A. SHANMUGAM,M,,,3738,8776,#c0392b,3
1980,Bahour,JNP,Pondicherry,13,1,SC,P. UTHIRAVELU,M,,,4154,8082,#9A9E56,4
1980,Thirubuvanai,INC,Pondicherry,14,1,SC,P. CATTAVARAYANE,M,,,6001,8325,#2ecc71,3
1980,Mannadipeth,DMK,Pondicherry,15,1,GEN,D. RAMACHANDRAN,M,,,5598,9164,#c0392b,2
1980,Ossudu,DMK,Pondicherry,16,1,SC,P. MURTHY,M,,,5122,7704,#c0392b,3
1980,Villianur,DMK,Pondicherry,17,1,GEN,M. VENUGOPAL,M,,,3810,8614,#c0392b,3
1980,Ozhukarai,DMK,Pondicherry,18,1,GEN,G. PERUMAL RAJA,M,,,5493,8325,#c0392b,5
1980,Thattanchavady,JNP,Pondicherry,19,1,GEN,V. PETHAPERUMAL,M,,,4824,9875,#9A9E56,3
1980,Reddiarpalayam,INC,Pondicherry,20,1,GEN,RENUKA APPADURAI,F,,,5409,10305,#2ecc71,4
1980,Lawspet,INC,Pondicherry,21,1,GEN,M. O. H. FAROOK,M,,,8980,11413,#2ecc71,4
1980,Couchery,DMK,Pondicherry,22,1,GEN,G. PANJAVARNAM,M,,,4133,8278,#c0392b,4
1980,Karaikal North,IND,Pondicherry,23,1,GEN,V. M. SALIH MARICAR,M,,,4778,8648,#bdc3c7,6
1980,Karaikal South,INC,Pondicherry,24,1,GEN,S. SAVARIRAJAN,M,,,4867,7557,#2ecc71,4
1980,Neravy-Grand Aldee,DMK,Pondicherry,25,1,GEN,V. M. C. SIVAKUMAR,M,,,5315,9268,#c0392b,2
1980,Tirunallar,DMK,Pondicherry,26,1,GEN,N. V. RAMALINGAM,M,,,3573,8040,#c0392b,5
