Rank,City,Population,Definition,Area,Population_density,Country,url,image
72,Xiamen,3531347,Sub-Provincial City,1699,2078, China,http://en.wikipedia.org//wiki/Quanzhou,//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lingshan_Islamic_Cemetery_-_city_view_-_DSCF8486.JPG/250px-Lingshan_Islamic_Cemetery_-_city_view_-_DSCF8486.JPG
73,Quanzhou,3520846,Sub-Provincial City,1062,3315, China,http://en.wikipedia.org//wiki/Berlin,//upload.wikimedia.org/wikipedia/commons/thumb/1/1c/PotsdamerPlatz_Vogelperspektive_2004_1.jpg/250px-PotsdamerPlatz_Vogelperspektive_2004_1.jpg
74,Berlin,3517424,City State,892,3944, Germany,http://en.wikipedia.org//wiki/Jeddah,//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Jeddeh4.jpg/250px-Jeddeh4.jpg
75,Jeddah,3456259,Municipality City,1765,1958, Saudi Arabia,http://en.wikipedia.org//wiki/Durban,//upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Durban_21.08.2009_12-56-40.jpg/250px-Durban_21.08.2009_12-56-40.jpg
76,Durban,3442361,Municipality City,2291,1502, South Africa,http://en.wikipedia.org//wiki/Casablanca,//upload.wikimedia.org/wikipedia/commons/thumb/7/75/CasablancaFAR.jpg/250px-CasablancaFAR.jpg
77,Algiers,3415811,Departament/Municipality City,363,9400, Algeria,http://en.wikipedia.org//wiki/Algiers,//upload.wikimedia.org/wikipedia/commons/thumb/6/64/Alger_Tunnel-des-Facultes_-_Place-Maurice-Audin_IMG_0236.JPG/250px-Alger_Tunnel-des-Facultes_-_Place-Maurice-Audin_IMG_0236.JPG
78,Kabul,3414100,Municipality City,275,12415, Afghanistan,http://en.wikipedia.org//wiki/Hefei,//upload.wikimedia.org/wikipedia/commons/thumb/6/65/Hefei-yejing1.jpg/250px-Hefei-yejing1.jpg
79,Hefei,3352076,Sub-Provincial City[151],839,3998, China,http://en.wikipedia.org//wiki/Kabul,//upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Khair_Khana_in_2012.jpg/250px-Khair_Khana_in_2012.jpg
80,Pyongyang,3255388,Direct-controlled Municipality,2113,1541, North Korea,http://en.wikipedia.org//wiki/Pyongyang,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/0322_Pyongyang_Turm_der_Juche_Idee_Aussicht.jpg/250px-0322_Pyongyang_Turm_der_Juche_Idee_Aussicht.jpg
81,Madrid,3207247,Municipality City,606,5294, Spain,http://en.wikipedia.org//wiki/Madrid,//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Gran_V%C3%ADa_%28Madrid%29_1.jpg/250px-Gran_V%C3%ADa_%28Madrid%29_1.jpg
82,Ekurhuleni,3178470,Municipality City,1971,1613, South Africa,http://en.wikipedia.org//wiki/Ekurhuleni_Metropolitan_Municipality,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Germiston_CBD.jpg/250px-Germiston_CBD.jpg
83,Nairobi,3138369,Capital District,695,4516, Kenya,http://en.wikipedia.org//wiki/Nairobi,//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/NBO5.jpg/250px-NBO5.jpg
84,Pune,3115431,Municipal Corporation,451,6913, India,http://en.wikipedia.org//wiki/Pune,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/AmonoraTownCentre.jpg/250px-AmonoraTownCentre.jpg
85,Addis Ababa,3103673,Metropolitan Municipality-Province[158],527,5889, Ethiopia,http://en.wikipedia.org//wiki/Addis_Ababa,//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Aerials_Ethiopia_2009-08-27_15-26-13.JPG/250px-Aerials_Ethiopia_2009-08-27_15-26-13.JPG
86,Changsha,3093980,Sub-Provincial City[159],969,3193, China,http://en.wikipedia.org//wiki/Changsha,//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/The_Hu%C3%A1ngx%C4%ABng_L%C3%B9_Commercial_Pedestrian_Street_in_Changsha.jpg/250px-The_Hu%C3%A1ngx%C4%ABng_L%C3%B9_Commercial_Pedestrian_Street_in_Changsha.jpg
87,Athens,3089698,Municipality City[161],412,7496, Greece,http://en.wikipedia.org//wiki/Athens,//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Attica_06-13_Athens_50_View_from_Philopappos_-_Acropolis_Hill.jpg/250px-Attica_06-13_Athens_50_View_from_Philopappos_-_Acropolis_Hill.jpg
88,Jaipur,3073350,Municipal Corporation,485,6337, India,http://en.wikipedia.org//wiki/Jaipur,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/DSCN1444.JPG/250px-DSCN1444.JPG
89,Wenzhou,3039439,Sub-Provincial City[163],1188,2559, China,http://en.wikipedia.org//wiki/Wenzhou,//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Shopping_street_in_Wenzhou.jpg/250px-Shopping_street_in_Wenzhou.jpg
