ISO,NAME,LON,LAT
amw,Western Neo-Aramaic,36.48403,33.81622
amx,Anmatyerre,133.28584,-22.28531
amy,Ami,130.0399,-13.55727
amz,Atampaya,142.2726,-11.0018
ana,Andaqui,-75.99999,2.74999
anb,Andoa,-76.60558,-3.29664
anc,Ngas,9.46146,9.32042
and,Ansus,135.86627,-1.7543
ane,Xârâcùù,165.99607,-21.70338
anf,Animere,0.41962,7.60385
kkn,Kon Keu,100.27835,21.63694
anh,Nend,144.88584,-5.04271
ani,Andi,46.29187,42.80785
anj,Anor,144.80097,-4.98449
ank,Goemai,9.72453,8.74455
anl,Anu,98.5945,23.33942
anm,Anal,94.14349,24.0492
ann,Obolo,7.81985,4.62851
ano,Andoque,-72.08686,-0.53751
anp,Angika,87.12597,24.33037
anq,Jarawa,92.65803,11.60889
anr,Andh,77.71561,19.47335
ans,Anserma,-76.04999,6.24999
ant,Antakarinya,134.83783,-27.11522
anu,Anuak,33.6473,7.5675
anv,Denya,9.39989,5.97237
anw,Anaang,7.57969,4.94832
anx,Andra-Hus,147.08493,-2.05894
any,Anyin,-3.76951,6.79773
anz,Anem,148.99315,-5.54836
aoa,Angolar,6.59486,0.11438
aob,Abom,142.84233,-8.42448
aoc,Pemon,-62.03638,5.29
aod,Andarum,144.76673,-4.48734
aoe,Angal Enen,143.58326,-6.23296
aof,Bragat,142.49451,-3.48707
aog,Angoram,144.02814,-4.07758
aoh,Arma,-75.99999,2.03332
aoi,Anindilyakwa,136.6415,-13.99904
aoj,Mufian,142.95453,-3.57932
aok,Arhö,165.16057,-21.31834
aol,Alor,124.26377,-8.20382
aom,Ömie,148.10712,-9.03136
aon,Bumbita Arapesh,142.8592,-3.65508
aor,Aore,167.16614,-15.57526
aos,Taikat,140.7495,-2.9408
aot,Atong,92.707,26.354
aox,Atorada,-59.014,2.793
aoz,Uab Meto,124.14365,-9.77284
apy,Apalaí,-54.7457,1.49792
apb,Sa'a,161.46689,-9.60258
apc,North Levantine Spoken Arabic,36.63659,33.43367
apd,Sudanese Spoken Arabic,29.3414,15.69465
ape,Bukiyip,143.11061,-3.47169
apg,Ampanang,116.34896,-0.79259
aph,Athpariya,87.32958,26.87944
api,Apiacá,-57.91002,-7.84711
apj,Jicarilla Apache,-107.00694,36.8079
apk,Kiowa Apache,-98.24612,34.90771
apl,Lipan Apache,-105.81939,33.27479
apm,Mescalero-Chiricahua Apache,-105.56612,33.1291
apn,Apinayé,-47.63153,-6.10774
app,Apma,168.18897,-15.85593
apq,A-Pucikwar,92.79646,12.24101
apr,Arop-Lukep,147.10339,-5.31671
aps,Arop-Sissano,142.11955,-3.06984
apt,Apatani,93.72844,27.19331
apu,Apurinã,-66.77141,-8.21692
apw,Western Apache,-110.12264,33.85743
apx,Aputai,126.4958,-7.84732
apz,Safeyoka,146.08961,-7.05417
aqm,Atohwaim,138.66621,-6.27123
aqn,Northern Alta,121.45394,15.6913
aru,Arua,-47.21818,-22.48633
ake,Akawaio,-60.61405,6.08065
aqc,Archi,46.82673,42.3239
ard,Arabana,135.44893,-28.70501
are,Western Arrarnta,133.24621,-24.05052
arf,Arafundi,143.63712,-4.96449
aqr,Arhâ,165.27269,-21.28665
aro,Araona,-67.72934,-12.42423
arp,Arapaho,-108.80964,43.38792
arq,Algerian Spoken Arabic,3.23033,35.42078
arr,Karo,-61.56908,-10.33424
ars,Najdi Spoken Arabic,43.90639,23.55493
rkb,Rikbaktsa,-58.19424,-11.18865
arn,Mapudungun,-72.18261,-38.43638
arv,Arbore,36.79861,4.92183
arw,Arawak,-55.08124,5.49124
arx,Aruá,-62.43568,-12.11857
ary,Moroccan Spoken Arabic,-6.95087,33.21392
arz,Egyptian Spoken Arabic,31.0735,30.76099
bhk,Albay Bicolano,123.48979,13.19891
bhl,Bimin,142.04036,-5.38732
bhm,Bathari,50.23,16.936
bhn,Bohtan Neo-Aramaic,45.083,41.471
bfi,British Sign Language,-0.4431,51.66878
bhp,Bima,118.44507,-8.57376
bhq,Tukang Besi South,123.94804,-5.7478
bhr,Bara Malagasy,45.59374,-23.97158
bhs,Buwal,13.88377,10.61513
bht,Bhattiyali,76.03107,32.40218
bhu,Bhunjia,83.16136,21.27608
bhv,Bahau,115.33208,0.30801
bhw,Biak,135.87917,-0.9523
bhx,Bhalay,77.82676,21.2665
bhz,Bada,120.31922,-1.80249
bia,Badimaya,117.2464,-29.0647
bib,Bissa,-0.46336,11.45787
bic,Bikaru,142.94523,-4.86
bid,Bidiyo,18.80649,11.92036
bie,Bepour,145.44168,-4.5985
bif,Biafada,-15.13467,11.46701
big,Biangai,146.76483,-7.33882
bii,Bisu,100.21341,21.95752
bij,Vaghat-Ya-Bijim-Legeri,9.56547,9.64648
bpr,Koronadal Blaan,125.00664,6.20529
bil,Bile,11.19066,8.90052
bim,Bimoba,0.06121,10.45746
bpj,Binji,22.79148,-4.67791
bio,Nai,141.27254,-3.73034
asa,Asu,37.83226,-4.17978
asb,Assiniboine,-103.5346,50.27022
asc,Casuarina Coast Asmat,138.56574,-6.43005
asd,Asas,145.54869,-5.69345
ase,American Sign Language,-78.3436,39.83135
asf,Australian Sign Language,145.87165,-37.56293
asg,Cishingini,4.48564,9.88458
ash,Abishira,-75.21832,-0.69386
asi,Buruwai,133.32748,-3.54561
asj,Nsari,10.59934,6.63008
ask,Ashkun,70.37453,34.84277
asl,Asilulu,127.9523,-3.67302
asm,Assamese,92.82779,26.25411
asn,Xingú Asuriní,-52.32101,-4.13463
aso,Dano,145.2539,-5.92188
asp,Algerian Sign Language,3.5462,36.4762
asq,Austrian Sign Language,16.22499,48.11967
asr,Asuri,83.45622,21.57205
ass,Ipulo,9.64676,6.2918
cns,Central Asmat,138.47107,-5.80391
asu,Asuriní,-49.89913,-3.59359
asv,Asoa,26.71977,2.26818
asw,Australian Aborigines Sign Language,136.301,-12.73709
asx,Muratayak,146.53995,-5.74416
asy,Yaosakor Asmat,138.5822,-5.61024
asz,As,131.72762,-0.75267
ata,Pele-Ata,151.05018,-5.58045
atb,Zaiwa,98.34479,24.44678
atc,Atsahuaca,-69.49999,-14.16665
atd,Ata Manobo,125.4992,7.7789
ate,Atemble,144.80568,-5.08137
atf,Atuence,99.2338,28.53222
atg,Ivbie North-Okpela-Arhe,6.21209,7.15307
azt,Faire Atta,121.43626,17.98083
ati,Attié,-3.8209,5.9977
ace,Aceh,96.60325,3.90757
atk,Ati,122.51179,11.15394
atl,Mt. Iraya Agta,123.55216,13.4588
atm,Ata,122.9,9.715
atn,Ashtiani,48.68083,37.74693
ato,Atong,9.72121,6.03539
atp,Pudtol Atta,121.37861,18.21116
atq,Aralle-Tabulahan,119.3193,-2.78397
atr,Atruahí,-60.42595,-0.61832
ats,Gros Ventre,-108.73841,48.48341
att,Pamplona Atta,121.29955,18.47381
atu,Reel,30.49451,6.32234
atv,Northern Altai,88.06722,50.89984
atw,Atsugewi,-120.66125,40.42711
atx,Arutani,-63.08958,3.62796
aty,Aneityum,169.82523,-20.18636
atz,Arta,121.65618,16.41851
aua,Asumboa,166.49868,-11.29693
ast,Asturian,-5.77354,43.33711
auc,Waorani,-76.68295,-1.12312
aud,Anuta,162.24094,-10.75959
aue,‡Kx'au//'ein,20.57317,-21.29527
aug,Aguna,1.74452,7.49256
auh,Aushi,29.41937,-11.08795
aui,Anuki,149.82236,-9.6692
auj,Awjilah,21.18188,29.23411
auk,Heyo,142.47056,-3.83003
aul,Aulua,167.69684,-16.35787
aum,Asu,5.42081,10.08494
aun,Molmo One,141.80584,-3.38127
auo,Auyokawa,11.32197,9.85747
aup,Makayam,142.70555,-8.37312
auq,Anus,139.50194,-2.26271
aur,Aruek,142.71539,-3.37841
avs,Aushiri,-74.54111,-3.3196
aut,Austral,-149.46195,-23.38431
auu,Auye,136.09604,-3.43705
auv,Auvergnat,3.48406,45.23916
auw,Awyi,140.60389,-3.00564
aux,Aurá,-46.792,-4.137
auy,Awiyaana,145.75972,-6.54079
auz,Uzbeki Spoken Arabic,65.38644,40.26116
avn,Avatime,0.41314,6.8688
avb,Avau,150.42742,-6.24342
avd,Alviri-Vidari,50.37939,35.00753
hvk,Haveke,164.75333,-21.02488
avi,Avikam,-5.2529,5.15838
avl,Eastern Egyptian Bedawi Spoken Arabic,33.61126,29.67415
avo,Agavotaguerra,-53.43936,-13.29849
ava,Avar,46.56284,42.42226
ave,Avestan,53.633,31.541
avt,Au,142.1046,-3.53277
avu,Avokaya,29.99855,4.82505
avv,Avá-Canoeiro,-48.13356,-13.60814
acp,Eastern Acipa,6.0105,10.71038
awb,Awa,145.71416,-6.65534
awc,Western Acipa,5.54073,11.04175
awa,Awadhi,81.87432,27.56373
awe,Awetí,-53.58519,-12.93358
awh,Awbono,139.72441,-5.05875
awi,Aekyom,141.53229,-5.88478
awk,Awabakal,151.43555,-33.12847
awm,Arawum,145.90317,-5.52787
awn,Awngi,36.69164,10.98191
awo,Awak,11.32906,9.86334
awr,Awera,136.06341,-2.71886
aws,South Awyu,139.53808,-7.36301
awt,Araweté,-52.50009,-4.90246
awu,Central Awyu,139.69256,-6.29363
awv,Jair Awyu,140.1037,-6.79732
aww,Awun,141.99886,-3.79671
awx,Awara,146.37187,-6.16986
awy,Edera Awyu,139.91413,-7.0038
axb,Abipon,-65.863,-35.962
axg,Mato Grosso Arara,-55.869,-13.175
axk,Yaka,17.2713,3.6515
arg,Aragonese,-0.00919,42.46695
aya,Awar,144.83607,-4.13554
ayb,Ayizo Gbe,2.20552,6.62654
ayc,Southern Aymara,-70.34424,-17.14171
ayd,Ayabadhu,142.89347,-14.66524
aye,Ayere,6.01979,7.52206
ayg,Ginyanga,0.98348,8.2327
ayh,Hadrami Spoken Arabic,48.65241,15.44676
ayi,Leyigha,8.20861,5.98832
ayk,Akuku,6.34264,7.40354
ayl,Libyan Spoken Arabic,17.27292,28.64352
ayr,Central Aymara,-68.31289,-18.10344
ayn,Sanaani Spoken Arabic,44.84118,15.65517
ayo,Ayoreo,-59.57716,-20.44264
ayp,North Mesopotamian Spoken Arabic,43.64038,34.71398
ayq,Ayi,142.40679,-3.95946
