party,constituency,year,age,category,color,electors,name,polled_votes,rank,sex,state,votes
INC,Shajapur Rajgarh,1951,,,#019733,734582,Liladhar Joshi,485562,1,,Madhya Pradesh,139948
INC,Ujjain,1951,,,#019733,352375,Radhelal Vyas,133816,1,,Madhya Pradesh,72868
INC,Amravati East,1951,,,#019733,357241,Panjabrao Shamrao Deshmukh,221630,1,,Madhya Pradesh,139120
INC,Amravati West,1951,,,#019733,384307,Krushnarao Gulabrao Deshmukh,207654,1,,Madhya Pradesh,120266
INC,Balaghat,1951,,,#019733,370922,C. D. Goutam,179578,1,,Madhya Pradesh,117725
IND,Bastar,1951,,,#95b3d7,384277,Muchaki Kosa,213845,1,,Madhya Pradesh,177588
INC,Betul,1951,,,#019733,387336,Bhikulal Lakhmichand Chandak,216283,1,,Madhya Pradesh,129277
INC,Bhandara,1951,,,#019733,770354,Chaturbhuj Vithaldas Jasani,808807,1,,Madhya Pradesh,230096
INC,Bilaspur,1951,,,#019733,762814,Reshamlal,463236,1,,Madhya Pradesh,129832
INC,Bilaspur Durg Raipur,1951,,,#019733,759650,Agamdas,529972,1,,Madhya Pradesh,116713
INC,Buldana Akola,1951,,,#019733,783957,Gopalrao Bajirao Khedkar,862425,1,,Madhya Pradesh,243386
INC,Chanda,1951,,,#019733,368225,Mulla Abdullabhai Taherali,230336,1,,Madhya Pradesh,142277
INC,Chhindwara,1951,,,#019733,381555,Raichand Bhai Shah,131682,1,,Madhya Pradesh,69997
INC,Durg,1951,,,#019733,398341,W. S. Kirolikar,191348,1,,Madhya Pradesh,121648
INC,Durg Bastar,1951,,,#019733,394803,Bhagwati Charan Shukla,214924,1,,Madhya Pradesh,102666
INC,Hoshangabad,1951,,,#019733,364350,Syed Ahmad,164838,1,,Madhya Pradesh,65375
INC,Jabalpur North,1951,,,#019733,399430,Sushil Kumar,176914,1,,Madhya Pradesh,78923
INC,Mahasamund,1951,,,#019733,392827,Sheodas Daga,159178,1,,Madhya Pradesh,110886
INC,Mandla Jabalpur South,1951,,,#019733,686330,Govind Das Maheshwari,593342,1,,Madhya Pradesh,212914
INC,Nagpur,1951,,,#019733,352870,Anusayabai Purushottam Kale,210078,1,,Madhya Pradesh,103566
INC,Nimar,1951,,,#019733,387579,Tiwari Babulal Surajbhan,175023,1,,Madhya Pradesh,83228
INC,Sagar,1951,,,#019733,396406,Sodhia Khubchand Daryao Singh,157374,1,,Madhya Pradesh,87689
INC,Surguja Raigarh,1951,,,#019733,804512,Babunath Singh,624338,1,,Madhya Pradesh,148487
INC,Wardha,1951,,,#019733,390119,Shrimannarayan Dharamnarayan Agarwal,238029,1,,Madhya Pradesh,144755
INC,Yeotmal,1951,,,#019733,396935,Sahadeo Arjun Bharati,221757,1,,Madhya Pradesh,124376
INC,Anantapur,1951,,,#019733,364429,Paidi Lakshmayya,215922,1,,Madras,85187
FBL(MG),Aruppukkottai,1951,,,#999,372858,U. Muthuramalinga Thevar,200738,1,,Madras,90512
INC,Bellary,1951,,,#019733,358727,T. Subrahmanyam,219591,1,,Madras,124976
INC,Chengalpattu,1951,,,#019733,334352,O. V. Alagesan,150835,1,,Madras,55102
INC,Chittoor,1951,,,#019733,717443,T. N. Vishwanatha Reddi,788694,1,,Madras,161590
INC,Coimbatore,1951,,,#019733,346405,T. A. Ramalinga Chettiar,0,1,,Madras,0
TNT,Cuddalore,1951,,,#999,745514,Govindaswamy Kachirayar,739971,1,,Madras,186894
CPI,Cuddapah,1951,,,#DE0000,368066,Eswara Reddi Yeddula,239982,1,,Madras,85125
IND,Dharmapuri,1951,,,#95b3d7,360076,N. Satyanathan,185545,1,,Madras,66216
INC,Dindigul,1951,,,#019733,347422,Ammu Swaminathan,209488,1,,Madras,77285
CPI,Eluru,1951,,,#DE0000,694382,K. Subha Rao,1000456,1,,Madras,187822
INC,Erode,1951,,,#019733,743081,Balakrishnan,782686,1,,Madras,169708
CPI,Gudivada,1951,,,#DE0000,355301,K. Gopala Rao,276723,1,,Madras,142537
IND,Guntur,1951,,,#95b3d7,364698,S. V. Laxmi Narasimham,254499,1,,Madras,79350
CPI,Kakinada,1951,,,#DE0000,346057,Chelikani Venkata Rama Rao,219834,1,,Madras,85901
CWL,Kancheepuram,1951,,,#999,332827,A. Krishnaswami,199957,1,,Madras,111233
CPI,Kannur,1951,,,#DE0000,364218,A. K. Gopalan,252481,1,,Madras,166299
KMPP,Kozhikode,1951,,,#999,355807,Achuthan Damodaran Menon,236008,1,,Madras,104466
INC,Krishnagiri,1951,,,#019733,355317,C. R. Narasimhan,147253,1,,Madras,61672
INC,Kumbakonam,1951,,,#019733,361514,C. Ramaswamy Mudaliar,229457,1,,Madras,95433
INC,Kurnool,1951,,,#019733,354755,H. Sitharama Reddy,194213,1,,Madras,70887
INC,Madras,1951,,,#019733,369299,T. T. Krishnamachari,195370,1,,Madras,79431
INC,Madurai,1951,,,#019733,757254,S. Balasubramaniam,733762,1,,Madras,195762
ML,Malappuram,1951,,,#999,369412,B. Pocker,203899,1,,Madras,79470
CPI,Masulipatnam,1951,,,#DE0000,332940,Sanka Butehikottaiah,253728,1,,Madras,124101
CPI,Mayuram,1951,,,#DE0000,730234,K. Ananda Nambiar,883765,1,,Madras,198743
IND,Nandyal,1951,,,#95b3d7,380100,Seshagiri Rao,244765,1,,Madras,67905
IND,Narasaraopet,1951,,,#95b3d7,366257,Chapalamadugu Ramiah Chowdry,216472,1,,Madras,78332
IND,Nellore,1951,,,#95b3d7,347698,Bezwada Ramachandra Reddy,207004,1,,Madras,67582
IND,Ongole,1951,,,#95b3d7,729786,M. Nanadass,723926,1,,Madras,152472
IND,Parvathipuram,1951,,,#95b3d7,368440,N. Rama Seshiah,198166,1,,Madras,67124
INC,Pathapatnam,1951,,,#019733,338485,V. V. Giri,167679,1,,Madras,50084
KMPP,Penukonda,1951,,,#999,352629,K. S. Raghavachari,217626,1,,Madras,109408
TNT,Perambalur,1951,,,#999,359221,V. Boorarangaswami Pandayachi,225858,1,,Madras,84332
INC,Periyakulam,1951,,,#019733,370312,A/ Sakthivadivel Gounder,242777,1,,Madras,107875
INC,Pollachi,1951,,,#019733,368310,Damodaram,210359,1,,Madras,93405
KMPP,Ponnani,1951,,,#999,739656,Kelappan Koyhapali,774286,1,,Madras,146366
KMPP,Pudukkottai,1951,,,#999,374269,K. M. Vallatharsu,191697,1,,Madras,102404
CPI,Rajahmundry,1951,,,#DE0000,741484,Kaneti Mohana Rao,900175,1,,Madras,147706
