pc,votes,year,state,party,name,sex,age,category,electors,rank,color,polled_votes
MEDAK,657492,2014,Andhra Pradesh,Telangana Rashtra Samithi,KALVAKUNTLA CHANDRASEKHAR RAO,,,,,1,#999,1191096
MEDAK,260463,2014,Andhra Pradesh,Indian National Congress,DR.P. SHRAVAN KUMAR REDDY,,,,,2,#019733,1191096
MEDAK,181804,2014,Andhra Pradesh,Bharatiya Janata Party,CHAGANLA NARENDRA NATH,,,,,3,#FB7B0D,1191096
MEDAK,33507,2014,Andhra Pradesh,Independent,KUNDETI. RAVI.,,,,,4,#95b3d7,1191096
MEDAK,11752,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,"PRABHUGOUD, PULLAIAHGARI",,,,,5,#999,1191096
MEDAK,10781,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,6,#999,1191096
MEDAK,7599,2014,Andhra Pradesh,Republican Party of India (A),KOMPELLI PRABHUDAS,,,,,7,#999,1191096
MEDAK,6643,2014,Andhra Pradesh,Bahujan Samaj Party,Y. SHANKAR GOUD,,,,,8,#77968E,1191096
MEDAK,5010,2014,Andhra Pradesh,Majlis Bachao Tahreek,IQBAL ALI ZAFAR,,,,,9,#999,1191096
MEDAK,4441,2014,Andhra Pradesh,Independent,MEKA. SUBBA RAO,,,,,10,#95b3d7,1191096
MEDAK,3297,2014,Andhra Pradesh,Pyramid Party of India,BOMMA BALESHAM,,,,,11,#999,1191096
MEDAK,3281,2014,Andhra Pradesh,Independent,GAJABINKAR BANSILAL,,,,,12,#95b3d7,1191096
MEDAK,2973,2014,Andhra Pradesh,Independent,BALARAJU MITTAPALLY,,,,,13,#95b3d7,1191096
MEDAK,2053,2014,Andhra Pradesh,Independent,GURJADA BHEERAIAH YADAV,,,,,14,#95b3d7,1191096
MALKAJGIRI,523336,2014,Andhra Pradesh,Telugu Desam,CH.MALLA REDDY,,,,,1,#4bacc6,1620397
MALKAJGIRI,494965,2014,Andhra Pradesh,Telangana Rashtra Samithi,HANUMANTH RAO MYNAMPALLY,,,,,2,#999,1620397
MALKAJGIRI,233711,2014,Andhra Pradesh,Indian National Congress,SARVEY SATHYANARAYANA,,,,,3,#019733,1620397
MALKAJGIRI,158243,2014,Andhra Pradesh,Lok Satta Party,DR.JAYAPRAKASH  NARAYAN .N,,,,,4,#999,1620397
MALKAJGIRI,115170,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,V.DINESH REDDY,,,,,5,#999,1620397
MALKAJGIRI,18543,2014,Andhra Pradesh,All India Majlis-E-Ittehadul Muslimeen,DIVAKAR DHARANIKOTA SUDHAKAR,,,,,6,#999,1620397
MALKAJGIRI,13236,2014,Andhra Pradesh,Independent,PROF. K.NAGESHWAR,,,,,7,#95b3d7,1620397
MALKAJGIRI,8716,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,8,#999,1620397
MALKAJGIRI,8291,2014,Andhra Pradesh,Aam Aadmi Party,DR.N.V.SUDHA KIRAN,,,,,9,#999,1620397
MALKAJGIRI,8003,2014,Andhra Pradesh,Shramajeevi Party,JAJULA BHASKAR,,,,,10,#999,1620397
MALKAJGIRI,6133,2014,Andhra Pradesh,Bahujan Samaj Party,KARUNAKAR.R,,,,,11,#77968E,1620397
MALKAJGIRI,5717,2014,Andhra Pradesh,Independent,D.BIKSHAPATHI,,,,,12,#95b3d7,1620397
MALKAJGIRI,4094,2014,Andhra Pradesh,Jai Samaikyandhra Party,BANDI SUDHAKAR,,,,,13,#999,1620397
MALKAJGIRI,2677,2014,Andhra Pradesh,Independent,ANJANEYULU.E,,,,,14,#95b3d7,1620397
MALKAJGIRI,2262,2014,Andhra Pradesh,Independent,KANTE SAYANNA,,,,,15,#95b3d7,1620397
MALKAJGIRI,2049,2014,Andhra Pradesh,Pyramid Party of India,SURAKANTI VENKAT REDDY,,,,,16,#999,1620397
MALKAJGIRI,1696,2014,Andhra Pradesh,Independent,DASARI BHARATH REDDY,,,,,17,#95b3d7,1620397
MALKAJGIRI,1546,2014,Andhra Pradesh,Independent,KOYALKAR BHOJ RAJ,,,,,18,#95b3d7,1620397
MALKAJGIRI,1416,2014,Andhra Pradesh,Independent,GAJABINKAR BANSILAL,,,,,19,#95b3d7,1620397
MALKAJGIRI,1390,2014,Andhra Pradesh,Shivsena,MURARI.T.N,,,,,20,#F05A00,1620397
MALKAJGIRI,1325,2014,Andhra Pradesh,Independent,PEESARI SATISH REDDY,,,,,21,#95b3d7,1620397
MALKAJGIRI,1301,2014,Andhra Pradesh,Independent,M.NAGESWARA RAO,,,,,22,#95b3d7,1620397
MALKAJGIRI,1032,2014,Andhra Pradesh,Independent,VATTIKUTI RAMARAO GOUD,,,,,23,#95b3d7,1620397
MALKAJGIRI,1026,2014,Andhra Pradesh,Independent,M.T.VARUGHESE,,,,,24,#95b3d7,1620397
MALKAJGIRI,899,2014,Andhra Pradesh,Independent,RAHUL PANDIT,,,,,25,#95b3d7,1620397
MALKAJGIRI,803,2014,Andhra Pradesh,Telangana Loksatta Party,PADURI SRINIVAS REDDY,,,,,26,#999,1620397
MALKAJGIRI,775,2014,Andhra Pradesh,Independent,B.VEERA HANUMANTHA REDDY,,,,,27,#95b3d7,1620397
MALKAJGIRI,597,2014,Andhra Pradesh,B.C.Bharata Desam Party,SATHYANARAYANA YAADAV PEDDIBOYINA,,,,,28,#999,1620397
MALKAJGIRI,538,2014,Andhra Pradesh,Andhra Pradesh Rashtra Samaikya Samithi Party,SUTHARAPU PADMAIAH,,,,,29,#999,1620397
MALKAJGIRI,496,2014,Andhra Pradesh,Independent,POLISETTY KRISHNA RAO,,,,,30,#95b3d7,1620397
MALKAJGIRI,411,2014,Andhra Pradesh,Independent,POTTURI TULASI DAS,,,,,31,#95b3d7,1620397
SECUNDRABAD,438271,2014,Andhra Pradesh,Bharatiya Janata Party,BANDARU DATTATREYA,,,,,1,#FB7B0D,1003769
SECUNDRABAD,183536,2014,Andhra Pradesh,Indian National Congress,M.ANJAN KUMAR YADAV,,,,,2,#019733,1003769
SECUNDRABAD,145120,2014,Andhra Pradesh,All India Majlis-E-Ittehadul Muslimeen,NARLA MOHAN RAO,,,,,3,#999,1003769
SECUNDRABAD,143847,2014,Andhra Pradesh,Telangana Rashtra Samithi,T.BHEEMSEN,,,,,4,#999,1003769
SECUNDRABAD,45187,2014,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,SYED SAJID ALI,,,,,5,#999,1003769
SECUNDRABAD,11184,2014,Andhra Pradesh,Aam Aadmi Party,CHAYA RATAN MUSINIPALLY,,,,,6,#999,1003769
SECUNDRABAD,6572,2014,Andhra Pradesh,None of the Above,None of the Above,,,,,7,#999,1003769
SECUNDRABAD,3691,2014,Andhra Pradesh,Jai Samaikyandhra Party,K. SRINIVASULU,,,,,8,#999,1003769
SECUNDRABAD,2863,2014,Andhra Pradesh,Bahujan Samaj Party,KHAJA KHALID ANWAR,,,,,9,#77968E,1003769
SECUNDRABAD,2603,2014,Andhra Pradesh,Indian Christian Secular Party,K.SAI KRISHNA MOHAN RAO,,,,,10,#999,1003769
SECUNDRABAD,2481,2014,Andhra Pradesh,Independent,B.SUBRAMANYAM,,,,,11,#95b3d7,1003769
SECUNDRABAD,2311,2014,Andhra Pradesh,Telangana Communist Party of India,SONU SARSAL VALMIKI,,,,,12,#999,1003769
SECUNDRABAD,2058,2014,Andhra Pradesh,Revolutionary Socialist Party,J.RAMULU,,,,,13,#999,1003769
SECUNDRABAD,1813,2014,Andhra Pradesh,Republican Party of India (Khobragade),B.DEEPAK KUMAR,,,,,14,#999,1003769
SECUNDRABAD,1496,2014,Andhra Pradesh,Bahujan Mukti Party,RAGHU DESHABOINA,,,,,15,#999,1003769
SECUNDRABAD,1144,2014,Andhra Pradesh,Independent,AVULA RANGANAYAKULU,,,,,16,#95b3d7,1003769
SECUNDRABAD,959,2014,Andhra Pradesh,Majlis Markaz-e-Siyasee Party,KLHAJA SIRAJUDDIN AZAZ,,,,,17,#999,1003769
SECUNDRABAD,928,2014,Andhra Pradesh,Prem Janata Dal,DR.N.S.UDAY KUMAR,,,,,18,#999,1003769
SECUNDRABAD,886,2014,Andhra Pradesh,Independent,S. LAKSHMAN RAO,,,,,19,#95b3d7,1003769
