party,year,state,pc,name,sex,age,category,votes,electors,color
ADMK,2009,TAMIL NADU,CHENNAI SOUTH,RAJENDRAN C,M,48,GEN,308567,1162062,#9DBC2A
ADMK,2009,TAMIL NADU,KARUR,THAMBIDURAI.M,M,62,GEN,380542,1012924,#9DBC2A
ADMK,2009,TAMIL NADU,MAYILADUTHURAI,MANIYAN O.S.,M,53,GEN,364089,1091519,#9DBC2A
ADMK,2009,TAMIL NADU,POLLACHI,SUGUMAR.K,M,48,GEN,305935,1017811,#9DBC2A
ADMK,2009,TAMIL NADU,SALEM,SEMMALAI S,M,63,GEN,380460,1171839,#9DBC2A
ADMK,2009,TAMIL NADU,THIRUVALLUR,VENUGOPAL.P,M,57,SC,368294,1204209,#9DBC2A
ADMK,2009,TAMIL NADU,TIRUCHIRAPPALLI,KUMAR.P,M,37,GEN,298710,1067193,#9DBC2A
ADMK,2009,TAMIL NADU,TIRUPPUR,SIVASAMI C,M,51,GEN,295731,993758,#9DBC2A
ADMK,2009,TAMIL NADU,VILUPPURAM,ANANDAN M,M,58,SC,306826,1068171,#9DBC2A
AGP,2009,ASSAM,TEZPUR,JOSEPH TOPPO,M,60,GEN,352246,1210132,#999
AIFB,2009,WEST BENGAL,COOCH BEHAR,NRIPENDRA NATH ROY,M,49,SC,500677,1329086,#999
AIFB,2009,WEST BENGAL,PURULIA,NARAHARI MAHATO,M,54,GEN,399201,1257799,#999
AIMIM,2009,ANDHRA PRADESH,HYDERABAD,ASADUDDIN OWAISI,M,41,GEN,308061,1393242,#999
AITC,2009,WEST BENGAL,BANGAON,GOBINDA CHANDRA NASKAR,M,67,SC,546596,1246979,#0C6965
AITC,2009,WEST BENGAL,BARASAT,KAKALI GHOSH DASTIDAR,F,49,GEN,522530,1226654,#0C6965
AITC,2009,WEST BENGAL,BARRACKPORE,DINESH TRIVEDI,M,58,GEN,428699,1081237,#0C6965
AITC,2009,WEST BENGAL,BASIRHAT,SK. NURUL ISLAM,M,46,GEN,479650,1198579,#0C6965
AITC,2009,WEST BENGAL,BIRBHUM,SATABDI ROY,F,40,GEN,486553,1221893,#0C6965
AITC,2009,WEST BENGAL,DIAMOND HARBOUR,SOMENDRA NATH MITRA,M,68,GEN,564612,1302398,#0C6965
AITC,2009,WEST BENGAL,DUM DUM,SOUGATA RAY,M,61,GEN,458988,1212220,#0C6965
AITC,2009,WEST BENGAL,HOOGHLY,DR. RATNA DE (NAG),F,57,GEN,574022,1405684,#0C6965
AITC,2009,WEST BENGAL,HOWRAH,AMBICA BANERJEE,M,82,GEN,477449,1344746,#0C6965
AITC,2009,WEST BENGAL,JADAVPUR,KABIR SUMAN,M,59,GEN,540667,1331537,#0C6965
AITC,2009,WEST BENGAL,KANTHI,ADHIKARI SISIR KUMAR,M,69,GEN,606712,1249775,#0C6965
AITC,2009,WEST BENGAL,KOLKATA DAKSHIN,MAMATA BANERJEE,F,54,GEN,576045,1505638,#0C6965
AITC,2009,WEST BENGAL,KOLKATA UTTAR,SUDIP BANDYOPADHYAY,M,57,GEN,460646,1366647,#0C6965
AITC,2009,WEST BENGAL,KRISHNANAGAR,TAPAS PAUL,M,51,GEN,443679,1223082,#0C6965
AITC,2009,WEST BENGAL,MATHURAPUR,CHOUDHURY MOHAN JATUA,M,71,SC,565505,1227376,#0C6965
AITC,2009,WEST BENGAL,RANAGHAT,SUCHARU RANJAN HALDAR,M,69,SC,575058,1329436,#0C6965
AITC,2009,WEST BENGAL,SERAMPORE,KALYAN BANERJEE,M,52,GEN,569725,1395570,#0C6965
AITC,2009,WEST BENGAL,TAMLUK,ADHIKARI SUVENDU,M,39,GEN,637664,1271230,#0C6965
AITC,2009,WEST BENGAL,ULUBERIA,SULTAN AHMED,M,56,GEN,514193,1251590,#0C6965
AUDF,2009,ASSAM,DHUBRI,BADRUDDIN AJMAL,M,54,GEN,540820,1371949,#999
BJD,2009,ORISSA,ASKA,NITYANANDA PRADHAN,M,65,GEN,419862,1286194,#000000
BJD,2009,ORISSA,BERHAMPORE,SIDHANT MOHAPATRA,M,42,GEN,319839,1207552,#000000
BJD,2009,ORISSA,BHADRAK,ARJUN CHARAN SETHI,M,68,SC,416808,1372356,#000000
BJD,2009,ORISSA,BHUBANESWAR,PRASANNA KUMAR PATASANI,M,66,GEN,400472,1447002,#000000
BJD,2009,ORISSA,BOLANGIR,KALIKESH NARAYAN SINGH DEO,M,34,GEN,430150,1443484,#000000
BJD,2009,ORISSA,CUTTACK,BHARTRUHARI MAHTAB,M,51,GEN,465089,1283576,#000000
BJD,2009,ORISSA,DHENKANAL,TATHAGATA SATPATHY,M,53,GEN,398568,1283608,#000000
BJD,2009,ORISSA,JAJPUR,MOHAN JENA,M,52,SC,433350,1227088,#000000
BJD,2009,ORISSA,KANDHAMAL,RUDRAMADHAB RAY,M,71,GEN,315314,1065279,#000000
BJD,2009,ORISSA,KENDRAPARA,BAIJAYANT PANDA,M,45,GEN,502635,1434425,#000000
BJD,2009,ORISSA,KEONJHAR,YASHBANT NARAYAN SINGH LAGURI,M,38,ST,389104,1265225,#000000
BJD,2009,ORISSA,KORAPUT,JAYARAM PANGI,M,53,ST,312776,1217768,#000000
BJD,2009,ORISSA,MAYURBHANJ,LAXMAN TUDU,M,47,ST,256648,1173650,#000000
BJD,2009,ORISSA,PURI,PINAKI MISRA,M,49,GEN,436961,1322817,#000000
BJP,2009,A&N ISLANDS,A&N ISLANDS,SHRI. BISHNU PADA RAY,M,59,GEN,75211,265108,#FB7B0D
BJP,2009,ASSAM,GAUHATI,BIJOYA CHAKRAVARTY,F,70,GEN,496047,1723860,#FB7B0D
BJP,2009,ASSAM,MANGALDOI,RAMEN DEKA,M,55,GEN,307881,1416682,#FB7B0D
BJP,2009,ASSAM,NOWGONG,RAJEN GOHAIN,M,57,GEN,380921,1411331,#FB7B0D
BJP,2009,ASSAM,SILCHAR,KABINDRA PURKAYASTHA,M,74,GEN,243532,978510,#FB7B0D
BJP,2009,BIHAR,ARARIA,PRADEEP KUMAR SINGH,M,43,GEN,282742,1311225,#FB7B0D
BJP,2009,BIHAR,BHAGALPUR,SYED SHAHNAWAZ HUSSAIN,M,40,GEN,228384,1433346,#FB7B0D
BJP,2009,BIHAR,DARBHANGA,KIRTI AZAD,M,48,GEN,239268,1307067,#FB7B0D
BJP,2009,BIHAR,GAYA,HARI MANJHI,M,47,SC,246255,1329192,#FB7B0D
BJP,2009,BIHAR,KATIHAR,NIKHIL KUMAR CHOUDHARY,M,63,GEN,269834,1272769,#FB7B0D
BJP,2009,BIHAR,MADHUBANI,HUKMADEO NARAYAN YADAV,M,72,GEN,164094,1397256,#FB7B0D
BJP,2009,BIHAR,NAWADA,BHOLA SINGH,M,70,GEN,130608,1397512,#FB7B0D
BJP,2009,BIHAR,PASCHIM CHAMPARAN,DR. SANJAY JAISWAL,M,44,GEN,198781,1220868,#FB7B0D
BJP,2009,BIHAR,PATNA SAHIB,SHATRUGHAN SINHA,M,62,GEN,316549,1641976,#FB7B0D
BJP,2009,BIHAR,PURNEA,UDAY SINGH ALIAS PAPPU SINGH,M,57,GEN,362952,1305396,#FB7B0D
BJP,2009,BIHAR,PURVI CHAMPARAN,RADHA MOHAN SINGH,M,59,GEN,201114,1187264,#FB7B0D
BJP,2009,BIHAR,SHEOHAR,RAMA DEVI,F,60,GEN,233499,1269056,#FB7B0D
BJP,2009,CHHATTISGARH,BASTAR,BALIRAM KASHYAP,M,73,ST,249373,1193116,#FB7B0D
BJP,2009,CHHATTISGARH,BILASPUR,DILIP SINGH JUDEV,M,60,GEN,347930,1472793,#FB7B0D
BJP,2009,CHHATTISGARH,DURG,SAROJ PANDEY,F,40,GEN,283170,1620400,#FB7B0D
BJP,2009,CHHATTISGARH,JANJGIR,SHRIMATI KAMLA DEVI PATLE,F,43,SC,302142,1518450,#FB7B0D
BJP,2009,CHHATTISGARH,KANKER,SOHAN POTAI,M,49,ST,341131,1296734,#FB7B0D
BJP,2009,CHHATTISGARH,MAHASAMUND,CHANDULAL SAHU (CHANDU BHAIYA),M,49,GEN,371201,1369154,#FB7B0D
BJP,2009,CHHATTISGARH,RAIGARH,VISHNU DEO SAI,M,45,ST,443948,1432746,#FB7B0D
BJP,2009,CHHATTISGARH,RAIPUR,RAMESH BAIS,M,61,GEN,364943,1578868,#FB7B0D
BJP,2009,CHHATTISGARH,RAJNANDGAON,MADHUSUDAN YADAV,M,38,GEN,437721,1411051,#FB7B0D
BJP,2009,CHHATTISGARH,SARGUJA,MURARILAL SINGH,M,49,ST,416532,1306822,#FB7B0D
BJP,2009,D&N HAVELI,DADRA & NAGAR HAVELI,PATEL NATUBHAI GOMANBHAI,M,36,ST,51242,150704,#FB7B0D
BJP,2009,DAMAN & DIU,DAMAN & DIU,LALUBHAI PATEL,M,53,GEN,44546,95382,#FB7B0D
BJP,2009,GOA,NORTH GOA,SHRIPAD YESSO NAIK,M,56,GEN,137716,486983,#FB7B0D
BJP,2009,GUJARAT,AHMEDABAD EAST,HARIN PATHAK,M,62,GEN,318846,1411761,#FB7B0D
BJP,2009,GUJARAT,AHMEDABAD WEST,DR. SOLANKI KIRITBHAI PREMAJIBHAI,M,59,SC,376823,1431080,#FB7B0D
BJP,2009,GUJARAT,AMRELI,KACHHADIA NARANBHAI,M,53,GEN,247666,1312733,#FB7B0D
BJP,2009,GUJARAT,BHARUCH,MANSUKHBHAI DHANJIBHAI VASAVA,M,52,GEN,311019,1311539,#FB7B0D
BJP,2009,GUJARAT,BHAVNAGAR,RAJENDRASINH GHANSHYAMSINH RANA (RAJUBHAI RANA),M,53,GEN,213376,1381619,#FB7B0D
BJP,2009,GUJARAT,CHHOTA UDAIPUR,RATHWA RAMSINGBHAI PATALBHAI,M,57,ST,353534,1412306,#FB7B0D
BJP,2009,GUJARAT,GANDHINAGAR,L.K.ADVANI,M,81,GEN,434044,1555709,#FB7B0D
BJP,2009,GUJARAT,JUNAGADH,SOLANKI DINUBHAI BOGHABHAI,M,51,GEN,355335,1313064,#FB7B0D
BJP,2009,GUJARAT,KACHCHH,JAT POONAMBEN VELJIBHAI,F,37,SC,285300,1325614,#FB7B0D
BJP,2009,GUJARAT,MAHESANA,PATEL JAYSHREEBEN KANUBHAI,F,50,GEN,334631,1393970,#FB7B0D
BJP,2009,GUJARAT,NAVSARI,C. R. PATIL,M,54,GEN,423413,1623415,#FB7B0D
BJP,2009,GUJARAT,PANCHMAHAL,CHAUHAN PRABHATSINH PRATAPSINH,M,67,GEN,282079,1423385,#FB7B0D
BJP,2009,GUJARAT,SABARKANTHA,CHAUHAN MAHENDRASINH,M,55,GEN,337432,1452240,#FB7B0D
BJP,2009,GUJARAT,SURAT,SHRIMATI DARSHANA VIKRAM JARDOSH,F,48,GEN,364947,1420969,#FB7B0D
BJP,2009,GUJARAT,VADODARA,BALKRISHNA KHANDERAO SHUKLA (BALU SHUKLA),M,45,GEN,428833,1524060,#FB7B0D
BJP,2009,HIMACHAL PRADESH,HAMIRPUR,ANURAG SINGH THAKUR,M,34,GEN,373598,1187377,#FB7B0D
BJP,2009,HIMACHAL PRADESH,KANGRA,DR. RAJAN SUSHANT,M,53,GEN,322254,1200165,#FB7B0D
BJP,2009,HIMACHAL PRADESH,SHIMLA,VIRENDER KASHYAP,M,58,SC,310946,1106608,#FB7B0D
BJP,2009,JHARKHAND,DHANBAD,PASHUPATI NATH SINGH,M,60,GEN,260521,1806475,#FB7B0D
BJP,2009,JHARKHAND,GIRIDIH,RAVINDRA KUMAR PANDEY,M,50,GEN,233435,1346527,#FB7B0D
BJP,2009,JHARKHAND,GODDA,NISHIKANT DUBEY,M,37,GEN,189526,1412253,#FB7B0D
BJP,2009,JHARKHAND,HAZARIBAGH,YASHWANT SINHA,M,71,GEN,219810,1301651,#FB7B0D
BJP,2009,JHARKHAND,JAMSHEDPUR,ARJUN MUNDA,M,41,ST,319620,1380279,#FB7B0D
BJP,2009,JHARKHAND,KHUNTI,KARIA MUNDA,M,72,ST,210214,980868,#FB7B0D
BJP,2009,JHARKHAND,LOHARDAGA,SUDARSHAN BHAGAT,M,40,ST,144628,981666,#FB7B0D
