age,category,color,electors,name,party,pc,polled_votes,rank,sex,state,votes,year
,,#019733,180581,A. R. SEWAL,INC,CHAMBA SIRMUR,47812,1,,HIMACHAL PRADESH,28451,1951
,,#019733,350437,AMRIT KAUR,INC,MANDI MAHASU,175377,1,,HIMACHAL PRADESH,47152,1951
,,#B15928,351017,C. MADHAV REDDY,SP,ADILABAD,156907,1,,HYDERABAD,90995,1951
,,#019733,381233,HANMANTH RAO GANESHRAO,INC,AMBAD,145667,1,,HYDERABAD,80563,1951
,,#019733,361434,SURESHCHANDRA SHIVPRASAD ARYA,INC,AURANGABAD,138306,1,,HYDERABAD,71092,1951
,,#999,344586,RAMCHANDER GOVIND PARANJPPE,PDF,BHIR,126253,1,,HYDERABAD,67752,1951
,,#019733,335863,SHOUKATULLA SHAH ANSARI,INC,BIDAR,158378,1,,HYDERABAD,92105,1951
,,#019733,364590,SWAMY RAMANAND TIRTH,INC,GULABARGA,106140,1,,HYDERABAD,56087,1951
,,#019733,343535,AHMED MOHIUDDIN,INC,HYDERABAD CITY,147657,1,,HYDERABAD,70004,1951
,,#019733,345396,SADAT ALI KHAN,INC,IBRAHIMPATAM,144579,1,,HYDERABAD,66536,1951
,,#999,750904,BADAN YELLA REDDY,PDF,KARIMNAGAR,715873,1,#8064a2,HYDERABAD,197234,1951
,,#999,354276,T. B. VITTALA RAO,PDF,KHAMMAM,188064,1,,HYDERABAD,101223,1951
,,#95b3d7,356258,SHIV MURTHY SWAMY,IND,KUSTAGI,170259,1,,HYDERABAD,107209,1951
,,#019733,756778,JANARDHAN REDDY,INC,MAHBOOBNAGAR,344270,1,,HYDERABAD,173926,1951
,,#999,360324,JAISOORYA,PDF,MEDAK,197637,1,,HYDERABAD,90366,1951
,,#999,729504,RAVI NARAYAN REDDY,PDF,NALGONDA,807033,1,,HYDERABAD,309162,1951
,,#019733,710146,SHANKER RAO SRINIVAS RAO,INC,NANDED,444504,1,,HYDERABAD,122638,1951
,,#019733,335863,HARISH CHANDRA HEDA,INC,NIZAMABAD,160995,1,,HYDERABAD,86619,1951
,,#019733,373951,DIWAN RAGHEVENDRA SRINIVAS RAO,INC,OSMANABAD,194043,1,,HYDERABAD,101573,1951
,,#999,370348,NARAYAN RAO WAGHMARE,PWP,PARBHANI,140434,1,,HYDERABAD,92698,1951
,,#019733,377940,EBENEZER S. A.,INC,VICARABAD,181357,1,,HYDERABAD,140861,1951
,,#999,365451,PENDYAL RAGHAVA RAO,PDF,WARANGAL,186506,1,,HYDERABAD,77264,1951
,,#019733,362832,KRISHNA CHARYA JOSHI,INC,YADGIR,0,1,,HYDERABAD,0,1951
,,#019733,147409,DHOLAKIA GULABSHANKER AMRUTLAL,INC,KUTCH EAST,49236,1,,KUTCH,31625,1951
,,#019733,140991,KHIMJI BHAWANJI ARJUN,INC,KUTCH WEST,70344,1,,KUTCH,47146,1951
,,#999,378353,V. G. DESHPANDE,HMS,GUNA,138858,1,,MADHYA BHARAT,56518,1951
,,#999,379320,V. G. DESHPANDE,HMS,GWALIOR,144412,1,,MADHYA BHARAT,65695,1951
,,#019733,387379,NANDLAL SURYA NARAYAN,INC,INDORE,178654,1,,MADHYA BHARAT,109506,1951
,,#019733,369032,AMAR SINGH,INC,JHABUA,140946,1,,MADHYA BHARAT,58299,1951
,,#019733,371375,KAILASH NATH KATJU,INC,MANDSAUR,140861,1,,MADHYA BHARAT,92356,1951
,,#019733,743114,RADHA CHARAN,INC,MORENA BHIND,462963,1,,MADHYA BHARAT,124878,1951
,,#019733,375327,BAJINATH MAHODAYA,INC,NIMAR,127499,1,,MADHYA BHARAT,83433,1951
,,#019733,734582,LILADHAR JOSHI,INC,SHAJAPUR RAJGARH,485562,1,,MADHYA BHARAT,139948,1951
,,#019733,352375,RADHELAL VYAS,INC,UJJAIN,133816,1,,MADHYA BHARAT,72868,1951
,,#019733,357241,PANJABRAO SHAMRAO DESHMUKH,INC,AMRAVATI EAST,221630,1,,MADHYA PRADESH,139120,1951
,,#019733,384307,KRUSHNARAO GULABRAO DESHMUKH,INC,AMRAVATI WEST,207654,1,,MADHYA PRADESH,120266,1951
,,#019733,370922,C. D. GOUTAM,INC,BALAGHAT,179578,1,,MADHYA PRADESH,117725,1951
,,#95b3d7,384277,MUCHAKI KOSA,IND,BASTAR,213845,1,,MADHYA PRADESH,177588,1951
,,#019733,387336,BHIKULAL LAKHMICHAND CHANDAK,INC,BETUL,216283,1,,MADHYA PRADESH,129277,1951
,,#019733,770354,CHATURBHUJ VITHALDAS JASANI,INC,BHANDARA,808807,1,,MADHYA PRADESH,230096,1951
,,#019733,762814,RESHAMLAL,INC,BILASPUR,463236,1,,MADHYA PRADESH,129832,1951
,,#019733,759650,AGAMDAS,INC,BILASPUR DURG RAIPUR,529972,1,,MADHYA PRADESH,116713,1951
,,#019733,783957,GOPALRAO BAJIRAO KHEDKAR,INC,BULDANA AKOLA,862425,1,,MADHYA PRADESH,243386,1951
,,#019733,368225,MULLA ABDULLABHAI TAHERALI,INC,CHANDA,230336,1,,MADHYA PRADESH,142277,1951
,,#019733,381555,RAICHAND BHAI SHAH,INC,CHHINDWARA,131682,1,,MADHYA PRADESH,69997,1951
,,#019733,398341,W. S. KIROLIKAR,INC,DURG,191348,1,,MADHYA PRADESH,121648,1951
,,#019733,394803,BHAGWATI CHARAN SHUKLA,INC,DURG BASTAR,214924,1,,MADHYA PRADESH,102666,1951
,,#019733,364350,SYED AHMAD,INC,HOSHANGABAD,164838,1,,MADHYA PRADESH,65375,1951
,,#019733,399430,SUSHIL KUMAR,INC,JABALPUR NORTH,176914,1,,MADHYA PRADESH,78923,1951
,,#019733,392827,SHEODAS DAGA,INC,MAHASAMUND,159178,1,,MADHYA PRADESH,110886,1951
,,#019733,686330,GOVIND DAS MAHESHWARI,INC,MANDLA JABALPUR SOUTH,593342,1,,MADHYA PRADESH,212914,1951
,,#019733,352870,ANUSAYABAI PURUSHOTTAM KALE,INC,NAGPUR,210078,1,,MADHYA PRADESH,103566,1951
,,#019733,387579,TIWARI BABULAL SURAJBHAN,INC,NIMAR,175023,1,,MADHYA PRADESH,83228,1951
,,#019733,396406,SODHIA KHUBCHAND DARYAO SINGH,INC,SAGAR,157374,1,,MADHYA PRADESH,87689,1951
,,#019733,804512,BABUNATH SINGH,INC,SURGUJA RAIGARH,624338,1,,MADHYA PRADESH,148487,1951
,,#019733,390119,SHRIMANNARAYAN DHARAMNARAYAN AGARWAL,INC,WARDHA,238029,1,,MADHYA PRADESH,144755,1951
,,#019733,396935,SAHADEO ARJUN BHARATI,INC,YEOTMAL,221757,1,,MADHYA PRADESH,124376,1951
,,#019733,364429,PAIDI LAKSHMAYYA,INC,ANANTAPUR,215922,1,,MADRAS,85187,1951
,,#999,372858,U. MUTHURAMALINGA THEVAR,FBL(MG),ARUPPUKKOTTAI,200738,1,,MADRAS,90512,1951
,,#019733,358727,T. SUBRAHMANYAM,INC,BELLARY,219591,1,,MADRAS,124976,1951
,,#019733,334352,O. V. ALAGESAN,INC,CHENGALPATTU,150835,1,,MADRAS,55102,1951
,,#019733,717443,T. N. VISHWANATHA REDDI,INC,CHITTOOR,788694,1,,MADRAS,161590,1951
,,#019733,346405,T. A. RAMALINGA CHETTIAR,INC,COIMBATORE,0,1,,MADRAS,0,1951
,,#999,745514,GOVINDASWAMY KACHIRAYAR,TNT,CUDDALORE,739971,1,,MADRAS,186894,1951
,,#DE0000,368066,ESWARA REDDI YEDDULA,CPI,CUDDAPAH,239982,1,,MADRAS,85125,1951
,,#95b3d7,360076,N. SATYANATHAN,IND,DHARMAPURI,185545,1,,MADRAS,66216,1951
,,#019733,347422,AMMU SWAMINATHAN,INC,DINDIGUL,209488,1,,MADRAS,77285,1951
,,#DE0000,694382,K. SUBHA RAO,CPI,ELURU,1000456,1,,MADRAS,187822,1951
,,#019733,743081,BALAKRISHNAN,INC,ERODE,782686,1,,MADRAS,169708,1951
,,#DE0000,355301,K. GOPALA RAO,CPI,GUDIVADA,276723,1,,MADRAS,142537,1951
,,#95b3d7,364698,S. V. LAXMI NARASIMHAM,IND,GUNTUR,254499,1,,MADRAS,79350,1951
,,#DE0000,346057,CHELIKANI VENKATA RAMA RAO,CPI,KAKINADA,219834,1,,MADRAS,85901,1951
,,#999,332827,A. KRISHNASWAMI,CWL,KANCHEEPURAM,199957,1,,MADRAS,111233,1951
,,#DE0000,364218,A. K. GOPALAN,CPI,KANNUR,252481,1,,MADRAS,166299,1951
,,#999,355807,ACHUTHAN DAMODARAN MENON,KMPP,KOZHIKODE,236008,1,,MADRAS,104466,1951
,,#019733,355317,C. R. NARASIMHAN,INC,KRISHNAGIRI,147253,1,,MADRAS,61672,1951
,,#019733,361514,C. RAMASWAMY MUDALIAR,INC,KUMBAKONAM,229457,1,,MADRAS,95433,1951
,,#019733,354755,H. SITHARAMA REDDY,INC,KURNOOL,194213,1,,MADRAS,70887,1951
,,#019733,369299,T. T. KRISHNAMACHARI,INC,MADRAS,195370,1,,MADRAS,79431,1951
,,#019733,757254,S. BALASUBRAMANIAM,INC,MADURAI,733762,1,,MADRAS,195762,1951
,,#999,369412,B. POCKER,ML,MALAPPURAM,203899,1,,MADRAS,79470,1951
,,#DE0000,332940,SANKA BUTEHIKOTTAIAH,CPI,MASULIPATNAM,253728,1,,MADRAS,124101,1951
,,#DE0000,730234,K. ANANDA NAMBIAR,CPI,MAYURAM,883765,1,,MADRAS,198743,1951
,,#95b3d7,380100,SESHAGIRI RAO,IND,NANDYAL,244765,1,,MADRAS,67905,1951
,,#95b3d7,366257,CHAPALAMADUGU RAMIAH CHOWDRY,IND,NARASARAOPET,216472,1,,MADRAS,78332,1951
,,#95b3d7,347698,BEZWADA RAMACHANDRA REDDY,IND,NELLORE,207004,1,,MADRAS,67582,1951
,,#95b3d7,729786,M. NANADASS,IND,ONGOLE,723926,1,,MADRAS,152472,1951
,,#95b3d7,368440,N. RAMA SESHIAH,IND,PARVATHIPURAM,198166,1,,MADRAS,67124,1951
,,#019733,338485,V. V. GIRI,INC,PATHAPATNAM,167679,1,,MADRAS,50084,1951
