pc,year,state,party,name,sex,age,category,votes,electors,rank,color,polled_votes
BILASPUR,1951,MADHYA PRADESH,INC,RESHAMLAL,,,,129832,762814,1,#019733,463236
BILASPUR DURG RAIPUR,1951,MADHYA PRADESH,INC,AGAMDAS,,,,116713,759650,1,#019733,529972
BULDANA AKOLA,1951,MADHYA PRADESH,INC,GOPALRAO BAJIRAO KHEDKAR,,,,243386,783957,1,#019733,862425
CHANDA,1951,MADHYA PRADESH,INC,MULLA ABDULLABHAI TAHERALI,,,,142277,368225,1,#019733,230336
CHHINDWARA,1951,MADHYA PRADESH,INC,RAICHAND BHAI SHAH,,,,69997,381555,1,#019733,131682
DURG,1951,MADHYA PRADESH,INC,W. S. KIROLIKAR,,,,121648,398341,1,#019733,191348
DURG BASTAR,1951,MADHYA PRADESH,INC,BHAGWATI CHARAN SHUKLA,,,,102666,394803,1,#019733,214924
HOSHANGABAD,1951,MADHYA PRADESH,INC,SYED AHMAD,,,,65375,364350,1,#019733,164838
JABALPUR NORTH,1951,MADHYA PRADESH,INC,SUSHIL KUMAR,,,,78923,399430,1,#019733,176914
MAHASAMUND,1951,MADHYA PRADESH,INC,SHEODAS DAGA,,,,110886,392827,1,#019733,159178
MANDLA JABALPUR SOUTH,1951,MADHYA PRADESH,INC,GOVIND DAS MAHESHWARI,,,,212914,686330,1,#019733,593342
NAGPUR,1951,MADHYA PRADESH,INC,ANUSAYABAI PURUSHOTTAM KALE,,,,103566,352870,1,#019733,210078
NIMAR,1951,MADHYA PRADESH,INC,TIWARI BABULAL SURAJBHAN,,,,83228,387579,1,#019733,175023
SAGAR,1951,MADHYA PRADESH,INC,SODHIA KHUBCHAND DARYAO SINGH,,,,87689,396406,1,#019733,157374
SURGUJA RAIGARH,1951,MADHYA PRADESH,INC,BABUNATH SINGH,,,,148487,804512,1,#019733,624338
WARDHA,1951,MADHYA PRADESH,INC,SHRIMANNARAYAN DHARAMNARAYAN AGARWAL,,,,144755,390119,1,#019733,238029
YEOTMAL,1951,MADHYA PRADESH,INC,SAHADEO ARJUN BHARATI,,,,124376,396935,1,#019733,221757
ANANTAPUR,1951,MADRAS,INC,PAIDI LAKSHMAYYA,,,,85187,364429,1,#019733,215922
ARUPPUKKOTTAI,1951,MADRAS,FBL(MG),U. MUTHURAMALINGA THEVAR,,,,90512,372858,1,#999,200738
BELLARY,1951,MADRAS,INC,T. SUBRAHMANYAM,,,,124976,358727,1,#019733,219591
CHENGALPATTU,1951,MADRAS,INC,O. V. ALAGESAN,,,,55102,334352,1,#019733,150835
CHITTOOR,1951,MADRAS,INC,T. N. VISHWANATHA REDDI,,,,161590,717443,1,#019733,788694
COIMBATORE,1951,MADRAS,INC,T. A. RAMALINGA CHETTIAR,,,,0,346405,1,#019733,0
CUDDALORE,1951,MADRAS,TNT,GOVINDASWAMY KACHIRAYAR,,,,186894,745514,1,#999,739971
CUDDAPAH,1951,MADRAS,CPI,ESWARA REDDI YEDDULA,,,,85125,368066,1,#DE0000,239982
DHARMAPURI,1951,MADRAS,IND,N. SATYANATHAN,,,,66216,360076,1,#95b3d7,185545
DINDIGUL,1951,MADRAS,INC,AMMU SWAMINATHAN,,,,77285,347422,1,#019733,209488
ELURU,1951,MADRAS,CPI,K. SUBHA RAO,,,,187822,694382,1,#DE0000,1000456
ERODE,1951,MADRAS,INC,BALAKRISHNAN,,,,169708,743081,1,#019733,782686
GUDIVADA,1951,MADRAS,CPI,K. GOPALA RAO,,,,142537,355301,1,#DE0000,276723
GUNTUR,1951,MADRAS,IND,S. V. LAXMI NARASIMHAM,,,,79350,364698,1,#95b3d7,254499
KAKINADA,1951,MADRAS,CPI,CHELIKANI VENKATA RAMA RAO,,,,85901,346057,1,#DE0000,219834
KANCHEEPURAM,1951,MADRAS,CWL,A. KRISHNASWAMI,,,,111233,332827,1,#999,199957
KANNUR,1951,MADRAS,CPI,A. K. GOPALAN,,,,166299,364218,1,#DE0000,252481
KOZHIKODE,1951,MADRAS,KMPP,ACHUTHAN DAMODARAN MENON,,,,104466,355807,1,#999,236008
KRISHNAGIRI,1951,MADRAS,INC,C. R. NARASIMHAN,,,,61672,355317,1,#019733,147253
KUMBAKONAM,1951,MADRAS,INC,C. RAMASWAMY MUDALIAR,,,,95433,361514,1,#019733,229457
KURNOOL,1951,MADRAS,INC,H. SITHARAMA REDDY,,,,70887,354755,1,#019733,194213
MADRAS,1951,MADRAS,INC,T. T. KRISHNAMACHARI,,,,79431,369299,1,#019733,195370
