pc,year,state,party,name,sex,age,category,votes,electors,rank,color,polled_votes
MATHURAPUR,1984,WEST BENGAL,INC,MANORANJAN HALDER,M,,,282343,734234,1,#019733,590776
MIDNAPORE,1984,WEST BENGAL,CPI,NARAYAN CHOUBEY,M,,,318511,761479,1,#DE0000,599292
MURSHIDABAD,1984,WEST BENGAL,CPM,SYED MUSUDAL HOSSAIN,M,,,316571,806154,1,#DE0000,672829
NABADWIP,1984,WEST BENGAL,CPM,BIBHA GHOSH (GOSWAMI),F,,,341188,856500,1,#DE0000,682823
PANSKURA,1984,WEST BENGAL,CPI,GEETA MUKHERJEE,F,,,321694,709027,1,#DE0000,599884
PURULIA,1984,WEST BENGAL,FBL,CHITTARANJAN MAHATA,M,,,261460,754447,1,#999,544769
RAIGANJ,1984,WEST BENGAL,INC,GOLAM YAZDANI,M,,,271983,767348,1,#019733,562100
SERAMPORE,1984,WEST BENGAL,INC,BIMAL KANTI GHOSH,M,,,338152,875228,1,#019733,656564
TAMLUK,1984,WEST BENGAL,CPM,MISHRA SATYAGOPAL,M,,,313955,766616,1,#DE0000,628754
ULUBERIA,1984,WEST BENGAL,CPM,HANNAN MOLLAH,M,,,312041,774360,1,#DE0000,618097
VISHNUPUR,1984,WEST BENGAL,CPM,AJIT KUMAR SAHA,M,,,328580,761725,1,#DE0000,599875
AUTONOMOUS DISTS,1985,ASSAM,INC,BIREN SINGH ENGTI,M,,,79183,330649,1,#019733,207149
BARPETA,1985,ASSAM,IND,ATAUR RAHMAN,M,,,282533,731285,1,#95b3d7,636586
DHUBRI,1985,ASSAM,IND,ABDUL HAMID,M,,,159945,740858,1,#95b3d7,617349
DIBRUGARH,1985,ASSAM,INC,HAREN BHUMJI,M,,,229263,919207,1,#019733,452402
GAUHATI,1985,ASSAM,IND,DINESH GOSWAMI,M,,,428013,874981,1,#95b3d7,702508
JORHAT,1985,ASSAM,IND,PARAG CHALIHA,M,,,288540,726711,1,#95b3d7,505149
KALIABOR,1985,ASSAM,IND,BHADRESWAR TANTI,M,,,240647,793121,1,#95b3d7,579280
KARIMGANJ,1985,ASSAM,ICS,SUDARSAN DAS,M,,,230823,677521,1,#999,489669
KOKRAJHAR,1985,ASSAM,PTC,SAMAR BRAHMA CHOUDHURY,M,,,184508,733958,1,#999,614363
LAKHIMPUR,1985,ASSAM,IND,GAKUL SAIKIA,M,,,251730,727183,1,#95b3d7,501246
MANGALDOI,1985,ASSAM,IND,SAIFUDDIN AKMED,M,,,282014,787076,1,#95b3d7,615571
NOWGONG,1985,ASSAM,IND,MUHIRAM SAIKIA,M,,,229377,757667,1,#95b3d7,593134
SILCHAR,1985,ASSAM,INC,SANTOSH MOHAN DEV,M,,,219790,625148,1,#019733,449662
TEZPUR,1985,ASSAM,INC,BIPIN PAL DAS,M,,,159440,672296,1,#019733,504167
AMRITSAR,1985,PUNJAB,INC,RAGHUNANDAN LAL BHATIA,M,,,249303,857357,1,#019733,508868
BHATINDA,1985,PUNJAB,SAD,TEJA SINGH DARDI,M,,,260222,842005,1,#999,565588
FARIDKOT,1985,PUNJAB,SAD,SHAMINDER SINGH,M,,,268221,848893,1,#999,524959
FEROZEPUR,1985,PUNJAB,INC,GURDIAL SINGH DHILLON,M,,,209835,844964,1,#019733,552541
GURDASPUR,1985,PUNJAB,INC,SUKHBUNS KAUR,F,,,186765,754117,1,#019733,491854
HOSHIARPUR,1985,PUNJAB,INC,KAMAL CHUDHARY,M,,,237753,780463,1,#019733,496308
JALANDHAR,1985,PUNJAB,INC,RAJINDER SINGH SPARROW,M,,,248276,757112,1,#019733,489049
LUDHIANA,1985,PUNJAB,SAD,MEWA SINGH,M,,,273352,916363,1,#999,566776
PATIALA,1985,PUNJAB,SAD,CHARANJIT SINGH,M,,,254302,824586,1,#999,564779
PHILLAUR,1985,PUNJAB,INC,SUNDER SINGH,M,,,213377,840382,1,#019733,549570
ROPAR,1985,PUNJAB,SAD,CHARANJIT SINGH,M,,,336503,866200,1,#999,623371
SANGRUR,1985,PUNJAB,SAD,BALWANT SINGH RAMUWALIA,M,,,288208,793493,1,#999,540764
TARN TARAN,1985,PUNJAB,SAD,TARLOCHAN SINGH TUR,M,,,253567,811129,1,#999,458463
A&N ISLANDS,1989,A&N ISLANDS,INC,MANORANJAN BHAKTA,M,,,53383,160940,1,#019733,113065
ADILABAD,1989,ANDHRA PRADESH,INC,P.NARASA REDDY,M,,,290072,888183,1,#019733,552264
AMALAPURAM,1989,ANDHRA PRADESH,INC,KUSUMA KRISHNA MURTY,M,,,339419,835700,1,#019733,632287
ANAKAPALLI,1989,ANDHRA PRADESH,INC,KONATHALA RAMAKRISHNA,M,,,299109,893262,1,#019733,633597
ANANTAPUR,1989,ANDHRA PRADESH,INC,ANANTHA VENKATA REDDY,M,,,349685,1013902,1,#019733,649375
BAPATLA,1989,ANDHRA PRADESH,INC,SALAGALA BENJAMIN,M,,,364008,999676,1,#019733,697980
BHADRACHALAM,1989,ANDHRA PRADESH,INC,KARIYEDDULA KAMALA KUMARI,F,,,270648,941288,1,#019733,557113
BOBBILI,1989,ANDHRA PRADESH,TDP,KOMBURI RAM MOHAN RAO,M,,,325809,860717,1,#4bacc6,611674
CHITTOOR,1989,ANDHRA PRADESH,INC,GNANENDRA REDDY,M,,,390786,1002523,1,#019733,712718
CUDDAPAH,1989,ANDHRA PRADESH,INC,Y.S.RAJASEKHAR REDDY,M,,,480524,1135322,1,#019733,798740
ELURU,1989,ANDHRA PRADESH,INC,KRISHANA,M,,,410708,981369,1,#019733,755515
GUNTUR,1989,ANDHRA PRADESH,INC,N.G.RANGA,M,,,404558,1114045,1,#019733,749809
HANAMKONDA,1989,ANDHRA PRADESH,INC,KAMALUDDIN AHMED,M,,,310079,959004,1,#019733,612076
HINDUPUR,1989,ANDHRA PRADESH,INC,S.GANGADHARA,M,,,327512,984977,1,#019733,652856
HYDERABAD,1989,ANDHRA PRADESH,MIM,SULTAN SALAHUDDIN OWAISI,M,,,403625,1278250,1,#999,879187
KAKINADA,1989,ANDHRA PRADESH,INC,MALLIPUDI MANGAPATHI PALLAMRAJU,M,,,383681,979213,1,#019733,704654
KARIMNAGAR,1989,ANDHRA PRADESH,INC,CHOKKA RAO JUVVADI,M,,,284200,1075755,1,#019733,632285
KHAMMAM,1989,ANDHRA PRADESH,INC,JALAGAM VENGAL RAO,M,,,388461,1038053,1,#019733,781933
KURNOOL,1989,ANDHRA PRADESH,INC,KOTLA VIJAY BHASKARA REDDY,M,,,363955,968645,1,#019733,628754
MACHILIPATNAM,1989,ANDHRA PRADESH,INC,SAMBASIVARAO KAVURI,M,,,354533,908538,1,#019733,680994
MAHABUBNAGAR,1989,ANDHRA PRADESH,INC,MALLIKARJUN,M,,,335762,1038379,1,#019733,645770
MEDAK,1989,ANDHRA PRADESH,INC,BAGAREDDY M.,M,,,383586,1057204,1,#019733,704875
MIRYALGUDA,1989,ANDHRA PRADESH,INC,B.N.REDDY,M,,,396615,1091124,1,#019733,787440
NAGARKURNOOL,1989,ANDHRA PRADESH,INC,ANATHA RAMULU MULLU,M,,,363026,1000322,1,#019733,672951
NALGONDA,1989,ANDHRA PRADESH,INC,CHALILAM SRINIVASA RAO,M,,,357733,1144127,1,#019733,745471
NANDYAL,1989,ANDHRA PRADESH,INC,BOJJA VENKATA REDDY,M,,,370097,1001172,1,#019733,690103
NARASAPUR,1989,ANDHRA PRADESH,TDP,BHUPATIRAJU VIJAYA KUMAR RAJU,M,,,334215,931902,1,#4bacc6,664308
NARASARAOPET,1989,ANDHRA PRADESH,INC,KASU VENKATA KRISHNA REDDY,M,,,402289,1138866,1,#019733,755362
NELLORE,1989,ANDHRA PRADESH,INC,PUTCHALAPALLI PENCHALAIAH,M,,,377602,1064416,1,#019733,714775
NIZAMABAD,1989,ANDHRA PRADESH,INC,TADURI BALA GOUD,M,,,294340,963180,1,#019733,648088
ONGOLE,1989,ANDHRA PRADESH,INC,RAJAMOHANA REDDY MEKAPATI,M,,,396282,1107153,1,#019733,706811
PARVATHIPURAM,1989,ANDHRA PRADESH,INC,VIJAYARAMARAJU SATRUCHARLA,M,,,284228,809362,1,#019733,551416
PEDDAPALLI,1989,ANDHRA PRADESH,INC,G.VENKAT SWAMY,M,,,320628,1096253,1,#019733,640604
RAJAHMUNDRY,1989,ANDHRA PRADESH,INC,JAMUNA,F,,,386314,972851,1,#019733,720327
RAJAMPET,1989,ANDHRA PRADESH,INC,ANNAIAHGARI SAI PRATHAP,M,,,340796,945601,1,#019733,656285
SECUNDERABAD,1989,ANDHRA PRADESH,INC,T.MANEMMA,F,,,348491,1154622,1,#019733,646751
SIDDIPET,1989,ANDHRA PRADESH,INC,YELLAIAH NANDI,M,,,378172,1144328,1,#019733,720957
SRIKAKULAM,1989,ANDHRA PRADESH,INC,VISWANATHAM KANITHI,M,,,288263,861650,1,#019733,604275
TENALI,1989,ANDHRA PRADESH,INC,BASAVAPANNAYYA SINGAM,M,,,345150,890858,1,#019733,632195
TIRUPATI,1989,ANDHRA PRADESH,INC,CHINTA MOHAN,M,,,406057,1077859,1,#019733,746951
VIJAYAWADA,1989,ANDHRA PRADESH,INC,CHENNUPATI VIDYA,F,,,423867,1106132,1,#019733,804438
VISAKHAPATNAM,1989,ANDHRA PRADESH,INC,UMA GAJAPATHI RAJU POOSAPATI,F,,,352326,1073318,1,#019733,700337
WARANGAL,1989,ANDHRA PRADESH,INC,SURENDER REDDY RAMASAHAYAM,M,,,311810,946078,1,#019733,680618
ARUNACHAL EAST,1989,ARUNACHAL PRADESH,INC,LAETA UMBREY,M,,,73294,193555,1,#019733,123014
ARUNACHAL WEST,1989,ARUNACHAL PRADESH,INC,PREM KHANDU THUNGON,M,,,63247,282496,1,#019733,150116
ARARIA,1989,BIHAR,JD,SUKDEO PASWAN,M,,,245693,917760,1,#8064a2,557301
ARRAH,1989,BIHAR,IPF,RAMESHWAR PRASAD,M,,,178211,1060759,1,#999,545791
AURANGABAD,1989,BIHAR,JD,RAM NARESH SINGH,M,,,269493,975199,1,#8064a2,565274
BAGAHA,1989,BIHAR,JD,MAHENDRA BAITHA,M,,,232362,871641,1,#8064a2,390367
BALIA,1989,BIHAR,CPI,SURYANARAYAN SINGH,M,,,324353,906074,1,#DE0000,511934
BANKA,1989,BIHAR,JD,PRATAP SINGH,M,,,369771,955374,1,#8064a2,528470
BARH,1989,BIHAR,JD,NITISH KUMAR,M,,,368972,1031955,1,#8064a2,696236
BEGUSARAI,1989,BIHAR,JD,LALIT VIJAY SINGH,M,,,333570,986317,1,#8064a2,603707
BETTIAH,1989,BIHAR,JD,DHARMESH PRASSAD VERMA,M,,,209009,911262,1,#8064a2,510547
BHAGALPUR,1989,BIHAR,JD,CHUN CHUN PRASAD YADAV,M,,,547723,1046877,1,#8064a2,671816
BIKRAMGANJ,1989,BIHAR,JD,RAM PARSAD SINGH,M,,,219941,983892,1,#8064a2,538328
BUXAR,1989,BIHAR,CPI,TEJ NARAIN SINGH,M,,,212596,988344,1,#DE0000,546668
CHAPRA,1989,BIHAR,JD,LALOO PRASSAD,M,,,333897,1010173,1,#8064a2,652929
CHATRA,1989,BIHAR,JD,UPENDER NATH VERMA,M,,,224839,885097,1,#8064a2,453260
DARBHANGA,1989,BIHAR,JD,SHAKEEUL RAHMAN,M,,,356894,921749,1,#8064a2,648822
DHANBAD,1989,BIHAR,M-COR,A.K.ROY,M,,,247013,1156446,1,#999,637021
DUMKA,1989,BIHAR,JMM,SHIBU SOHAN,M,,,247502,869933,1,#999,405964
GAYA,1989,BIHAR,JD,INSWAR CHAUDHARY,M,,,390200,965265,1,#8064a2,665491
GIRIDIH,1989,BIHAR,BJP,RAM DAS SINGH,M,,,164573,938564,1,#FB7B0D,485166
GODDA,1989,BIHAR,BJP,JANARDHAN YADAV,M,,,308134,960243,1,#FB7B0D,568055
GOPALGANJ,1989,BIHAR,JD,RAJMANGAL MISHRA,M,,,429563,944046,1,#8064a2,681677
HAJIPUR,1989,BIHAR,JD,RAM VILAS PASWAN,M,,,615129,977499,1,#8064a2,731592
HAZARIBAGH,1989,BIHAR,BJP,YADUNATH PANDEY,M,,,233060,1010692,1,#FB7B0D,529895
JAHANABAD,1989,BIHAR,CPI,RAMASHRAY PRASAD SINGH,M,,,286800,1058677,1,#DE0000,689907
JAMSHEDPUR,1989,BIHAR,JMM,SHAILENDRA MAHTO,M,,,140006,953395,1,#999,516270
JHANJHARPUR,1989,BIHAR,JD,DEVANDRA PRASSAD YADAV,M,,,339454,958736,1,#8064a2,532066
KATIHAR,1989,BIHAR,JD,YUVARJ,M,,,338782,855079,1,#8064a2,619228
KHAGARIA,1989,BIHAR,JD,RAM SHARAN YADAV,M,,,300774,946945,1,#8064a2,581926
KHUNTI,1989,BIHAR,BJP,KARIA MUNDA,M,,,110580,755724,1,#FB7B0D,333260
KISHANGANJ,1989,BIHAR,INC,M.J.AKBAR,M,,,178556,956458,1,#019733,548826
KODARMA,1989,BIHAR,BJP,RITLAL PRASAD VERMA,M,,,243805,964011,1,#FB7B0D,536188
LOHARDAGA,1989,BIHAR,INC,SUMATI ORAON,F,,,148320,825417,1,#019733,369193
MADHEPURA,1989,BIHAR,JD,RAMESH KUMAR YADAV RAVI,M,,,451856,976967,1,#8064a2,664005
MADHUBANI,1989,BIHAR,CPI,BHOGENDRA JHA,M,,,275858,981067,1,#DE0000,550019
MAHARAJGANJ,1989,BIHAR,JD,CHANRASBEKHAR,M,,,382488,1024013,1,#8064a2,586049
MONGHYR,1989,BIHAR,JD,DHANRAJ SINGH,M,,,279533,1015385,1,#8064a2,694723
MOTIHARI,1989,BIHAR,BJP,RADHA MOHAN SINGH,M,,,253292,936758,1,#FB7B0D,543412
MUZAFFARPUR,1989,BIHAR,JD,GEORGE FARNANDES,M,,,492615,981763,1,#8064a2,715437
NALANDA,1989,BIHAR,INC,RAM SAROOP PRASAD,M,,,256349,1085349,1,#019733,698122
NAWADA,1989,BIHAR,CPM,PREM PARDEEP,M,,,310370,1152371,1,#DE0000,649326
PALAMU,1989,BIHAR,JD,JAORWAR RAM,M,,,142573,911225,1,#8064a2,382294
PATNA,1989,BIHAR,BJP,SHAILENDRA NATH SRIVASTAVA,M,,,187666,1173277,1,#FB7B0D,621326
PURNEA,1989,BIHAR,JD,TASLIMUDIN,M,,,177159,923058,1,#8064a2,561585
RAJMAHAL,1989,BIHAR,JMM,SIMON MARANDI,M,,,265332,829017,1,#999,456601
RANCHI,1989,BIHAR,JD,SUBODH KANT SAHAY,M,,,163919,925104,1,#8064a2,466266
ROSERA,1989,BIHAR,JD,DASHAI CHAUDHARY,M,,,394291,964871,1,#8064a2,619742
SAHARSA,1989,BIHAR,JD,SURYA NR. YADAV,M,,,502662,1058549,1,#8064a2,760273
SAMASTIPUR,1989,BIHAR,JD,MANJAI LAL,M,,,451477,1075195,1,#8064a2,694963
SASARAM,1989,BIHAR,JD,CHHEDI PASWAN,M,,,306615,965857,1,#8064a2,531432
SHEOHAR,1989,BIHAR,JD,HARI KISHOR SINGH,M,,,463687,962568,1,#8064a2,625670
SINGHBHUM,1989,BIHAR,INC,BAGUA SAMBURI,M,,,84591,760236,1,#019733,276427
SITAMARHI,1989,BIHAR,JD,HUKUMDEO NARAYAN YADAV,M,,,335796,1011260,1,#8064a2,647197
SIWAN,1989,BIHAR,BJP,JANARDAN TIWARI,M,,,334637,965656,1,#FB7B0D,552892
VAISHALI,1989,BIHAR,JD,USHA SINGH,F,,,441514,964120,1,#8064a2,702557
CHANDIGARH,1989,CHANDIGARH,JD,HARMOHAN DHAWAN,M,,,91212,334522,1,#8064a2,216903
DADRA & NAGAR HAVELI,1989,D&N HAVELI,IND,DELKAR MOHANBHAI SANJIBHAI,M,,,22184,74320,1,#95b3d7,51998
DAMAN & DIU,1989,DAMAN & DIU,IND,TANDEL DEVJI JOGIBHAI,M,,,15647,56719,1,#95b3d7,36538
MARMAGOA,1989,GOA,INC,FALEIRO EDURADO MARTHINHO,M,,,97545,400321,1,#019733,178641
PANAJI,1989,GOA,MAG,GOPAL MAYOKAR,M,,,116392,333994,1,#999,239044
AHMEDABAD,1989,GUJARAT,BJP,HARIN PATHAK,M,,,334098,996893,1,#FB7B0D,570267
AMRELI,1989,GUJARAT,JD,MANUBHAI KOTADIYA,M,,,281279,808611,1,#8064a2,459923
ANAND,1989,GUJARAT,BJP,PATEL NATHUBHAI MANIBHAI,M,,,313548,896601,1,#FB7B0D,573208
BANASKANTHA,1989,GUJARAT,JD,SHAH JAYANTILAL VIRCHANDBHAI,M,,,392636,895911,1,#8064a2,560227
BARODA,1989,GUJARAT,JD,KOKO ALIAS PRAKASH KANUBHAI BRAHMBHATT,M,,,346397,1109306,1,#8064a2,684705
BHAVNAGAR,1989,GUJARAT,INC,JAMOD SHASHIKANT MAVJIBHAI,M,,,143294,900926,1,#019733,348896
BROACH,1989,GUJARAT,BJP,DESHMUKH CHANDUBHAI SHAMBHAI,M,,,360381,914569,1,#FB7B0D,624336
BULSAR,1989,GUJARAT,JD,AJUNBHAI LALLUBHAI PATEL,M,,,223146,958712,1,#8064a2,438120
CHHOTA UDAIPUR,1989,GUJARAT,JD,RAHAWA NARANBHAI JAMALBHAI,M,,,228521,847132,1,#8064a2,448929
DHANDHUKA,1989,GUJARAT,BJP,RATILAL KALIDAS VERMA,M,,,288301,890279,1,#FB7B0D,449784
DOHAD,1989,GUJARAT,INC,SOMAIBAHI DAMOR,M,,,168774,841474,1,#019733,322487
GANDHINAGAR,1989,GUJARAT,BJP,VEGHELA SHANKARJI LAXMANJI,M,,,495383,1318428,1,#FB7B0D,748118
GODHRA,1989,GUJARAT,JD,PATEL SHANTILA PURUSHOTTAMDAS,M,,,229391,831918,1,#8064a2,410560
JAMNAGAR,1989,GUJARAT,BJP,KORADIYA CHANDRESH KUMAR VALJIBHAI (CHANDRESH PATEL),M,,,182356,819518,1,#FB7B0D,354570
JUNAGADH,1989,GUJARAT,JD,SHEKHADA GOVINDHHAL KANJIBHAI,M,,,270966,915517,1,#8064a2,446995
KAIRA,1989,GUJARAT,JD,CHAUHAN PRABHATSINH HATHISINH,M,,,331605,922544,1,#8064a2,557223
KAPADVANJ,1989,GUJARAT,BJP,GABHAJI MANGAJI THAKOR,M,,,321995,946333,1,#FB7B0D,509302
KUTCH,1989,GUJARAT,BJP,BABU BHAI MEGHJI SHAH,M,,,228394,707040,1,#FB7B0D,395678
MANDVI,1989,GUJARAT,INC,GHAMIT CHHITUBHAI DEVIBHAI,M,,,225458,893665,1,#019733,417617
MEHSANA,1989,GUJARAT,BJP,A.K.PATEL,M,,,387797,997389,1,#FB7B0D,655345
PATAN,1989,GUJARAT,JD,CHAWADA KHEM CHANDBHAI SOMABHAI,M,,,346562,928054,1,#8064a2,496093
PORBANDAR,1989,GUJARAT,JD,MANVAR BALVANTBHAI BACHUBHAI,M,,,198058,844067,1,#8064a2,355472
RAJKOT,1989,GUJARAT,BJP,VEKARIA SHIVLAL NAGIBHAI,M,,,345185,1092514,1,#FB7B0D,513701
SABARKANTHA,1989,GUJARAT,JD,MAGANBHAI MANIBHAI PATEL,M,,,286947,935924,1,#8064a2,506785
SURAT,1989,GUJARAT,BJP,KASHIRAM RANA,M,,,428465,1288729,1,#FB7B0D,682816
SURENDRANAGAR,1989,GUJARAT,BJP,KOLI PATEL SOMABHAI GANDABHI,M,,,257344,832118,1,#FB7B0D,411842
AMBALA,1989,HARYANA,INC,RAM PARKASH,M,,,264074,899299,1,#019733,571129
BHIWANI,1989,HARYANA,INC,BANSI LAL,M,,,357625,944629,1,#019733,594800
FARIDABAD,1989,HARYANA,INC,BHAJAN LAL,M,,,404646,1131257,1,#019733,699932
HISSAR,1989,HARYANA,JD,JAI PARKASH,M,,,291073,912985,1,#8064a2,573845
KARNAL,1989,HARYANA,INC,CHIRANJIT LAL,M,,,274465,946620,1,#019733,595298
KURUKSHETRA,1989,HARYANA,JD,GURDIAL SINGH SAINI,M,,,301640,915880,1,#8064a2,606657
MAHENDRAGARH,1989,HARYANA,JD,BIRENDER SINGH,M,,,304805,1057536,1,#8064a2,637203
ROHTAK,1989,HARYANA,JD,DEVI LAL,M,,,390243,908794,1,#8064a2,607763
SIRSA,1989,HARYANA,JD,HET RAM,M,,,304768,976500,1,#8064a2,612023
SONEPAT,1989,HARYANA,JD,KAPIL DEV,M,,,308291,943188,1,#8064a2,605122
HAMIRPUR,1989,HIMACHAL PRADESH,BJP,THAKUR PREM KUMAR DHUMAL,M,,,237429,770754,1,#FB7B0D,488754
KANGRA,1989,HIMACHAL PRADESH,BJP,SHANTA KUMAR,M,,,235147,737973,1,#FB7B0D,507577
MANDI,1989,HIMACHAL PRADESH,BJP,MAHESHWAR SINGH,M,,,234164,756145,1,#FB7B0D,464947
SIMLA,1989,HIMACHAL PRADESH,INC,KRISHAN DUTT SULTAN PURI,M,,,201912,718487,1,#019733,420744
ANANTNAG,1989,JAMMU & KASHMIR,JKN,P.L.HANDOO,M,,,36055,736495,1,#999,36907
BARAMULLA,1989,JAMMU & KASHMIR,JKN,SAIF UD DIN SOZE,M,,,35139,698284,1,#999,37466
JAMMU,1989,JAMMU & KASHMIR,INC,JANAK RAI GUPTA,M,,,239701,1026600,1,#019733,573223
LADAKH,1989,JAMMU & KASHMIR,IND,MOHD. HASSAN,M,,,45151,101738,1,#95b3d7,85763
SRINAGAR,1989,JAMMU & KASHMIR,JKN,MOHAMMAD SHAFI BHAT,M,,,0,782715,1,#999,0
UDHAMPUR,1989,JAMMU & KASHMIR,INC,DHARAM PAUL,M,,,127161,809465,1,#019733,312762
BAGALKOT,1989,KARNATAKA,INC,PATIL SUBHASH TAMMANNAPPA,M,,,306990,956206,1,#019733,633198
BANGALORE NORTH,1989,KARNATAKA,INC,C.K.JAFFER SHARIEFF,M,,,390460,1328013,1,#019733,753034
BANGALORE SOUTH,1989,KARNATAKA,INC,R.GUNDU RAO,M,,,413574,1312751,1,#019733,721241
BELGAUM,1989,KARNATAKA,INC,SIDNAL SHANMUKAPPA BASSAPPA,M,,,210329,1024662,1,#019733,647192
BELLARY,1989,KARNATAKA,INC,BASAVARAJESWERI,F,,,336337,1031006,1,#019733,647775
BIDAR,1989,KARNATAKA,INC,NARSINGRAO SURYA VANSHI,M,,,177828,993316,1,#019733,550865
BIJAPUR,1989,KARNATAKA,INC,GUDADINNI BASAGONDAPPA KADAPPA,M,,,306050,949422,1,#019733,574302
CHAMARAJANAGAR,1989,KARNATAKA,INC,V.SRINIVASA PRASAD,M,,,366922,942181,1,#019733,665298
CHIKBALLAPUR,1989,KARNATAKA,INC,V.KRISHNA RAO,M,,,367638,979204,1,#019733,697076
CHIKKODI,1989,KARNATAKA,INC,B.SHANKARANAND,M,,,274975,927517,1,#019733,596195
CHIKMAGALUR,1989,KARNATAKA,INC,D.M.PUTTE GOWDA,M,,,303195,940328,1,#019733,637630
CHITRADURGA,1989,KARNATAKA,INC,C.P.MUDALAGIRIYAPPA,M,,,339303,1026027,1,#019733,662309
DAVANGERE,1989,KARNATAKA,INC,CHANNAIAH ODEYAR,M,,,369969,1079519,1,#019733,707290
DHARWAD NORTH,1989,KARNATAKA,INC,D.K.NAIKAR,M,,,276545,952624,1,#019733,606378
DHARWAD SOUTH,1989,KARNATAKA,INC,MUJAHID B.M.,M,,,339235,938007,1,#019733,663129
GULBARGA,1989,KARNATAKA,INC,B.G.JAWALI,M,,,283796,1035569,1,#019733,598903
HASSAN,1989,KARNATAKA,INC,H.C.SRIKANTAIAH,M,,,403286,1049009,1,#019733,744734
KANAKAPURA,1989,KARNATAKA,INC,M.V.CHANDRASHEKHARA MURTHY,M,,,472265,1355284,1,#019733,891182
KANARA,1989,KARNATAKA,INC,DEVARAY NAIK G,M,,,240571,970866,1,#019733,632713
KOLAR,1989,KARNATAKA,INC,Y.RAMAKRISHNA,M,,,350009,948842,1,#019733,675027
KOPPAL,1989,KARNATAKA,JD,BASAVARAJ PATIL,M,,,317341,1050963,1,#8064a2,643610
MANDYA,1989,KARNATAKA,INC,G.MADE GOWDA,M,,,337024,962396,1,#019733,706188
MANGALORE,1989,KARNATAKA,INC,JANARDHANA POOJARY,M,,,275672,923749,1,#019733,624966
MYSORE,1989,KARNATAKA,INC,SRIKANTADATTA NARASIMBHARAJ WADEYAR,M,,,384888,1052491,1,#019733,691602
RAICHUR,1989,KARNATAKA,INC,R.AMBANNA NAIK DORE,M,,,228065,989671,1,#019733,496725
SHIMOGA,1989,KARNATAKA,INC,T.V.CHANDRASHEKARAPPA,M,,,269074,1024762,1,#019733,694249
TUMKUR,1989,KARNATAKA,INC,G.S.BASAVARAJ,M,,,376878,963069,1,#019733,674040
UDUPI,1989,KARNATAKA,INC,OSCAR PERNANDES,M,,,313849,903990,1,#019733,586162
ADOOR,1989,KERALA,INC,KODIKUNNIL SURESH,M,,,343672,880093,1,#019733,688614
ALAPPUZHA,1989,KERALA,INC,VAKKOM PURUSHOTHAM,M,,,375763,884874,1,#019733,746839
BADAGARA,1989,KERALA,ICS(SCS),K. P. UNNIKRISHNAN,M,,,370434,984309,1,#999,792162
CALICUT,1989,KERALA,INC,K. MURALEEDHARAN,M,,,377858,958405,1,#019733,784327
CHIRAYINKIL,1989,KERALA,INC,THALEKUNNIL BASHEER,M,,,349068,984118,1,#019733,724825
ERNAKULAM,1989,KERALA,INC,K. V. THOMAS,M,,,385176,961739,1,#019733,772264
IDUKKI,1989,KERALA,INC,PALAI K. M. MATHEW,M,,,398516,972940,1,#019733,743191
KANNUR,1989,KERALA,INC,MULLAPPALLY RAMACHANDRAN,M,,,391042,939750,1,#019733,777420
KASARAGOD,1989,KERALA,CPM,M. RAMMANA RAI,M,,,358723,1010280,1,#DE0000,797296
KOLLAM,1989,KERALA,INC,S. KRISHNAKUMAR,M,,,386855,951856,1,#019733,770898
KOTTAYAM,1989,KERALA,INC,RAMESH CHENNITHALA,M,,,384809,890166,1,#019733,749386
MANJERI,1989,KERALA,MUL,EBRAHIM SULAIMAN SAIT,M,,,401975,1017274,1,#999,806458
MAVELIKARA,1989,KERALA,INC,P. J. KURIEN,M,,,334864,840010,1,#019733,654698
MUKUNDAPURAM,1989,KERALA,INC,SAVITHRI LAKSHMANAN,F,,,367931,921201,1,#019733,754460
MUVATTUPUZHA,1989,KERALA,KCM,P. C. THOMAS,M,,,352191,895057,1,#999,729594
OTTAPALAM,1989,KERALA,INC,K. R. NARAYANAN,M,,,350683,946025,1,#019733,716077
PALAKKAD,1989,KERALA,CPM,A. VIJAYARAGHAVAN,M,,,348401,957847,1,#DE0000,734778
PONNANI,1989,KERALA,MUL,G. M. BANAT WALIA,M,,,378347,991943,1,#999,704624
THIRUVANANTHAPURAM,1989,KERALA,INC,A. CHARLES,M,,,367825,1024210,1,#019733,750368
THRISSUR,1989,KERALA,INC,P. A. ANTONY,M,,,338271,912039,1,#019733,714262
LAKSHADWEEP,1989,LAKSHADWEEP,INC,P. M. SAYEED,M,,,13323,30069,1,#019733,25490
BALAGHAT,1989,MADHYA PRADESH,IND,KANKAR MUNJARE,M,,,177870,791000,1,#95b3d7,519277
BASTAR,1989,MADHYA PRADESH,INC,MANKURAM SODI,M,,,101131,751296,1,#019733,241520
BETUL,1989,MADHYA PRADESH,BJP,ARIF BEG,M,,,194266,812246,1,#FB7B0D,393971
BHIND,1989,MADHYA PRADESH,BJP,NARSINGH RAO DIXIT,M,,,136765,998307,1,#FB7B0D,460821
BHOPAL,1989,MADHYA PRADESH,BJP,SUSHIL CHANDRA VERMA,M,,,281169,1120927,1,#FB7B0D,605604
BILASPUR,1989,MADHYA PRADESH,BJP,RESHAM LAL JANGADE,M,,,222874,870746,1,#FB7B0D,473969
