#,AC_NAME,AC_NO,Deposit Threshold,EVM Votes,Migrant Votes,Migrant Votes ,NAME,O.S.N.,party_code,Polled_Votes,Postal Votes,Rank,ST_CD,ST_NAME,State-code,VOTES,Vote %,YEAR,color_code,PARTY,polled_votes,vote_percent
3,Visakhapatnam,4,1,287072,0,0,V.V. LAKSHMI NARAYANA,7,Janasena Party,1239754,1802,3,S01,Andhra Pradesh,S01,288874,23.30091292,2019,#D22215,JP,1239754,23.3
10,Visakhapatnam,4,0,1904,0,0,ANMISH VARMA,8,Independent,1239754,11,10,S01,Andhra Pradesh,S01,1915,0.154466128,2019,#CEB58C,IND,1239754,0.15
12,Visakhapatnam,4,0,1384,0,0,R. UDAYA GOWRI,9,Independent,1239754,0,12,S01,Andhra Pradesh,S01,1384,0.11163505,2019,#CEB58C,IND,1239754,0.11
14,Visakhapatnam,4,0,1155,0,0,KOTHAPALLI GEETHA,10,Independent,1239754,3,14,S01,Andhra Pradesh,S01,1158,0.093405627,2019,#CEB58C,IND,1239754,0.09
15,Visakhapatnam,4,0,1127,0,0,GAMPALA SOMASUNDARAM,11,Independent,1239754,1,15,S01,Andhra Pradesh,S01,1128,0.090985792,2019,#CEB58C,IND,1239754,0.09
13,Visakhapatnam,4,0,1311,0,0,GANNU MALLAYYA,12,Independent,1239754,2,13,S01,Andhra Pradesh,S01,1313,0.105908108,2019,#CEB58C,IND,1239754,0.11
8,Visakhapatnam,4,0,2463,0,0,DURGAPRASAD. GUNTU,13,Independent,1239754,1,8,S01,Andhra Pradesh,S01,2464,0.198749107,2019,#CEB58C,IND,1239754,0.2
9,Visakhapatnam,4,0,2294,0,0,PULAPAKA RAJA SEKHAR,14,Independent,1239754,0,9,S01,Andhra Pradesh,S01,2294,0.185036709,2019,#CEB58C,IND,1239754,0.19
5,Visakhapatnam,4,0,16626,0,0,NOTA,15,None of the Above,1239754,20,5,S01,Andhra Pradesh,S01,16646,1.342685726,2019,#DDD1CA,NOTA,1239754,1.34
2,Anakapalli,5,1,495381,0,0,ADARI ANAND KUMAR,1,Telugu Desam,1238491,1653,2,S01,Andhra Pradesh,S01,497034,40.13222543,2019,#AB9005,TDP,1238491,40.13
5,Anakapalli,5,0,12888,0,0,Dr. Gandi Venkata Satyanarayana Rao (Dr Vikram),2,Bharatiya Janata Party,1238491,388,5,S01,Andhra Pradesh,S01,13276,1.071949655,2019,#ff7f0e,BJP,1238491,1.07
1,Anakapalli,5,1,583210,0,0,Dr.Beesetti Venkata Satyavathi,3,Yuvajana Sramika Rythu Congress Party,1238491,3016,1,S01,Andhra Pradesh,S01,586226,47.33389262,2019,#08406F,YSRCP,1238491,47.33
6,Anakapalli,5,0,10072,0,0,Ruthala Srirama Murthy,4,Indian National Congress,1238491,49,6,S01,Andhra Pradesh,S01,10121,0.817204162,2019,#3498DB,INC,1238491,0.82
9,Anakapalli,5,0,2708,0,0,P.S.AJAY KUMAR,5,Communist Party of India  (Marxist-Leninist)  (Liberation),1238491,8,9,S01,Andhra Pradesh,S01,2716,0.219299131,2019,#F27A67,CPI(M)(L),1238491,0.22
11,Anakapalli,5,0,1615,0,0,K B SWAROOP,6,Jana Jagruti Party,1238491,6,11,S01,Andhra Pradesh,S01,1621,0.130885085,2019,,,1238491,0.13
3,Anakapalli,5,0,82126,0,0,Chintala Partha Sarathi,7,Janasena Party,1238491,462,3,S01,Andhra Pradesh,S01,82588,6.668437639,2019,#D22215,JP,1238491,6.67
10,Anakapalli,5,0,1801,0,0,Taadi Veera Jagadeeshwari,8,Pyramid Party of India,1238491,2,10,S01,Andhra Pradesh,S01,1803,0.145580388,2019,#363636,PPI,1238491,0.15
