constituency,1957,1960,1965,1967,1970,1977,1980,1982,1987,1991,1996,2001,2006,2011,2016
Muvattupuzha,INC,INC,KEC,CPI,IND,KEC,KEC,KEC,IND,KEC,KEC(J),KEC(J),CPI,INC,CPI
Nadapuram,CPI,ML,CPM,CPM,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI,CPI
Narakal,INC,INC,INC,CPM,INC,RSP,CPM,IND,ICS(SCS),INC,INC,INC,CPM,,
Nattika,INC,INC,IND,CPM,SOP,CPI,CPI,IND,CPI,CPI,CPI,INC,INC,CPI,CPI
Nedumangad,CPI,CPI,INC,CPI,CPI,CPI,CPI,CPI,CPI,INC,INC,CPI,CPI,INC,CPI
Neduvathur,,,,,,CPI,CPM,CPM,CPM,CPM,INC,INC,CPM,,
Nemom,CPI,PSP,CPM,CPM,PSP,INC,INC,INC,CPM,CPM,CPM,INC,INC,CPM,BJP
Nenmara,,,,,,,,,,,,,,CPM,CPM
Neyyattinkara,CPI,PSP,INC,INC,CPM,IND,IND,JNP,JNP,INC,INC,INC,CPM,CPM,CPM
Nilambur,,,CPM,CPM,INC,INC,INC(U),IND,INC,INC,INC,INC,INC,INC,IND
Nileswar,CPI,INC,CPM,CPM,CPM,,,,,,,,,,
North Wynad,,,IND,CPM,INC,INC,INC,INC,INC,INC,INC,INC,CPM,,
Ollur,INC,INC,CPM,CPM,INC,INC,INC,INC,CPI,INC,CPI,INC,CPI,INC,CPI
Ottapalam,CPI,CPI,CPM,CPM,CPM,INC,INC(U),IND,INC,ICS(SCS),ICS,NCP,CPM,CPM,CPM
Pala,,,KEC,KEC,KEC,KEC,KEC,KEC,IND,KEC,KEC(M),KEC(M),KEC(M),KEC(M),KEC(M)
Palakkad,INC,INC,CPM,CPM,CPM,IND,IND,IND,IND,INC,CPM,INC,CPM,INC,INC
Palluruthy,INC,INC,CPM,CPM,IND,KEC,INC(U),IC(S),ICS(SCS),INC,INC,INC,CPM,,
Pandalam,,,CPM,CPM,INC,INC,INC(U),CPM,CPM,CPM,CPM,JPSS,JPSS,,
Parassala,INC,IND,INC,INC,CPM,INC,INC,INC,CPM,INC,IND,INC,CPM,INC,CPM
Paravur,,,,,,,,,,,,,,INC,INC
Parli,CPI,CPI,,,,,,,,,,,,,
Parur,CPI,INC,INC,INC,INC,INC,INC(U),CPI,CPI,CPI,CPI,INC,INC,,
Pathanamthitta,CPI,PSP,KEC,IND,IND,KEC,IND,IND,IND,IND,INC,INC,INC,,
