year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,votes,party,color,polled_votes
1977,Mannadipeth,Pondicherry,15,1,GEN,RAMACHANDRAN D.,M,,,3824,ADMK,#9DBC2A,8588
1977,Ossudu,Pondicherry,16,1,SC,THANGAVELU M.,M,,,2902,ADMK,#9DBC2A,6916
1977,Villenour,Pondicherry,17,1,GEN,PAZHANINATHAN S.,M,,,2891,ADMK,#9DBC2A,8259
1977,Ozhukarai,Pondicherry,18,1,GEN,G. PERUMAL RAJA,M,,,2477,DMK,#800000,7820
1977,Thattanchavady,Pondicherry,19,1,GEN,V. PETHAPERUMAL,M,,,4669,JNP,#9A9E56,8573
1977,Reddiarpalayam,Pondicherry,20,1,GEN,V. SUBBIAH,M,,,2775,CPI,#DE0000,7851
1977,Lawspet,Pondicherry,21,1,GEN,N. VARADHAN,M,,,4477,ADMK,#9DBC2A,9380
1977,Cotchery,Pondicherry,22,1,GEN,T. SUBBIAH,M,,,3041,ADMK,#9DBC2A,8037
1977,Karaikal,Pondicherry,23,1,GEN,K. KANDHI,M,,,3995,IND,#888888,9326
1977,Karaikal South,Pondicherry,24,1,GEN,S. RAMASSAMY,M,,,3424,ADMK,#9DBC2A,7230
1977,Neravy-Grand Aldee,Pondicherry,25,1,GEN,V.M.C. VARADHAPILLAI,M,,,3314,JNP,#9A9E56,9028
1977,Tirunallar,Pondicherry,26,1,GEN,N.V. RAMALINGAM,M,,,2654,DMK,#800000,7793
1977,Neduncadu,Pondicherry,27,1,SC,P. SELVARAJ,M,,,2789,ADMK,#9DBC2A,7124
1977,Mahe,Pondicherry,28,1,GEN,RAGHAVAN K.V.,M,,,2847,IND,#888888,5860
1977,Palloor,Pondicherry,29,1,GEN,CHANDRASEKRAN T.K.,M,,,2853,IND,#888888,5263
1977,Yanam,Pondicherry,30,1,GEN,KAMICHETTY SRI PARASSOURAMA VARAPRASSADA RAO,M,,,2047,JNP,#9A9E56,4258
1980,Muthialpet,Pondicherry,1,1,GEN,G. PALANIRAJA,M,,,7396,DMK,#800000,11609
1980,Cassicade,Pondicherry,2,1,GEN,V. KATHIRVELU,M,,,3948,INC,#019733,7647
1980,Raj Bhavan,Pondicherry,3,1,GEN,L. JOSEPH MARIADASS,M,,,1880,DMK,#800000,4094
1980,Bussy,Pondicherry,4,1,GEN,C. M. ACHRAFF,M,,,2898,INC,#019733,4178
