AC_NAME,PARTY,YEAR,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color,District
Tiruttani,DMK,1967,Tamil Nadu,27,2,GEN,V. K. KUPPUSWAMY,M,0,,25337,67237,#c0392b,Thiruvallur
Tiruttani,IND,1967,Tamil Nadu,27,3,GEN,G. DESAPPAN,M,0,,14777,67237,#bdc3c7,Thiruvallur
Arakkonam,DMK,1967,Tamil Nadu,28,1,GEN,S. J. RAMASAMY,M,0,,38478,72897,#c0392b,Vellore
Arakkonam,INC,1967,Tamil Nadu,28,2,GEN,B. NAIDU,M,0,,30870,72897,#2ecc71,Vellore
Arakkonam,IND,1967,Tamil Nadu,28,3,GEN,BAKTHAVATCHALAM,M,0,,3549,72897,#bdc3c7,Vellore
Sholingur,DMK,1967,Tamil Nadu,29,1,GEN,ARANGANATHAN,M,0,,35225,68174,#c0392b,Vellore
Sholingur,INC,1967,Tamil Nadu,29,2,GEN,A. M. P. MUDALIAR,M,0,,28201,68174,#2ecc71,Vellore
Sholingur,IND,1967,Tamil Nadu,29,3,GEN,A. REDDY,M,0,,3466,68174,#bdc3c7,Vellore
Sholingur,IND,1967,Tamil Nadu,29,4,GEN,P. REDDY,M,0,,1282,68174,#bdc3c7,Vellore
Ranipet,IND,1967,Tamil Nadu,30,1,GEN,A. G. SAHIB,M,0,,30011,66488,#bdc3c7,Vellore
Ranipet,INC,1967,Tamil Nadu,30,2,GEN,S. K. SHERIFF,M,0,,28953,66488,#2ecc71,Vellore
Ranipet,IND,1967,Tamil Nadu,30,3,GEN,C. K. GOUNDER,M,0,,3645,66488,#bdc3c7,Vellore
Ranipet,IND,1967,Tamil Nadu,30,4,GEN,V. C. KESAVAN,M,0,,1936,66488,#bdc3c7,Vellore
Ranipet,IND,1967,Tamil Nadu,30,5,GEN,K. JAGANNATHAN,M,0,,989,66488,#bdc3c7,Vellore
Ranipet,IND,1967,Tamil Nadu,30,6,GEN,A. K. UKKIRAPANI,M,0,,548,66488,#bdc3c7,Vellore
Ranipet,IND,1967,Tamil Nadu,30,7,GEN,S. S. SUNDARARAMAN,M,0,,406,66488,#bdc3c7,Vellore
Arcot,DMK,1967,Tamil Nadu,31,1,GEN,N. VEERASWAMY,M,0,,37514,62393,#c0392b,Vellore
Arcot,INC,1967,Tamil Nadu,31,2,GEN,A. G. R. NAICKER,M,0,,23184,62393,#2ecc71,Vellore
Arcot,BJS,1967,Tamil Nadu,31,3,GEN,E. P. PILLAI,M,0,,1695,62393,#222,Vellore
Katpadi,DMK,1967,Tamil Nadu,32,1,GEN,G. NATARAJAN,M,0,,32952,62109,#c0392b,Vellore
Katpadi,INC,1967,Tamil Nadu,32,2,GEN,P. S. R. NAIDU,M,0,,25032,62109,#2ecc71,Vellore
Katpadi,RPI,1967,Tamil Nadu,32,3,GEN,C. GOPAL,M,0,,4125,62109,#222,Vellore
Gudiyattam,CPM,1967,Tamil Nadu,33,1,GEN,V. K. KOTHANDARAMAN,M,0,,38825,63434,#ff5757,Vellore
Gudiyattam,INC,1967,Tamil Nadu,33,2,GEN,B. R. NAIDU,M,0,,21901,63434,#2ecc71,Vellore
Gudiyattam,CPI,1967,Tamil Nadu,33,3,GEN,G. KANNABIRAN,M,0,,2708,63434,#ff5757,Vellore
Pernambattu,DMK,1967,Tamil Nadu,34,1,SC,P. JAYARAMAN,M,0,,28868,52729,#c0392b,
Pernambattu,INC,1967,Tamil Nadu,34,2,SC,T. MANAVALAN,M,0,,19957,52729,#2ecc71,
Pernambattu,RPI,1967,Tamil Nadu,34,3,SC,A. M. SUBRAMANIAM,M,0,,3904,52729,#222,
Natrampalli,DMK,1967,Tamil Nadu,35,1,GEN,T. C. T. GOUNDER,M,0,,29215,55991,#c0392b,
Natrampalli,INC,1967,Tamil Nadu,35,2,GEN,R. C. S. GOUNDER,M,0,,26776,55991,#2ecc71,
Tiruppattur,DMK,1967,Tamil Nadu,36,1,GEN,C. GOUNDER,M,0,,32589,65446,#c0392b,Vellore
Tiruppattur,INC,1967,Tamil Nadu,36,2,GEN,SHUNMUGAM,M,0,,30512,65446,#2ecc71,Vellore
Tiruppattur,RPI,1967,Tamil Nadu,36,3,GEN,MURUGESAN,M,0,,2345,65446,#222,Vellore
Vaniyambadi,INC,1967,Tamil Nadu,37,1,GEN,RAJAMANNAR,M,0,,26946,53073,#2ecc71,Vellore
Vaniyambadi,DMK,1967,Tamil Nadu,37,2,GEN,VADIVEL,M,0,,25308,53073,#c0392b,Vellore
Vaniyambadi,IND,1967,Tamil Nadu,37,3,GEN,M. GOUNDER,M,0,,819,53073,#bdc3c7,Vellore
Ambur,DMK,1967,Tamil Nadu,38,1,SC,M. PANNEERSELVAM,M,0,,31554,56000,#c0392b,Vellore
Ambur,INC,1967,Tamil Nadu,38,2,SC,P. RAJAGOPAL,M,0,,20947,56000,#2ecc71,Vellore
Ambur,RPI,1967,Tamil Nadu,38,3,SC,A. T. VELAYUTHAM,M,0,,3499,56000,#222,Vellore
Kaniyambadi,INC,1967,Tamil Nadu,39,1,GEN,L. BALARAMAN,M,0,,29512,59479,#2ecc71,
Kaniyambadi,DMK,1967,Tamil Nadu,39,2,GEN,T. THIRUVENGADAM,M,0,,28100,59479,#c0392b,
Kaniyambadi,RPI,1967,Tamil Nadu,39,3,GEN,K. MAYAKRISHNAN,M,0,,1867,59479,#222,
Vellore,DMK,1967,Tamil Nadu,40,1,GEN,M. P. SARATHI,M,0,,39863,67613,#c0392b,Vellore
Vellore,INC,1967,Tamil Nadu,40,2,GEN,J. MUDALIAR,M,0,,25449,67613,#2ecc71,Vellore
Vellore,RPI,1967,Tamil Nadu,40,3,GEN,V. K. DAMODARAN,M,0,,1209,67613,#222,Vellore
Vellore,IND,1967,Tamil Nadu,40,4,GEN,M. CHETTIAR,M,0,,550,67613,#bdc3c7,Vellore
Vellore,IND,1967,Tamil Nadu,40,5,GEN,MANI,M,0,,350,67613,#bdc3c7,Vellore
Vellore,BJS,1967,Tamil Nadu,40,6,GEN,S. UDAYAR,M,0,,192,67613,#222,Vellore
Arani,DMK,1967,Tamil Nadu,41,1,GEN,A. C. NARASIMHAN,M,0,,38038,62621,#c0392b,Tiruvannamalai
Arani,INC,1967,Tamil Nadu,41,2,GEN,T. B. J. CHETTIAR,M,0,,17320,62621,#2ecc71,Tiruvannamalai
Arani,IND,1967,Tamil Nadu,41,3,GEN,M. MUNISWAMY,M,0,,5880,62621,#bdc3c7,Tiruvannamalai
Arani,IND,1967,Tamil Nadu,41,4,GEN,K. P. K. NAICKER,M,0,,1383,62621,#bdc3c7,Tiruvannamalai
Cheyyar,DMK,1967,Tamil Nadu,42,1,GEN,K. GOVINDAN,M,0,,37068,67570,#c0392b,Tiruvannamalai
Cheyyar,INC,1967,Tamil Nadu,42,2,GEN,K. M. KANGAN,M,0,,17395,67570,#2ecc71,Tiruvannamalai
Cheyyar,IND,1967,Tamil Nadu,42,3,GEN,P. NAICKER,M,0,,11095,67570,#bdc3c7,Tiruvannamalai
Cheyyar,IND,1967,Tamil Nadu,42,4,GEN,P. K. CHANDRAN,M,0,,2012,67570,#bdc3c7,Tiruvannamalai
Vandavasi,DMK,1967,Tamil Nadu,43,1,SC,MUTHULINGAM,M,0,,38626,63060,#c0392b,Tiruvannamalai
Vandavasi,INC,1967,Tamil Nadu,43,2,SC,A. ADINEELAM,M,0,,21300,63060,#2ecc71,Tiruvannamalai
Vandavasi,RPI,1967,Tamil Nadu,43,3,SC,C. KUPPUSAMI,M,0,,1903,63060,#222,Tiruvannamalai
Vandavasi,IND,1967,Tamil Nadu,43,4,SC,M. KARUNAIPRAKASAM,M,0,,1231,63060,#bdc3c7,Tiruvannamalai
Peranamallur,DMK,1967,Tamil Nadu,44,1,GEN,V. D. A. MUDALY,M,0,,29413,62832,#c0392b,
Peranamallur,INC,1967,Tamil Nadu,44,2,GEN,P. RAMACHANDRAN,M,0,,20225,62832,#2ecc71,
Peranamallur,IND,1967,Tamil Nadu,44,3,GEN,P. ETTIAPPAN,M,0,,10714,62832,#bdc3c7,
Peranamallur,IND,1967,Tamil Nadu,44,4,GEN,D. K. NAIDU,M,0,,2480,62832,#bdc3c7,
Perambalur,IND,1967,Tamil Nadu,44,5,GEN,D. SUBRAMANIAM,M,0,,769,66728,#bdc3c7,Perambalur
Polur,DMK,1967,Tamil Nadu,45,1,GEN,S. KUPPAMAL,F,0,,33292,58485,#c0392b,Tiruvannamalai
Polur,INC,1967,Tamil Nadu,45,2,GEN,S. M. ANNAMALAI,M,0,,20224,58485,#2ecc71,Tiruvannamalai
Polur,IND,1967,Tamil Nadu,45,3,GEN,P. KOTHANDARAMAN,M,0,,4969,58485,#bdc3c7,Tiruvannamalai
Chengam,DMK,1967,Tamil Nadu,46,1,SC,P. S. SANTHANAM,M,0,,29828,52477,#c0392b,Tiruvannamalai
Chengam,INC,1967,Tamil Nadu,46,2,SC,A. ARUMUGHAM,M,0,,18773,52477,#2ecc71,Tiruvannamalai
