constituency,1951,1957,1962,1967,1969,1971,1972,1977,1982,1987,1991,1996,2001,2006,2011
Chandernagore,,IND,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,INC,INC,CPM,
Chanditala,,,INC,IND,IND,,INC,CPM,CPM,CPM,CPM,INC,CPM,CPM,AITC
Chandrakona,,,INC,INC,CPM,CPM,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Chapra,INC,,SBP,BAC,BAC,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Chopra,,INC,INC,INC,NDF,INC,INC,CPM,CPM,CPM,CPM,CPM,IND,CPM,IND
Contai North,KMPP,PSP,INC,INC,PSP,PSP,CPI,JNP,INC,CPM,INC,CPM,AITC,CPM,
Daspur,CPI,INC,CPI,INC,CPM,INC,INC,CPM,CPM,CPM,CPM,CPM,AITC,CPM,AITC
Debra,,INC,INC,BAC,INC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Dhupguri,INC,,,SSP,SSP,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Diamond Harbour,KMPP,PSP,INC,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,INC,CPM,CPM,AITC
Domjur,CPI,CPI,CPI,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Domkal,,,,CPM,INC,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Dum Dum,INC,PSP,CPI,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,AITC,CPM,AITC
Durgapur-I,,,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Durgapur-Ii,,,,,,,,CPM,CPM,CPM,CPM,CPM,AITC,CPM,
Entally,IND,CPI,CPI,CPI,CPI,CPM,CPI,CPM,CPM,INC,CPM,INC,CPM,CPM,AITC
Falakata,,PSP,INC,PSP,INC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Falta,CPI,INC,INC,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,INC,AITC,CPM,AITC
Gajol,,,,INC,INC,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Gangajalghati,INC,,INC,BAC,BAC,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Gangarampur,INC,INC,CPI,INC,CPM,INC,INC,CPM,ICS,CPM,CPM,CPM,CPM,CPM,AITC
Garhbeta East,,,,INC,CPI,CPI,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Garhbeta West,,,,INC,CPI,CPI,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Ghatal,CPI,INC,CPI,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Gopiballavpur,,INC,INC,SSP,SSP,INC,INC,IND,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Habibpur,,,,INC,CPI,IND,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Habra,INC,INC,INC,BAC,INC,,INC,CPM,CPM,CPM,CPM,CPM,AITC,CPM,AITC
Hanskhali,,,INC,BAC,BAC,INC,INC,CPM,CPM,CPM,CPM,INC,CPM,CPM,
Hariharpara,INC,INC,INC,INC,PML,IND,SUC,INC,INC,CPM,CPM,CPM,IND,CPM,CPM
Haringhata,,,INC,IND,IND,CPM,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Haripal,,,,SSP,SSP,WPI,WPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Haroa,,INC,INC,BAC,BAC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Hasnabad,INC,INC,INC,BAC,CPI,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Hingalganj,,,,IND,CPI,CPM,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPI
Hirapur,,IND,INC,INC,CPM,CPM,INC,CPM,CPM,INC,JD,INC,AITC,CPM,
Howrah Central,,,,INC,RCI,RCI,INC,IND,INC,INC,INC,INC,AITC,CPM,
Howrah North,CPI,CPI,INC,INC,INC,,INC,CPM,INC,INC,CPM,CPM,CPM,CPM,
Howrah South,INC,FBM,FB,INC,CPM,INC,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,
Hura,,,INC,IND,LSS,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Indas,,,,BAC,BAC,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Islampur,,,,,,,,IND,INC,CPM,INC,INC,AITC,CPM,AITC
Jadavpur,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Jagatballavpur,INC,FBM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC,CPM,AITC
Jalangi,,INC,IND,INC,INC,BJS,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Jamuria,,INC,INC,SSP,INC,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Jangipara,,INC,INC,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Jhargram,INC,INC,INC,IND,BAC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Jorabagan,INC,INC,INC,CPM,INC,INC,INC,JNP,INC,INC,INC,INC,CPM,CPM,
Kakdwip,,INC,INC,INC,INC,CPM,INC,CPM,CPM,CPM,CPM,CPM,AITC,CPM,AITC
Kaliachak,,INC,IND,CPM,INC,,INC,INC,CPM,CPM,CPM,INC,INC,CPM,
Kaliaganj,,,,INC,INC,INC,INC,INC,INC,CPM,CPM,INC,INC,CPM,INC
Kalna,INC,CPI,CPI,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Kalyanpur,,,,BAC,BAC,CPM,CPI,CPM,CPM,CPM,CPM,INC,INC,CPM,
Kamarhati,,,,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Kanksa,,,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Karimpur,KMPP,INC,INC,BAC,INC,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Kashipur,,INC,,INC,CPI,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Keshiari,,,,INC,INC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Keshpur,CPI,,INC,INC,BAC,INC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Ketugram,HMS,INC,CPI,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Khanakul,,INC,INC,CPM,CPM,CPM,INC,JNP,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Khandaghosh,INC,,INC,INC,SSP,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Kharagpur Rural,,,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Khardah,,PSP,CPI,CPM,CPM,CPM,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Khargram,,,RSP,INC,RSP,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,INC
Kotulpur,,INC,INC,BAC,BAC,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Kranti,,,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Krishnaganj,,,,,,,,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Krishnagar East,,,,SSP,SSP,IND,INC,JNP,CPM,CPM,INC,INC,AITC,CPM,
Krishnagar West,,,,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Kulpi,KMPP,INC,IND,INC,BAC,CPM,INC,CPM,CPM,CPM,CPM,CPM,AITC,CPM,AITC
Kumarganj,,,,INC,BAC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Labhpur,,CPI,CPI,INC,CPM,CPM,CPI,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Magrahat East,,,INC,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Magrahat West,,,INC,BAC,BAC,BAC,INC,CPM,CPM,CPM,CPM,INC,CPM,CPM,
Mahammad Bazar,,,INC,INC,BAC,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,
Maheshtala,,CPI,INC,CPM,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Mahishadal,,PSP,INC,BAC,BAC,BAC,INC,JNP,CPM,CPM,INC,INC,AITC,CPM,
Mal,,INC,INC,INC,INC,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Malda,IND,INC,CPI,INC,INC,INC,INC,CPM,INC,CPM,CPM,INC,CPM,CPM,
Manbazar,,IND,LSS,IND,LSS,INC,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,AITC
Mandirbazar,,,,,,,,SUC,CPM,CPM,CPM,CPM,AITC,CPM,AITC
Mangalkot,INC,,CPI,INC,CPM,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Manicktola,CPI,CPI,CPI,CPI,CPI,CPM,CPI,CPM,CPM,CPM,CPM,INC,AITC,CPM,AITC
