AC_NAME,AC_NO,AC_TYPE,AGE,CATEGORY,NAME,PARTY,SEX,ST_NAME,VOTES,YEAR,polled_votes,rank
Kanayannur,57,GEN,,,JOSEPH A. V.,INC,M,Kerala,17506,1957,42753,2
Kanayannur,57,GEN,,,PARAMESWARA PANICKER,PSP,M,Kerala,3955,1957,42753,3
Alwaye,58,GEN,,,T. O. BAVA,INC,M,Kerala,23707,1957,44849,1
Alwaye,58,GEN,,,VARKEY M. C.,IND,M,Kerala,21142,1957,44849,2
Perumbavoor,59,GEN,,,GOVINDA PILLAI P.,CPI,M,Kerala,21679,1957,43408,1
Perumbavoor,59,GEN,,,K. A. DAMODARA MENON,INC,M,Kerala,20780,1957,43408,2
Perumbavoor,59,GEN,,,"POULOSE CHUMMAR, K.",PSP,M,Kerala,949,1957,43408,3
Kothakulangara,60,GEN,,,ANTHONY M. A.,INC,M,Kerala,24133,1957,42015,1
Kothakulangara,60,GEN,,,A. P. KURIAN,CPI,M,Kerala,15246,1957,42015,2
Kothakulangara,60,GEN,,,P. J. KUNJITHOMMAN,IND,M,Kerala,2636,1957,42015,3
Parur,61,GEN,,,SIVAN PILLAI N.,CPI,M,Kerala,19997,1957,43426,1
Parur,61,GEN,,,K. I. MATHEW,INC,M,Kerala,17909,1957,43426,2
Parur,61,GEN,,,CHUMMAR O. R.,PSP,M,Kerala,5520,1957,43426,3
Vadakkekara,62,GEN,,,BALAN K. A.,CPI,M,Kerala,23385,1957,41229,1
Vadakkekara,62,GEN,,,VIJAYAN K. R.,INC,M,Kerala,17844,1957,41229,2
Cranganore,63,GEN,,,E. GOPALAKRISHNA MENON,CPI,M,Kerala,20385,1957,46463,1
Cranganore,63,GEN,,,KUNJU MOIDEEN A. K.,INC,M,Kerala,18894,1957,46463,2
Cranganore,63,GEN,,,PUTHUR ACHUTHA MENON,PSP,M,Kerala,7184,1957,46463,3
Chalakudy,64,SC,,,P. K. CHATHAN (SC),CPI,M,Kerala,43454,1957,163059,1
Chalakudy,64,SC,,,C. J. JENARDHANAN,PSP,M,Kerala,42997,1957,163059,2
Chalakudy,64,SC,,,PANAMILLY GOVINDA MENON,INC,M,Kerala,39627,1957,163059,3
Chalakudy,64,SC,,,K. K. BALAKRISHNAN (SC),INC,M,Kerala,30937,1957,163059,4
Chalakudy,64,SC,,,A. V. MOOTHEDAN,IND,M,Kerala,6044,1957,163059,5
Irinjalakuda,65,GEN,,,ACHUTHA MENON C.,CPI,M,Kerala,24140,1957,46298,1
Irinjalakuda,65,GEN,,,K. T. ACHUTHAN,INC,M,Kerala,21480,1957,46298,2
Irinjalakuda,65,GEN,,,DEVASSY P.,IND,M,Kerala,678,1957,46298,3
