constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011,2016,2021,2026
Mugaiyur,DMK,DMK,ADMK,INC,ADMK,DMK,ADMK,DMK,ADMK,PMK,,,,
Musiri,DMK,DMK,ADMK,ADMK,ADMK,Others,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMK,TVK
Mylapore,DMK,NCO,DMK,ADMK,ADMK,DMK,ADMK,DMK,BJP,ADMK,ADMK,ADMK,DMK,TVK
Nagapattinam,CPM,DMK,CPM,CPM,CPM,CPM,ADMK,DMK,ADMK,CPM,ADMK,ADMK,VCK,DMK
Nagercoil,DMK,Others,ADMK,ADMK,DMK,INC,INC,TMC,MDMK,DMK,ADMK,DMK,BJP,DMK
Namakkal,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,INC,INC,ADMK,ADMK,DMK,TVK
Nanguneri,INC,DMK,JNP,ADMK,ADMK,DMK,ADMK,CPI,ADMK,INC,ADMK,INC,INC,TVK
Nannilam,INC,DMK,DMK,ADMK,DMK,DMK,ADMK,TMC,TMC,CPI,ADMK,ADMK,ADMK,ADMK
Natham,,,INC,INC,INC,INC,INC,TMC,ADMK,ADMK,ADMK,DMK,ADMK,ADMK
Natrampalli,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,PMK,DMK,,,,
Nellikuppam,CPM,DMK,CPM,DMK,ADMK,CPM,ADMK,DMK,ADMK,DMK,,,,
Neyveli,,,,,,,,,,,ADMK,DMK,DMK,ADMK
Nilakkottai,DMK,DMK,ADMK,IND,ADMK,INC,INC,TMC,ADMK,ADMK,PT,ADMK,ADMK,TVK
Oddamchatram,DMK,DMK,INC,ADMK,ADMK,DMK,ADMK,DMK,DMK,DMK,DMK,DMK,DMK,DMK
Omalur,DMK,DMK,ADMK,ADMK,INC,Others,ADMK,TMC,ADMK,PMK,ADMK,ADMK,ADMK,ADMK
Orathanadu,DMK,DMK,DMK,INC,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK
Ottapidaram,Others,Others,INC,CPI,INC,DMK,ADMK,PT,ADMK,ADMK,PT,ADMK,DMK,TVK
Padmanabhapuram,INC,NCO,JNP,JNP,IND,CPM,ADMK,BJP,ADMK,DMK,DMK,DMK,DMK,CPI(M)
Palacodu,INC,DMK,ADMK,ADMK,INC,Others,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,ADMK,ADMK
Palani,DMK,DMK,CPM,CPM,INC,CPM,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,ADMK
Palayamkottai,,,ADMK,ADMK,DMK,DMK,ADMK,DMK,DMK,DMK,DMK,DMK,DMK,DMK
Palladam,PSP,PSP,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,ADMK,ADMK,ADMK,TVK
Pallavaram,,,,,,,,,,,ADMK,DMK,DMK,TVK
Pallipet,,,INC,ADMK,ADMK,INC,INC,TMC,ADMK,INC,,,,
Panamarathupatti,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,,,,
Panruti,DMK,DMK,ADMK,ADMK,ADMK,DMK,PMK,DMK,PMK,PMK,DMDK,ADMK,DMK,ADMK
Papanasam,INC,DMK,INC,INC,INC,INC,INC,TMC,TMC,ADMK,ADMK,ADMK,DMK,IUML
Pappireddippatti,,,,,,,,,,,ADMK,ADMK,ADMK,ADMK
