state,pc,party,name,age,category,color,electors,polled_votes,rank,sex,votes,year,poll_date,education,gender,assets,criminal_cases
Kerala,Ernakulam,Indian National Congress,profkvthomas,67,GEN,#019733,,850834,1,,353841,2014,10-04-2014,Post Graduate,Male,11848550,0
Kerala,Attingal,Communist Party of India  (Marxist),drasampath,51,GEN,#DE0000,,859350,1,,392478,2014,10-04-2014,Doctorate,Male,17791149,1
Madhya Pradesh,Bhind,Bharatiya Janata Party,drbhagirathprasad,66,GEN,#FB7B0D,,729084,1,,404474,2014,17-04-2014,Doctorate,Male,21240286,0
Madhya Pradesh,Damoh,Bharatiya Janata Party,prahaladsinghpatel,54,GEN,#FB7B0D,,912080,1,,513079,2014,17-04-2014,Graduate Professional,Male,39586235,0
Madhya Pradesh,Jabalpur,Bharatiya Janata Party,rakeshsingh,53,GEN,#FB7B0D,,1002184,1,,564609,2014,10-04-2014,Graduate,Male,27823610,1
Madhya Pradesh,Ujjain,Bharatiya Janata Party,profchintamanimalviya,44,GEN,#FB7B0D,,1016405,1,,641101,2014,24-04-2014,Doctorate,Male,18888754,0
Madhya Pradesh,Ratlam,Bharatiya Janata Party,dileepsinghbhuria,68,GEN,#FB7B0D,,1082681,1,,545970,2014,24-04-2014,10th,Male,12259882,0
Madhya Pradesh,Indore,Bharatiya Janata Party,sumitramahajantai,70,GEN,#FB7B0D,,1316817,1,,854972,2014,24-04-2014,Post Graduate,Female,18732234,0
Madhya Pradesh,Khandwa,Bharatiya Janata Party,nandkumarsinghchouhannandubhaiya,61,GEN,#FB7B0D,,1257327,1,,717357,2014,24-04-2014,Post Graduate,Male,40188989,0
Maharashtra,Dhule,Bharatiya Janata Party,drbhamresubhashramrao,61,GEN,#FB7B0D,,983083,1,,529450,2014,24-04-2014,Graduate Professional,Male,125833320,0
Maharashtra,Jalgaon,Bharatiya Janata Party,atnanapatil,52,GEN,#FB7B0D,,990332,1,,647773,2014,24-04-2014,Graduate,Male,226180395,0
Maharashtra,Akola,Bharatiya Janata Party,dhotresanjayshamrao,55,GEN,#FB7B0D,,978491,1,,456472,2014,10-04-2014,Graduate Professional,Male,48501735,3
Maharashtra,Bhandara - Gondiya,Bharatiya Janata Party,nanabhaufalgunraopatole,,,#FB7B0D,,1197196,1,,606129,2014,,,,,
Maharashtra,Nanded,Indian National Congress,ashokshankarraochavan,55,GEN,#019733,,1013350,1,,493075,2014,17-04-2014,Post Graduate,Male,388758910,0
Maharashtra,Nashik,Shivsena,godsehemanttukaram,43,GEN,#F05A00,,937405,1,,494735,2014,24-04-2014,12th,Male,83611067,1
