age,category,color,electors,name,party,pc,polled_votes,rank,sex,state,votes,year
,,#999,,UPENDRA KUSHWAHA,Rashtriya Lok Samta Party,KARAKAT,789927,1,,Bihar,338892,2014
,,#999,,DR. ARUN KUMAR,Rashtriya Lok Samta Party,JAHANABAD,811516,1,,Bihar,322647,2014
,,#F05A00,,CHANDRAKANT BHAURAO KHAIRE,Shivsena,AURANGABAD,1769207,1,,Maharashtra,520902,2014
,,#FB7B0D,,HARI MANJHI,Bharatiya Janata Party,GAYA (SC),809378,1,,Bihar,326230,2014
,,#FB7B0D,,GIRIRAJ SINGH,Bharatiya Janata Party,NAWADA,884441,1,,Bihar,390248,2014
,,#999,,CHIRAG KUMAR PASWAN,Lok Jan Shakti Party,JAMUI (SC),775639,1,,Bihar,285354,2014
,,#FB7B0D,,SHRIPAD YESSO NAIK,Bharatiya Janata Party,NORTH GOA,406631,1,,Goa,237903,2014
,,#FB7B0D,,ADV. NARENDRA KESHAV SAWAIKAR,Bharatiya Janata Party,SOUTH GOA,410369,1,,Goa,198776,2014
,,#FB7B0D,,CHAVDA VINOD LAKHAMASHI,Bharatiya Janata Party,KACHCHH,946240,1,,Gujarat,562855,2014
,,#FB7B0D,,CHAUDHARY HARIBHAI PARTHIBHAI,Bharatiya Janata Party,BANASKANTHA,886634,1,,Gujarat,507856,2014
,,#FB7B0D,,LILADHARBHAI KHODAJI VAGHELA,Bharatiya Janata Party,PATAN,955799,1,,Gujarat,518538,2014
,,#FB7B0D,,PATEL JAYSHREEBEN KANUBHAI,Bharatiya Janata Party,MAHESANA,1004258,1,,Gujarat,580250,2014
,,#FB7B0D,,RATHOD DIPSINH SHANKARSINH,Bharatiya Janata Party,SABARKANTHA,1094002,1,,Gujarat,552205,2014
,,#FB7B0D,,L.K.ADVANI,Bharatiya Janata Party,GANDHINAGAR,1135495,1,,Gujarat,773539,2014
,,#FB7B0D,,PARESH RAWAL,Bharatiya Janata Party,AHMEDABAD EAST,985525,1,,Gujarat,633582,2014
,,#FB7B0D,,DR. KIRIT P SOLANKI,Bharatiya Janata Party,AHMEDABAD WEST,964609,1,,Gujarat,617104,2014
,,#FB7B0D,,FATEPARA DEVAJIBHAI GOVINDBHAI,Bharatiya Janata Party,SURENDRANAGAR,944677,1,,Gujarat,529003,2014
,,#FB7B0D,,KUNDARIYA MOHANBHAI KALYANJIBHAI,Bharatiya Janata Party,RAJKOT,1057069,1,,Gujarat,621524,2014
,,#FB7B0D,,RADADIYA VITHALBHAI  HANSRAJBHAI,Bharatiya Janata Party,PORBANDAR,809433,1,,Gujarat,508437,2014
,,#FB7B0D,,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,JAMNAGAR,852643,1,,Gujarat,484412,2014
,,#FB7B0D,,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,JUNAGADH,941378,1,,Gujarat,513179,2014
,,#FB7B0D,,KACHHADIYA NARANBHAI BHIKHABHAI,Bharatiya Janata Party,AMRELI,808816,1,,Gujarat,436715,2014
,,#FB7B0D,,DR. BHARATIBEN DHIRUBHAI SHIYAL,Bharatiya Janata Party,BHAVNAGAR,917402,1,,Gujarat,549529,2014
,,#FB7B0D,,DILIP PATEL,Bharatiya Janata Party,ANAND,970894,1,,Gujarat,490829,2014
,,#FB7B0D,,CHAUHAN DEVUSINH JESINGBHAI (CHAUHAN DEVUSINH),Bharatiya Janata Party,KHEDA,955906,1,,Gujarat,568235,2014
,,#FB7B0D,,CHAUHAN PRABHATSINH PRATAPSINH,Bharatiya Janata Party,PANCHMAHAL,933461,1,,Gujarat,508274,2014
,,#FB7B0D,,JASVANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,DAHOD,900381,1,,Gujarat,511111,2014
,,#FB7B0D,,NARENDRA MODI,Bharatiya Janata Party,VADODARA,1161577,1,,Gujarat,845464,2014
,,#FB7B0D,,RAMSINH RATHWA,Bharatiya Janata Party,CHHOTA UDAIPUR,1100542,1,,Gujarat,607916,2014
,,#FB7B0D,,VASAVA MANSUKHBHAI DHANJIBHAI,Bharatiya Janata Party,BHARUCH,1060211,1,,Gujarat,548902,2014
,,#FB7B0D,,VASAVA PARBHUBHAI NAGARBHAI,Bharatiya Janata Party,BARDOLI,1206179,1,,Gujarat,622769,2014
,,#FB7B0D,,DARSHANA VIKRAM JARDOSH,Bharatiya Janata Party,SURAT,947922,1,,Gujarat,718412,2014
,,#FB7B0D,,C. R. PATIL,Bharatiya Janata Party,NAVSARI,1160747,1,,Gujarat,820831,2014
,,#FB7B0D,,DR. K.C.PATEL,Bharatiya Janata Party,VALSAD,1122203,1,,Gujarat,617772,2014
,,#FB7B0D,,RATTAN LAL KATARIA,Bharatiya Janata Party,AMBALA,1218995,1,,Haryana,612121,2014
,,#FB7B0D,,RAJ KUMAR SAINI,Bharatiya Janata Party,KURUKSHETRA,1135892,1,,Haryana,418112,2014
