constituency,pc,condition
Kottayam,Kottayam,TRUE
Kozhikode,Kozhikode,TRUE
Krishnagiri,Krishnagiri,TRUE
Krishnanagar,Krishnanagar,TRUE
Kurnool,Kurnool,TRUE
Kurukshetra,Kurukshetra,TRUE
Kushi Nagar,Kushi Nagar,TRUE
Ladakh,Ladakh,TRUE
Lakhimpur,Lakhimpur,TRUE
Lakshadweep,Lakshadweep,TRUE
Lalganj,Lalganj,TRUE
Latur,Latur,TRUE
Lohardaga,Lohardaga,TRUE
Lucknow,Lucknow,TRUE
Ludhiana,Ludhiana,TRUE
Machhlishahr,Machhlishahr,TRUE
Machilipatnam,Machilipatnam,TRUE
Madha,Madha,TRUE
Madhepura,Madhepura,TRUE
Madhubani,Madhubani,TRUE
Madurai,Madurai,TRUE
Mahabubabad,Mahabubabad,TRUE
Maharajganj,Maharajganj,TRUE
Mahasamund,Mahasamund,TRUE
Mahbubnagar,Mahbubnagar,TRUE
Mahesana,Mahesana,TRUE
Mainpuri,Mainpuri,TRUE
Malappuram,Malappuram,TRUE
Maldaha Dakshin,Maldaha Dakshin,TRUE
Maldaha Uttar,Maldaha Uttar,TRUE
Malkajgiri,Malkajgiri,TRUE
Mandi,Mandi,TRUE
Mandla,Mandla,TRUE
Mandsour,Mandsour,TRUE
Mandya,Mandya,TRUE
Mangaldoi,Mangaldoi,TRUE
Mathura,Mathura,TRUE
Mathurapur,Mathurapur,TRUE
Maval,Maval,TRUE
Mavelikkara,Mavelikkara,TRUE
Mayiladuthurai,Mayiladuthurai,TRUE
Mayurbhanj,Mayurbhanj,TRUE
Medak,Medak,TRUE
Medinipur,Medinipur,TRUE
Meerut,Meerut,TRUE
Mirzapur,Mirzapur,TRUE
Misrikh,Misrikh,TRUE
Mizoram,Mizoram,TRUE
Mohanlalganj,Mohanlalganj,TRUE
Moradabad,Moradabad,TRUE
Morena,Morena,TRUE
Mumbai North,Mumbai North,TRUE
Mumbai North Central,Mumbai North Central,TRUE
Mumbai North East,Mumbai North East,TRUE
Mumbai North West,Mumbai North West,TRUE
Mumbai South,Mumbai   South,FALSE
Mumbai South Central,Mumbai South Central,TRUE
Munger,Munger,TRUE
Murshidabad,Murshidabad,TRUE
Muzaffarnagar,Muzaffarnagar,TRUE
Muzaffarpur,Muzaffarpur,TRUE
Mysore,Mysore,TRUE
Nabarangpur,Nabarangpur,TRUE
Nagaland,Nagaland,TRUE
Nagapattinam,Nagapattinam,TRUE
Nagarkurnool,Nagarkurnool,TRUE
Nagaur,Nagaur,TRUE
Nagina,Nagina,TRUE
Nagpur,Nagpur,TRUE
Nainital-Udhamsingh Nagar,Nainital-Udhamsingh Nagar,TRUE
Nalanda,Nalanda,TRUE
Nalgonda,Nalgonda,TRUE
Namakkal,Namakkal,TRUE
Nanded,Nanded,TRUE
Nandurbar,Nandurbar,TRUE
Nandyal,Nandyal,TRUE
Narasaraopet,Narasaraopet,TRUE
Narsapuram,Narsapuram,TRUE
Nashik,Nashik,TRUE
Navsari,Navsari,TRUE
Nawada,Nawada,TRUE
Nellore,Nellore,TRUE
New Delhi,New Delhi,TRUE
Nilgiris,Nilgiris,TRUE
Nizamabad,Nizamabad,TRUE
North East Delhi,North East Delhi,TRUE
North Goa,North Goa,TRUE
North West Delhi,North West Delhi,TRUE
Nowgong,Nowgong,TRUE
Ongole,Ongole,TRUE
Osmanabad,Osmanabad,TRUE
Outer Manipur,Outer Manipur,TRUE
Palakkad,Palakkad,TRUE
Palamau,Palamau,TRUE
Palghar,Palghar,TRUE
Pali,Pali,TRUE
Panchmahal,Panchmahal,TRUE
Parbhani,Parbhani,TRUE
Paschim Champaran,Paschim Champaran,TRUE
Pataliputra,Pataliputra,TRUE
Patan,Patan,TRUE
Pathanamthitta,Pathanamthitta,TRUE
Patiala,Patiala,TRUE
Patna Sahib,Patna Sahib,TRUE
Peddapalle,Peddapalle,TRUE
Perambalur,Perambalur,TRUE
Phulpur,Phulpur,TRUE
Pilibhit,Pilibhit,TRUE
Pollachi,Pollachi,TRUE
Pondicherry,Puducherry,FALSE
Ponnani,Ponnani,TRUE
Porbandar,Porbandar,TRUE
Pratapgarh,Pratapgarh,TRUE
