name,state,pc,party,age,category,color,electors,polled_votes,rank,sex,votes,year,poll_date,education,gender,assets,criminal_cases
ajaynishad,Bihar,Muzaffarpur,Bharatiya Janata Party,45,GEN,#FB7B0D,,948887,1,,469295,2014,07-05-2014,Graduate,Male,145712654,0
ramakishoresingh,Bihar,Vaishali,Lok Jan Shakti Party,51,GEN,#999,,925937,1,,305450,2014,12-05-2014,Graduate,Male,21610218,4
janakram,Bihar,Gopalganj (Sc),Bharatiya Janata Party,,,#FB7B0D,,903583,1,,478773,2014,,,,,
omprakashyadav,Bihar,Siwan,Bharatiya Janata Party,48,GEN,#FB7B0D,,884021,1,,372670,2014,12-05-2014,Graduate,Male,2213023,1
pankaj,Uttar Pradesh,Maharajganj,Bharatiya Janata Party,44,GEN,#FB7B0D,,1902732,1,,471542,2014,12-05-2014,12th,Male,191819151,0
rajivprataprudy,Bihar,Saran,Bharatiya Janata Party,53,GEN,#FB7B0D,,863254,1,,355120,2014,07-05-2014,Post Graduate,Male,62545997,1
ramvilaspaswan,Bihar,Hajipur (Sc),Lok Jan Shakti Party,,,#999,,904753,1,,455652,2014,,,,,
nityanandrai,Bihar,Ujiarpur,Bharatiya Janata Party,48,GEN,#FB7B0D,,858920,1,,317352,2014,07-05-2014,Graduate,Male,146743540,1
ramchandrapaswan,Bihar,Samastipur (Sc),Lok Jan Shakti Party,,,#999,,863199,1,,270401,2014,,,,,
bholasingh,Bihar,Begusarai,Bharatiya Janata Party,75,GEN,#FB7B0D,,1077855,1,,428227,2014,30-04-2014,Doctorate,Male,25248102,0
choudharymahboobalikaiser,Bihar,Khagaria,Lok Jan Shakti Party,47,GEN,#999,,896231,1,,313806,2014,30-04-2014,Graduate,Male,66569502,1
shaileshkumarurphbulomandal,Bihar,Bhagalpur,Rashtriya Janata Dal,38,GEN,#999,,974016,1,,367623,2014,24-04-2014,12th,Male,20216734,1
jaiprakashnarayanyadav,Bihar,Banka,Rashtriya Janata Dal,60,GEN,#999,,899353,1,,285150,2014,24-04-2014,Post Graduate,Male,27846274,2
veenadevi,Bihar,Munger,Lok Jan Shakti Party,41,GEN,#999,,914350,1,,352911,2014,17-04-2014,8th,Female,31162836,0
kaushlendrakumar,Bihar,Nalanda,Janata Dal  (United),49,GEN,#8064a2,,921761,1,,321982,2014,17-04-2014,12th,Male,11815717,0
shatrughanasinha,Bihar,Patna Sahib,Bharatiya Janata Party,,,#FB7B0D,,882262,1,,485905,2014,,,,,
ramkripalyadav,Bihar,Pataliputra,Bharatiya Janata Party,53,GEN,#FB7B0D,,978649,1,,383262,2014,17-04-2014,Graduate,Male,13989431,1
rajkumarsingh,Bihar,Arrah,Bharatiya Janata Party,61,GEN,#FB7B0D,,893213,1,,391074,2014,17-04-2014,Graduate Professional,Male,48403293,0
ashwinikumarchoubey,Bihar,Buxar,Bharatiya Janata Party,61,GEN,#FB7B0D,,888204,1,,319012,2014,17-04-2014,Graduate,Male,22094499,0
chhedipaswan,Bihar,Sasaram (Sc),Bharatiya Janata Party,,,#FB7B0D,,846788,1,,366087,2014,,,,,
upendrakushwaha,Bihar,Karakat,Rashtriya Lok Samta Party,51,GEN,#999,,789927,1,,338892,2014,10-04-2014,Post Graduate,Male,24829741,4
drarunkumar,Bihar,Jahanabad,Rashtriya Lok Samta Party,55,GEN,#999,,811516,1,,322647,2014,17-04-2014,Doctorate,Male,38846631,1
chandrakantbhauraokhaire,Maharashtra,Aurangabad,Shivsena,62,GEN,#F05A00,,1769207,1,,520902,2014,24-04-2014,12th,Male,90614560,8
harimanjhi,Bihar,Gaya (Sc),Bharatiya Janata Party,,,#FB7B0D,,809378,1,,326230,2014,,,,,
girirajsingh,Bihar,Nawada,Bharatiya Janata Party,61,GEN,#FB7B0D,,884441,1,,390248,2014,10-04-2014,Graduate,Male,50054771,1
chiragkumarpaswan,Bihar,Jamui (Sc),Lok Jan Shakti Party,,,#999,,775639,1,,285354,2014,,,,,
shripadyessonaik,Goa,North Goa,Bharatiya Janata Party,61,GEN,#FB7B0D,,406631,1,,237903,2014,12-04-2014,Graduate,Male,37019154,0
advnarendrakeshavsawaikar,Goa,South Goa,Bharatiya Janata Party,47,GEN,#FB7B0D,,410369,1,,198776,2014,12-04-2014,Graduate Professional,Male,6260382,0
chavdavinodlakhamashi,Gujarat,Kachchh,Bharatiya Janata Party,,,#FB7B0D,,946240,1,,562855,2014,,,,,
chaudharyharibhaiparthibhai,Gujarat,Banaskantha,Bharatiya Janata Party,,,#FB7B0D,,886634,1,,507856,2014,,,,,
liladharbhaikhodajivaghela,Gujarat,Patan,Bharatiya Janata Party,,,#FB7B0D,,955799,1,,518538,2014,,,,,
pateljayshreebenkanubhai,Gujarat,Mahesana,Bharatiya Janata Party,55,GEN,#FB7B0D,,1004258,1,,580250,2014,30-04-2014,10th,Female,13278493,0
rathoddipsinhshankarsinh,Gujarat,Sabarkantha,Bharatiya Janata Party,62,GEN,#FB7B0D,,1094002,1,,552205,2014,30-04-2014,8th,Male,20700176,0
lkadvani,Gujarat,Gandhinagar,Bharatiya Janata Party,,,#FB7B0D,,1135495,1,,773539,2014,,,,,
pareshrawal,Gujarat,Ahmedabad East,Bharatiya Janata Party,,,#FB7B0D,,985525,1,,633582,2014,,,,,
drkiritpsolanki,Gujarat,Ahmedabad West,Bharatiya Janata Party,,,#FB7B0D,,964609,1,,617104,2014,,,,,
fateparadevajibhaigovindbhai,Gujarat,Surendranagar,Bharatiya Janata Party,55,GEN,#FB7B0D,,944677,1,,529003,2014,30-04-2014,Literate,Male,11685000,1
kundariyamohanbhaikalyanjibhai,Gujarat,Rajkot,Bharatiya Janata Party,,,#FB7B0D,,1057069,1,,621524,2014,,,,,
radadiyavithalbhaihansrajbhai,Gujarat,Porbandar,Bharatiya Janata Party,55,GEN,#FB7B0D,,809433,1,,508437,2014,30-04-2014,Graduate,Male,73003639,10
poonambenhematbhaimaadam,Gujarat,Jamnagar,Bharatiya Janata Party,,,#FB7B0D,,852643,1,,484412,2014,,,,,
chudasamarajeshbhainaranbhai,Gujarat,Junagadh,Bharatiya Janata Party,31,GEN,#FB7B0D,,941378,1,,513179,2014,30-04-2014,12th,Male,7446059,1
kachhadiyanaranbhaibhikhabhai,Gujarat,Amreli,Bharatiya Janata Party,58,GEN,#FB7B0D,,808816,1,,436715,2014,30-04-2014,12th,Male,34164801,2
drbharatibendhirubhaishiyal,Gujarat,Bhavnagar,Bharatiya Janata Party,,,#FB7B0D,,917402,1,,549529,2014,,,,,
dilippatel,Gujarat,Anand,Bharatiya Janata Party,,,#FB7B0D,,970894,1,,490829,2014,,,,,
chauhandevusinhjesingbhaichauhandevusinh,Gujarat,Kheda,Bharatiya Janata Party,,,#FB7B0D,,955906,1,,568235,2014,,,,,
chauhanprabhatsinhpratapsinh,Gujarat,Panchmahal,Bharatiya Janata Party,72,GEN,#FB7B0D,,933461,1,,508274,2014,30-04-2014,10th,Male,10464000,3
jasvantsinhsumanbhaibhabhor,Gujarat,Dahod,Bharatiya Janata Party,,,#FB7B0D,,900381,1,,511111,2014,,,,,
narendramodi,Gujarat,Vadodara,Bharatiya Janata Party,63,GEN,#FB7B0D,,1161577,1,,845464,2014,30-04-2014,Post Graduate,Male,15157582,0
ramsinhrathwa,Gujarat,Chhota Udaipur,Bharatiya Janata Party,,,#FB7B0D,,1100542,1,,607916,2014,,,,,
vasavamansukhbhaidhanjibhai,Gujarat,Bharuch,Bharatiya Janata Party,,,#FB7B0D,,1060211,1,,548902,2014,,,,,
vasavaparbhubhainagarbhai,Gujarat,Bardoli,Bharatiya Janata Party,,,#FB7B0D,,1206179,1,,622769,2014,,,,,
darshanavikramjardosh,Gujarat,Surat,Bharatiya Janata Party,,,#FB7B0D,,947922,1,,718412,2014,,,,,
crpatil,Gujarat,Navsari,Bharatiya Janata Party,,,#FB7B0D,,1160747,1,,820831,2014,,,,,
drkcpatel,Gujarat,Valsad,Bharatiya Janata Party,65,GEN,#FB7B0D,,1122203,1,,617772,2014,30-04-2014,Graduate Professional,Male,131141867,0
rattanlalkataria,Haryana,Ambala,Bharatiya Janata Party,62,GEN,#FB7B0D,,1218995,1,,612121,2014,10-04-2014,Post Graduate,Male,42150634,0
rajkumarsaini,Haryana,Kurukshetra,Bharatiya Janata Party,60,GEN,#FB7B0D,,1135892,1,,418112,2014,10-04-2014,Graduate,Male,132880476,0
charanjeetsinghrori,Haryana,Sirsa,Indian National Lok Dal,,,#999,,1279105,1,,506370,2014,,,,,
dushyantchautala,Haryana,Hisar,Indian National Lok Dal,26,GEN,#999,,1155914,1,,494478,2014,10-04-2014,Graduate,Male,361326990,0
ashwinikumar,Haryana,Karnal,Bharatiya Janata Party,57,GEN,#FB7B0D,,1193500,1,,594817,2014,10-04-2014,Graduate,Male,698638135,6
rameshchander,Haryana,Sonipat,Bharatiya Janata Party,,,#FB7B0D,,985637,1,,347203,2014,,,,,
deependersinghhooda,Haryana,Rohtak,Indian National Congress,,,#019733,,1044331,1,,490063,2014,,,,,
dharambirs/obhaleram,Haryana,Bhiwani-Mahendragarh,Bharatiya Janata Party,,,#FB7B0D,,1030431,1,,404542,2014,,,,,
inderjitsinghrao,Haryana,Gurgaon,Bharatiya Janata Party,,,#FB7B0D,,1320619,1,,644780,2014,,,,,
krishanpal,Haryana,Faridabad,Bharatiya Janata Party,57,GEN,#FB7B0D,,1130726,1,,652516,2014,10-04-2014,Graduate Professional,Male,296440144,0
shantakumar,Himachal Pradesh,Kangra,Bharatiya Janata Party,79,GEN,#FB7B0D,,799445,1,,456163,2014,07-05-2014,Graduate Professional,Male,19852104,0
ramswaroopsharma,Himachal Pradesh,Mandi,Bharatiya Janata Party,55,GEN,#FB7B0D,,726094,1,,362824,2014,07-05-2014,10th,Male,10178871,0
kunwarpushpendrasinghchandel,Uttar Pradesh,Hamirpur,Bharatiya Janata Party,,,#FB7B0D,,1810445,1,,453884,2014,,,,,
virenderkashyap,Himachal Pradesh,Shimla,Bharatiya Janata Party,63,GEN,#FB7B0D,,737757,1,,385973,2014,07-05-2014,Post Graduate,Male,5228095,0
muzaffarhussainbaig,Jammu & Kashmir,Baramulla,Jammu & Kashmir Peoples Democratic Party,,,#999,,465992,1,,175277,2014,,,,,
tariqhameedkarra,Jammu & Kashmir,Srinagar,Jammu & Kashmir Peoples Democratic Party,,,#999,,312212,1,,157923,2014,,,,,
mehboobamufti,Jammu & Kashmir,Anantnag,Jammu & Kashmir Peoples Democratic Party,,,#999,,375279,1,,200429,2014,,,,,
thupstanchhewang,Jammu & Kashmir,Ladakh,Bharatiya Janata Party,,,#FB7B0D,,118029,1,,31111,2014,,,,,
drjitendrasingh,Jammu & Kashmir,Udhampur,Bharatiya Janata Party,,,#FB7B0D,,1041758,1,,487369,2014,,,,,
jugalkishore,Jammu & Kashmir,Jammu,Bharatiya Janata Party,,,#FB7B0D,,1253593,1,,619995,2014,,,,,
prakashbabannahukkeri,Karnataka,Chikkodi,Indian National Congress,,,#019733,,1071103,1,,474373,2014,,,,,
angadisureshchannabasappa,Karnataka,Belgaum,Bharatiya Janata Party,,,#FB7B0D,,1078547,1,,554417,2014,,,,,
gaddigoudarparvtagoudachandanagouda,Karnataka,Bagalkot,Bharatiya Janata Party,,,#FB7B0D,,1079310,1,,571548,2014,,,,,
rameshjigajinagi,Karnataka,Bijapur,Bharatiya Janata Party,64,GEN,#FB7B0D,,966757,1,,471757,2014,17-04-2014,Graduate,Male,89429828,2
mallikarjunkharge,Karnataka,Gulbarga,Indian National Congress,72,GEN,#019733,,997638,1,,507193,2014,17-04-2014,Graduate Professional,Male,102220880,0
bvnayak,Karnataka,Raichur,Indian National Congress,48,GEN,#019733,,968889,1,,443659,2014,17-04-2014,Graduate Professional,Male,73502466,0
bhagwanthkhuba,Karnataka,Bidar,Bharatiya Janata Party,,,#FB7B0D,,959384,1,,459290,2014,,,,,
karadisangannaamarappa,Karnataka,Koppal,Bharatiya Janata Party,,,#FB7B0D,,1006508,1,,486383,2014,,,,,
bsreeramulu,Karnataka,Bellary,Bharatiya Janata Party,43,GEN,#FB7B0D,,1045772,1,,534406,2014,17-04-2014,Graduate,Male,151392844,8
udasishivakumarchannabasappa,Karnataka,Haveri,Bharatiya Janata Party,47,GEN,#FB7B0D,,1115968,1,,566790,2014,17-04-2014,Graduate Professional,Male,576693538,0
pralhadjoshi,Karnataka,Dharwad,Bharatiya Janata Party,51,GEN,#FB7B0D,,1041226,1,,545395,2014,17-04-2014,Graduate,Male,41979658,1
anantkumarhegde,Karnataka,Uttara Kannada,Bharatiya Janata Party,46,GEN,#FB7B0D,,1001038,1,,546939,2014,17-04-2014,12th,Male,32367360,0
gmsiddeshwara,Karnataka,Davanagere,Bharatiya Janata Party,61,GEN,#FB7B0D,,1114868,1,,518894,2014,17-04-2014,10th,Male,232375703,0
bsyeddyurappa,Karnataka,Shimoga,Bharatiya Janata Party,71,GEN,#FB7B0D,,1129008,1,,606216,2014,17-04-2014,12th,Male,69746267,9
shobhakarandlaje,Karnataka,Udupi Chikmagalur,Bharatiya Janata Party,47,GEN,#FB7B0D,,1034108,1,,581168,2014,17-04-2014,Post Graduate,Female,72089452,0
hddevegowda,Karnataka,Hassan,Janata Dal  (Secular),81,GEN,#8064a2,,1147172,1,,509841,2014,17-04-2014,Graduate Professional,Male,42721242,0
nalinkumarkateel,Karnataka,Dakshina Kannada,Bharatiya Janata Party,,,#FB7B0D,,1207474,1,,642739,2014,,,,,
bnchandrappa,Karnataka,Chitradurga,Indian National Congress,58,GEN,#019733,,1096499,1,,467511,2014,17-04-2014,Post Graduate,Male,48303759,0
muddahanumegowdasp,Karnataka,Tumkur,Indian National Congress,,,#019733,,1101484,1,,429868,2014,,,,,
