name,state,pc,party,age,category,color,electors,polled_votes,rank,sex,votes,year,poll_date,education,gender,assets,criminal_cases
chandrakasim,Tamil Nadu,Chidambaram,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,1088423,1,,429536,2014,,,,,
bharathimohanrk,Tamil Nadu,Mayiladuthurai,All India Anna Dravida Munnetra Kazhagam,47,GEN,#9DBC2A,,1025538,1,,513729,2014,24-04-2014,12th,Male,7378589,1
gopaldrk,Tamil Nadu,Nagapattinam,All India Anna Dravida Munnetra Kazhagam,54,GEN,#9DBC2A,,942202,1,,434174,2014,24-04-2014,Graduate Professional,Male,19074709,0
parasuramank,Tamil Nadu,Thanjavur,All India Anna Dravida Munnetra Kazhagam,53,GEN,#9DBC2A,,1012258,1,,510307,2014,24-04-2014,12th,Male,146049347,0
senthilnathanpr,Tamil Nadu,Sivaganga,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,1027036,1,,475993,2014,,,,,
rgopalakrishnan,Tamil Nadu,Madurai,All India Anna Dravida Munnetra Kazhagam,45,GEN,#9DBC2A,,978346,1,,454167,2014,24-04-2014,Graduate,Male,72503060,0
parthipanr,Tamil Nadu,Theni,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,1075583,1,,571254,2014,,,,,
radhakrishnant,Tamil Nadu,Virudhunagar,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,1010930,1,,406694,2014,,,,,
anwharraajhaaa,Tamil Nadu,Ramanathapuram,All India Anna Dravida Munnetra Kazhagam,65,GEN,#9DBC2A,,1001048,1,,405945,2014,24-04-2014,Graduate,Male,33582876,0
jeyasinghthiyagarajnatterjeej,Tamil Nadu,Thoothukkudi,All India Anna Dravida Munnetra Kazhagam,60,GEN,#9DBC2A,,916778,1,,366052,2014,24-04-2014,Post Graduate,Male,9822294,0
vasanthim,Tamil Nadu,Tenkasi,All India Anna Dravida Munnetra Kazhagam,52,GEN,#9DBC2A,,1017938,1,,424586,2014,24-04-2014,Post Graduate,Female,24014922,0
prabakarankrp,Tamil Nadu,Tirunelveli,All India Anna Dravida Munnetra Kazhagam,34,GEN,#9DBC2A,,962330,1,,398139,2014,24-04-2014,Graduate Professional,Male,2764500,0
radhakrishnanp,Tamil Nadu,Kanniyakumari,Bharatiya Janata Party,62,GEN,#FB7B0D,,990742,1,,372906,2014,24-04-2014,Graduate Professional,Male,40963269,0
sankarprasaddatta,Tripura,Tripura West,Communist Party of India  (Marxist),56,GEN,#DE0000,,1072749,1,,671665,2014,07-04-2014,Post Graduate,Male,1320900,1
jitendrachoudhury,Tripura,Tripura East,Communist Party of India  (Marxist),57,GEN,#DE0000,,951110,1,,623771,2014,12-04-2014,12th,Male,11322979,0
raghavlakhanpal,Uttar Pradesh,Saharanpur,Bharatiya Janata Party,39,GEN,#FB7B0D,,1194308,1,,472999,2014,10-04-2014,Post Graduate,Male,35406431,0
hukumsingh,Uttar Pradesh,Kairana,Bharatiya Janata Party,75,GEN,#FB7B0D,,1119324,1,,565909,2014,10-04-2014,Graduate Professional,Male,29078847,2
drsanjeevkumarbalyan,Uttar Pradesh,Muzaffarnagar,Bharatiya Janata Party,41,GEN,#FB7B0D,,1107434,1,,653391,2014,10-04-2014,Doctorate,Male,10794222,1
kunwarbhartendra,Uttar Pradesh,Bijnor,Bharatiya Janata Party,50,GEN,#FB7B0D,,1060346,1,,486913,2014,10-04-2014,Post Graduate,Male,24840646,2
yashwantsingh,Uttar Pradesh,Nagina,Bharatiya Janata Party,52,GEN,#FB7B0D,,942196,1,,367825,2014,17-04-2014,Post Graduate,Male,34806740,0
kunwersarveshkumar,Uttar Pradesh,Moradabad,Bharatiya Janata Party,62,GEN,#FB7B0D,,1127965,1,,485224,2014,17-04-2014,10th,Male,72866898,4
drnepalsingh,Uttar Pradesh,Rampur,Bharatiya Janata Party,74,GEN,#FB7B0D,,956389,1,,358616,2014,17-04-2014,Doctorate,Male,27136042,0
satyapalsingh,Uttar Pradesh,Sambhal,Bharatiya Janata Party,40,GEN,#FB7B0D,,1057002,1,,360242,2014,17-04-2014,Post Graduate,Male,19904379,0
kanwarsinghtanwar,Uttar Pradesh,Amroha,Bharatiya Janata Party,52,GEN,#FB7B0D,,1095860,1,,528880,2014,17-04-2014,5th,Male,1788430770,0
rajendraagarwal,Uttar Pradesh,Meerut,Bharatiya Janata Party,64,GEN,#FB7B0D,,1113384,1,,532981,2014,10-04-2014,Post Graduate,Male,8803517,2
drsatyapalsingh,Uttar Pradesh,Baghpat,Bharatiya Janata Party,58,GEN,#FB7B0D,,1004263,1,,423475,2014,10-04-2014,Doctorate,Male,67402076,0
vijaykumarsingh,Uttar Pradesh,Ghaziabad,Bharatiya Janata Party,62,GEN,#FB7B0D,,1342320,1,,758482,2014,10-04-2014,Doctorate,Male,41137044,2
drmaheshsharma,Uttar Pradesh,Gautam Buddha Nagar,Bharatiya Janata Party,,,#FB7B0D,,1199238,1,,599702,2014,,,,,
bholasingh,Uttar Pradesh,Bulandshahr,Bharatiya Janata Party,,,#FB7B0D,,1009710,1,,604449,2014,,,,,
satishkumar,Uttar Pradesh,Aligarh,Bharatiya Janata Party,42,GEN,#FB7B0D,,1064357,1,,514622,2014,10-04-2014,10th,Male,52180006,1
rajeshkumardiwaker,Uttar Pradesh,Hathras,Bharatiya Janata Party,,,#FB7B0D,,1049273,1,,544277,2014,,,,,
hemamalini,Uttar Pradesh,Mathura,Bharatiya Janata Party,,,#FB7B0D,,1076868,1,,574633,2014,,,,,
drramshankarkatheria,Uttar Pradesh,Agra,Bharatiya Janata Party,49,GEN,#FB7B0D,,1070400,1,,583716,2014,24-04-2014,Doctorate,Male,14634885,21
babulal,Uttar Pradesh,Fatehpur Sikri,Bharatiya Janata Party,66,GEN,#FB7B0D,,967968,1,,426589,2014,24-04-2014,12th,Male,73028848,3
akshayyadav,Uttar Pradesh,Firozabad,Samajwadi Party,27,GEN,#B15928,,1104606,1,,534583,2014,24-04-2014,Graduate,Male,100883304,0
mulayamsinghyadav,Uttar Pradesh,Mainpuri,Samajwadi Party,74,GEN,#B15928,,999265,1,,595918,2014,24-04-2014,Post Graduate,Male,159671544,0
rajveersinghrajubhaiya,Uttar Pradesh,Etah,Bharatiya Janata Party,,,#FB7B0D,,926281,1,,474978,2014,,,,,
dharmendrayadav,Uttar Pradesh,Badaun,Samajwadi Party,,,#B15928,,1027594,1,,498378,2014,,,,,
dharmendrakumar,Uttar Pradesh,Aonla,Bharatiya Janata Party,49,GEN,#FB7B0D,,995641,1,,409907,2014,17-04-2014,10th,Male,5364652,0
santoshkumargangwar,Uttar Pradesh,Bareilly,Bharatiya Janata Party,,,#FB7B0D,,1017891,1,,518258,2014,,,,,
manekasanjaygandhi,Uttar Pradesh,Pilibhit,Bharatiya Janata Party,57,GEN,#FB7B0D,,1050547,1,,546934,2014,17-04-2014,12th,Female,374132826,1
krishnaraj,Uttar Pradesh,Shahjahanpur,Bharatiya Janata Party,47,GEN,#FB7B0D,,1129841,1,,525132,2014,17-04-2014,Post Graduate,Female,16506411,0
ajaykumar,Uttar Pradesh,Kheri,Bharatiya Janata Party,55,GEN,#FB7B0D,,1077868,1,,398578,2014,17-04-2014,Graduate Professional,Male,26505977,2
rekha,Uttar Pradesh,Dhaurahra,Bharatiya Janata Party,32,GEN,#FB7B0D,,1060271,1,,360357,2014,30-04-2014,10th,Female,10435468,0
rajeshverma,Uttar Pradesh,Sitapur,Bharatiya Janata Party,,,#FB7B0D,,1026972,1,,417546,2014,,,,,
anshulverma,Uttar Pradesh,Hardoi,Bharatiya Janata Party,39,GEN,#FB7B0D,,972894,1,,360501,2014,24-04-2014,Post Graduate,Male,30385000,0
anjubala,Uttar Pradesh,Misrikh,Bharatiya Janata Party,34,GEN,#FB7B0D,,998314,1,,412575,2014,30-04-2014,Graduate,Female,37618214,0
swamisachchidanandharisakshi,Uttar Pradesh,Unnao,Bharatiya Janata Party,58,GEN,#FB7B0D,,1201603,1,,518834,2014,30-04-2014,Doctorate,Male,32137597,8
kaushalkishore,Uttar Pradesh,Mohanlalganj,Bharatiya Janata Party,53,GEN,#FB7B0D,,1116588,1,,455274,2014,30-04-2014,Graduate,Male,21128221,2
rajnathsingh,Uttar Pradesh,Lucknow,Bharatiya Janata Party,62,GEN,#FB7B0D,,1033783,1,,561106,2014,30-04-2014,Post Graduate,Male,29240729,0
soniagandhi,Uttar Pradesh,Rae Bareli,Indian National Congress,67,GEN,#019733,,825136,1,,526434,2014,30-04-2014,Graduate,Female,92895288,0
rahulgandhi,Uttar Pradesh,Amethi,Indian National Congress,43,GEN,#019733,,874625,1,,408651,2014,07-05-2014,Post Graduate,Male,94006549,0
ferozevarungandhi,Uttar Pradesh,Sultanpur,Bharatiya Janata Party,34,GEN,#FB7B0D,,964981,1,,410348,2014,07-05-2014,Post Graduate,Male,357318699,0
kuwarharivanshsingh,Uttar Pradesh,Pratapgarh,Apna Dal,64,GEN,#999,,894456,1,,375789,2014,07-05-2014,Graduate,Male,383137665,5
mukeshrajput,Uttar Pradesh,Farrukhabad,Bharatiya Janata Party,45,GEN,#FB7B0D,,970677,1,,406195,2014,24-04-2014,Graduate Professional,Male,26178100,0
ashokkumardoharey,Uttar Pradesh,Etawah,Bharatiya Janata Party,43,GEN,#FB7B0D,,939604,1,,439646,2014,24-04-2014,Graduate,Male,12252688,0
dimpleyadav,Uttar Pradesh,Kannauj,Samajwadi Party,36,GEN,#B15928,,1114460,1,,489164,2014,24-04-2014,Graduate,Female,280516418,0
drmurlimanoharjoshi,Uttar Pradesh,Kanpur,Bharatiya Janata Party,80,GEN,#FB7B0D,,835079,1,,474712,2014,30-04-2014,Doctorate,Male,78410008,1
devendrasingh@bholesingh,Uttar Pradesh,Akbarpur,Bharatiya Janata Party,,,#FB7B0D,,971375,1,,481584,2014,,,,,
bhanupratapsinghverma,Uttar Pradesh,Jalaun,Bharatiya Janata Party,,,#FB7B0D,,1109166,1,,548631,2014,,,,,
umabharati,Uttar Pradesh,Jhansi,Bharatiya Janata Party,,,#FB7B0D,,1320804,1,,575889,2014,,,,,
bhaironprasadmishra,Uttar Pradesh,Banda,Bharatiya Janata Party,60,GEN,#FB7B0D,,858326,1,,342066,2014,30-04-2014,12th,Male,50034910,3
niranjanjyoti,Uttar Pradesh,Fatehpur,Bharatiya Janata Party,,,#FB7B0D,,1056688,1,,485994,2014,,,,,
vinodkumarsonkar,Uttar Pradesh,Kaushambi,Bharatiya Janata Party,,,#FB7B0D,,910038,1,,331593,2014,,,,,
keshavprasadmaurya,Uttar Pradesh,Phulpur,Bharatiya Janata Party,,,#FB7B0D,,960341,1,,503564,2014,,,,,
shyamacharangupta,Uttar Pradesh,Allahabad,Bharatiya Janata Party,69,GEN,#FB7B0D,,891582,1,,313772,2014,07-05-2014,Graduate Professional,Male,472851707,0
priyankasinghrawat,Uttar Pradesh,Barabanki,Bharatiya Janata Party,28,GEN,#FB7B0D,,1068168,1,,454214,2014,30-04-2014,Post Graduate,Female,13175500,0
lallusingh,Uttar Pradesh,Faizabad,Bharatiya Janata Party,59,GEN,#FB7B0D,,1022716,1,,491761,2014,07-05-2014,Post Graduate,Male,15127861,1
hariompandey,Uttar Pradesh,Ambedkar Nagar,Bharatiya Janata Party,,,#FB7B0D,,1034404,1,,432104,2014,,,,,
sadhvisavitribaifoole,Uttar Pradesh,Bahraich,Bharatiya Janata Party,,,#FB7B0D,,934263,1,,432392,2014,,,,,
brijbhusansharansingh,Uttar Pradesh,Kaiserganj,Bharatiya Janata Party,57,GEN,#FB7B0D,,943357,1,,381500,2014,07-05-2014,Graduate Professional,Male,61696767,2
daddanmishra,Uttar Pradesh,Shrawasti,Bharatiya Janata Party,47,GEN,#FB7B0D,,979638,1,,345964,2014,07-05-2014,Post Graduate,Male,20065527,0
kirtivardhansingh,Uttar Pradesh,Gonda,Bharatiya Janata Party,48,GEN,#FB7B0D,,873732,1,,359643,2014,07-05-2014,Post Graduate,Male,74738429,0
jagdambikapal,Uttar Pradesh,Domariyaganj,Bharatiya Janata Party,64,GEN,#FB7B0D,,935027,1,,298845,2014,12-05-2014,Post Graduate,Male,17822082,0
harishchandraaliasharishdwivedi,Uttar Pradesh,Basti,Bharatiya Janata Party,,,#FB7B0D,,1048534,1,,357680,2014,,,,,
sharadtripathi,Uttar Pradesh,Sant Kabir Nagar,Bharatiya Janata Party,42,GEN,#FB7B0D,,1011649,1,,348892,2014,07-05-2014,Post Graduate,Male,3697671,0
adityanath,Uttar Pradesh,Gorakhpur,Bharatiya Janata Party,41,GEN,#FB7B0D,,1040199,1,,539127,2014,12-05-2014,Graduate,Male,7217674,3
rajeshpandeyurfguddu,Uttar Pradesh,Kushi Nagar,Bharatiya Janata Party,55,GEN,#FB7B0D,,950445,1,,370051,2014,12-05-2014,Post Graduate,Male,110407014,0
kalrajmishra,Uttar Pradesh,Deoria,Bharatiya Janata Party,73,GEN,#FB7B0D,,971557,1,,496500,2014,12-05-2014,Post Graduate,Male,55048193,0
kamleshpaswan,Uttar Pradesh,Bansgaon,Bharatiya Janata Party,38,GEN,#FB7B0D,,877877,1,,417959,2014,12-05-2014,Graduate,Male,101640625,0
neelamsonkar,Uttar Pradesh,Lalganj,Bharatiya Janata Party,,,#FB7B0D,,898655,1,,324016,2014,,,,,
mulayamsinghyadav,Uttar Pradesh,Azamgarh,Samajwadi Party,74,GEN,#B15928,,960218,1,,340306,2014,12-05-2014,Post Graduate,Male,159671544,0
harinarayanrajbhar,Uttar Pradesh,Ghosi,Bharatiya Janata Party,73,GEN,#FB7B0D,,1039656,1,,379797,2014,12-05-2014,Literate,Male,23403964,0
ravindrakushawaha,Uttar Pradesh,Salempur,Bharatiya Janata Party,50,GEN,#FB7B0D,,854749,1,,392213,2014,12-05-2014,12th,Male,7134477,0
bharatsingh,Uttar Pradesh,Ballia,Bharatiya Janata Party,62,GEN,#FB7B0D,,942211,1,,359758,2014,12-05-2014,Graduate,Male,21130089,3
krishnapratap'kp',Uttar Pradesh,Jaunpur,Bharatiya Janata Party,,,#FB7B0D,,1007143,1,,367149,2014,,,,,
ramcharitranishad,Uttar Pradesh,Machhlishahr,Bharatiya Janata Party,46,GEN,#FB7B0D,,997902,1,,438210,2014,12-05-2014,12th,Male,8641278,0
manojsinha,Uttar Pradesh,Ghazipur,Bharatiya Janata Party,55,GEN,#FB7B0D,,986673,1,,306929,2014,12-05-2014,Graduate,Male,23376901,0
drmahendranathpandey,Uttar Pradesh,Chandauli,Bharatiya Janata Party,,,#FB7B0D,,980572,1,,414135,2014,,,,,
narendramodi,Uttar Pradesh,Varanasi,Bharatiya Janata Party,63,GEN,#FB7B0D,,1030685,1,,581022,2014,12-05-2014,Post Graduate,Male,16591582,0
virendrasingh,Uttar Pradesh,Bhadohi,Bharatiya Janata Party,57,GEN,#FB7B0D,,981552,1,,403544,2014,07-05-2014,Graduate,Male,11531458,0
anupriyasinghpatel,Uttar Pradesh,Mirzapur,Apna Dal,33,GEN,#999,,1007627,1,,436536,2014,12-05-2014,Post Graduate,Female,26858156,2
chhotelal,Uttar Pradesh,Robertsganj,Bharatiya Janata Party,41,GEN,#FB7B0D,,885873,1,,378211,2014,12-05-2014,5th,Male,3687361,0
renukasinha,West Bengal,Cooch Behar,All India Trinamool Congress,,,#0C6965,,1332409,1,,526499,2014,,,,,
dasrathtirkey,West Bengal,Alipurduars,All India Trinamool Congress,47,GEN,#0C6965,,1223566,1,,362453,2014,17-04-2014,Graduate,Male,3550353,0
bijoychandrabarman,West Bengal,Jalpaiguri,All India Trinamool Congress,57,GEN,#0C6965,,1302117,1,,494773,2014,17-04-2014,Post Graduate,Male,9396430,0
ssahluwalia,West Bengal,Darjeeling,Bharatiya Janata Party,,,#FB7B0D,,1142009,1,,488257,2014,,,,,
mdsalim,West Bengal,Raiganj,Communist Party of India  (Marxist),56,GEN,#DE0000,,1108193,1,,317515,2014,24-04-2014,Post Graduate,Male,7868013,0
arpitaghosh,West Bengal,Balurghat,All India Trinamool Congress,47,GEN,#0C6965,,1063053,1,,409641,2014,24-04-2014,Graduate,Female,544790,0
mausamnoor,West Bengal,Maldaha Uttar,Indian National Congress,34,GEN,#019733,,1162985,1,,388609,2014,24-04-2014,Graduate Professional,Female,9778222,0
abuhasemkhanchowdhury,West Bengal,Maldaha Dakshin,Indian National Congress,,,#019733,,1092407,1,,380291,2014,,,,,
abhijitmukherjee,West Bengal,Jangipur,Indian National Congress,54,GEN,#019733,,1119084,1,,378201,2014,24-04-2014,Graduate Professional,Male,63014502,0
adhirranjanchowdhury,West Bengal,Baharampur,Indian National Congress,58,GEN,#019733,,1154587,1,,583549,2014,12-05-2014,10th,Male,81465854,16
badaruddozakhan,West Bengal,Murshidabad,Communist Party of India  (Marxist),59,GEN,#DE0000,,1287763,1,,426947,2014,24-04-2014,Graduate,Male,2758610,0
tapaspaul,West Bengal,Krishnanagar,All India Trinamool Congress,57,GEN,#0C6965,,1247914,1,,438789,2014,12-05-2014,Graduate,Male,27829669,4
tapasmandal,West Bengal,Ranaghat,All India Trinamool Congress,42,GEN,#0C6965,,1353196,1,,590451,2014,12-05-2014,Doctorate,Male,8169115,0
kapilkrishnathakur,West Bengal,Bangaon,All India Trinamool Congress,73,GEN,#0C6965,,1283688,1,,551213,2014,12-05-2014,Graduate,Male,9667890,0
dineshtrivedi,West Bengal,Barrackpore,All India Trinamool Congress,,,#0C6965,,1051130,1,,479206,2014,,,,,
saugataroy,West Bengal,Dum Dum,All India Trinamool Congress,66,GEN,#0C6965,,1132644,1,,483244,2014,12-05-2014,Post Graduate,Male,19452011,0
drkakalighoshdostidar,West Bengal,Barasat,All India Trinamool Congress,55,GEN,#0C6965,,1269331,1,,525387,2014,12-05-2014,Graduate Professional,Female,31254311,0
idrisali,West Bengal,Basirhat,All India Trinamool Congress,64,GEN,#0C6965,,1273771,1,,492326,2014,12-05-2014,Graduate Professional,Male,9800277,9
pratimamondal,West Bengal,Joynagar,All India Trinamool Congress,,,#0C6965,,1186052,1,,494746,2014,,,,,
choudhurymohanjatua,West Bengal,Mathurapur,All India Trinamool Congress,75,GEN,#0C6965,,1265531,1,,627761,2014,12-05-2014,Post Graduate,Male,4857752,0
abhishekbanerjee,West Bengal,Diamond Harbour,All India Trinamool Congress,26,GEN,#0C6965,,1261296,1,,508481,2014,12-05-2014,Post Graduate,Male,15199272,0
sugatabose,West Bengal,Jadavpur,All India Trinamool Congress,57,GEN,#0C6965,,1272362,1,,584244,2014,12-05-2014,Doctorate,Male,46315770,0
subratabakshi,West Bengal,Kolkata Dakshin,All India Trinamool Congress,64,GEN,#0C6965,,1167979,1,,431715,2014,12-05-2014,Graduate Professional,Male,10265428,0
sudipbandyopadhyay,West Bengal,Kolkata Uttar,All India Trinamool Congress,62,GEN,#0C6965,,955778,1,,343687,2014,12-05-2014,Graduate,Male,22086278,1
prasunbanerjee,West Bengal,Howrah,All India Trinamool Congress,59,GEN,#0C6965,,1125399,1,,488461,2014,30-04-2014,Graduate,Male,10041098,0
sultanahmed,West Bengal,Uluberia,All India Trinamool Congress,58,GEN,#0C6965,,1186027,1,,570785,2014,30-04-2014,Graduate,Male,22792936,0
kalyanbanerjee,West Bengal,Srerampur,All India Trinamool Congress,,,#0C6965,,1290433,1,,514933,2014,,,,,
drratnadenag,West Bengal,Hooghly,All India Trinamool Congress,,,#0C6965,,1348870,1,,614312,2014,,,,,
aparupapoddarafrinali,West Bengal,Arambagh,All India Trinamool Congress,,,#0C6965,,1361934,1,,748764,2014,,,,,
adhikarisuvendu,West Bengal,Tamluk,All India Trinamool Congress,,,#0C6965,,1337684,1,,716928,2014,,,,,
adhikarisisirkumar,West Bengal,Kanthi,All India Trinamool Congress,,,#0C6965,,1290811,1,,676749,2014,,,,,
adhikarideepakdev,West Bengal,Ghatal,All India Trinamool Congress,,,#0C6965,,1366709,1,,685696,2014,,,,,
umasaren,West Bengal,Jhargram,All India Trinamool Congress,30,GEN,#0C6965,,1257613,1,,674504,2014,07-05-2014,Graduate Professional,Female,499646,0
sandhyaroy,West Bengal,Medinipur,All India Trinamool Congress,73,GEN,#0C6965,,1260032,1,,579860,2014,07-05-2014,Literate,Female,31031095,0
drmrigankamahato,West Bengal,Purulia,All India Trinamool Congress,,,#0C6965,,1204675,1,,468277,2014,,,,,
sreematidevvarmamoonmoonsen,West Bengal,Bankura,All India Trinamool Congress,60,GEN,#0C6965,,1236319,1,,483455,2014,07-05-2014,Post Graduate,Female,15314000,0
khansaumitra,West Bengal,Bishnupur,All India Trinamool Congress,,,#0C6965,,1272070,1,,578870,2014,,,,,
sunilkumarmondal,West Bengal,Bardhaman Purba,All India Trinamool Congress,55,GEN,#0C6965,,1320922,1,,574660,2014,30-04-2014,Graduate Professional,Male,11841000,0
drmamtazsanghamita,West Bengal,Burdwan - Durgapur,All India Trinamool Congress,,,#0C6965,,1331242,1,,554521,2014,,,,,
babulsupriyabaralbabulsupriyo,West Bengal,Asansol,Bharatiya Janata Party,,,#FB7B0D,,1142395,1,,419983,2014,,,,,
anupamhazra,West Bengal,Bolpur,All India Trinamool Congress,32,GEN,#0C6965,,1304756,1,,630693,2014,30-04-2014,Doctorate,Male,4866883,0
satabdiroy,West Bengal,Birbhum,All India Trinamool Congress,,,#0C6965,,1275819,1,,460568,2014,,,,,
kamalbhansinghmarabi,Chhattisgarh,Sarguja,Bharatiya Janata Party,,,#FB7B0D,,1187321,1,,585336,2014,,,,,
vishnudeosai,Chhattisgarh,Raigarh,Bharatiya Janata Party,,,#FB7B0D,,1246186,1,,662478,2014,,,,,
kamlapatle,Chhattisgarh,Janjgir-Champa,Bharatiya Janata Party,,,#FB7B0D,,1073347,1,,518909,2014,,,,,
drbanshilalmahto,Chhattisgarh,Korba,Bharatiya Janata Party,,,#FB7B0D,,1052720,1,,439002,2014,,,,,
lakhanlalsahu,Chhattisgarh,Bilaspur,Bharatiya Janata Party,,,#FB7B0D,,1090457,1,,561387,2014,,,,,
abhisheksingh,Chhattisgarh,Rajnandgaon,Bharatiya Janata Party,33,GEN,#FB7B0D,,1178296,1,,643473,2014,17-04-2014,Graduate Professional,Male,44093207,0
tamradhwajsahu,Chhattisgarh,Durg,Indian National Congress,,,#019733,,1258342,1,,570687,2014,,,,,
rameshbais,Chhattisgarh,Raipur,Bharatiya Janata Party,66,GEN,#FB7B0D,,1250845,1,,654922,2014,24-04-2014,12th,Male,73190135,0
chandulalsahuchandubhaiya,Chhattisgarh,Mahasamund,Bharatiya Janata Party,,,#FB7B0D,,1131209,1,,503514,2014,,,,,
dineshkashyap,Chhattisgarh,Bastar,Bharatiya Janata Party,51,GEN,#FB7B0D,,769913,1,,385829,2014,10-04-2014,Post Graduate,Male,16108199,1
vikramdevusendi,Chhattisgarh,Kanker,Bharatiya Janata Party,,,#FB7B0D,,1016943,1,,465215,2014,,,,,
vijaykumarhansdak,Jharkhand,Rajmahal,Jharkhand Mukti Morcha,31,GEN,#999,,951563,1,,379507,2014,24-04-2014,5th,Male,6863306,1
shibusoren,Jharkhand,Dumka,Jharkhand Mukti Morcha,68,GEN,#999,,903060,1,,335815,2014,24-04-2014,10th,Male,46760684,0
nishikantdubey,Jharkhand,Godda,Bharatiya Janata Party,42,GEN,#FB7B0D,,1049442,1,,380500,2014,24-04-2014,Post Graduate,Male,155633719,5
sunilkumarsingh,Jharkhand,Chatra,Bharatiya Janata Party,52,GEN,#FB7B0D,,712971,1,,295862,2014,10-04-2014,Post Graduate,Male,174744806,0
ravindrakrray,Jharkhand,Kodarma,Bharatiya Janata Party,,,#FB7B0D,,1024906,1,,365410,2014,,,,,
ravindrakumarpandey,Jharkhand,Giridih,Bharatiya Janata Party,55,GEN,#FB7B0D,,969997,1,,391913,2014,17-04-2014,Graduate,Male,73376970,0
pashupatinathsingh,Jharkhand,Dhanbad,Bharatiya Janata Party,65,GEN,#FB7B0D,,1143902,1,,543491,2014,24-04-2014,Graduate,Male,24248150,1
ramtahalchoudhary,Jharkhand,Ranchi,Bharatiya Janata Party,72,GEN,#FB7B0D,,1049783,1,,448729,2014,17-04-2014,10th,Male,10743950,0
bidyutbaranmahato,Jharkhand,Jamshedpur,Bharatiya Janata Party,-,-,#FB7B0D,,1049140,1,,464153,2014,17-04-2014,-, -,-,-
laxmangiluwa,Jharkhand,Singhbhum,Bharatiya Janata Party,52,GEN,#FB7B0D,,795286,1,,303131,2014,17-04-2014,12th,Male,8094301,4
kariamunda,Jharkhand,Khunti,Bharatiya Janata Party,77,GEN,#FB7B0D,,736955,1,,269185,2014,17-04-2014,Post Graduate,Male,7474796,0
sudarshanbhagat,Jharkhand,Lohardaga,Bharatiya Janata Party,45,GEN,#FB7B0D,,651460,1,,226666,2014,10-04-2014,Graduate,Male,9031009,0
vishnudayalram,Jharkhand,Palamau,Bharatiya Janata Party,62,GEN,#FB7B0D,,977323,1,,476513,2014,10-04-2014,Graduate,Male,24753886,0
jayantsinha,Jharkhand,Hazaribagh,Bharatiya Janata Party,50,GEN,#FB7B0D,,967152,1,,406931,2014,17-04-2014,Post Graduate,Male,556754579,0
malarajyalaxmishah,Uttarakhand,Tehri Garhwal,Bharatiya Janata Party,64,GEN,#FB7B0D,,776214,1,,446733,2014,07-05-2014,12th,Female,1662109875,0
majgenretdbhuwanchandrakhanduriavsm,Uttarakhand,Garhwal,Bharatiya Janata Party,79,GEN,#FB7B0D,,682024,1,,405690,2014,07-05-2014,Graduate Professional,Male,44357368,0
ajaytamta,Uttarakhand,Almora,Bharatiya Janata Party,41,GEN,#FB7B0D,,656525,1,,348186,2014,07-05-2014,12th,Male,6366653,0
bhagatsinghkoshyari,Uttarakhand,Nainital-Udhamsingh Nagar,Bharatiya Janata Party,72,GEN,#FB7B0D,,1101435,1,,636769,2014,07-05-2014,Post Graduate,Male,5562704,0
rameshpokhriyalnishank,Uttarakhand,Hardwar,Bharatiya Janata Party,,,#FB7B0D,,1175692,1,,592320,2014,,,,,
bishnupadaray,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Bharatiya Janata Party,,,#FB7B0D,,190328,1,,90969,2014,,,,,
kherkirronanupam,Chandigarh,Chandigarh,Bharatiya Janata Party,,,#FB7B0D,,453455,1,,191362,2014,,,,,
patelnatubhaigomanbhai,Dadra & Nagar Haveli,Dadar & Nagar Haveli,Bharatiya Janata Party,,,#FB7B0D,,165286,1,,80790,2014,,,,,
patellalubhaibabubhai,Daman & Diu,Daman & Diu,Bharatiya Janata Party,,,#FB7B0D,,87233,1,,46960,2014,,,,,
drharshvardhan,Nct Of Delhi,Chandni Chowk,Bharatiya Janata Party,,,#FB7B0D,,981863,1,,437938,2014,,,,,
manojtiwari,Nct Of Delhi,North East Delhi,Bharatiya Janata Party,,,#FB7B0D,,1317338,1,,596125,2014,,,,,
maheishgirri,Nct Of Delhi,East Delhi,Bharatiya Janata Party,,,#FB7B0D,,1196336,1,,572202,2014,,,,,
meenakashilekhi,Nct Of Delhi,New Delhi,Bharatiya Janata Party,,,#FB7B0D,,969812,1,,453350,2014,,,,,
uditraj,Nct Of Delhi,North West Delhi,Bharatiya Janata Party,,,#FB7B0D,,1356036,1,,629860,2014,,,,,
parveshsahibsinghverma,Nct Of Delhi,West Delhi,Bharatiya Janata Party,,,#FB7B0D,,1347971,1,,651395,2014,,,,,
rameshbidhuri,Nct Of Delhi,South Delhi,Bharatiya Janata Party,,,#FB7B0D,,1102410,1,,497980,2014,,,,,
mohammedfaizalpp,Lakshadweep,Lakshadweep,Nationalist Congress Party,38,GEN,#999,,43239,1,,21665,2014,10-04-2014,Post Graduate,Male,538119,3
rradhakrishnan,Puducherry,Puducherry,All India N.R. Congress,,,#999,,740017,1,,255826,2014,,,,,
