sub_name,pc,party,age,category,color,electors,name,polled_votes,rank,sex,state,votes,year,poll_date,education,gender,assets,criminal_cases
muddahanumegowdasp,Tumkur,Indian National Congress,,,#019733,,MUDDAHANUMEGOWDA.S.P.,1101484,1,,Karnataka,429868,2014,,,,,
pksreemathiteacher,Kannur,Communist Party of India  (Marxist),,,#DE0000,,P K SREEMATHI TEACHER,947117,1,,Kerala,427622,2014,,,,,
profkvthomas,Ernakulam,Indian National Congress,,,#019733,,PROF. K.V. THOMAS,850834,1,,Kerala,353841,2014,,,,,
drasampath,Attingal,Communist Party of India  (Marxist),,,#DE0000,,DR.A .SAMPATH,859350,1,,Kerala,392478,2014,,,,,
drbhagirathprasad,Bhind,Bharatiya Janata Party,,,#FB7B0D,,DR. BHAGIRATH PRASAD,729084,1,,Madhya Pradesh,404474,2014,,,,,
prahaladsinghpatel,Damoh,Bharatiya Janata Party,,,#FB7B0D,,PRAHALAD SINGH PATEL,912080,1,,Madhya Pradesh,513079,2014,,,,,
rakeshsingh,Jabalpur,Bharatiya Janata Party,,,#FB7B0D,,RAKESH SINGH,1002184,1,,Madhya Pradesh,564609,2014,,,,,
profchintamanimalviya,Ujjain,Bharatiya Janata Party,,,#FB7B0D,,PROF. CHINTAMANI MALVIYA,1016405,1,,Madhya Pradesh,641101,2014,,,,,
dileepsinghbhuria,Ratlam,Bharatiya Janata Party,,,#FB7B0D,,DILEEPSINGH BHURIA,1082681,1,,Madhya Pradesh,545970,2014,,,,,
sumitramahajantai,Indore,Bharatiya Janata Party,,,#FB7B0D,,SUMITRA MAHAJAN (TAI),1316817,1,,Madhya Pradesh,854972,2014,,,,,
nandkumarsinghchouhannandubhaiya,Khandwa,Bharatiya Janata Party,,,#FB7B0D,,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),1257327,1,,Madhya Pradesh,717357,2014,,,,,
drbhamresubhashramrao,Dhule,Bharatiya Janata Party,,,#FB7B0D,,DR. BHAMRE SUBHASH RAMRAO,983083,1,,Maharashtra,529450,2014,,,,,
atnanapatil,Jalgaon,Bharatiya Janata Party,,,#FB7B0D,,A.T. NANA PATIL,990332,1,,Maharashtra,647773,2014,,,,,
dhotresanjayshamrao,Akola,Bharatiya Janata Party,,,#FB7B0D,,DHOTRE SANJAY SHAMRAO,978491,1,,Maharashtra,456472,2014,,,,,
ashokshankarraochavan,Nanded,Indian National Congress,,,#019733,,ASHOK SHANKARRAO CHAVAN,1013350,1,,Maharashtra,493075,2014,,,,,
godsehemanttukaram,Nashik,Shivsena,,,#F05A00,,GODSE HEMANT TUKARAM,937405,1,,Maharashtra,494735,2014,,,,,
advchintamannavashawanga,Palghar,Bharatiya Janata Party,,,#FB7B0D,,ADV. CHINTAMAN NAVASHA WANGA,992618,1,,Maharashtra,533201,2014,,,,,
rahulrameshshewale,Mumbai South Central,Shivsena,,,#F05A00,,RAHUL RAMESH SHEWALE,769060,1,,Maharashtra,381275,2014,,,,,
arvindsawant,Mumbai   South,Shivsena,,,#F05A00,,ARVIND SAWANT,780715,1,,Maharashtra,374780,2014,,,,,
anantgeete,Raigad,Shivsena,,,#F05A00,,ANANT GEETE,987766,1,,Maharashtra,396178,2014,,,,,
appaaliasshrirangchandubarne,Maval,Shivsena,,,#F05A00,,APPA ALIAS SHRIRANG CHANDU BARNE,1174335,1,,Maharashtra,512226,2014,,,,,
drsunilbaliramgaikwad,Latur,Bharatiya Janata Party,,,#FB7B0D,,DR. SUNIL BALIRAM GAIKWAD,1057156,1,,Maharashtra,616509,2014,,,,,
jual@jueloram,Sundargarh,Bharatiya Janata Party,,,#FB7B0D,,JUAL @ JUEL ORAM,1010711,1,,Odisha,340508,2014,,,,,
baijayantpanda,Kendrapara,Biju Janata Dal,,,#000000,,BAIJAYANT PANDA,1140999,1,,Odisha,601574,2014,,,,,
pinakimisra,Puri,Biju Janata Dal,,,#000000,,PINAKI MISRA,1039389,1,,Odisha,523161,2014,,,,,
prasannakumarpatasani,Bhubaneswar,Biju Janata Dal,,,#000000,,PRASANNA KUMAR PATASANI,891822,1,,Odisha,439252,2014,,,,,
chandnath,Alwar,Bharatiya Janata Party,,,#FB7B0D,,CHAND NATH,1062305,1,,Rajasthan,642278,2014,,,,,
harishchandrameena,Dausa,Bharatiya Janata Party,,,#FB7B0D,,HARISH CHANDRA MEENA,930492,1,,Rajasthan,315059,2014,,,,,
chandraprakashjoshi,Chittorgarh,Bharatiya Janata Party,,,#FB7B0D,,CHANDRA PRAKASH JOSHI,1172629,1,,Rajasthan,703236,2014,,,,,
subhashbaheria,Bhilwara,Bharatiya Janata Party,,,#FB7B0D,,SUBHASH BAHERIA,1104090,1,,Rajasthan,630317,2014,,,,,
dushyantsingh,Jhalawar-Baran,Bharatiya Janata Party,,,#FB7B0D,,DUSHYANT SINGH,1146364,1,,Rajasthan,676102,2014,,,,,
ramachandranknthiru,Sriperumbudur,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,"RAMACHANDRAN, K.N. THIRU",1286647,1,,Tamil Nadu,545820,2014,,,,,
senguttuvanb,Vellore,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,"SENGUTTUVAN, B.",974770,1,,Tamil Nadu,383719,2014,,,,,
rajendrans,Viluppuram,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,RAJENDRAN S,1067641,1,,Tamil Nadu,482704,2014,,,,,
kamarajk,Kallakurichi,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,KAMARAJ. K,1107241,1,,Tamil Nadu,533383,2014,,,,,
gopalakrishnanc,Nilgiris,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,"GOPALAKRISHNAN, C.",933076,1,,Tamil Nadu,463700,2014,,,,,
nagarajanp,Coimbatore,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,"NAGARAJAN, P.",1176620,1,,Tamil Nadu,431717,2014,,,,,
kumarp,Tiruchirappalli,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,KUMAR.P,988250,1,,Tamil Nadu,458478,2014,,,,,
marutharajaarp,Perambalur,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,"MARUTHARAJAA, R.P.",1030826,1,,Tamil Nadu,462693,2014,,,,,
arunmozhithevana,Cuddalore,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,ARUNMOZHITHEVAN.A,984538,1,,Tamil Nadu,481429,2014,,,,,
chandrakasim,Chidambaram,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,"CHANDRAKASI, M",1088423,1,,Tamil Nadu,429536,2014,,,,,
senthilnathanpr,Sivaganga,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,SENTHILNATHAN PR,1027036,1,,Tamil Nadu,475993,2014,,,,,
parthipanr,Theni,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,"PARTHIPAN, R.",1075583,1,,Tamil Nadu,571254,2014,,,,,
radhakrishnant,Virudhunagar,All India Anna Dravida Munnetra Kazhagam,,,#9DBC2A,,RADHAKRISHNAN T,1010930,1,,Tamil Nadu,406694,2014,,,,,
drmaheshsharma,Gautam Buddha Nagar,Bharatiya Janata Party,,,#FB7B0D,,DR.MAHESH  SHARMA,1199238,1,,Uttar Pradesh,599702,2014,,,,,
