pc,party,sub_name,age,category,color,electors,name,polled_votes,rank,sex,state,votes,year,poll_date,education,gender,assets,criminal_cases
Ratlam,Bharatiya Janata Party,dileepsinghbhuria,68,GEN,#FB7B0D,,DILEEPSINGH BHURIA,1082681,1,,Madhya Pradesh,545970,2014,24-04-2014,10th,Male,12259882,0
Indore,Bharatiya Janata Party,sumitramahajantai,70,GEN,#FB7B0D,,SUMITRA MAHAJAN (TAI),1316817,1,,Madhya Pradesh,854972,2014,24-04-2014,Post Graduate,Female,18732234,0
Khandwa,Bharatiya Janata Party,nandkumarsinghchouhannandubhaiya,61,GEN,#FB7B0D,,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),1257327,1,,Madhya Pradesh,717357,2014,24-04-2014,Post Graduate,Male,40188989,0
Dhule,Bharatiya Janata Party,drbhamresubhashramrao,61,GEN,#FB7B0D,,DR. BHAMRE SUBHASH RAMRAO,983083,1,,Maharashtra,529450,2014,24-04-2014,Graduate Professional,Male,125833320,0
Jalgaon,Bharatiya Janata Party,atnanapatil,52,GEN,#FB7B0D,,A.T. NANA PATIL,990332,1,,Maharashtra,647773,2014,24-04-2014,Graduate,Male,226180395,0
Akola,Bharatiya Janata Party,dhotresanjayshamrao,55,GEN,#FB7B0D,,DHOTRE SANJAY SHAMRAO,978491,1,,Maharashtra,456472,2014,10-04-2014,Graduate Professional,Male,48501735,3
Nanded,Indian National Congress,ashokshankarraochavan,55,GEN,#019733,,ASHOK SHANKARRAO CHAVAN,1013350,1,,Maharashtra,493075,2014,17-04-2014,Post Graduate,Male,388758910,0
Nashik,Shivsena,godsehemanttukaram,43,GEN,#F05A00,,GODSE HEMANT TUKARAM,937405,1,,Maharashtra,494735,2014,24-04-2014,12th,Male,83611067,1
Palghar,Bharatiya Janata Party,advchintamannavashawanga,63,GEN,#FB7B0D,,ADV. CHINTAMAN NAVASHA WANGA,992618,1,,Maharashtra,533201,2014,24-04-2014,Graduate Professional,Male,5809644,0
Mumbai South Central,Shivsena,rahulrameshshewale,41,GEN,#F05A00,,RAHUL RAMESH SHEWALE,769060,1,,Maharashtra,381275,2014,24-04-2014,Others,Male,13304397,1
Mumbai   South,Shivsena,arvindsawant,62,GEN,#F05A00,,ARVIND SAWANT,780715,1,,Maharashtra,374780,2014,24-04-2014,Graduate,Male,13067446,1
Raigad,Shivsena,anantgeete,63,GEN,#F05A00,,ANANT GEETE,987766,1,,Maharashtra,396178,2014,24-04-2014,10th,Male,44466487,0
Maval,Shivsena,appaaliasshrirangchandubarne,50,GEN,#F05A00,,APPA ALIAS SHRIRANG CHANDU BARNE,1174335,1,,Maharashtra,512226,2014,17-04-2014,8th,Male,665047926,2
Latur,Bharatiya Janata Party,drsunilbaliramgaikwad,43,GEN,#FB7B0D,,DR. SUNIL BALIRAM GAIKWAD,1057156,1,,Maharashtra,616509,2014,17-04-2014,Doctorate,Male,17463251,0
Sundargarh,Bharatiya Janata Party,jual@jueloram,53,GEN,#FB7B0D,,JUAL @ JUEL ORAM,1010711,1,,Odisha,340508,2014,10-04-2014,Others,Male,24202170,1
Kendrapara,Biju Janata Dal,baijayantpanda,50,GEN,#000000,,BAIJAYANT PANDA,1140999,1,,Odisha,601574,2014,17-04-2014,Graduate Professional,Male,312432726,0
Puri,Biju Janata Dal,pinakimisra,54,GEN,#000000,,PINAKI MISRA,1039389,1,,Odisha,523161,2014,17-04-2014,Graduate Professional,Male,1370991203,0
Bhubaneswar,Biju Janata Dal,prasannakumarpatasani,71,GEN,#000000,,PRASANNA KUMAR PATASANI,891822,1,,Odisha,439252,2014,17-04-2014,Post Graduate,Male,13557443,0
Alwar,Bharatiya Janata Party,chandnath,58,GEN,#FB7B0D,,CHAND NATH,1062305,1,,Rajasthan,642278,2014,24-04-2014,Graduate,Male,199653,0
