party,state,constituency,poll_date,name,age,gender,education,category,assets,criminal_cases,color,party_name
IND,Tamil Nadu,Sriperumbudur,24-04-2014,palani-athiru,34,Male,10th,GEN,15310000,1,,Independent
IND,Maharashtra,Wardha,10-04-2014,jagdishbhagwankadu,40,Male,Graduate Professional,GEN,15288413,0,,Independent
AAP,Uttar Pradesh,Aligarh,10-04-2014,mohdsabirrahi,46,Male,10th,GEN,15227199,0,,Aam Aadmi Party
AITC,Assam,Mangaldoi,24-04-2014,debakumarbarman,42,Male,Others,GEN,15202790,0,#0C6965,All India Trinamool Congress
AITC,West Bengal,Diamond Harbour,12-05-2014,abhishekbanerjee,26,Male,Post Graduate,GEN,15199272,0,#0C6965,All India Trinamool Congress
SP,Uttar Pradesh,Lucknow,30-04-2014,abhishekmishra,36,Male,Doctorate,GEN,15197365,0,#B15928,Samajwadi Party
BJP,Punjab,Hoshiarpur,30-04-2014,vijaysampla,52,Male,10th,GEN,15164322,0,#FB7B0D,Bharatiya Janata Party
BJP,Gujarat,Vadodara,30-04-2014,narendramodi,63,Male,Post Graduate,GEN,15157582,0,#FB7B0D,Bharatiya Janata Party
AAP,Orissa,Bhubaneswar,17-04-2014,bismayamahapatra-,48,Male,Post Graduate,GEN,15156959,0,,Aam Aadmi Party
IND,Uttar Pradesh,Ghazipur,12-05-2014,arunkumarsingh,53,Male,Post Graduate,GEN,15128298,8,,Independent
BJP,Uttar Pradesh,Faizabad,07-05-2014,lallusingh,59,Male,Post Graduate,GEN,15127861,1,#FB7B0D,Bharatiya Janata Party
AAP,Orissa,Balasore,17-04-2014,mamatakundu,41,Female,Graduate,GEN,15105000,0,,Aam Aadmi Party
IND,Tripura,Tripura West,07-04-2014,pjechdebbarma,38,Male,10th,GEN,15085500,0,,Independent
ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN,Andhra Pradesh,Secunderabad,30-04-2014,narlamohanrao,47,Male,10th,GEN,15073000,0,,All India Majlis-E-Ittehadul Muslimeen
AAP,Tamil Nadu,Chennai South,24-04-2014,jahirhussainm,47,Male,10th,GEN,15040363,0,,Aam Aadmi Party
IND,West Bengal,Maldaha Dakshin,24-04-2014,sadhanchatterjee,62,Male,Graduate Professional,GEN,14981015,0,,Independent
JDS,Karnataka,Bangalore South,17-04-2014,ruthmanorama,61,Female,Post Graduate,GEN,14950943,0,#8064a2,Janata Dal  (Secular)
NCP,Maharashtra,Parbhani,17-04-2014,bhambalevijaymanikrao,39,Male,10th,GEN,14944093,3,,Nationalist Congress Party
TDP,Andhra Pradesh,Chittoor,07-05-2014,naramallisivaprasad,62,Male,Graduate Professional,GEN,14878003,0,#4bacc6,Telugu Desam
BJP,Assam,Mangaldoi,24-04-2014,ramendeka,59,Male,Graduate,GEN,14782357,0,#FB7B0D,Bharatiya Janata Party
JDU,Bihar,Valmiki Nagar,12-05-2014,baidhnathprasadmahto,57,Male,10th,GEN,14721287,2,#8064a2,Janata Dal  (United)
AAP,Madhya Pradesh,Indore,24-04-2014,aniltrivedi,62,Male,Post Graduate,GEN,14718234,0,,Aam Aadmi Party
INC,Orissa,Jajpur,17-04-2014,asokdas,56,Male,Post Graduate,GEN,14693759,0,#019733,Indian National Congress
IND,Uttar Pradesh,Kanpur,30-04-2014,ashokpaswanadvocate,37,Male,Post Graduate,GEN,14685076,0,,Independent
AAP,Assam,Dhubri,24-04-2014,azmalhussain,53,Male,12th,GEN,14635426,0,,Aam Aadmi Party
BJP,Uttar Pradesh,Agra,24-04-2014,drramshankarkatheria,49,Male,Doctorate,GEN,14634885,21,#FB7B0D,Bharatiya Janata Party
IND,Andhra Pradesh,Chevella,30-04-2014,gmalleshamgoud,38,Male,Post Graduate,GEN,14600000,0,,Independent
BJP,Madhya Pradesh,Bhopal,17-04-2014,aloksanjar,50,Male,Graduate Professional,GEN,14594066,0,#FB7B0D,Bharatiya Janata Party
AAP,Arunachal Pradesh,Arunachal West,09-04-2014,habungpayeng,56,Male,Post Graduate,GEN,14587055,0,,Aam Aadmi Party
CPIM,Haryana,Hisar,10-04-2014,phulsingh,56,Male,Graduate,GEN,14551828,0,#DE0000,Communist Party of India  (Marxist)
INC,Bihar,Samastipur,30-04-2014,drashokkumar,59,Male,Graduate Professional,GEN,14532873,1,#019733,Indian National Congress
AAP,Bihar,Aurangabad,10-04-2014,raginilatasingh,49,Female,Post Graduate,GEN,14532000,0,,Aam Aadmi Party
AAP,Uttar Pradesh,Gorakhpur,12-05-2014,radhemohanmisra,77,Male,Doctorate,GEN,14508023,0,,Aam Aadmi Party
AAP,Uttar Pradesh,Basti,07-05-2014,anandrajpal,52,Male,Graduate,GEN,14504590,0,,Aam Aadmi Party
BJP,Assam,Lakhimpur,07-04-2014,sarbanandasonowal,52,Male,Graduate Professional,GEN,14497515,0,#FB7B0D,Bharatiya Janata Party
AAP,Bihar,Saran,07-05-2014,parmatamasingh,60,Male,10th,GEN,14462242,0,,Aam Aadmi Party
IND,Assam,Kaliabor,07-04-2014,jitengogoi,52,Male,8th,GEN,14407099,1,,Independent
AAP,Maharashtra,Maval,17-04-2014,bhapkarmarutisahebrao,43,Male,12th,GEN,14386607,18,,Aam Aadmi Party
AAP,Maharashtra,Nanded,17-04-2014,granthinarendrasinghanmolsingh,43,Male,Graduate,GEN,14385756,0,,Aam Aadmi Party
AAP,Uttar Pradesh,Gautam Budhha Nagar,10-04-2014,kishanpalsingh,52,Male,10th,GEN,14376352,0,,Aam Aadmi Party
BJP,Uttar Pradesh,Jhansi,30-04-2014,umabharti,55,Female,5th,GEN,14376218,13,#FB7B0D,Bharatiya Janata Party
SP,Uttar Pradesh,Amroha,17-04-2014,humeraakhtar,37,Female,12th,GEN,14344567,0,#B15928,Samajwadi Party
INC,Maharashtra,Gadchiroli-Chimur,10-04-2014,drnamdeodallujiusendi,44,Male,Post Graduate,GEN,14281020,1,#019733,Indian National Congress
AAP,Andhra Pradesh,Kakinada,07-05-2014,srinivasdangeti,44,Male,Graduate Professional,GEN,14271000,0,,Aam Aadmi Party
INC,Uttar Pradesh,Jhansi,30-04-2014,pradeepkumarjain,51,Male,Post Graduate,GEN,14253928,2,#019733,Indian National Congress
SP,Uttar Pradesh,Chandauli,12-05-2014,ramkishun,57,Male,Graduate Professional,GEN,14187159,4,#B15928,Samajwadi Party
IND,Tamil Nadu,Tiruvallur,24-04-2014,chandrasekaranm,65,Male,Others,GEN,14147894,0,,Independent
BJP,Rajasthan,Chittorgarh,17-04-2014,chandraprakash,38,Male,Graduate,GEN,14134693,0,#FB7B0D,Bharatiya Janata Party
AAP,Bihar,Araria,24-04-2014,chandrabhushan,48,Male,Graduate Professional,GEN,14088067,0,,Aam Aadmi Party
BJP,Lakshadweep,Lakshadweep,10-04-2014,mpsayedmohammaedkoya,60,Male,Graduate,GEN,14073985,0,#FB7B0D,Bharatiya Janata Party
BJP,West Bengal,Bankura,07-05-2014,subhaskumarsarkar,60,Male,Graduate Professional,GEN,14063337,0,#FB7B0D,Bharatiya Janata Party
BJP,Bihar,Pataliputra,17-04-2014,ramkripalyadav,53,Male,Graduate,GEN,13989431,1,#FB7B0D,Bharatiya Janata Party
IND,Kerala,Kannur,10-04-2014,ppmohanan,61,Male,12th,GEN,13953502,0,,Independent
RJD,Bihar,Jamui,10-04-2014,sudhansushekharbhaskar,46,Male,Doctorate,GEN,13950638,0,,Rashtriya Janata Dal
INC,West Bengal,Murshidabad,24-04-2014,abdulmannanhossain,61,Male,Graduate,GEN,13846286,1,#019733,Indian National Congress
SP,Uttar Pradesh,Gorakhpur,12-05-2014,rajmatinishad,56,Female,Literate,GEN,13799549,0,#B15928,Samajwadi Party
INC,Uttar Pradesh,Shahjahanpur,17-04-2014,chetram,53,Male,Graduate Professional,GEN,13768803,0,#019733,Indian National Congress
AAP,Bihar,Madhubani,30-04-2014,neerajpathak,30,Male,Graduate,GEN,13763263,0,,Aam Aadmi Party
INC,Gujarat,Kachchh,30-04-2014,drdineshparmar,70,Male,Graduate Professional,GEN,13760562,2,#019733,Indian National Congress
AAP,Chhattisgarh,Durg,24-04-2014,vishwaratansinha,47,Male,Post Graduate,GEN,13759160,0,,Aam Aadmi Party
SP,Maharashtra,Ramtek,10-04-2014,chawaremayanamdeo,44,Female,Post Graduate,GEN,13746000,7,#B15928,Samajwadi Party
IND,Maharashtra,Amravati,10-04-2014,rajusmankar,46,Male,Literate,GEN,13736000,0,,Independent
IND,National Capital Territory Of Delhi,North East Delhi,10-04-2014,mukeshkumararora,40,Male,Graduate,GEN,13688864,0,,Independent
IND,Rajasthan,Jodhpur,17-04-2014,sohanlalgoyal,61,Male,Graduate,GEN,13682000,0,,Independent
AAP,Uttar Pradesh,Akbarpur,24-04-2014,arvindkumar,47,Male,Graduate Professional,GEN,13672038,0,,Aam Aadmi Party
IND,Tamil Nadu,Ramanathapuram,24-04-2014,allapichaie,70,Male,Graduate,GEN,13660000,0,,Independent
SP,Maharashtra,Mumbai North,24-04-2014,yadavkamleshshobhnath,47,Male,10th,GEN,13642568,4,#B15928,Samajwadi Party
INC,Madhya Pradesh,Rajgarh,17-04-2014,narayansingh,62,Male,12th,GEN,13622052,4,#019733,Indian National Congress
JDS,Andhra Pradesh,Kadapa,07-05-2014,veeraanilkumarreddygandluru,40,Male,Graduate Professional,GEN,13621087,0,#8064a2,Janata Dal  (Secular)
IND,Punjab,Bathinda,30-04-2014,satisharora,51,Male,12th,GEN,13615000,0,,Independent
IND,Bihar,Paschim Champaran,12-05-2014,anandprasad,36,Male,10th,GEN,13570606,0,,Independent
BJD,Orissa,Bhubaneswar,17-04-2014,prasannakumarpatasani-,71,Male,Post Graduate,GEN,13557443,0,#000000,Biju Janata Dal
IND,Maharashtra,Mumbai North,24-04-2014,milindshankarrepe,52,Male,Graduate,GEN,13498923,0,,Independent
TRS,Andhra Pradesh,Warangal,30-04-2014,kadiyamsrihari,63,Male,Post Graduate,GEN,13495000,6,,Telangana Rashtra Samithi
IND,Andhra Pradesh,Narsapuram,07-05-2014,voletivenkatalakshmanarao,49,Male,Post Graduate,GEN,13474087,0,,Independent
JDU,Karnataka,Shimoga,17-04-2014,bdharmappa,77,Male,Graduate Professional,GEN,13450336,0,#8064a2,Janata Dal  (United)
NPF,Manipur,Outer Manipur,09-04-2014,sosolorho,72,Male,Graduate,GEN,13445800,0,,Naga Peoples Front
AIADMK,Tamil Nadu,Chennai Central,24-04-2014,srvijayakumar,40,Male,Graduate Professional,GEN,13401510,0,#9DBC2A,All India Anna Dravida Munnetra Kazhagam
BJP,Manipur,Inner Manipur,17-04-2014,rajkumarranjansingh,62,Male,Doctorate,GEN,13350861,0,#FB7B0D,Bharatiya Janata Party
SP,Uttar Pradesh,Gonda,07-05-2014,nanditashukla,50,Female,Post Graduate,GEN,13343497,0,#B15928,Samajwadi Party
SHS,Maharashtra,Mumbai South Central,24-04-2014,shewalerahulramesh,41,Male,Others,GEN,13304397,1,#F05A00,Shivsena
CPI,West Bengal,Basirhat,12-05-2014,nurulhuda,72,Male,Post Graduate,GEN,13282187,0,#DE0000,Communist Party of India
BJP,Gujarat,Mahesana,30-04-2014,pateljayshreebenkanubhai,55,Female,10th,GEN,13278493,0,#FB7B0D,Bharatiya Janata Party
AAP,Rajasthan,Jodhpur,17-04-2014,vigyanmodi,65,Male,Others,GEN,13265789,0,,Aam Aadmi Party
INC,Kerala,Mavelikkara,10-04-2014,kodikunnilsuresh,52,Male,Graduate Professional,GEN,13251330,1,#019733,Indian National Congress
AAP,Uttar Pradesh,Muzaffarnagar,10-04-2014,mohammedyamin,65,Male,10th,GEN,13243000,0,,Aam Aadmi Party
IUML,Kerala,Ponnani,10-04-2014,etmohammedbasheer,67,Male,12th,GEN,13216259,0,,Indian Union Muslim League
TRS,Andhra Pradesh,Khammam,30-04-2014,budanbaigshaik,53,Male,Graduate,GEN,13210000,1,,Telangana Rashtra Samithi
BJP,Uttar Pradesh,Barabanki,30-04-2014,priyankasinghrawat,28,Female,Post Graduate,GEN,13175500,0,#FB7B0D,Bharatiya Janata Party
IND,Kerala,Ponnani,10-04-2014,abdurahimanvarikottil,57,Male,Literate,GEN,13110077,0,,Independent
SHS,Maharashtra,Mumbai South,24-04-2014,sawantarvindganpat,62,Male,Graduate,GEN,13067446,1,#F05A00,Shivsena
LJP,Bihar,Samastipur,30-04-2014,ramchandrapaswan,53,Male,10th,GEN,13058612,3,,Lok Jan Shakti Party
AITC,West Bengal,Coochbehar,17-04-2014,renukasinha,65,Female,Graduate Professional,GEN,13017282,0,#0C6965,All India Trinamool Congress
AAP,Maharashtra,Thane,24-04-2014,sanjeevvishnusane,57,Male,10th,GEN,12971518,0,,Aam Aadmi Party
CPIM,Haryana,Bhiwani-Mahendragarh,10-04-2014,mastershersingh,68,Male,Graduate Professional,GEN,12962284,0,#DE0000,Communist Party of India  (Marxist)
AAP,Tamil Nadu,Karur,24-04-2014,valaiyapathi-r,61,Male,Graduate,GEN,12942916,0,,Aam Aadmi Party
SP,Uttar Pradesh,Sambhal,17-04-2014,drsafiqurrahmanbarq,81,Male,Graduate,GEN,12883691,0,#B15928,Samajwadi Party
IND,Karnataka,Bangalore North,17-04-2014,manoharhayyannavar,55,Male,Graduate Professional,GEN,12862871,0,,Independent
BJP,Kerala,Kannur,10-04-2014,pcmohananmaster,64,Male,12th,GEN,12859808,2,#FB7B0D,Bharatiya Janata Party
INC,Kerala,Alappuzha,10-04-2014,kcvenugopal,51,Male,Post Graduate,GEN,12856075,0,#019733,Indian National Congress
BJP,Uttar Pradesh,Mainpuri,24-04-2014,shatrughansingh,55,Male,Graduate,GEN,12850273,0,#FB7B0D,Bharatiya Janata Party
LJP,Bihar,Nalanda,17-04-2014,satyanandsharma,64,Male,Literate,GEN,12818500,0,,Lok Jan Shakti Party
IND,Tamil Nadu,Tenkasi,24-04-2014,radhakrishnans,64,Male,Graduate Professional,GEN,12814404,1,,Independent
AITC,Orissa,Cuttack,17-04-2014,jibeshkishoresundaray,46,Male,10th,GEN,12814048,1,#0C6965,All India Trinamool Congress
SP,Bihar,Sheohar,07-05-2014,lovelyanand,39,Male,Graduate,GEN,12804755,1,#B15928,Samajwadi Party
SHS,Uttar Pradesh,Amroha,17-04-2014,sarveshkumarsaini,38,Male,10th,GEN,12800000,2,#F05A00,Shivsena
BJD,Orissa,Sambalpur,10-04-2014,nagendrakumarpradhan,61,Male,Post Graduate,GEN,12796623,0,#000000,Biju Janata Dal
AAP,West Bengal,Howrah,30-04-2014,surajnarayansingh,49,Male,Post Graduate,GEN,12789723,0,,Aam Aadmi Party
IND,Karnataka,Belgaum,17-04-2014,parappashankareppaantakkanavar,41,Male,Graduate Professional,GEN,12751189,1,,Independent
INC,Madhya Pradesh,Bhind,17-04-2014,imartidevi,38,Female,12th,GEN,12751000,0,#019733,Indian National Congress
BJP,Maharashtra,Bhandara-Gondiya,10-04-2014,nanabhaufalgunraopatole,51,Male,12th,GEN,12738190,5,#FB7B0D,Bharatiya Janata Party
AAP,Chhattisgarh,Rajnandgaon,17-04-2014,bhaskardwivedi,41,Male,Post Graduate,GEN,12708752,0,,Aam Aadmi Party
IND,Bihar,Aurangabad,10-04-2014,rakeshsharma,42,Male,Doctorate,GEN,12693861,0,,Independent
INC,West Bengal,Balurghat,24-04-2014,omprakashmishra,53,Male,Post Graduate,GEN,12670505,0,#019733,Indian National Congress
IND,Gujarat,Banaskantha,30-04-2014,thakorbabajiravaji,64,Male,Graduate,GEN,12668381,0,,Independent
SP,Madhya Pradesh,Indore,24-04-2014,drnehasharma,28,Female,Doctorate,GEN,12661316,0,#B15928,Samajwadi Party
INC,Andhra Pradesh,Amalapuram,07-05-2014,aithabathulajogeswaravenkatabutchimaheswararao,63,Male,Post Graduate,GEN,12625844,1,#019733,Indian National Congress
BJP,Uttar Pradesh,Bulandshahr,10-04-2014,drbholasingh,38,Male,Graduate,GEN,12577537,0,#FB7B0D,Bharatiya Janata Party
BJP,Assam,Gauhati,24-04-2014,smtbijoyachakraborty,75,Female,Post Graduate,GEN,12574493,0,#FB7B0D,Bharatiya Janata Party
BJP,Arunachal Pradesh,Arunachal West,09-04-2014,kirenrijiju,42,Male,Graduate,GEN,12539868,0,#FB7B0D,Bharatiya Janata Party
CPIM,West Bengal,Krishnanagar,12-05-2014,shantanujha,52,Male,Doctorate,GEN,12523492,1,#DE0000,Communist Party of India  (Marxist)
INC,Maharashtra,Akola,10-04-2014,patelhidayatullabarkatulla,55,Male,12th,GEN,12476287,1,#019733,Indian National Congress
INC,Uttar Pradesh,Fatehpur,30-04-2014,ushamaurya,44,Female,12th,GEN,12445310,0,#019733,Indian National Congress
INC,Kerala,Thrissur,10-04-2014,dhanapalan,64,Male,Graduate,GEN,12435866,1,#019733,Indian National Congress
SP,Chhattisgarh,Bastar,10-04-2014,shankarramthakur,50,Male,Graduate,GEN,12430000,0,#B15928,Samajwadi Party
IND,Gujarat,Jamnagar,30-04-2014,chandravijaysinhtakhubharana,61,Male,12th,GEN,12388172,0,,Independent
INC,Tamil Nadu,Tenkasi,24-04-2014,drjayakumark,64,Male,Doctorate,GEN,12385277,0,#019733,Indian National Congress
AAP,Rajasthan,Rajsamand,17-04-2014,pradipsinghbhatnagar,58,Male,Post Graduate,GEN,12368765,0,,Aam Aadmi Party
AAP,Bihar,Arrah,17-04-2014,drsurendrakumarprasad,59,Male,Post Graduate,GEN,12314344,0,,Aam Aadmi Party
INC,Uttar Pradesh,Aligarh,10-04-2014,bijendrasingh,57,Male,Graduate,GEN,12292000,2,#019733,Indian National Congress
BJP,West Bengal,Jalpaiguri,17-04-2014,satyalalsarkar,61,Male,Graduate,GEN,12290350,0,#FB7B0D,Bharatiya Janata Party
AITC,Rajasthan,Jhunjhunu,17-04-2014,bhudarmal,53,Male,Post Graduate,GEN,12290000,0,#0C6965,All India Trinamool Congress
AAP,Maharashtra,Amravati,10-04-2014,bhavnabhaveshwasnik,40,Female,Post Graduate,GEN,12289332,0,,Aam Aadmi Party
INC,Rajasthan,Churu,17-04-2014,pratapsingh,49,Male,Post Graduate,GEN,12282074,0,#019733,Indian National Congress
BJP,Madhya Pradesh,Ratlam,24-04-2014,dileepsinghbhuriya,68,Male,10th,GEN,12259882,0,#FB7B0D,Bharatiya Janata Party
BJP,Uttar Pradesh,Etawah,24-04-2014,ashokkumardoharey,43,Male,Graduate,GEN,12252688,0,#FB7B0D,Bharatiya Janata Party
AAP,Bihar,Siwan,12-05-2014,satyaprakashpandey,43,Male,Graduate Professional,GEN,12231703,0,,Aam Aadmi Party
IND,Karnataka,Bijapur,17-04-2014,drrajeshaliasravivallyapur,42,Male,Graduate Professional,GEN,12208000,0,,Independent
INC,Uttarakhand,Almora,07-05-2014,pradeeptamta,52,Male,Post Graduate,GEN,12193759,0,#019733,Indian National Congress
BJP,West Bengal,Kolkata Uttar,12-05-2014,rahulbiswajitsinha,50,Male,Graduate,GEN,12166531,5,#FB7B0D,Bharatiya Janata Party
INC,Jammu Kashmir,Ladakh,07-05-2014,tseringsamphel,66,Male,12th,GEN,12146918,0,#019733,Indian National Congress
BJP,Karnataka,Koppal,17-04-2014,sangannaakaradi,59,Male,10th,GEN,12127000,1,#FB7B0D,Bharatiya Janata Party
BJP,Maharashtra,Gadchiroli-Chimur,10-04-2014,ashokmahadeoraonete,50,Male,12th,GEN,12125676,0,#FB7B0D,Bharatiya Janata Party
BJP,Assam,Barpeta,24-04-2014,shrichandramohanpatowari,56,Male,Post Graduate,GEN,12110465,0,#FB7B0D,Bharatiya Janata Party
AAP,Gujarat,Vadodara,30-04-2014,sunildigambarkulkarni,47,Male,Others,GEN,12110000,0,,Aam Aadmi Party
SP,Maharashtra,Aurangabad,24-04-2014,gayakesadashivambadas,64,Male,Graduate Professional,GEN,12025302,4,#B15928,Samajwadi Party
IND,Bihar,Purvi Champaran,12-05-2014,dilipsingh,0,Male,Literate,GEN,11976871,0,,Independent
IND,Andhra Pradesh,Bhongir,30-04-2014,varikuppalakrishna,45,Male,8th,GEN,11976000,1,,Independent
JDU,Bihar,Vaishali,12-05-2014,vijaykumarsahni,63,Male,12th,GEN,11929261,2,#8064a2,Janata Dal  (United)
IND,Bihar,Banka,24-04-2014,inderajsinghsaini,70,Male,10th,GEN,11918305,0,,Independent
IND,Karnataka,Kolar,17-04-2014,drcmohan,73,Male,Graduate Professional,GEN,11910000,0,,Independent
INC,Kerala,Ernakulam,10-04-2014,kvthomas,67,Male,Post Graduate,GEN,11848550,0,#019733,Indian National Congress
AAP,Gujarat,Mahesana,30-04-2014,patelvandanabendineshbhai,39,Female,12th,GEN,11846813,0,,Aam Aadmi Party
AITC,West Bengal,Bardhaman Purba,30-04-2014,sunilkumarmondal,55,Male,Graduate Professional,GEN,11841000,0,#0C6965,All India Trinamool Congress
JDU,Bihar,Katihar,24-04-2014,drramprakashmahto,62,Male,Doctorate,GEN,11829625,5,#8064a2,Janata Dal  (United)
AITC,National Capital Territory Of Delhi,South Delhi,10-04-2014,sreerupamitrachaudhury,49,Female,Post Graduate,GEN,11823944,0,#0C6965,All India Trinamool Congress
IUML,Kerala,Malappuram,10-04-2014,eahamed,76,Male,Graduate Professional,GEN,11818952,1,,Indian Union Muslim League
JDU,Bihar,Nalanda,17-04-2014,kaushlendrakumar,49,Male,12th,GEN,11815717,0,#8064a2,Janata Dal  (United)
AAP,Gujarat,Porbandar,30-04-2014,mansukhsundarajidhokai,59,Male,Graduate,GEN,11801815,0,,Aam Aadmi Party
CPIM,West Bengal,Kolkata Dakshin,12-05-2014,nandinimukherjee,46,Female,Doctorate,GEN,11744054,0,#DE0000,Communist Party of India  (Marxist)
INC,Orissa,Balasore,17-04-2014,shrikantakumarjena,64,Male,Graduate,GEN,11729649,0,#019733,Indian National Congress
BJP,Gujarat,Surendranagar,30-04-2014,fateparadevajibhaigovindbhai,55,Male,Literate,GEN,11685000,1,#FB7B0D,Bharatiya Janata Party
AAP,Maharashtra,Aurangabad,24-04-2014,subhashkalyanraolomte,62,Male,Post Graduate,GEN,11681447,0,,Aam Aadmi Party
SP,West Bengal,Birbhum,30-04-2014,prasantakumarroy,45,Male,Graduate,GEN,11677050,0,#B15928,Samajwadi Party
SHS,Maharashtra,Kolhapur,17-04-2014,sanjaysadashivmandalik,49,Male,Post Graduate,GEN,11672709,0,#F05A00,Shivsena
AAP,Tamil Nadu,Erode,24-04-2014,kumarasamykk,73,Male,Graduate Professional,GEN,11661670,0,,Aam Aadmi Party
AAP,Karnataka,Mysore,17-04-2014,padmammamv,59,Female,Graduate,GEN,11627675,0,,Aam Aadmi Party
AIUDF,West Bengal,Basirhat,12-05-2014,siddiqullahchowdhury,65,Male,Others,GEN,11625351,1,,All India United Democratic Front
JDU,Bihar,Gopalganj,12-05-2014,anilkumar,46,Male,Graduate,GEN,11618500,0,#8064a2,Janata Dal  (United)
INC,West Bengal,Maldaha Dakshin,24-04-2014,abuhasemkahnchowdhury,70,Male,Doctorate,GEN,11560825,0,#019733,Indian National Congress
IND,Bihar,Darbhanga,30-04-2014,praveenkumarjha,41,Male,Post Graduate,GEN,11558930,0,,Independent
AITC,West Bengal,Raiganj,24-04-2014,pabitraranjandasmunshisatya,66,Male,Graduate,GEN,11557345,0,#0C6965,All India Trinamool Congress
AAP,National Capital Territory Of Delhi,West Delhi,10-04-2014,jarnailsingh,41,Male,Post Graduate,GEN,11542391,0,,Aam Aadmi Party
BJP,Uttar Pradesh,Bhadohi,07-05-2014,virendrasingh,57,Male,Graduate,GEN,11531458,0,#FB7B0D,Bharatiya Janata Party
INC,Uttar Pradesh,Etawah,24-04-2014,hanshmukhi,45,Male,Post Graduate,GEN,11522942,0,#019733,Indian National Congress
INC,Orissa,Kalahandi,10-04-2014,bhaktacharandas,55,Male,Graduate Professional,GEN,11516583,1,#019733,Indian National Congress
AAP,Bihar,Supaul,24-04-2014,parmeshwarjha,62,Male,Graduate,GEN,11516000,0,,Aam Aadmi Party
IND,Punjab,Anandpur Sahib,30-04-2014,daljitsingh,70,Male,Post Graduate,GEN,11507000,0,,Independent
IND,Maharashtra,Mumbai North East,24-04-2014,sabirmehandihasan,40,Male,5th,GEN,11506000,0,,Independent
IND,Rajasthan,Pali,17-04-2014,ramlal,61,Male,Doctorate,GEN,11493000,0,,Independent
INC,Andhra Pradesh,Tirupati,07-05-2014,chintamohan,59,Male,Graduate Professional,GEN,11433300,0,#019733,Indian National Congress
IND,Uttar Pradesh,Pratapgarh,07-05-2014,smtkiranmishra,43,Female,Post Graduate,GEN,11430698,0,,Independent
AAP,Tamil Nadu,Salem,24-04-2014,satheeshkumare,39,Male,Post Graduate,GEN,11428000,0,,Aam Aadmi Party
IND,Manipur,Outer Manipur,09-04-2014,manicharenamei,55,Male,Graduate,GEN,11422552,0,,Independent
AAP,Madhya Pradesh,Bhind,17-04-2014,krishnadevi,35,Female,Graduate,GEN,11415750,0,,Aam Aadmi Party
AAP,Rajasthan,Barmer,17-04-2014,mangilal,64,Male,Post Graduate,GEN,11414442,0,,Aam Aadmi Party
BJP,Madhya Pradesh,Gwalior,17-04-2014,narendrasinghtomar,56,Male,Graduate,GEN,11412622,1,#FB7B0D,Bharatiya Janata Party
CPIM,West Bengal,Bardhaman-Durgapur,30-04-2014,sksaidulhaque,59,Male,Post Graduate,GEN,11395974,0,#DE0000,Communist Party of India  (Marxist)
IND,Bihar,Nalanda,17-04-2014,nareshprasadsingh,43,Male,Graduate,GEN,11387000,0,,Independent
AIUDF,Assam,Gauhati,24-04-2014,gopinathdas,53,Male,Graduate,GEN,11382580,0,,All India United Democratic Front
JDS,Maharashtra,Osmanabad,17-04-2014,bhosalerevanvishwanath,49,Male,Post Graduate,GEN,11357709,0,#8064a2,Janata Dal  (Secular)
AAP,Uttar Pradesh,Fatehpur,30-04-2014,zainulabdin,52,Male,12th,GEN,11350000,0,,Aam Aadmi Party
IND,Tamil Nadu,Pollachi,24-04-2014,karthikeyanpon,43,Male,12th,GEN,11346000,0,,Independent
SHS,Maharashtra,Hingoli,17-04-2014,wankhedesubhashbapurao,51,Male,10th,GEN,11343000,1,#F05A00,Shivsena
INC,Assam,Karimganj,12-04-2014,lalitmohonsuklabaidya,72,Male,Post Graduate,GEN,11328972,2,#019733,Indian National Congress
CPIM,Tripura,Tripura East,12-04-2014,jitendrachoudhury,57,Male,12th,GEN,11322979,0,#DE0000,Communist Party of India  (Marxist)
AAP,Gujarat,Anand,30-04-2014,parmarravjibhaishibhaibhai,66,Male,Post Graduate,GEN,11314555,0,,Aam Aadmi Party
SP,Uttar Pradesh,Faizabad,07-05-2014,mitrasenyadav,80,Male,12th,GEN,11284428,16,#B15928,Samajwadi Party
TDP,Andhra Pradesh,Peddapalle,30-04-2014,drjanapatisaratbabu,42,Male,Graduate Professional,GEN,11265199,0,#4bacc6,Telugu Desam
AAP,Madhya Pradesh,Rajgarh,17-04-2014,drprashanttripathi,33,Male,Graduate Professional,GEN,11252908,1,,Aam Aadmi Party
IND,West Bengal,Raiganj,24-04-2014,subrataadhikary,55,Male,10th,GEN,11228268,0,,Independent
SP,Uttar Pradesh,Saharanpur,10-04-2014,shahjanmasoodurfshahdan,41,Male,Graduate,GEN,11192498,2,#B15928,Samajwadi Party
IND,Uttar Pradesh,Akbarpur,24-04-2014,ashokyadav,47,Male,Others,GEN,11178000,0,,Independent
IND,Andhra Pradesh,Machilipatnam,07-05-2014,mohammadishaq,41,Male,10th,GEN,11149954,0,,Independent
RJD,Bihar,Gaya,10-04-2014,ramjimanjhi,54,Male,Graduate,GEN,11115000,0,,Rashtriya Janata Dal
AAP,Uttar Pradesh,Ballia,12-05-2014,colretdbharatsinghshauryachakra,71,Male,Not Given,GEN,11110000,0,,Aam Aadmi Party
