party,state,constituency,poll_date,name,age,gender,education,category,assets,criminal_cases,color,party_name
INC,Madhya Pradesh,Jabalpur,10-04-2014,vivekkrishnatankha,58,Male,Graduate Professional,GEN,423720471,0,#019733,Indian National Congress
JMM,Bihar,Jamui,10-04-2014,upendraravidas,35,Male,10th,GEN,421280000,0,,Jharkhand Mukti Morcha
INC,Punjab,Bathinda,30-04-2014,manpreetsinghbadalsogurdassingh,52,Male,Graduate Professional,GEN,421140137,0,#019733,Indian National Congress
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Andhra Pradesh,Hindupur,07-05-2014,duddukuntasreedharreddy,43,Male,Graduate,GEN,420913035,0,,Yuvajana Sramika Rythu Congress Party
BJP,Karnataka,Belgaum,17-04-2014,sureshangadi,58,Male,Graduate Professional,GEN,417003065,1,#FB7B0D,Bharatiya Janata Party
INC,Jharkhand,Hazaribagh,17-04-2014,saurabhnarainsingh,39,Male,Post Graduate,GEN,415506982,2,#019733,Indian National Congress
INC,Dadra Nagar Haveli,Dadra Nagar Haveli,30-04-2014,delkarmohanbhaisanjibhai,51,Male,Graduate,GEN,414613478,0,#019733,Indian National Congress
SP,Rajasthan,Jaipur Rural,17-04-2014,dhirajgurjar,35,Male,Post Graduate,GEN,413290807,0,#B15928,Samajwadi Party
INC,Maharashtra,Mumbai South,24-04-2014,deoramilindmurli,38,Male,Graduate,GEN,408001069,0,#019733,Indian National Congress
INC,Maharashtra,Nanded,17-04-2014,shrichavanashokraoshankarrao,55,Male,Post Graduate,GEN,388758910,0,#019733,Indian National Congress
INC,National Capital Territory Of Delhi,West Delhi,10-04-2014,mahabalmishra,59,Male,12th,GEN,388226286,1,#019733,Indian National Congress
AITC,Jharkhand,Giridih,17-04-2014,aasutoshverma,52,Male,Graduate Professional,GEN,384828136,0,#0C6965,All India Trinamool Congress
INC,Bihar,Sasaram,10-04-2014,meirakumar,68,Female,Post Graduate,GEN,384751309,0,#019733,Indian National Congress
APNA DAL,Uttar Pradesh,Pratapgarh,07-05-2014,kuwarharivanshsingh,64,Male,Graduate,GEN,383137665,5,,Apna Dal
BJP,Maharashtra,Beed,17-04-2014,mundegopinathraopandurang,66,Male,Graduate Professional,GEN,380072890,3,#FB7B0D,Bharatiya Janata Party
