party,constituency,state,poll_date,name,age,gender,education,category,assets,criminal_cases,color,sub_name,constituency_name,party_name
BJP,Amritsar,Punjab,30-04-2014,Arun Jaitley,61,Male,Graduate Professional,GEN,1130216000,0,#FB7B0D,arunjaitley,Amritsar,Bharatiya Janata Party
INC,Bhiwani-Mahendragarh,Haryana,10-04-2014,Shruti Choudhry,38,Female,Graduate Professional,GEN,1083115000,0,#019733,shrutichoudhry,Bhiwani-Mahendragarh,Indian National Congress
SAD,Bathinda,Punjab,30-04-2014,Harsimrat Kaur Badal,47,Female,10th,GEN,1081664910,0,,harsimratkaurbadal,Bathinda,Shiromani Akali Dal
BJP,Mumbai North Central,Maharashtra,24-04-2014,Poonam Mahajan Alias Poonam Vajendla Rao,33,Female,Others,GEN,1080867626,0,#FB7B0D,poonammahajanaliaspoonamvajendlarao,Mumbai North Central,Bharatiya Janata Party
BJP,Vellore,Tamil Nadu,24-04-2014,Shanmugam -ac,63,Male,Graduate Professional,GEN,1061039972,0,#FB7B0D,shanmugam-ac,Vellore,Bharatiya Janata Party
TRS,Zahirabad,Andhra Pradesh,30-04-2014,Bbpatil,58,Male,Graduate,GEN,1023173039,0,,bbpatil,Zahirabad,Telangana Rashtra Samithi
INC,Uttara Kannada,Karnataka,17-04-2014,Deshpande Prashanth,37,Male,Post Graduate,GEN,999522016,0,#019733,deshpandeprashanth,Uttara Kannada,Indian National Congress
JKPDP,Srinagar,Jammu Kashmir,30-04-2014,Tariq Hameed Karra,58,Male,Graduate Professional,GEN,984556436,0,,tariqhameedkarra,Srinagar,Jammu & Kashmir Peoples Democratic Party
JDS,Belgaum,Karnataka,17-04-2014,Nasir Papulsab Bagwan,56,Male,12th,GEN,962297866,0,#8064a2,nasirpapulsabbagwan,Belgaum,Janata Dal  (Secular)
AIADMK,Sriperumbudur,Tamil Nadu,24-04-2014,Ramachandran -kn Thiru,59,Male,Post Graduate,GEN,936721057,0,#9DBC2A,ramachandran-knthiru,Sriperumbudur,All India Anna Dravida Munnetra Kazhagam
JDU,Paschim Champaran,Bihar,12-05-2014,Sri Praksh Jha,61,Male,12th,GEN,925480118,1,#8064a2,sriprakshjha,Paschim Champaran,Janata Dal  (United)
INC,Allahabad,Uttar Pradesh,07-05-2014,Nand Gopal Gupta Nandi,40,Male,10th,GEN,881714000,7,#019733,nandgopalguptanandi,Allahabad,Indian National Congress
INC,Pune,Maharashtra,17-04-2014,Drvishwajeet Patangrao Kadam,33,Male,Doctorate,GEN,874957697,0,#019733,drvishwajeetpatangraokadam,Pune,Indian National Congress
INC,Amritsar,Punjab,30-04-2014,Captain Amarinder Singh,72,Male,Graduate,GEN,863564071,3,#019733,captainamarindersingh,Amritsar,Indian National Congress
