party,constituency,state,poll_date,name,age,gender,education,category,assets,criminal_cases,color,sub_name,constituency_name,party_name
IND,Anantapur,Andhra Pradesh,07-05-2014,Deshmukh Somanath,46,Male,10th,GEN,5063528,0,,deshmukhsomanath,Anantapur,Independent
IND,Hindupur,Andhra Pradesh,07-05-2014,Deshmukh Somnath,46,Male,12th,GEN,5063528,0,,deshmukhsomnath,Hindupur,Independent
IND,Nandyal,Andhra Pradesh,07-05-2014,Vangala Sreenivasa Reddy,0,Male,Graduate,GEN,5050000,1,,vangalasreenivasareddy,Nandyal,Independent
YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,Hyderabad,Andhra Pradesh,30-04-2014,Boddu Sainath Reddy,36,Male,10th,GEN,5031000,0,,boddusainathreddy,Hyderabad,Yuvajana Sramika Rythu Congress Party
IND,Porbandar,Gujarat,30-04-2014,Tukadia Gr,60,Male,Graduate Professional,GEN,5030500,0,,tukadiagr,Porbandar,Independent
IND,Maval,Maharashtra,17-04-2014,Subhash Gopalrao Bodhe,67,Male,8th,GEN,5030000,0,,subhashgopalraobodhe,Maval,Independent
SHS,Ludhiana,Punjab,30-04-2014,Darshan Singh,43,Male,12th,GEN,5022000,0,#F05A00,darshansingh,Ludhiana,Shivsena
IND,Pali,Rajasthan,17-04-2014,Kanhaiyalal Pareek,48,Male,Graduate,GEN,5021340,0,,kanhaiyalalpareek,Pali,Independent
IND,Machhlishahr,Uttar Pradesh,12-05-2014,Shravan Kumar Paswan,46,Male,Graduate,GEN,5017000,0,,shravankumarpaswan,Machhlishahr,Independent
BJP,Chalakudy,Kerala,10-04-2014,B Gopalakrishnan,53,Male,Graduate Professional,GEN,5014237,2,#FB7B0D,bgopalakrishnan,Chalakudy,Bharatiya Janata Party
IND,Amravati,Maharashtra,10-04-2014,Manohar Baliram Sonone,66,Male,12th,GEN,5006000,1,,manoharbaliramsonone,Amravati,Independent
AAP,Puri,Orissa,17-04-2014,Nirada Barana Khuntia,50,Male,Not Given,GEN,5004386,0,,niradabaranakhuntia,Puri,Aam Aadmi Party
AAP,Bidar,Karnataka,17-04-2014,Chandrakant,54,Male,Post Graduate,GEN,5000070,0,,chandrakant,Bidar,Aam Aadmi Party
IND,Thiruvananthapuram,Kerala,10-04-2014,Kunnukuzhi S Mani,70,Male,10th,GEN,5000040,0,,kunnukuzhismani,Thiruvananthapuram,Independent
IND,Bathinda,Punjab,30-04-2014,Kartar Singh,60,Male,8th,GEN,4985000,0,,kartarsingh,Bathinda,Independent
IND,West Delhi,National Capital Territory Of Delhi,10-04-2014,Sunil Sourabh,45,Male,Post Graduate,GEN,4963000,0,,sunilsourabh,West Delhi,Independent
IND,Hisar,Haryana,10-04-2014,Satbir,53,Male,5th,GEN,4959708,0,,satbir,Hisar,Independent
IND,Mahabubabad,Andhra Pradesh,30-04-2014,V Gouri Nagamani,43,Female,10th,GEN,4958000,0,,vgourinagamani,Mahabubabad,Independent
AAP,Uttara Kannada,Karnataka,17-04-2014,Raghavendra Krishnarao Thane,36,Male,Post Graduate,GEN,4952691,0,,raghavendrakrishnaraothane,Uttara Kannada,Aam Aadmi Party
CPIM,Ludhiana,Punjab,30-04-2014,Sukhwinder Singh Sekhon,51,Male,Graduate,GEN,4941720,0,#DE0000,sukhwindersinghsekhon,Ludhiana,Communist Party of India  (Marxist)
IND,Vijayawada,Andhra Pradesh,07-05-2014,Pusala Venkata Krishnaiah,56,Male,Post Graduate,GEN,4930000,0,,pusalavenkatakrishnaiah,Vijayawada,Independent
IND,Churu,Rajasthan,17-04-2014,Ajay Kumar,37,Male,Post Graduate,GEN,4926438,0,,ajaykumar,Churu,Independent
IND,Kolhapur,Maharashtra,17-04-2014,Mhamane Anil Subhash,34,Male,Post Graduate,GEN,4920000,1,,mhamaneanilsubhash,Kolhapur,Independent
JDU,Kishanganj,Bihar,24-04-2014,Akhtarul Iman,48,Male,Post Graduate,GEN,4907533,1,#8064a2,akhtaruliman,Kishanganj,Janata Dal  (United)
CPI,South Goa,Goa,12-04-2014,Adv Raju Mangeshkar,58,Male,Graduate Professional,GEN,4904426,1,#DE0000,advrajumangeshkar,South Goa,Communist Party of India
INC,Deoria,Uttar Pradesh,12-05-2014,Sabha Kunwar,60,Male,Post Graduate,GEN,4897276,0,#019733,sabhakunwar,Deoria,Indian National Congress
IND,Chandauli,Uttar Pradesh,12-05-2014,Bindu,57,Male,Literate,GEN,4880000,0,,bindu,Chandauli,Independent
AAP,Jamnagar,Gujarat,30-04-2014,Jhala Rajendrasinh,52,Male,Graduate,GEN,4870529,0,,jhalarajendrasinh,Jamnagar,Aam Aadmi Party
AITC,Bolpur,West Bengal,30-04-2014,Anupam Hazra,32,Male,Doctorate,GEN,4866883,0,#0C6965,anupamhazra,Bolpur,All India Trinamool Congress
IND,Sitapur,Uttar Pradesh,30-04-2014,Dr Ms Suchita Kumar,55,Female,Post Graduate,GEN,4859859,0,,drmssuchitakumar,Sitapur,Independent
AITC,Mathurapur,West Bengal,12-05-2014,Choudhury Mohan Jatua,75,Male,Post Graduate,GEN,4857752,0,#0C6965,choudhurymohanjatua,Mathurapur,All India Trinamool Congress
IND,Bangalore Rural,Karnataka,17-04-2014,J Tprakash,57,Male,Graduate,GEN,4854168,0,,jtprakash,Bangalore Rural,Independent
IND,Bhiwandi,Maharashtra,24-04-2014,Harishchandra Dattu Patil,55,Male,Graduate,GEN,4851734,0,,harishchandradattupatil,Bhiwandi,Independent
IND,Kannur,Kerala,10-04-2014,Sreemathi Puthalath,64,Female,10th,GEN,4840148,0,,sreemathiputhalath,Kannur,Independent
AITC,Chatra,Jharkhand,10-04-2014,Naushad Alam,33,Male,Graduate,GEN,4839400,0,#0C6965,naushadalam,Chatra,All India Trinamool Congress
IND,Kolkata Uttar,West Bengal,12-05-2014,Kaushik Biswas,39,Male,Graduate,GEN,4837188,0,,kaushikbiswas,Kolkata Uttar,Independent
IND,Maldaha Dakshin,West Bengal,24-04-2014,Manjur Alahi Munshi,48,Male,10th,GEN,4835000,0,,manjuralahimunshi,Maldaha Dakshin,Independent
AAP,Pataliputra,Bihar,17-04-2014,Kundan Prasad Singh,57,Male,12th,GEN,4833000,0,,kundanprasadsingh,Pataliputra,Aam Aadmi Party
IUML,Kishanganj,Bihar,24-04-2014,Mohammad Wasiqur Rahman,36,Male,12th,GEN,4830500,2,,mohammadwasiqurrahman,Kishanganj,Indian Union Muslim League
AAP,Sagar,Madhya Pradesh,17-04-2014,Atul Mishra,44,Male,Graduate Professional,GEN,4823372,1,,atulmishra,Sagar,Aam Aadmi Party
INC,Kanker,Chhattisgarh,17-04-2014,Foolodevi Netam,42,Female,12th,GEN,4819534,0,#019733,foolodevinetam,Kanker,Indian National Congress
IND,Malappuram,Kerala,10-04-2014,Anwar Shakeel Omar,50,Male,Post Graduate,GEN,4809396,0,,anwarshakeelomar,Malappuram,Independent
IND,Tiruvannamalai,Tamil Nadu,24-04-2014,Murugesan K,51,Male,12th,GEN,4808164,0,,murugesank,Tiruvannamalai,Independent
INC,Balaghat,Madhya Pradesh,10-04-2014,Hina Likhiram Kawre,29,Female,Post Graduate,GEN,4804487,0,#019733,hinalikhiramkawre,Balaghat,Indian National Congress
BJP,Jadavpur,West Bengal,12-05-2014,Dr Sarup Prasad Ghosh,44,Male,Doctorate,GEN,4803472,0,#FB7B0D,drsarupprasadghosh,Jadavpur,Bharatiya Janata Party
AAP,Maharajganj,Uttar Pradesh,12-05-2014,Pashupati Nath Gupta,55,Male,10th,GEN,4795252,1,,pashupatinathgupta,Maharajganj,Aam Aadmi Party
BJP,Maharajganj,Bihar,07-05-2014,Janardan Singh Sigriwal,50,Male,Graduate,GEN,4795223,4,#FB7B0D,janardansinghsigriwal,Maharajganj,Bharatiya Janata Party
INC,Darjeeling,West Bengal,17-04-2014,Sujay Ghatak,43,Male,Graduate,GEN,4787759,0,#019733,sujayghatak,Darjeeling,Indian National Congress
IND,Khammam,Andhra Pradesh,30-04-2014,Banoth Laxma Naik,57,Male,12th,GEN,4782000,0,,banothlaxmanaik,Khammam,Independent
CPIM,Jadavpur,West Bengal,12-05-2014,Sujan Chakraborty,55,Male,Doctorate,GEN,4778989,1,#DE0000,sujanchakraborty,Jadavpur,Communist Party of India  (Marxist)
INC,Bolpur,West Bengal,30-04-2014,Tapan Kumar Saha,62,Male,Graduate,GEN,4778715,0,#019733,tapankumarsaha,Bolpur,Indian National Congress
IND,Karnal,Haryana,10-04-2014,Jagdish,65,Male,Illiterate,GEN,4778000,0,,jagdish,Karnal,Independent
JMM,Valmiki Nagar,Bihar,12-05-2014,Prof Amaresh Prasad,62,Male,Doctorate,GEN,4751000,1,,profamareshprasad,Valmiki Nagar,Jharkhand Mukti Morcha
IND,Saharanpur,Uttar Pradesh,10-04-2014,Cp Verma,46,Male,Literate,GEN,4750000,3,,cpverma,Saharanpur,Independent
IND,Visakhapatnam,Andhra Pradesh,07-05-2014,Ronanki Chalapathi Rao,60,Male,10th,GEN,4736953,0,,ronankichalapathirao,Visakhapatnam,Independent
IND,South Goa,Goa,12-04-2014,Venus Habib,62,Female,Graduate,GEN,4733543,0,,venushabib,South Goa,Independent
NCP,Domariyaganj,Uttar Pradesh,12-05-2014,Hamidullah Chaudhary,50,Male,Post Graduate,GEN,4716722,0,,hamidullahchaudhary,Domariyaganj,Nationalist Congress Party
IND,Theni,Tamil Nadu,24-04-2014,Raja -v,57,Male,12th,GEN,4709650,0,,raja-v,Theni,Independent
PATTALI MAKKAL KATCHI,Krishnagiri,Tamil Nadu,24-04-2014,Manigk,65,Male,Graduate,GEN,4704309,11,,manigk,Krishnagiri,Pattali Makkal Katchi
IND,Ajmer,Rajasthan,17-04-2014,Anita Jain,46,Female,Graduate Professional,GEN,4700000,0,,anitajain,Ajmer,Independent
INC,Kheri,Uttar Pradesh,17-04-2014,Zafar Ali Naqvi,66,Male,Graduate Professional,GEN,4699334,0,#019733,zafaralinaqvi,Kheri,Indian National Congress
IND,Ghosi,Uttar Pradesh,12-05-2014,Vishun Dayal,63,Male,Graduate,GEN,4699000,0,,vishundayal,Ghosi,Independent
SP,Bhubaneswar,Orissa,17-04-2014,Rabindra Nath Behera,50,Male,Post Graduate,GEN,4697137,0,#B15928,rabindranathbehera,Bhubaneswar,Samajwadi Party
IND,Faridkot,Punjab,30-04-2014,Joginder Singh So Kesar Singh,75,Male,Graduate,GEN,4696076,0,,jogindersinghsokesarsingh,Faridkot,Independent
AAP,Bilaspur,Chhattisgarh,24-04-2014,Anand Mishra,68,Male,Post Graduate,GEN,4685783,0,,anandmishra,Bilaspur,Aam Aadmi Party
INC,Mandsour,Madhya Pradesh,24-04-2014,Meenakshi Natarajan,40,Female,Post Graduate,GEN,4682146,1,#019733,meenakshinatarajan,Mandsour,Indian National Congress
CPIM,Sikar,Rajasthan,17-04-2014,Amara Ram,58,Male,Post Graduate,GEN,4681929,0,#DE0000,amararam,Sikar,Communist Party of India  (Marxist)
CPIM,Palakkad,Kerala,10-04-2014,M B Rajesh,43,Male,Graduate Professional,GEN,4676316,11,#DE0000,mbrajesh,Palakkad,Communist Party of India  (Marxist)
INC,Kodarma,Jharkhand,10-04-2014,Tilakdhari Prasad Singh,69,Male,Graduate,GEN,4666034,0,#019733,tilakdhariprasadsingh,Kodarma,Indian National Congress
AAP,Mandsour,Madhya Pradesh,24-04-2014,Paras Dada Saklecha,59,Male,Post Graduate,GEN,4657101,2,,parasdadasaklecha,Mandsour,Aam Aadmi Party
IND,Muzaffarpur,Bihar,07-05-2014,Suresh Kumar,45,Male,Graduate,GEN,4654200,1,,sureshkumar,Muzaffarpur,Independent
BJP,Thrissur,Kerala,10-04-2014,Kp Sreesan,60,Male,12th,GEN,4653270,1,#FB7B0D,kpsreesan,Thrissur,Bharatiya Janata Party
IUML,Secunderabad,Andhra Pradesh,30-04-2014,Mohd Imtiaz Hussain,35,Male,Post Graduate,GEN,4650000,0,,mohdimtiazhussain,Secundrabad,Indian Union Muslim League
IND,Belgaum,Karnataka,17-04-2014,Shankar Rathod,46,Male,10th,GEN,4650000,0,,shankarrathod,Belgaum,Independent
IND,Ernakulam,Kerala,10-04-2014,Bhaskaran K V,64,Male,Graduate,GEN,4640900,1,,bhaskarankv,Ernakulam,Independent
IND,Nandyal,Andhra Pradesh,07-05-2014,G Balaswamy,42,Male,Doctorate,GEN,4639275,2,,gbalaswamy,Nandyal,Independent
BJP,Bardhaman-Durgapur,West Bengal,30-04-2014,Debasree Chaudhuri,42,Female,Post Graduate,GEN,4636550,0,#FB7B0D,debasreechaudhuri,Burdwan - Durgapur,Bharatiya Janata Party
IND,Anandpur Sahib,Punjab,30-04-2014,Gursharn Singh Panesar,50,Male,Post Graduate,GEN,4630000,0,,gursharnsinghpanesar,Anandpur Sahib,Independent
IND,Tripura West,Tripura,07-04-2014,Subal Bhowmik,53,Male,Graduate Professional,GEN,4620411,1,,subalbhowmik,Tripura West,Independent
SP,Kodarma,Jharkhand,10-04-2014,Jaideo Choudhary,52,Male,10th,GEN,4620269,2,#B15928,jaideochoudhary,Kodarma,Samajwadi Party
IND,Gauhati,Assam,24-04-2014,Anil Bhagawati,40,Male,Doctorate,GEN,4619004,2,,anilbhagawati,Gauhati,Independent
IND,Chalakudy,Kerala,10-04-2014,Vincent,44,Male,10th,GEN,4618200,0,,vincent,Chalakudy,Independent
INC,Kishanganj,Bihar,24-04-2014,Mohammad Asrarul Haque,67,Male,Post Graduate,GEN,4616629,2,#019733,mohammadasrarulhaque,Kishanganj,Indian National Congress
IND,Lakhimpur,Assam,07-04-2014,Ranjit Singh Gorh,45,Male,Graduate,GEN,4611700,0,,ranjitsinghgorh,Lakhimpur,Independent
IND,Shirdi,Maharashtra,17-04-2014,Sayaji Shankar Kharat,56,Male,Post Graduate,GEN,4602900,0,,sayajishankarkharat,Shirdi,Independent
IND,Madha,Maharashtra,17-04-2014,Prafull Shivrao Kadam,36,Male,Post Graduate,GEN,4595131,0,,prafullshivraokadam,Madha,Independent
SP,Lalganj,Uttar Pradesh,12-05-2014,Bechai,43,Male,Graduate,GEN,4594861,1,#B15928,bechai,Lalganj,Samajwadi Party
IND,Mumbai North West,Maharashtra,24-04-2014,Rina Mahendrakumar Zaveri,35,Female,Graduate Professional,GEN,4591000,0,,rinamahendrakumarzaveri,Mumbai North West,Independent
AAP,Pune,Maharashtra,17-04-2014,Ware Subhash Shankarrao,50,Male,Graduate Professional,GEN,4586646,2,,waresubhashshankarrao,Pune,Aam Aadmi Party
IND,Kanniyakumari,Tamil Nadu,24-04-2014,Padmanabhan S,39,Male,Post Graduate,GEN,4575197,0,,padmanabhans,Kanniyakumari,Independent
BJP,Mayurbhanj,Orissa,17-04-2014,Dr Nepole Raghu Murmu,39,Male,Doctorate,GEN,4573490,0,#FB7B0D,drnepoleraghumurmu,Mayurbhanj,Bharatiya Janata Party
IND,Shahdol,Madhya Pradesh,10-04-2014,Mahaveer Parshad Manjhi,72,Male,8th,GEN,4568000,0,,mahaveerparshadmanjhi,Shahdol,Independent
IND,Rae Bareli,Uttar Pradesh,30-04-2014,Pramod Kureel,47,Male,Post Graduate,GEN,4550140,0,,pramodkureel,Rae Bareli,Independent
CPIM,Bangaon,West Bengal,12-05-2014,Debesh Das,54,Male,Graduate Professional,GEN,4546171,0,#DE0000,debeshdas,Bangaon,Communist Party of India  (Marxist)
AAP,Wayanad,Kerala,10-04-2014,Adv P P A Sageer,35,Male,Graduate Professional,GEN,4539401,0,,advppasageer,Wayanad,Aam Aadmi Party
IND,Jhunjhunu,Rajasthan,17-04-2014,Dr Rajkumar Sharma,40,Male,Doctorate,GEN,4537299,4,,drrajkumarsharma,Jhunjhunu,Independent
IND,Karnal,Haryana,10-04-2014,Ramphal Sharma,57,Male,10th,GEN,4537000,0,,ramphalsharma,Karnal,Independent
IND,Gonda,Uttar Pradesh,07-05-2014,Brijnandan Tiwari,36,Male,12th,GEN,4518000,0,,brijnandantiwari,Gonda,Independent
IND,Kasaragod,Kerala,10-04-2014,Karunakaran Kalippurayil,61,Male,10th,GEN,4514183,0,,karunakarankalippurayil,Kasaragod,Independent
AAP,Sitapur,Uttar Pradesh,30-04-2014,Shefali Mishra,39,Female,Post Graduate,GEN,4503611,0,,shefalimishra,Sitapur,Aam Aadmi Party
IND,Jalgaon,Maharashtra,24-04-2014,Ashok Tarachand Patil,55,Male,Literate,GEN,4501297,0,,ashoktarachandpatil,Jalgaon,Independent
IND,Jahanabad,Bihar,17-04-2014,Suday Yadav,26,Male,10th,GEN,4495000,0,,sudayyadav,Jahanabad,Independent
AAP,Madurai,Tamil Nadu,24-04-2014,Mkamacis,43,Male,Graduate Professional,GEN,4494623,0,,mkamacis,Madurai,Aam Aadmi Party
CPI,North Goa,Goa,12-04-2014,Suhas Naik,47,Male,Graduate Professional,GEN,4483000,1,#DE0000,suhasnaik,North Goa,Communist Party of India
INC,Mathurapur,West Bengal,12-05-2014,Shri Manoranjan Halder,70,Male,Post Graduate,GEN,4470000,0,#019733,shrimanoranjanhalder,Mathurapur,Indian National Congress
IND,Mahabubabad,Andhra Pradesh,30-04-2014,Metla Papaiah,62,Male,Graduate Professional,GEN,4470000,0,,metlapapaiah,Mahabubabad,Independent
AAP,Dausa,Rajasthan,24-04-2014,Sanjeet Kumar,40,Male,Doctorate,GEN,4465861,0,,sanjeetkumar,Dausa,Aam Aadmi Party
IND,Surendranagar,Gujarat,30-04-2014,Parmar Prabhubhai Gokalbhai,56,Male,Graduate Professional,GEN,4464629,1,,parmarprabhubhaigokalbhai,Surendranagar,Independent
IUML,Nanded,Maharashtra,17-04-2014,Altaf Ahamad Iqbal Ahmad,48,Male,Graduate,GEN,4462742,0,,altafahamadiqbalahmad,Nanded,Indian Union Muslim League
AAP,Vadakara,Kerala,10-04-2014,Ali Akbar,50,Male,12th,GEN,4448946,0,,aliakbar,Vadakara,Aam Aadmi Party
BJP,Balurghat,West Bengal,24-04-2014,Biswapriya Roy Choudhury,53,Male,Graduate Professional,GEN,4440487,5,#FB7B0D,biswapriyaroychoudhury,Balurghat,Bharatiya Janata Party
INC,Bangaon,West Bengal,12-05-2014,Ila Mondal,42,Female,Graduate,GEN,4432000,0,#019733,ilamondal,Bangaon,Indian National Congress
IND,Barabanki,Uttar Pradesh,30-04-2014,Mahesh,42,Male,Post Graduate,GEN,4430000,0,,mahesh,Barabanki,Independent
INC,Janjgir-Champa,Chhattisgarh,24-04-2014,Premchand Jayasi,40,Male,Post Graduate,GEN,4422744,0,#019733,premchandjayasi,Janjgir-Champa,Indian National Congress
INC,Howrah,West Bengal,30-04-2014,Manoj Kumar Pandey,42,Male,Graduate,GEN,4421059,2,#019733,manojkumarpandey,Howrah,Indian National Congress
IND,Kallakurichi,Tamil Nadu,24-04-2014,Ashajahan,65,Male,Graduate Professional,GEN,4402000,0,,ashajahan,Kallakurichi,Independent
JDS,Sangli,Maharashtra,17-04-2014,Adv K D Shinde,60,Male,Post Graduate,GEN,4387851,0,#8064a2,advkdshinde,Sangli,Janata Dal  (Secular)
IND,Almora,Uttarakhand,07-05-2014,Sajjan Lal Tamta,47,Male,Graduate,GEN,4383896,0,,sajjanlaltamta,Almora,Independent
AIUDF,Maldaha Uttar,West Bengal,24-04-2014,Abdul Khaleque,46,Male,Graduate,GEN,4367584,0,,abdulkhaleque,Maldaha Uttar,All India United Democratic Front
AITC,Balasore,Orissa,17-04-2014,Kartikeswar Patra,72,Male,Not Given,GEN,4365951,1,#0C6965,kartikeswarpatra,Balasore,All India Trinamool Congress
IND,Kozhikode,Kerala,10-04-2014,Prathap Kumar N P,47,Male,Graduate Professional,GEN,4356708,0,,prathapkumarnp,Kozhikode,Independent
IND,Ramanathapuram,Tamil Nadu,24-04-2014,Balakrishnan Ss,42,Male,Not Given,GEN,4355000,1,,balakrishnanss,Ramanathapuram,Independent
IND,Lucknow,Uttar Pradesh,30-04-2014,Padam Chandra Gupta,38,Male,Graduate Professional,GEN,4342000,0,,padamchandragupta,Lucknow,Independent
IND,Dhubri,Assam,24-04-2014,Mohar Uddin Mondal,44,Male,Graduate Professional,GEN,4332581,0,,moharuddinmondal,Dhubri,Independent
JDU,Araria,Bihar,24-04-2014,Vijay Kumar Mandal,51,Male,10th,GEN,4326107,1,#8064a2,vijaykumarmandal,Araria,Janata Dal  (United)
IND,Sant Kabir Nagar,Uttar Pradesh,07-05-2014,Kripa Narayan Rai,54,Male,Graduate,GEN,4320500,0,,kripanarayanrai,Sant Kabir Nagar,Independent
IND,Wardha,Maharashtra,10-04-2014,Manish Vinayakrao Telrandhe,43,Male,Graduate,GEN,4316000,1,,manishvinayakraotelrandhe,Wardha,Independent
AAP,Mavelikkara,Kerala,10-04-2014,N Sadanandan,67,Male,Graduate Professional,GEN,4309529,0,,nsadanandan,Mavelikkara,Aam Aadmi Party
IND,Singhbhum,Jharkhand,17-04-2014,Rupsingh Hembrom,34,Male,10th,GEN,4305000,0,,rupsinghhembrom,Singhbhum,Independent
IND,Pratapgarh,Uttar Pradesh,07-05-2014,Azmal Khan,50,Male,Graduate Professional,GEN,4300000,0,,azmalkhan,Pratapgarh,Independent
IND,Gwalior,Madhya Pradesh,17-04-2014,Captan Babulal Goswami,63,Male,Graduate,GEN,4300000,0,,captanbabulalgoswami,Gwalior,Independent
IND,Faridabad,Haryana,10-04-2014,Lalit Mittal,28,Male,Post Graduate,GEN,4295126,0,,lalitmittal,Faridabad,Independent
INC,Karur,Tamil Nadu,24-04-2014,Jothimani -s,38,Female,Post Graduate,GEN,4293910,0,#019733,jothimani-s,Karur,Indian National Congress
BJP,Araria,Bihar,24-04-2014,Pradeep Kumar Singh,48,Male,10th,GEN,4291479,4,#FB7B0D,pradeepkumarsingh,Araria,Bharatiya Janata Party
IND,Vijayawada,Andhra Pradesh,07-05-2014,Dasari Venkata Nagesh,50,Male,Graduate Professional,GEN,4290000,0,,dasarivenkatanagesh,Vijayawada,Independent
BJP,Hyderabad,Andhra Pradesh,30-04-2014,Drbhagavanth Rao,61,Male,Graduate Professional,GEN,4274998,0,#FB7B0D,drbhagavanthrao,Hyderabad,Bharatiya Janata Party
IND,Uluberia,West Bengal,30-04-2014,Ashis Kumar Das,41,Male,Graduate,GEN,4266900,0,,ashiskumardas,Uluberia,Independent
IND,Thrissur,Kerala,10-04-2014,M N Kutty,64,Male,10th,GEN,4251600,0,,mnkutty,Thrissur,Independent
IND,Vaishali,Bihar,12-05-2014,Sandhya Devi,43,Female,Literate,GEN,4242000,0,,sandhyadevi,Vaishali,Independent
INC,Nagapattinam,Tamil Nadu,24-04-2014,Senthilpandian Thalai Tap,46,Male,Graduate Professional,GEN,4240000,0,#019733,senthilpandianthalaitap,Nagapattinam,Indian National Congress
IND,Mumbai South,Maharashtra,24-04-2014,Shankar Gangadhar Sonawane,46,Male,10th,GEN,4237600,0,,shankargangadharsonawane,Mumbai   South,Independent
IND,Madurai,Tamil Nadu,24-04-2014,Mmeenakshisundaram,65,Male,Post Graduate,GEN,4235311,0,,mmeenakshisundaram,Madurai,Independent
IND,Chalakudy,Kerala,10-04-2014,Edappally Basheer,57,Male,Graduate,GEN,4228516,0,,edappallybasheer,Chalakudy,Independent
SP,Raigad,Maharashtra,24-04-2014,Aziz Abdul Kadir Mukadam,50,Male,5th,GEN,4228000,0,#B15928,azizabdulkadirmukadam,Raigad,Samajwadi Party
AAP,Ghosi,Uttar Pradesh,12-05-2014,Manish Kumar Rai,38,Male,Post Graduate,GEN,4227325,0,,manishkumarrai,Ghosi,Aam Aadmi Party
CPIM,Andaman Nicobar Islands,Andaman Nicobar Islands,10-04-2014,Kgdas,70,Male,12th,GEN,4221392,0,#DE0000,kgdas,Andaman & Nicobar Islands,Communist Party of India  (Marxist)
IND,Patan,Gujarat,30-04-2014,Jagrala Imran Mahemud,37,Male,8th,GEN,4219599,0,,jagralaimranmahemud,Patan,Independent
IND,Raver,Maharashtra,24-04-2014,Chavhan Mohan Shamrao,42,Male,Post Graduate,GEN,4213625,0,,chavhanmohanshamrao,Raver,Independent
IND,Domariyaganj,Uttar Pradesh,12-05-2014,Diwakar Prasad,63,Male,Graduate,GEN,4212000,0,,diwakarprasad,Domariyaganj,Independent
IND,Amritsar,Punjab,30-04-2014,Rattan Singh Randhawa,59,Male,Post Graduate,GEN,4201500,0,,rattansinghrandhawa,Amritsar,Independent
IND,Namakkal,Tamil Nadu,24-04-2014,Perumala,61,Male,12th,GEN,4196631,0,,perumala,Namakkal,Independent
SP,Gaya,Bihar,10-04-2014,Mamta Kumari,33,Female,12th,GEN,4195976,0,#B15928,mamtakumari,Gaya (Sc),Samajwadi Party
IND,Sivaganga,Tamil Nadu,24-04-2014,S Periyakaruppan,43,Male,10th,GEN,4190000,0,,speriyakaruppan,Sivaganga,Independent
IND,Jhansi,Uttar Pradesh,30-04-2014,Kuldeep Kumar,38,Male,Graduate,GEN,4185617,0,,kuldeepkumar,Jhansi,Independent
IND,Fatehpur,Uttar Pradesh,30-04-2014,Arvind Kumar,51,Male,Graduate,GEN,4181000,0,,arvindkumar,Fatehpur,Independent
IND,Jodhpur,Rajasthan,17-04-2014,Rugha Ram Choudhary Advocate,48,Male,Graduate Professional,GEN,4180402,0,,rugharamchoudharyadvocate,Jodhpur,Independent
CPIM,Ujiarpur,Bihar,07-05-2014,Ram Deo Verma,67,Male,Graduate,GEN,4179608,3,#DE0000,ramdeoverma,Ujiarpur,Communist Party of India  (Marxist)
IND,Bhiwani-Mahendragarh,Haryana,10-04-2014,Puran Mal,78,Male,10th,GEN,4158000,0,,puranmal,Bhiwani-Mahendragarh,Independent
INC,Rajsamand,Rajasthan,17-04-2014,Gopal Singh Shekhawat,63,Male,Graduate Professional,GEN,4157012,0,#019733,gopalsinghshekhawat,Rajsamand,Indian National Congress
IND,Wardha,Maharashtra,10-04-2014,Shambaba Alias Shamsundar Panjabrao Nichit,46,Male,Post Graduate,GEN,4155000,0,,shambabaaliasshamsundarpanjabraonichit,Wardha,Independent
BJP,Diamond Harbour,West Bengal,12-05-2014,Abhijit Das Bobby,44,Male,Post Graduate,GEN,4153000,2,#FB7B0D,abhijitdasbobby,Diamond Harbour,Bharatiya Janata Party
REVOLUTIONARY SOCIALIST PARTY,Jaynagar,West Bengal,12-05-2014,Subhas Naskar,62,Male,Graduate,GEN,4135709,0,,subhasnaskar,Joynagar,Revolutionary Socialist Party
IND,Sheohar,Bihar,07-05-2014,Ramashish Mahto,69,Male,8th,GEN,4134220,0,,ramashishmahto,Sheohar,Independent
CPIM,Coimbatore,Tamil Nadu,24-04-2014,Natarajan -pr,63,Male,12th,GEN,4126060,1,#DE0000,natarajan-pr,Coimbatore,Communist Party of India  (Marxist)
IND,Hindupur,Andhra Pradesh,07-05-2014,Km Asadulla,61,Male,Post Graduate,GEN,4125958,0,,kmasadulla,Hindupur,Independent
BJP,Fatehpur,Uttar Pradesh,30-04-2014,Sadhavi Niranjan Jyoti,47,Female,12th,GEN,4123779,1,#FB7B0D,sadhaviniranjanjyoti,Fatehpur,Bharatiya Janata Party
IND,Chandni Chowk,National Capital Territory Of Delhi,10-04-2014,Abdul Amir Amiro,44,Male,5th,GEN,4122551,0,,abdulamiramiro,Chandni Chowk,Independent
AAP,Thrissur,Kerala,10-04-2014,Sarah Joseph,67,Female,Post Graduate,GEN,4122398,0,,sarahjoseph,Thrissur,Aam Aadmi Party
IND,Autonomous District,Assam,12-04-2014,Chomang Kro,48,Male,Graduate,GEN,4122196,0,,chomangkro,Autonomous District,Independent
IND,Visakhapatnam,Andhra Pradesh,07-05-2014,Seemakurthi Srinivasa Rao,41,Male,10th,GEN,4115000,0,,seemakurthisrinivasarao,Visakhapatnam,Independent
