party,state,constituency,poll_date,name,age,gender,education,category,assets,criminal_cases,color,party_name
BJP,West Bengal,Birbhum,30-04-2014,joybanerjee,50,Male,Graduate,GEN,551537,0,#FB7B0D,Bharatiya Janata Party
IND,Chhattisgarh,Raipur,24-04-2014,nareshtandi,30,Male,5th,GEN,551000,1,,Independent
IND,Assam,Gauhati,24-04-2014,khargeswardas,43,Male,8th,GEN,550800,0,,Independent
IND,Andhra Pradesh,Ongole,07-05-2014,chapalavenkatarao,30,Male,10th,GEN,550000,0,,Independent
IND,West Bengal,Sreerampur,30-04-2014,drsomnathghosh,32,Male,Graduate Professional,GEN,550000,0,,Independent
IND,Tamil Nadu,Kallakurichi,24-04-2014,smadhaiyan,48,Male,Illiterate,GEN,550000,0,,Independent
IND,Jharkhand,Giridih,17-04-2014,sajjadurrabhasami,42,Male,12th,GEN,550000,0,,Independent
IND,Maharashtra,Sangli,17-04-2014,shrirangbaburaopakhare,63,Male,5th,GEN,550000,0,,Independent
AITC,Uttar Pradesh,Fatehpur,30-04-2014,ramkrishantripathi,55,Male,Post Graduate,GEN,549500,0,#0C6965,All India Trinamool Congress
IND,Maharashtra,Ramtek,10-04-2014,lokhandeganeshhaibatrao,44,Male,Graduate Professional,GEN,548000,0,,Independent
IND,Bihar,Paschim Champaran,12-05-2014,saidirsadakhtar,37,Male,12th,GEN,546818,0,,Independent
IND,Uttar Pradesh,Bijnor,10-04-2014,umeshaliespani,32,Male,8th,GEN,545918,0,,Independent
IND,Kerala,Kollam,10-04-2014,ajosekutty,58,Male,10th,GEN,545117,0,,Independent
IND,Karnataka,Kolar,17-04-2014,gnvenkatesh,44,Male,Graduate Professional,GEN,545000,0,,Independent
AITC,West Bengal,Balurghat,24-04-2014,arpitaghosh,47,Female,Graduate,GEN,544790,0,#0C6965,All India Trinamool Congress
IND,Rajasthan,Jalore,17-04-2014,shankarlaldarji,41,Male,5th,GEN,543500,0,,Independent
IND,Tamil Nadu,Mayiladuthurai,24-04-2014,timothyt,52,Male,5th,GEN,542922,0,,Independent
IND,West Bengal,Uluberia,30-04-2014,rameshdhara,58,Male,10th,GEN,540917,1,,Independent
IND,Bihar,Muzaffarpur,07-05-2014,maheshpaswan,46,Male,Graduate,GEN,540000,0,,Independent
IND,Uttar Pradesh,Lucknow,30-04-2014,yogeshchandrabhatt,39,Male,Graduate Professional,GEN,540000,0,,Independent
IND,Tamil Nadu,Perambalur,24-04-2014,rajasekar-t,42,Male,10th,GEN,540000,0,,Independent
IND,Tamil Nadu,Ramanathapuram,24-04-2014,murugeswari,38,Female,10th,GEN,538600,1,,Independent
NCP,Lakshadweep,Lakshadweep,10-04-2014,mohammedfaizalpp,38,Male,Post Graduate,GEN,538119,3,,Nationalist Congress Party
IND,Bihar,Gopalganj,12-05-2014,mudrikabaita,42,Male,Graduate,GEN,537500,0,,Independent
IND,Rajasthan,Bhilwara,17-04-2014,satyaprakashsharma,41,Male,12th,GEN,536875,0,,Independent
SP,Gujarat,Panchmahal,30-04-2014,shaikhkalimabdullatif,47,Male,8th,GEN,536400,0,#B15928,Samajwadi Party
IND,Uttar Pradesh,Varanasi,12-05-2014,ahmedsohelsiddiqui,50,Male,12th,GEN,535403,0,,Independent
IND,Tamil Nadu,Tiruvannamalai,24-04-2014,prabakaranl,33,Male,10th,GEN,535000,0,,Independent
AAP,Gujarat,Valsad,30-04-2014,patelgovindbhairanchhodbhai,68,Male,Post Graduate,GEN,533572,1,,Aam Aadmi Party
SP,Assam,Karimganj,12-04-2014,rinkumalakar,39,Male,8th,GEN,533500,0,#B15928,Samajwadi Party
IND,West Bengal,Maldaha Uttar,24-04-2014,surenmurmu,40,Male,8th,GEN,533000,0,,Independent
