state,constituency,poll_date,name,party,age,gender,education,category,assets,criminal_cases,color
Uttar Pradesh,Nagina,17-04-2014,Yashwant Singh,BJP,52,Male,Post Graduate,GEN,34806740,0,#FB7B0D
Gujarat,Banaskantha,30-04-2014,Sanjaykumar Somnathbhai Raval,AAP,48,Male,Graduate Professional,GEN,34785000,0,
Uttar Pradesh,Kushi Nagar,12-05-2014,Markande,BAHUJAN MUKTI PARTY,45,Male,Post Graduate,GEN,34773186,0,
Maharashtra,Mumbai North Central,24-04-2014,Phiroze Palkhivala,AAP,47,Male,Graduate Professional,GEN,34762841,0,
Tamil Nadu,Ramanathapuram,24-04-2014,Thirunnavukkarasar Su,INC,64,Male,Post Graduate,GEN,34748520,1,#019733
Andhra Pradesh,Srikakulam,07-05-2014,Killi Krupa Rani,INC,52,Female,Graduate Professional,GEN,34705308,0,#019733
Bihar,Purvi Champaran,12-05-2014,Md Mokim Ansari,JAMMU KASHMIR NATIONAL PANTHERS PARTY,49,Male,Graduate Professional,GEN,34581400,0,
West Bengal,Darjeeling,17-04-2014,Mahendra Prasad Lama,IND,53,Male,Doctorate,GEN,34438296,0,
Tamil Nadu,Tenkasi,24-04-2014,Drsadhan Thirumalaikumart,MDMK,61,Male,Graduate Professional,GEN,34406591,1,
Tamil Nadu,Coimbatore,24-04-2014,Nagarajan -p,AIADMK,52,Male,Graduate Professional,GEN,34306545,0,#9DBC2A
Bihar,Patna Sahib,17-04-2014,Parveen Amanullah,AAP,56,Female,Graduate,GEN,34292500,0,
Haryana,Kurukshetra,10-04-2014,Kanta,INDIAN BAHUJAN SANDESH PARTY KANSHIRAM,43,Female,10th,GEN,34224262,1,
Maharashtra,Mumbai South Central,24-04-2014,Aiyyar Ganesh Rangayya,BSP,49,Male,Graduate Professional,GEN,34200185,0,#77968E
Gujarat,Amreli,30-04-2014,Kachhadiya Naranbhai Bhikhabhai,BJP,58,Male,12th,GEN,34164801,2,#FB7B0D
Kerala,Thiruvananthapuram,10-04-2014,Bennet Abraham,CPI,55,Male,Post Graduate,GEN,34112353,1,#DE0000
Gujarat,Ahmedabad West,30-04-2014,Dr Solanki Kiritbhai Premjibhai,BJP,64,Male,Post Graduate,GEN,34085266,0,#FB7B0D
Maharashtra,Yavatmal-washim,10-04-2014,Rathod Mohan Mallu,BHARIPA BAHUJAN MAHASANGH,61,Male,Post Graduate,GEN,34013105,0,
Kerala,Thiruvananthapuram,10-04-2014,O V Sreedath,SOCIALIST REPUBLICAN PARTY,35,Male,Graduate,GEN,33965814,4,
Tamil Nadu,Chennai South,24-04-2014,Dr J Jayavardhan,AIADMK,26,Male,Graduate Professional,GEN,33959072,0,#9DBC2A
Kerala,Pathanamthitta,10-04-2014,Shilvin Kottackakathu,IND,43,Male,Others,GEN,33956316,0,
Tripura,Tripura West,07-04-2014,Arunoday Saha,INC,65,Male,Doctorate,GEN,33892463,0,#019733
Uttar Pradesh,Lalganj,12-05-2014,Neelam,BJP,38,Female,Post Graduate,GEN,33863562,1,#FB7B0D
Maharashtra,Wardha,10-04-2014,Ramdas Chandrabhanji Tadas,BJP,60,Male,10th,GEN,33628998,5,#FB7B0D
Tamil Nadu,Ramanathapuram,24-04-2014,Anwhar Raajhaaa,AIADMK,65,Male,Graduate,GEN,33582876,0,#9DBC2A
Uttar Pradesh,Varanasi,12-05-2014,Prabhat Kumar,IND,47,Male,Post Graduate,GEN,33536805,0,
Uttar Pradesh,Mathura,24-04-2014,Chandan Singh,SP,69,Male,Graduate Professional,GEN,33511293,0,#B15928
Punjab,Faridkot,30-04-2014,Joginder Singh,INC,55,Male,8th,GEN,33499042,0,#019733
Uttar Pradesh,Barabanki,30-04-2014,Rajrani Rawat,SP,49,Female,12th,GEN,33493596,0,#B15928
Uttar Pradesh,Kanpur,30-04-2014,Drmahmood Husain Rahmani,AAP,59,Male,Post Graduate,GEN,33447841,0,
Bihar,Karakat,10-04-2014,Mahabali Singh,JDU,59,Male,8th,GEN,33437255,5,#8064a2
Gujarat,Bharuch,30-04-2014,Jayeshbhai Ambalalbhai Patel,INC,57,Male,Graduate Professional,GEN,33426809,0,#019733
Madhya Pradesh,Sidhi,10-04-2014,Riti Pathak,BJP,36,Female,Post Graduate,GEN,33416561,0,#FB7B0D
Uttar Pradesh,Hardoi,24-04-2014,Usha Verma,SP,48,Male,Post Graduate,GEN,33409414,0,#B15928
Uttar Pradesh,Kaushambi,07-05-2014,Bina Rani,IND,52,Female,Graduate,GEN,33409408,0,
Haryana,Gurgaon,10-04-2014,Mul Chand,IND,56,Male,10th,GEN,33392000,0,
National Capital Territory Of Delhi,New Delhi,10-04-2014,Biswajit Ranjit Chatterjee,AITC,77,Male,12th,GEN,33350000,0,#0C6965
Maharashtra,Ahmednagar,17-04-2014,Anil Jaysing Ghanvat,IND,55,Male,Graduate,GEN,33340000,6,
Karnataka,Gulbarga,17-04-2014,Revasing Loku,BJP,73,Male,5th,GEN,33293923,0,#FB7B0D
Karnataka,Tumkur,17-04-2014,Asdsilva,AAP,61,Male,Graduate,GEN,33229897,0,
Uttar Pradesh,Firozabad,24-04-2014,Satyapal Singh,BJP,53,Male,Doctorate,GEN,33097756,1,#FB7B0D
Tamil Nadu,Namakkal,24-04-2014,Gandhiselvans,DMK,50,Male,Post Graduate,GEN,33049195,0,#800000
Uttar Pradesh,Rampur,17-04-2014,Vijendra Singh,RASHTRIYA CONGRESS BABU JAGJIVANRAM,32,Male,Literate,GEN,33048000,0,
Andhra Pradesh,Hindupur,07-05-2014,Kpedda Reddi,IND,48,Male,10th,GEN,33018797,3,
Tamil Nadu,Arakkonam,24-04-2014,Hari G,AIADMK,53,Male,Post Graduate,GEN,32966706,4,#9DBC2A
Bihar,Kishanganj,24-04-2014,Dr Dilip Kumar Jaiswal,BJP,50,Male,Doctorate,GEN,32949581,0,#FB7B0D
Tamil Nadu,Chennai South,24-04-2014,Ganesan S,SUCIC,57,Male,Graduate Professional,GEN,32901000,0,
Maharashtra,Osmanabad,17-04-2014,Gaikwad Ravindra Vishwanath,SHS,54,Male,Post Graduate,GEN,32852793,8,#F05A00
Goa,South Goa,12-04-2014,Shalom Mathew Francisco Sardinha,IND,33,Male,Graduate Professional,GEN,32828000,0,
Bihar,Aurangabad,10-04-2014,Bagi Kumar Verma,JDU,61,Male,Graduate,GEN,32766379,0,#8064a2
Uttar Pradesh,Akbarpur,24-04-2014,Anil Shukla Varsi,BSP,57,Male,Graduate,GEN,32740272,2,#77968E
Uttar Pradesh,Sambhal,17-04-2014,Aqeel Ur Rehman Khan,BSP,51,Male,Post Graduate,GEN,32724982,0,#77968E
Maharashtra,Amravati,10-04-2014,Adsul Anandrao Vithoba,SHS,66,Male,Graduate,GEN,32596257,1,#F05A00
Uttar Pradesh,Barabanki,30-04-2014,Khanjan Lal,IND,70,Male,Post Graduate,GEN,32560591,0,
Uttar Pradesh,Aonla,17-04-2014,Naresh Singh Solanki,AAP,48,Male,Graduate,GEN,32537903,0,
Andhra Pradesh,Khammam,30-04-2014,Busireddy Shankar Reddy,IND,53,Male,12th,GEN,32525000,0,
Karnataka,Bangalore South,17-04-2014,Shivashankar G R,AIFB,62,Male,Post Graduate,GEN,32522829,0,
Uttar Pradesh,Pilibhit,17-04-2014,Anis Ahamad Khan,BSP,51,Male,Graduate,GEN,32411744,0,#77968E
Sikkim,Sikkim,12-04-2014,Prem Das Rai,SDF,59,Male,Post Graduate,GEN,32389223,0,
Haryana,Ambala,10-04-2014,Kapoor Singh,BSP,54,Male,Doctorate,GEN,32373100,0,#77968E
Karnataka,Uttara Kannada,17-04-2014,Anantkumar Hegde,BJP,46,Male,12th,GEN,32367360,0,#FB7B0D
Orissa,Kalahandi,10-04-2014,Rajendra Kumar Mund,IND,0,Male,Post Graduate,GEN,32280000,0,
Andhra Pradesh,Malkajgiri,30-04-2014,Sarvey Sathyanarayana,INC,60,Male,Graduate Professional,GEN,32275736,2,#019733
Tamil Nadu,Salem,24-04-2014,Pannerselvamv,AIADMK,55,Male,Graduate Professional,GEN,32268097,0,#9DBC2A
Jammu Kashmir,Baramulla,07-05-2014,Sharief-ud-din Shariq,JKNC,79,Male,Post Graduate,GEN,32214421,0,
Madhya Pradesh,Jabalpur,10-04-2014,Vinay Kumar Jain,IND,48,Male,10th,GEN,32198461,0,
Orissa,Mayurbhanj,17-04-2014,Shyam Sundar Hansdah,INC,60,Male,Graduate,GEN,32158487,0,#019733
National Capital Territory Of Delhi,North West Delhi,10-04-2014,Sunil Chhikara,IND,42,Male,Graduate Professional,GEN,32150000,3,
Uttar Pradesh,Unnao,30-04-2014,Swami Sachchidanand Hari Sakshi,BJP,58,Male,Doctorate,GEN,32137597,8,#FB7B0D
Maharashtra,Baramati,17-04-2014,Suresh Khopade,AAP,63,Male,Graduate Professional,GEN,31870466,0,
Gujarat,Vadodara,30-04-2014,Mistry Madhusadan Devram,INC,69,Male,Post Graduate,GEN,31759626,1,#019733
West Bengal,Barrackpur,12-05-2014,Girish Chandra Singh,IND,48,Male,Post Graduate,GEN,31708655,0,
Maharashtra,Mumbai North,24-04-2014,Dinesh Shah,SARDAR VALLABHBHAI PATEL PARTY,56,Male,Graduate,GEN,31634182,0,
Andhra Pradesh,Nandyal,07-05-2014,Nashyam Mohammad Farook,TDP,62,Male,10th,GEN,31599109,4,#4bacc6
Andaman Nicobar Islands,Andaman Nicobar Islands,10-04-2014,Kuldeep Rai Sharma,INC,46,Male,Graduate Professional,GEN,31594826,0,#019733
Uttar Pradesh,Ghosi,12-05-2014,Dara Singh Chauhan,BSP,55,Male,10th,GEN,31543071,2,#77968E
Karnataka,Chamarajanagar,17-04-2014,R Dhruvanarayana,INC,53,Male,Graduate,GEN,31519950,0,#019733
Punjab,Ludhiana,30-04-2014,Ravneet Singh Bittu,INC,38,Male,12th,GEN,31509170,0,#019733
Uttar Pradesh,Ghaziabad,10-04-2014,Rinku Kumar Tyagi,IND,34,Male,Others,GEN,31501000,0,
Punjab,Patiala,30-04-2014,Randhir Singh,BAHUJAN MUKTI PARTY,49,Male,8th,GEN,31475000,0,
Assam,Kokrajhar,24-04-2014,Ranjit Shekhar Mooshahary,AITC,68,Male,Graduate,GEN,31461513,0,#0C6965
Goa,South Goa,12-04-2014,Aleixo Reginaldo Lourenco,INC,45,Male,12th,GEN,31453008,0,#019733
Maharashtra,Mumbai North West,24-04-2014,Mayank Ramesh Gandhi,AAP,55,Male,Graduate,GEN,31416461,0,
Karnataka,Chamarajanagar,17-04-2014,M Shivanna,JDS,60,Male,Graduate Professional,GEN,31402152,3,#8064a2
Karnataka,Bangalore Central,17-04-2014,Rizwan Arshad,INC,34,Male,Graduate,GEN,31400000,2,#019733
Bihar,Maharajganj,07-05-2014,Prabhu Nath Singh,RJD,61,Male,12th,GEN,31380728,8,
National Capital Territory Of Delhi,East Delhi,10-04-2014,Manju Chhibber,RPIA,58,Female,Graduate,GEN,31380000,0,
Uttar Pradesh,Kanpur,30-04-2014,Surendra Mohan Agarwal,SP,69,Male,12th,GEN,31375148,4,#B15928
Andhra Pradesh,Kadapa,07-05-2014,Poreddy Prabhakar Reddy,IND,48,Male,10th,GEN,31312193,3,
Punjab,Gurdaspur,30-04-2014,Sucha Singh Chhotepur,AAP,66,Male,Graduate,GEN,31270000,0,
West Bengal,Barasat,12-05-2014,Dr Kakali Ghoshdostidar,AITC,55,Female,Graduate Professional,GEN,31254311,0,#0C6965
Uttar Pradesh,Moradabad,17-04-2014,Dr S T Hasan,SP,55,Male,Post Graduate,GEN,31217401,0,#B15928
Gujarat,Bardoli,30-04-2014,Surendrabhai Simabhai Gamit,IND,42,Male,10th,GEN,31216000,0,
Bihar,Munger,17-04-2014,Veena Devi,LJP,41,Female,8th,GEN,31162836,0,
Haryana,Sirsa,10-04-2014,Dr Sushil Indora,HARYANA JANHIT CONGRESS BL,54,Male,Graduate Professional,GEN,31066422,0,
West Bengal,Medinipur,07-05-2014,Sandhya Roy,AITC,73,Female,Literate,GEN,31031095,0,#0C6965
Maharashtra,Parbhani,17-04-2014,Jadhav Sanjay Bandu Haribhau,SHS,47,Male,10th,GEN,31016711,7,#F05A00
Uttar Pradesh,Farrukhabad,24-04-2014,Sachin Singh,IND,30,Male,Graduate,GEN,30876925,1,
Jharkhand,Dhanbad,24-04-2014,Hemlata S Mohan,AJSUP,55,Female,Doctorate,GEN,30794844,0,
Madhya Pradesh,Sagar,17-04-2014,Govind Singh Rajput,INC,48,Male,Post Graduate,GEN,30758478,1,#019733
Uttar Pradesh,Basti,07-05-2014,Ram Prasad,BSP,60,Male,Others,GEN,30654089,0,#77968E
Andhra Pradesh,Chevella,30-04-2014,Regatte Venkat Reddy,AAP,54,Male,Others,GEN,30648743,0,
Uttar Pradesh,Kanpur,30-04-2014,Himmat Lal,AKHIL BHARATIYA RAJARYA SABHA,67,Male,Graduate Professional,GEN,30630000,0,
Rajasthan,Kota,17-04-2014,Ashok Kumar Jain,AAP,61,Male,Graduate Professional,GEN,30617000,0,
Maharashtra,Mumbai South,24-04-2014,Shahzad Shamsher Khan Pathan,AWAMI VIKAS PARTY,32,Male,Graduate,GEN,30604689,0,
Maharashtra,Mumbai South Central,24-04-2014,Sundar Balkrishnan,AAP,53,Male,Post Graduate,GEN,30571000,0,
Tamil Nadu,Chennai North,24-04-2014,Srinivason S,AAP,49,Male,Graduate,GEN,30560936,0,
Jammu Kashmir,Srinagar,30-04-2014,Mohammad Shafi Guroo,IND,51,Male,8th,GEN,30550000,0,
Uttar Pradesh,Barabanki,30-04-2014,Pc Kuril,INDIAN NATIONAL LEAGUE,56,Male,12th,GEN,30509500,0,
Jammu Kashmir,Jammu,10-04-2014,Nirmal Singh,IND,48,Male,Graduate,GEN,30496000,0,
Uttar Pradesh,Kairana,10-04-2014,Nahid Hasan,SP,26,Male,Graduate,GEN,30399449,2,#B15928
Maharashtra,Beed,17-04-2014,Dongare Milind Kashinath,PRABUDDHA REPUBLICAN PARTY,53,Male,Graduate Professional,GEN,30393000,1,
National Capital Territory Of Delhi,West Delhi,10-04-2014,Raj Pal Singh,BSP,51,Male,Graduate,GEN,30390435,0,#77968E
Uttar Pradesh,Hardoi,24-04-2014,Anshul Verma,BJP,39,Male,Post Graduate,GEN,30385000,0,#FB7B0D
Karnataka,Tumkur,17-04-2014,Spmuddahanumegowda,INC,59,Male,Graduate Professional,GEN,30273812,0,#019733
Jharkhand,Singhbhum,17-04-2014,Geeta Kora,JAI BHARAT SAMANTA PARTY,30,Female,Graduate,GEN,30267735,1,
Chhattisgarh,Bilaspur,24-04-2014,Karuna Shukla,INC,64,Female,Post Graduate,GEN,30261209,0,#019733
Haryana,Hisar,10-04-2014,Narender,IND,43,Male,10th,GEN,30260500,1,
Uttar Pradesh,Bhadohi,07-05-2014,Rakesh Dhar Tripathi,BSP,56,Male,Doctorate,GEN,30217034,2,#77968E
Karnataka,Mysore,17-04-2014,Adagooru H Vishwanath,INC,64,Male,Graduate Professional,GEN,30187177,0,#019733
Haryana,Sonipat,10-04-2014,Sant Dharamvir Chotiwala,IND,42,Male,Graduate Professional,GEN,30110000,0,
Bihar,Vaishali,12-05-2014,Balendra Singh,IND,66,Male,12th,GEN,30070000,0,
Karnataka,Chikkballapur,17-04-2014,K Arkesh,AAP,60,Male,Post Graduate,GEN,30067157,0,
Maharashtra,Ahmednagar,17-04-2014,Deepali Sayyad,AAP,37,Female,Graduate,GEN,30052370,1,
Haryana,Sonipat,10-04-2014,Padam Singh,INLD,51,Male,Graduate Professional,GEN,30051128,0,
Bihar,Pataliputra,17-04-2014,Pancham Lal,IND,63,Male,Graduate,GEN,29991521,0,
Tamil Nadu,Thoothukkudi,24-04-2014,Shanmugam -apcv,INC,61,Male,Graduate,GEN,29971850,0,#019733
Uttar Pradesh,Allahabad,07-05-2014,Adarsh Shastri,AAP,40,Male,Graduate,GEN,29967925,0,
Uttar Pradesh,Hathras,24-04-2014,Ramji Lal Suman,SP,63,Male,Graduate Professional,GEN,29953498,2,#B15928
Tamil Nadu,Erode,24-04-2014,Ganesha Murthia,MDMK,66,Male,Graduate,GEN,29856503,1,
National Capital Territory Of Delhi,East Delhi,10-04-2014,Mohammad Shakeel Saifi,BSP,42,Male,Literate,GEN,29743591,1,#77968E
Uttar Pradesh,Jhansi,30-04-2014,Archana,AAP,45,Female,Post Graduate,GEN,29734417,0,
Bihar,Patna Sahib,17-04-2014,Chandra Bhushan Prasad Chandravnsi,BAHUJAN MUKTI PARTY,44,Male,Literate,GEN,29711938,1,
Haryana,Gurgaon,10-04-2014,Yogendra Singh Yadav,AAP,50,Male,Post Graduate,GEN,29709151,0,
Karnataka,Davanagere,17-04-2014,Mahima J Patel,JDS,54,Male,Graduate Professional,GEN,29683292,0,#8064a2
Uttar Pradesh,Mohanlalganj,30-04-2014,Narendra Kumar,INC,45,Male,Graduate,GEN,29531000,0,#019733
Uttar Pradesh,Jalaun,30-04-2014,Brijlal Khabhri,BSP,51,Male,Post Graduate,GEN,29512616,0,#77968E
Andhra Pradesh,Visakhapatnam,07-05-2014,Kuna Ramam,AAP,51,Male,Post Graduate,GEN,29512350,0,
Maharashtra,Amravati,10-04-2014,Navneet Ravi Rana,NCP,28,Female,10th,GEN,29496562,3,
Andhra Pradesh,Zahirabad,30-04-2014,Suresh Kumar Shetkar,INC,51,Male,Graduate,GEN,29458057,0,#019733
Andhra Pradesh,Ongole,07-05-2014,Sadam Satyanarayana Raja Yadav,AAP,35,Male,Post Graduate,GEN,29380600,0,
Maharashtra,Chandrapur,10-04-2014,Chatap Wamanrao Sadashiv,AAP,63,Male,Graduate Professional,GEN,29375000,3,
Maharashtra,Mumbai North Central,24-04-2014,Upesh M Baria,IND,32,Male,Post Graduate,GEN,29335000,0,
National Capital Territory Of Delhi,North East Delhi,10-04-2014,Anand Kumar,AAP,64,Male,Doctorate,GEN,29255377,0,
Andhra Pradesh,Chittoor,07-05-2014,Gandavarapu Samanya,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,35,Female,Doctorate,GEN,29254634,0,
Rajasthan,Jaipur,17-04-2014,Mahesh Joshi,INC,59,Male,Doctorate,GEN,29252918,0,#019733
West Bengal,Kolkata Dakshin,12-05-2014,Tathagata Roy,BJP,68,Male,Graduate Professional,GEN,29245368,1,#FB7B0D
Uttar Pradesh,Lucknow,30-04-2014,Raj Nath Singh,BJP,62,Male,Post Graduate,GEN,29240729,0,#FB7B0D
West Bengal,Barasat,12-05-2014,Riju Ghosal,INC,39,Male,Post Graduate,GEN,29223157,0,#019733
National Capital Territory Of Delhi,New Delhi,10-04-2014,Harkrishan Das Nijhawan,IND,50,Male,12th,GEN,29194281,1,
Tamil Nadu,Tiruvallur,24-04-2014,Kannan -as,CPI,72,Male,10th,GEN,29177341,0,#DE0000
Uttar Pradesh,Sultanpur,07-05-2014,Shakeel Ahmed,SP,48,Male,Graduate,GEN,29173029,0,#B15928
Punjab,Khadoor Sahib,30-04-2014,Harminder Singh Gill,INC,50,Male,Post Graduate,GEN,29131071,0,#019733
Andhra Pradesh,Malkajgiri,30-04-2014,Drnvsudha Kiran,AAP,48,Male,Graduate Professional,GEN,29100000,0,
Uttar Pradesh,Kairana,10-04-2014,Hukum Singh,BJP,75,Male,Graduate Professional,GEN,29078847,2,#FB7B0D
West Bengal,Darjeeling,17-04-2014,Arun Kumar Agarwal,IND,53,Male,12th,GEN,29039342,0,
Maharashtra,Jalna,24-04-2014,Wankhede Sharadchandra Ganapatrao,BSP,60,Male,Post Graduate,GEN,28995248,1,#77968E
Andhra Pradesh,Amalapuram,07-05-2014,Viswarupu Pinipe,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,51,Male,Graduate Professional,GEN,28990944,1,
National Capital Territory Of Delhi,West Delhi,10-04-2014,Karam Chand Lathwal,BHARTIYA PRAGATISHEEL CONGRESS,48,Male,Post Graduate,GEN,28936843,0,
West Bengal,Tamluk,12-05-2014,Badsha Alam,BJP,61,Male,12th,GEN,28793996,5,#FB7B0D
West Bengal,Ghatal,12-05-2014,Manas Ranjan Bhunia,INC,63,Male,Graduate Professional,GEN,28658832,0,#019733
Maharashtra,Kalyan,24-04-2014,Sudhakar Narayan Shinde,AMBEDKARITE PARTY OF INDIA,60,Male,Post Graduate,GEN,28647744,1,
Tamil Nadu,Tiruvallur,24-04-2014,Venugopal P Dr,AIADMK,61,Male,Graduate Professional,GEN,28643502,0,#9DBC2A
Rajasthan,Karauli-dholpur,24-04-2014,Manoj Rajoria,BJP,43,Male,12th,GEN,28636113,0,#FB7B0D
Maharashtra,Ratnagiri Sindhudurg,17-04-2014,Vinod Hanumantrao Sawant,AKHIL BHARAT HINDU MAHASABHA,57,Male,10th,GEN,28610000,0,
Maharashtra,Dhule,24-04-2014,Nihal Ah A Reheman,SP,55,Male,10th,GEN,28605000,0,#B15928
Gujarat,Bharuch,30-04-2014,Anilkumar Chhitubhai Bhagat,JDU,49,Male,Graduate,GEN,28598975,2,#8064a2
Karnataka,Mysore,17-04-2014,Chandrashekaraiah,JDS,71,Male,Post Graduate,GEN,28573891,0,#8064a2
Madhya Pradesh,Rajgarh,17-04-2014,Rodmal Nagar,BJP,53,Male,Graduate,GEN,28569974,0,#FB7B0D
Tripura,Tripura East,12-04-2014,Sachintra Debbarma,INC,64,Male,Graduate Professional,GEN,28560336,0,#019733
Uttar Pradesh,Akbarpur,24-04-2014,Devendra Singh Urf Bhole Singh,BJP,60,Male,10th,GEN,28546617,0,#FB7B0D
Bihar,Darbhanga,30-04-2014,Kirti Azad,BJP,55,Male,Graduate,GEN,28531267,4,#FB7B0D
Uttar Pradesh,Pratapgarh,07-05-2014,Ashok Shukla Senani,AAP,0,Male,Graduate,GEN,28386558,0,
Uttar Pradesh,Misrikh,30-04-2014,Ashok Kumar,BSP,47,Male,Post Graduate,GEN,28370000,0,#77968E
Punjab,Jalandhar,30-04-2014,Pawan Kumar Tinu,SAD,47,Male,Graduate,GEN,28285754,0,
Madhya Pradesh,Khandwa,24-04-2014,Baba Abdul Hamid,IND,75,Male,Not Given,GEN,28285000,0,
Uttarakhand,Tehri Garhwal,07-05-2014,Shishpal Singh,BSP,48,Male,Post Graduate,GEN,28255000,0,#77968E
Uttar Pradesh,Bijnor,10-04-2014,Gaurav,AAP,40,Male,Graduate Professional,GEN,28246000,0,
National Capital Territory Of Delhi,Chandni Chowk,10-04-2014,Dr Harsh Vardhan,BJP,59,Male,Post Graduate,GEN,28229308,2,#FB7B0D
Uttar Pradesh,Shahjahanpur,17-04-2014,Mithilesh Kumar,SP,53,Male,Graduate,GEN,28206768,0,#B15928
Uttarakhand,Hardwar,07-05-2014,Hazi Mohd Islam,BSP,34,Male,12th,GEN,28190958,1,#77968E
Madhya Pradesh,Damoh,17-04-2014,Mahendra Pratap Singh,INC,52,Male,Post Graduate,GEN,28167705,0,#019733
Uttarakhand,Hardwar,07-05-2014,Ram Naresh,KALYANKARI JANTANTRIK PARTY,61,Male,12th,GEN,28147750,0,
Uttar Pradesh,Azamgarh,12-05-2014,Ramakant Yadav,BJP,54,Male,10th,GEN,28145423,5,#FB7B0D
Tamil Nadu,Nagapattinam,24-04-2014,Vijayan Aks,DMK,52,Male,Post Graduate,GEN,28140439,0,#800000
Tamil Nadu,Tiruppur,24-04-2014,Vsathyabama,AIADMK,43,Female,Post Graduate,GEN,28108573,2,#9DBC2A
Karnataka,Mandya,17-04-2014,Divya Spandana Uruf Ramya,INC,31,Female,12th,GEN,28043931,0,#019733
Punjab,Anandpur Sahib,30-04-2014,Balbir Singh Jadla,CPIM,62,Male,10th,GEN,28030000,0,#DE0000
Bihar,Gopalganj,12-05-2014,Sunita Kumar,SP,46,Female,Graduate,GEN,28013750,0,#B15928
Kerala,Chalakudy,10-04-2014,P C Chacko,INC,67,Male,Post Graduate,GEN,28000209,0,#019733
Uttar Pradesh,Dhaurahra,30-04-2014,Kirti Singh,SHS,57,Female,Post Graduate,GEN,27853253,0,#F05A00
Bihar,Banka,24-04-2014,Jaiprakash Narayan Yadav,RJD,60,Male,Post Graduate,GEN,27846274,2,
West Bengal,Krishnanagar,12-05-2014,Tapas Paul,AITC,57,Male,Graduate,GEN,27829669,4,#0C6965
Madhya Pradesh,Jabalpur,10-04-2014,Rakesh Singh Urf Ghanshyam Singh,BJP,53,Male,Graduate,GEN,27823610,1,#FB7B0D
Madhya Pradesh,Bhopal,17-04-2014,Prakash Mangilal Sharma,INC,65,Male,Graduate Professional,GEN,27818657,5,#019733
Tamil Nadu,Dindigul,24-04-2014,Udhaya Kumar M,AIADMK,45,Male,Post Graduate,GEN,27810000,0,#9DBC2A
Orissa,Cuttack,17-04-2014,Aparajita Mohanty,INC,50,Female,Graduate,GEN,27791663,0,#019733
Uttar Pradesh,Etah,24-04-2014,Noor Mohmmad,BSP,63,Male,Graduate Professional,GEN,27700594,0,#77968E
Maharashtra,Thane,24-04-2014,Vinod Deepchand Gangwal,IND,44,Male,Graduate Professional,GEN,27667168,1,
Tamil Nadu,Chennai North,24-04-2014,Kesavan L,IND,48,Male,8th,GEN,27659000,0,
Tamil Nadu,Dindigul,24-04-2014,Chitthan Nsv,INC,80,Male,Graduate,GEN,27649207,0,#019733
Rajasthan,Alwar,24-04-2014,Azad Husain,BSP,50,Male,12th,GEN,27566246,0,#77968E
Gujarat,Ahmedabad East,30-04-2014,Roshan Priyavadan Shah,IND,39,Male,Graduate Professional,GEN,27560000,0,
Gujarat,Kheda,30-04-2014,Roshan Priyvadan Shah,IND,39,Male,Graduate Professional,GEN,27560000,0,
Himachal Pradesh,Hamirpur,07-05-2014,Rajinder Singh Rana So Gian Singh,IND,47,Male,10th,GEN,27415000,0,
Uttarakhand,Hardwar,07-05-2014,Vijay Kumar Kampani,POORVANCHAL RASHTRIYA CONGRESS,68,Male,Post Graduate,GEN,27413440,1,
Uttar Pradesh,Kaiserganj,07-05-2014,Mukesh Srivastav Alias Gyanendra Pratap,INC,37,Male,12th,GEN,27387727,0,#019733
Haryana,Faridabad,10-04-2014,Purshotam,AAP,32,Male,10th,GEN,27376208,0,
Uttar Pradesh,Lucknow,30-04-2014,Manoj Singh,IND,42,Male,Post Graduate,GEN,27343000,1,
Uttar Pradesh,Kheri,17-04-2014,Ram Gopal Mishra,IND,51,Male,8th,GEN,27258000,0,
Kerala,Ernakulam,10-04-2014,Christy Fernandez,IND,64,Male,Doctorate,GEN,27176949,0,
National Capital Territory Of Delhi,New Delhi,10-04-2014,Dheeraj Puri,SHS,35,Male,10th,GEN,27148834,0,#F05A00
Puducherry,Pondicherry,24-04-2014,R Viswanathan,CPI,64,Male,10th,GEN,27140629,0,#DE0000
Uttar Pradesh,Rampur,17-04-2014,Dr Nepal Singh,BJP,74,Male,Doctorate,GEN,27136042,0,#FB7B0D
Andhra Pradesh,Amalapuram,07-05-2014,Pandula Ravindra Babu,TDP,58,Male,Graduate Professional,GEN,27131000,0,#4bacc6
Kerala,Wayanad,10-04-2014,M I Shanavas,INC,62,Male,Post Graduate,GEN,27122055,0,#019733
Uttar Pradesh,Firozabad,24-04-2014,Atul Chaturvedi,INC,52,Male,Post Graduate,GEN,27115000,0,#019733
Uttar Pradesh,Kaushambi,07-05-2014,Vinod Kumar,BJP,44,Male,Graduate,GEN,27091681,0,#FB7B0D
Orissa,Keonjhar,17-04-2014,Basudeb Naik,IND,47,Male,10th,GEN,27042432,2,
Maharashtra,Mumbai North East,24-04-2014,Tukaram Baburao Mane,BAHUJAN MUKTI PARTY,56,Male,Others,GEN,27041300,0,
Madhya Pradesh,Dhar,24-04-2014,Umang Singhar,INC,40,Male,Graduate,GEN,27003369,0,#019733
Uttar Pradesh,Mirzapur,12-05-2014,Anupriya Singh Patel,APNA DAL,33,Female,Post Graduate,GEN,26858156,2,
