state,constituency,poll_date,name,party,age,gender,education,category,assets,criminal_cases,color
Karnataka,Kolar,17-04-2014,Dmambareesha,BSP,33,Male,Post Graduate,GEN,145000,0,#77968E
Maharashtra,Madha,17-04-2014,Shaikh Shahajan Paigambar,IND,40,Male,5th,GEN,145000,0,
Madhya Pradesh,Sidhi,10-04-2014,Pankaj Singh Patel,AAP,28,Male,Post Graduate,GEN,144766,0,
Maharashtra,Wardha,10-04-2014,Arvind Shamrao Lillore,IND,36,Male,Others,GEN,144186,0,
Andhra Pradesh,Zahirabad,30-04-2014,Marri Durgesh,RPIA,30,Male,Illiterate,GEN,144000,0,
Haryana,Faridabad,10-04-2014,Sanjay Maurya,IND,40,Male,8th,GEN,143541,0,
Uttar Pradesh,Etah,24-04-2014,Hemendraveer Singh,SARVA SAMAJ KALYAN PARTY,31,Male,Post Graduate,GEN,143500,0,
Uttar Pradesh,Mathura,24-04-2014,Hemendraveer Singh,SARVA SAMAJ KALYAN PARTY,31,Male,Post Graduate,GEN,143500,0,
Bihar,Jamui,10-04-2014,Jai Prakash Das,CPIMLL,61,Male,8th,GEN,143450,0,
National Capital Territory Of Delhi,South Delhi,10-04-2014,Naresh Kumar,IND,50,Male,Illiterate,GEN,143186,0,
Uttar Pradesh,Amethi,07-05-2014,Bhagwan Deen,IND,50,Male,5th,GEN,143000,0,
National Capital Territory Of Delhi,East Delhi,10-04-2014,Manjeet Singh,IND,26,Male,Graduate Professional,GEN,143000,0,
Gujarat,Dahod,30-04-2014,Katara Singajibhai Jaljibhai,CPIM,67,Male,5th,GEN,142606,0,#DE0000
Tamil Nadu,Viluppuram,24-04-2014,Pmuthaiyan,IND,60,Male,Illiterate,GEN,142500,0,
Tamil Nadu,Chennai South,24-04-2014,Js Mahalingam,IND,53,Male,Graduate Professional,GEN,142321,0,
Madhya Pradesh,Bhopal,17-04-2014,Satish Babu Naidu,IND,38,Male,10th,GEN,142015,0,
Maharashtra,Mumbai North East,24-04-2014,Sayed Gulamhusain Amirhamza,REPUBLICAN PARTY OF INDIA,35,Male,Graduate,GEN,142000,0,
Maharashtra,Beed,17-04-2014,Hoke Patilrajedra Achyutrao,IND,31,Male,12th,GEN,142000,0,
Rajasthan,Udaipur,17-04-2014,Gotam Lal Meena,CPIMLL,38,Male,5th,GEN,141876,1,
Andhra Pradesh,Chevella,30-04-2014,Drgolla Ramaiah,TELANGANA LOKSATTA PARTY,73,Male,Doctorate,GEN,141800,0,
Uttar Pradesh,Kheri,17-04-2014,Ashraf Ali,PEACE PARTY,47,Male,Graduate Professional,GEN,141782,1,
Karnataka,Bijapur,17-04-2014,Hanmanth Holer,IND,32,Male,12th,GEN,141500,1,
Andhra Pradesh,Kakinada,07-05-2014,Jalluri Venkateswarlu,IND,47,Male,Graduate Professional,GEN,141000,0,
Andhra Pradesh,Hyderabad,30-04-2014,M A Habeeb,IND,37,Male,10th,GEN,141000,1,
Tamil Nadu,Karur,24-04-2014,Kannan -s,IND,29,Male,12th,GEN,140340,2,
Rajasthan,Dausa,24-04-2014,Khemraj Meena,BHARATIYA YUVA SHAKTI,27,Male,Graduate Professional,GEN,140095,0,
Uttar Pradesh,Ghosi,12-05-2014,Ravi Shankar Bharat,JAN RAAJYA PARTY,32,Male,Post Graduate,GEN,140000,0,
Bihar,Muzaffarpur,07-05-2014,Rupesh Kumar Kuar,IND,31,Male,Literate,GEN,140000,0,
Gujarat,Bharuch,30-04-2014,Shaileshkumar Maganbhai Parmar,IND,32,Male,12th,GEN,140000,0,
Punjab,Bathinda,30-04-2014,Gurcharan Singh,IND,42,Male,10th,GEN,140000,0,
Tamil Nadu,Coimbatore,24-04-2014,Nagaraj -s,IND,34,Male,5th,GEN,140000,0,
Tamil Nadu,Coimbatore,24-04-2014,Sridharan -s,IND,40,Male,10th,GEN,140000,0,
Bihar,Nalanda,17-04-2014,Bhola Sao,KRANTIKARI VIKAS DAL,52,Male,Literate,GEN,140000,0,
Uttar Pradesh,Shahjahanpur,17-04-2014,Kishan Lal,LOK DAL,54,Male,8th,GEN,140000,0,
Bihar,Gaya,10-04-2014,Niranjan Kumar,CPIMLL,40,Male,Graduate,GEN,140000,2,
Bihar,Begusarai,30-04-2014,Mohammad Javed,IND,44,Male,Literate,GEN,139052,0,
Maharashtra,Hingoli,17-04-2014,Satav Raju Shankar,IND,38,Male,Literate,GEN,139000,1,
Maharashtra,Amravati,10-04-2014,Jyoti Gajanan Makode,AMBEDKARITE PARTY OF INDIA,39,Female,10th,GEN,139000,0,
Bihar,Hajipur,07-05-2014,Suresha Paswan,IND,48,Male,10th,GEN,138834,0,
West Bengal,Coochbehar,17-04-2014,Kamal Krishna Bairagi,RASHTRIYA JANADHIKAR SURAKSHA PARTY,47,Male,10th,GEN,138800,0,
West Bengal,Howrah,30-04-2014,Mrityunjay Sarkar,IND,39,Male,8th,GEN,138652,0,
Bihar,Hajipur,07-05-2014,Vifiya Devi Urf Vikiya Devi,IND,30,Female,Literate,GEN,138000,0,
Tamil Nadu,Tiruchirappalli,24-04-2014,Ravip,AAP,59,Male,Post Graduate,GEN,137774,1,
Maharashtra,Nagpur,10-04-2014,Ajaj Julmoin Khan Ajaj Khan,IND,46,Male,12th,GEN,137000,1,
Chhattisgarh,Durg,24-04-2014,Alfraid Vikas Luis,IND,29,Male,Graduate,GEN,136000,0,
Tamil Nadu,Namakkal,24-04-2014,Vadivelr,ULZAIPALI MAKKAL KATCHY,48,Male,12th,GEN,136000,0,
Orissa,Cuttack,17-04-2014,Pramod Kumar Mallick,BSP,40,Male,Graduate,GEN,136000,0,#77968E
Punjab,Jalandhar,30-04-2014,Vivek,IND,34,Male,10th,GEN,135500,0,
Andhra Pradesh,Guntur,07-05-2014,Emani Chandra Sekhar Rao,NAVODYAM PARTY,47,Male,Graduate,GEN,135000,0,
Andhra Pradesh,Nellore,07-05-2014,Panditi Subbaiah,IND,42,Male,10th,GEN,135000,0,
Bihar,Saran,07-05-2014,Niraj Ram,BAHUJAN MUKTI PARTY,29,Male,Literate,GEN,135000,0,
Uttar Pradesh,Bareilly,17-04-2014,Javed Khan,IND,31,Male,Literate,GEN,135000,3,
Maharashtra,Nashik,24-04-2014,Maksud Iliyas Khan,IND,38,Male,10th,GEN,134285,1,
Gujarat,Porbandar,30-04-2014,Unadakat Prakash Valabhadas,IND,48,Male,10th,GEN,134100,0,
Tamil Nadu,Ramanathapuram,24-04-2014,Gokila K,IND,30,Female,Post Graduate,GEN,134022,0,
Maharashtra,Solapur,17-04-2014,Sunita Vijaykumar Ughade,IND,35,Female,Literate,GEN,133900,0,
Gujarat,Gandhinagar,30-04-2014,Pagi Ganpatbhai Mavjibhai,IND,46,Male,12th,GEN,133796,0,
Maharashtra,Yavatmal-washim,10-04-2014,Meshram Dnyaneshwar Tukaram,IND,37,Male,Graduate,GEN,133000,0,
Maharashtra,Wardha,10-04-2014,Bhaskar Marotrao Neware,IND,37,Male,Post Graduate,GEN,132798,0,
Uttar Pradesh,Gorakhpur,12-05-2014,Subash Kumar Maurya,RASHTRIYA JANWADI PARTY KRANTIKARI,35,Male,10th,GEN,132160,0,
West Bengal,Asansol,07-05-2014,Md Reyazuddin,IUML,46,Male,12th,GEN,132000,0,
Punjab,Khadoor Sahib,30-04-2014,Kawaljit Singh,IND,29,Male,10th,GEN,132000,0,
West Bengal,Hooghly,30-04-2014,Sanghamitra Mukherjee,RASHTRIYA JANASACHETAN PARTY RJP,33,Female,12th,GEN,132000,0,
Haryana,Sirsa,10-04-2014,Surender Kumar,IND,36,Male,12th,GEN,131500,0,
Kerala,Palakkad,10-04-2014,Pradeep,IND,30,Male,10th,GEN,131500,0,
Madhya Pradesh,Guna,17-04-2014,Lalli Ram Rai,IND,45,Male,Illiterate,GEN,131000,0,
Tamil Nadu,Tiruppur,24-04-2014,Tssenthilkumar,IND,29,Male,10th,GEN,130600,0,
Maharashtra,Jalgaon,24-04-2014,Deshmukh Iqbal A Rehman,IND,47,Male,5th,GEN,130500,0,
Bihar,Valmiki Nagar,12-05-2014,Dravyan Uraon,IND,26,Male,Graduate,GEN,130263,0,
Haryana,Bhiwani-mahendragarh,10-04-2014,Mahavir Singh,IND,56,Male,12th,GEN,130100,0,
Madhya Pradesh,Shahdol,10-04-2014,Lala Kol,IND,47,Male,8th,GEN,130100,0,
Uttar Pradesh,Domariyaganj,12-05-2014,Santram,BHARATIYA RASHTRIYA BAHUJAN SAMAJ VIKAS PARTY,55,Male,Literate,GEN,130000,0,
Andhra Pradesh,Nizamabad,30-04-2014,Chirulingadrulu Venkatesham,IND,40,Male,12th,GEN,130000,0,
Dadra Nagar Haveli,Dadra Nagar Haveli,30-04-2014,Umedbhai L Patel,BAHUJAN MUKTI PARTY,47,Male,10th,GEN,130000,0,
Madhya Pradesh,Indore,24-04-2014,Ramchandr Parmar,BAHUJAN MUKTI PARTY,55,Male,10th,GEN,130000,2,
Karnataka,Chamarajanagar,17-04-2014,Ananda G,IND,29,Male,Others,GEN,130000,0,
Bihar,Aurangabad,10-04-2014,Santosh Kumar,BSP,45,Male,Graduate,GEN,130000,2,#77968E
Tamil Nadu,Pollachi,24-04-2014,Rajendran M,IND,47,Male,12th,GEN,129378,0,
Gujarat,Surendranagar,30-04-2014,Makwana Vasharambhai Karshanbhai,IND,37,Male,Post Graduate,GEN,129000,0,
Maharashtra,Mumbai North West,24-04-2014,Sonkamble Gajanan Tukaram,IND,29,Male,12th,GEN,128100,0,
Karnataka,Bijapur,17-04-2014,Siddappa Ganji,IND,61,Male,12th,GEN,128000,0,
Haryana,Faridabad,10-04-2014,Laxman,IND,37,Male,Not Given,GEN,127600,0,
Chhattisgarh,Korba,24-04-2014,Laxman Lal Kaiwart,CHHATTISGARHIYA PARTY,44,Male,12th,GEN,127580,0,
Orissa,Cuttack,17-04-2014,Binapani Das,SUCIC,63,Female,12th,GEN,127124,0,
Uttar Pradesh,Amethi,07-05-2014,Swaminath,IND,32,Male,Not Given,GEN,127000,0,
Maharashtra,Sangli,17-04-2014,Siddha Shivappa Bhosale,IND,48,Male,5th,GEN,126813,0,
Uttar Pradesh,Bulandshahr,10-04-2014,Suresh,JAI MAHA BHARATH PARTY,44,Male,8th,GEN,126500,0,
Uttar Pradesh,Lalganj,12-05-2014,Dinesh,ASANKHYA SAMAJ PARTY,34,Male,12th,GEN,126322,0,
Uttar Pradesh,Muzaffarnagar,10-04-2014,Naseem Ahmad Ansari,IND,55,Male,Literate,GEN,126110,0,
Gujarat,Navsari,30-04-2014,Vimal Patel Endhal,IND,30,Male,12th,GEN,126000,0,
Uttar Pradesh,Agra,24-04-2014,Vinod Kumar Singh,IND,56,Male,Post Graduate,GEN,126000,0,
Jharkhand,Ranchi,17-04-2014,Vikas Chandra Sharma,CPIML RED STAR,34,Male,Post Graduate,GEN,126000,0,
Uttar Pradesh,Kushi Nagar,12-05-2014,Jahid,SUHELDEV BHARTIYA SAMAJ PARTY,37,Male,12th,GEN,125000,0,
Tamil Nadu,Tiruvannamalai,24-04-2014,Aruljothi A,IND,34,Female,Graduate,GEN,125000,0,
Maharashtra,Bhandara-gondiya,10-04-2014,Vishal Arvind Bhoyar,IND,27,Male,Post Graduate,GEN,124600,0,
Andhra Pradesh,Ongole,07-05-2014,Bellamkonda Venkata Rao,IND,46,Male,5th,GEN,124000,0,
Jammu Kashmir,Ladakh,07-05-2014,Ghulam Raza,IND,50,Male,Graduate,GEN,123766,0,
Maharashtra,Jalna,24-04-2014,Ad Mahesh Vitthalrao Kharat,IND,41,Male,Post Graduate,GEN,123000,0,
Tamil Nadu,Tenkasi,24-04-2014,Gunasekarank,TAMIL NADU MAKKAL CONGRESS,42,Male,10th,GEN,123000,0,
Uttar Pradesh,Bansgaon,12-05-2014,Ram Naresh,INDIAN SAVARN SAMAJ PARTY,50,Male,Literate,GEN,122650,1,
West Bengal,Kolkata Dakshin,12-05-2014,Omprakash Prajapati,BSP,32,Male,10th,GEN,122607,1,#77968E
Tamil Nadu,Kancheepuram,24-04-2014,Maragatham M,IND,37,Male,8th,GEN,122000,0,
Chhattisgarh,Raigarh,24-04-2014,Dhananjay Rathiya,IND,27,Male,10th,GEN,121000,0,
Bihar,Jamui,10-04-2014,Manoj Kumar Manjhi,IND,32,Male,12th,GEN,121000,0,
Andhra Pradesh,Hindupur,07-05-2014,Canand Kumar,PYRAMID PARTY OF INDIA,28,Male,Post Graduate,GEN,120000,0,
Andhra Pradesh,Karimnagar,30-04-2014,Srinivas Reddy Lingampally,IND,41,Male,12th,GEN,120000,0,
