AC_NO,AC_NAME,NAME,#,ST_CD,ST_NAME,VOTES,YEAR,polled_votes,vote_percent,PARTY,a_constituency,District,p_constituency,Male_voters,Female_voters,Other_voters,Region
7,Hukkeri ,MANJUNATH.B.GADDENNAVAR,7,S10,Karnataka,189,2023,167903,0.11,AAP,Hukkeri,Belgaum,Chikkodi,98511,96367,10,Mumbai Karnataka
7,Hukkeri ,GHATIGEPPA MALLAPPA MAGADUM,8,S10,Karnataka,170,2023,167903,0.1,BBP,Hukkeri,Belgaum,Chikkodi,98511,96367,10,Mumbai Karnataka
7,Hukkeri ,PUNDALIK KEMPANNA KULLUR,4,S10,Karnataka,754,2023,167903,0.45,IND,Hukkeri,Belgaum,Chikkodi,98511,96367,10,Mumbai Karnataka
7,Hukkeri ,NOTA,3,S10,Karnataka,1168,2023,167903,0.7,NOTA,Hukkeri,Belgaum,Chikkodi,98511,96367,10,Mumbai Karnataka
8,Arabhavi ,ARVIND MAHADEVARAO DALWAI,3,S10,Karnataka,23956,2023,190105,12.6,INC,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
8,Arabhavi ,IJAJAHMAD I KOTTALAGI,11,S10,Karnataka,454,2023,190105,0.24,AAP,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
8,Arabhavi ,PRAKASH RAMAPPA KALASHETTI,4,S10,Karnataka,1217,2023,190105,0.64,JDS,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
8,Arabhavi ,BASAVANTH IRAPPA VADER,7,S10,Karnataka,704,2023,190105,0.37,BSP,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
8,Arabhavi ,BALACHANDRA LAXMANRAO JARKIHOLI,1,S10,Karnataka,115402,2023,190105,60.7,BJP,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
8,Arabhavi ,GULAPPA BASALINGAPPA METI,8,S10,Karnataka,698,2023,190105,0.37,SKP,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
8,Arabhavi ,SHIVANAND VENKATARAO DESAI,14,S10,Karnataka,273,2023,190105,0.14,KRS,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
8,Arabhavi ,ASHOK  PANDAPPA  HANAJI,13,S10,Karnataka,311,2023,190105,0.16,IND,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
8,Arabhavi ,GURUPUTRA KEMPANNA KULLUR,10,S10,Karnataka,485,2023,190105,0.26,IND,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
8,Arabhavi ,BASAPPA SHIVAPPA NAGANUR,6,S10,Karnataka,919,2023,190105,0.48,IND,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
8,Arabhavi ,BHIMAPPA GUNDAPPA GADAD,2,S10,Karnataka,43862,2023,190105,23.07,IND,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
8,Arabhavi ,SIDDAPPA YALLAPPA HOSUR,9,S10,Karnataka,556,2023,190105,0.29,IND,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
8,Arabhavi ,SUDHA ALLAMPRABHU HIREMATH,12,S10,Karnataka,338,2023,190105,0.18,IND,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
8,Arabhavi ,NOTA,5,S10,Karnataka,930,2023,190105,0.49,NOTA,Arabhavi,Belgaum,Belgaum,116034,115816,14,Mumbai Karnataka
9,Gokak ,J. M. KAREPPAGOL,5,S10,Karnataka,779,2023,190390,0.41,AAP,Gokak,Belgaum,Belgaum,120154,122232,16,Mumbai Karnataka
9,Gokak ,KADADI  MAHANTESH KALLAPPA,2,S10,Karnataka,79901,2023,190390,41.97,INC,Gokak,Belgaum,Belgaum,120154,122232,16,Mumbai Karnataka
9,Gokak ,JARKIHOLI RAMESH LAXMANRAO,1,S10,Karnataka,105313,2023,190390,55.31,BJP,Gokak,Belgaum,Belgaum,120154,122232,16,Mumbai Karnataka
9,Gokak ,B. LOHIT,6,S10,Karnataka,748,2023,190390,0.39,BSP,Gokak,Belgaum,Belgaum,120154,122232,16,Mumbai Karnataka
9,Gokak ,JAGADEESH C. K.,11,S10,Karnataka,162,2023,190390,0.09,SPI,Gokak,Belgaum,Belgaum,120154,122232,16,Mumbai Karnataka
9,Gokak ,SURESH PATTANSHETTI,8,S10,Karnataka,348,2023,190390,0.18,UPP,Gokak,Belgaum,Belgaum,120154,122232,16,Mumbai Karnataka
9,Gokak ,HANAMANTH SHIVAPPA NAGANUR,10,S10,Karnataka,243,2023,190390,0.13,SKP,Gokak,Belgaum,Belgaum,120154,122232,16,Mumbai Karnataka
9,Gokak ,PUNDALIK KEMPANNA KULLUR,9,S10,Karnataka,295,2023,190390,0.15,IND,Gokak,Belgaum,Belgaum,120154,122232,16,Mumbai Karnataka
9,Gokak ,BHIMASHI NAIK,4,S10,Karnataka,966,2023,190390,0.51,IND,Gokak,Belgaum,Belgaum,120154,122232,16,Mumbai Karnataka
9,Gokak ,SURESH BASAPPA MARALINGANNAVAR,7,S10,Karnataka,575,2023,190390,0.3,IND,Gokak,Belgaum,Belgaum,120154,122232,16,Mumbai Karnataka
9,Gokak ,NOTA,3,S10,Karnataka,1060,2023,190390,0.56,NOTA,Gokak,Belgaum,Belgaum,120154,122232,16,Mumbai Karnataka
10,Yemkanmardi ,BASAVARAJ HUNDRI,2,S10,Karnataka,43079,2023,166446,25.88,BJP,Yemkanmardi,Belgaum,Chikkodi,94896,93373,10,Mumbai Karnataka
10,Yemkanmardi ,ASTAGI MARUTI MALLAPPA,3,S10,Karnataka,19567,2023,166446,11.76,JDS,Yemkanmardi,Belgaum,Chikkodi,94896,93373,10,Mumbai Karnataka
10,Yemkanmardi ,SATISH LAXMANARAO JARKIHOLI,1,S10,Karnataka,100290,2023,166446,60.25,INC,Yemkanmardi,Belgaum,Chikkodi,94896,93373,10,Mumbai Karnataka
10,Yemkanmardi ,MARUTI TIPPANNA NAIK,4,S10,Karnataka,2052,2023,166446,1.23,IND,Yemkanmardi,Belgaum,Chikkodi,94896,93373,10,Mumbai Karnataka
10,Yemkanmardi ,SHIVANAND LAXMAN SAMMAKKANAVAR,6,S10,Karnataka,462,2023,166446,0.28,IND,Yemkanmardi,Belgaum,Chikkodi,94896,93373,10,Mumbai Karnataka
10,Yemkanmardi ,NOTA,5,S10,Karnataka,996,2023,166446,0.6,NOTA,Yemkanmardi,Belgaum,Chikkodi,94896,93373,10,Mumbai Karnataka
11,Belgaum Uttar ,Asif (Raju) Sait,1,S10,Karnataka,69184,2023,149478,46.28,INC,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,DR. RAVI B. PATIL,2,S10,Karnataka,64953,2023,149478,43.45,BJP,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,Rajkumar Topannavar,5,S10,Karnataka,542,2023,149478,0.36,AAP,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,Shivanand M Mugalihal,6,S10,Karnataka,527,2023,149478,0.35,JDS,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,Dilashad W/o Sikandar Tashiladar,13,S10,Karnataka,91,2023,149478,0.06,RPI,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,Praveen Basavaraj Hiremath,11,S10,Karnataka,124,2023,149478,0.08,KRPP,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
11,Belgaum Uttar ,Basavaraj  Muragesh Jarali,14,S10,Karnataka,90,2023,149478,0.06,KRS,Belgaum Uttar,Belgaum,Belgaum,117761,117311,26,Mumbai Karnataka
