tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***90100,20120101,2,PARK OVER 3 HOURS,15,2209,NR,193 CRAIGHURST AVE,,,ON
***98072,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2209,NR,37 MAITLAND ST,,,ON
***65096,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2210,NR,127 HAZELWOOD AVE,,,ON
***75980,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2211,AT,373 FRONT ST W,,,ON
***90101,20120101,2,PARK OVER 3 HOURS,15,2211,OPP,208 CRAIGHURST AVE,,,ON
***90102,20120101,2,PARK OVER 3 HOURS,15,2211,OPP,208 CRAIGHURST AVE,,,ON
***63895,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2212,NR,75 PORTLAND ST,,,ON
***65097,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2212,NR,107 HAZELWOOD AVE,,,ON
***99969,20120101,5,PARK-HWY DRNG PROH TIMES/DAYS,40,2212,NR,296 RICHMOND ST W,,,ON
***65098,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2214,NR,39 HAZELWOOD AVE,,,ON
***90103,20120101,2,PARK OVER 3 HOURS,15,2214,NR,182 CRAIGHURST AVE,,,ON
***98073,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2214,NR,80 GLOUCESTER ST,,,ON
***90104,20120101,2,PARK OVER 3 HOURS,15,2215,NR,166 CRAIGHURST AVE,,,ON
***98074,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2215,NR,100 GLOUCESTER ST,,,ON
***90105,20120101,2,PARK OVER 3 HOURS,15,2216,NR,136 CRAIGHURST AVE,,,ON
***98075,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2216,NR,100 GLOUCESTER ST,,,ON
***99970,20120101,8,STD VEH HWY PROHIB TIME/DAY,60,2217,NR,238 WELLINGTON ST W,,,AB
***90106,20120101,2,PARK OVER 3 HOURS,15,2218,NR,132 CRAIGHURST AVE,,,ON
***90107,20120101,2,PARK OVER 3 HOURS,15,2219,OPP,123 CRAIGHURST AVE,,,ON
***90108,20120101,2,PARK OVER 3 HOURS,15,2220,OPP,119 CRAIGHURST AVE,,,ON
***90109,20120101,2,PARK OVER 3 HOURS,15,2221,NR,106 CRAIGHURST AVE,,,ON
***90110,20120101,2,PARK OVER 3 HOURS,15,2222,NR,104 CRAIGHURST AVE,,,ON
***90111,20120101,2,PARK OVER 3 HOURS,15,2222,OPP,97 CRAIGHURST AVE,,,ON
***99971,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,2223,NR,65 BREMNER BLVD,,,ON
***45734,20120101,16,PARK 9M OF INTERSCTING HIGHWAY,40,2226,NR,146 JOHN GARLAND BLVD,,,ON
***08876,20120101,30,STOP ON/OVER SIDEWALK/FOOTPATH,60,2230,NR,44 SUMMERHILL GDNS,,,ON
***08877,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2235,NR,86 WOODLAWN AVE E,,,ON
***98584,20120101,8,STD VEH HWY PROHIB TIME/DAY,60,2241,NR,2 ELM ST,,,ON
***98585,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2243,NR,20 EDWARD ST,,,ON
***99972,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2245,S/S,BREMNER BLVD,W/O,YORK ST,ON
***86645,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2255,Other,2 SECORD AVE,,,ON
***98586,20120101,29,PARK PROHIBITED TIME NO PERMIT,30,2256,NR,11 ST JOSEPH ST,,,ON
***99973,20120101,192,STAND SIGNED TRANSIT STOP,60,2256,NR,240 QUEEN ST W,,,MI
***99974,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2258,NR,367 QUEEN ST W,,,ON
***08259,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2301,Other,15 BRUYERES MEWS,,,ON
***99975,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2302,NR,265 QUEEN ST W,,,ON
***20592,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2305,Other,70 JOH GARLAND BLVD,,,ON
***20593,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2308,Other,70 JOH GARLAND BLVD,,,ON
***20594,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2311,Other,70 JOHN GARLAND BLVD,,,ON
***20595,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2312,Other,70 JOHN GARLAND BLVD,,,ON
***99976,20120101,8,STAND VEH-HWY-PROH TIME/DAYS,60,2313,E/S,UNIVERSITY AVE,N/O,QUEEN ST W,ON
***20596,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2314,Other,70 JOHN GARLAND BLVD,,,ON
***20597,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2315,Other,70 JOHN GARLAND BLVD,,,ON
***20598,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2317,Other,70 JOHN GARLAND BLVD,,,ON
***20599,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2319,Other,70 JOHN GARLAND BLVD,,,ON
***57422,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,2319,NR,1673 BLOOR ST W,,,ON
***57423,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,2323,NR,1643 BLOOR ST W,,,ON
***57424,20120101,9,STOP HWY PROHIBITED TIME/DAY,60,2324,NR,1657 BLOOR ST W,,,ON
***99977,20120101,5,PARK-HWY DRNG PROH TIMES/DAYS,40,2324,NR,312 ADELAIDE ST W,,,ON
***14285,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2325,Other,3939 LAWRENCE AV E,,,ON
***30665,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2329,E/S,BORDEN ST,N/O,COLLEGE ST,ON
***37230,20120101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,2330,Other,271 GRAND RAVINE DR,,,ON
***30666,20120101,5,PARK HWY PROHIBED TIME/DAY,40,2330,E/S,BORDEN ST,N/O,COLLEGE ST,ON
