#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
4,Thoubal ,31,None Of The Above,NOTA,143,2017,27271,0.52
1,Wangkhem ,32,Keisham Meghachandra Singh,INC,11293,2017,28578,39.52
2,Wangkhem ,32,Yumnam Nabachandra Singh,NEP,8413,2017,28578,29.44
3,Wangkhem ,32,Oinam Haridas Singh,BJP,4573,2017,28578,16
4,Wangkhem ,32,Kangabam Jadu Singh,LJP,3986,2017,28578,13.95
6,Wangkhem ,32,Laishram Thanil Meitei,NPP,136,2017,28578,0.48
5,Wangkhem ,32,None Of The Above,NOTA,177,2017,28578,0.62
1,Heirok ,33,Thokchom Radheshyam Singh,BJP,13389,2017,28715,46.63
2,Heirok ,33,Moirangthem Okendro,INC,11742,2017,28715,40.89
3,Heirok ,33,Ningthoujam Diten,NCP,3321,2017,28715,11.57
5,Heirok ,33,Moirangthem Totomsana,AITC,85,2017,28715,0.3
6,Heirok ,33,Nongmeikapam Sovakiran Singh,MPP,84,2017,28715,0.29
4,Heirok ,33,None Of The Above,NOTA,94,2017,28715,0.33
1,Wangjing Tentha ,34,Paonam Brojen Singh,INC,12830,2017,29585,43.37
2,Wangjing Tentha ,34,Moirangthem Hemanta,BJP,10967,2017,29585,37.07
3,Wangjing Tentha ,34,Haobam Robindro Singh,CPI,5562,2017,29585,18.8
4,Wangjing Tentha ,34,Sagolsem Ibochoubi Singh,MNDF,121,2017,29585,0.41
5,Wangjing Tentha ,34,None Of The Above,NOTA,105,2017,29585,0.35
1,Khangabok ,35,Surjakumar Okram,INC,20781,2017,32359,64.22
2,Khangabok ,35,Thokchom Jadumani Singh,BJP,11329,2017,32359,35.01
4,Khangabok ,35,Haji Asraf Ali,NPP,116,2017,32359,0.36
3,Khangabok ,35,None Of The Above,NOTA,133,2017,32359,0.41
1,Wabgai ,36,Md. Fajur Rahim,INC,12474,2017,27622,45.16
2,Wabgai ,36,Dr. Usham Deben Singh,BJP,7713,2017,27622,27.92
3,Wabgai ,36,Mayengbam Ranjit Singh,NEP,5264,2017,27622,19.06
4,Wabgai ,36,Md. Abdul Samad,MNDF,1695,2017,27622,6.14
5,Wabgai ,36,Mohammad Habibur Rahman,NPP,326,2017,27622,1.18
7,Wabgai ,36,Najima Bibi,PRA,33,2017,27622,0.12
6,Wabgai ,36,None Of The Above,NOTA,117,2017,27622,0.42
1,Kakching ,37,Yengkhom Surchandra Singh,INC,11133,2017,24100,46.2
2,Kakching ,37,M. Rameshwar Singh (Ramay),BJP,10503,2017,24100,43.58
3,Kakching ,37,Naorem Achouba,CPI,2215,2017,24100,9.19
4,Kakching ,37,None Of The Above,NOTA,249,2017,24100,1.03
1,Hiyanglam ,38,Dr. Radheshyam Yumnam,BJP,13394,2017,25190,53.17
2,Hiyanglam ,38,Elangbam Dwijamani Singh,INC,11669,2017,25190,46.32
3,Hiyanglam ,38,None Of The Above,NOTA,127,2017,25190,0.5
1,Sugnu ,39,Kangujam Ranjit Singh,INC,13331,2017,23725,56.19
2,Sugnu ,39,Yumnam Jiban Singh,BJP,10198,2017,23725,42.98
3,Sugnu ,39,None Of The Above,NOTA,196,2017,23725,0.83
1,Jiribam ,40,Ashab Uddin,IND,8189,2017,22940,35.7
2,Jiribam ,40,Thoudam Debendra Singh,INC,6539,2017,22940,28.5
3,Jiribam ,40,Thounaojam Ranabir Singh,BJP,3199,2017,22940,13.95
4,Jiribam ,40,A. Biren Singh,NEP,2812,2017,22940,12.26
5,Jiribam ,40,Mathiudin Kamei,NPF,1163,2017,22940,5.07
6,Jiribam ,40,Habib Ali,NPP,649,2017,22940,2.83
7,Jiribam ,40,None Of The Above,NOTA,389,2017,22940,1.7
1,Chandel,41,Letpao Haokip,NPP,14216,2017,42336,33.58
2,Chandel,41,Ts Warngam,IND,12091,2017,42336,28.56
3,Chandel,41,S.S. Olish,BJP,9842,2017,42336,23.25
4,Chandel,41,Bd. Behring Anal,PDA,3044,2017,42336,7.19
5,Chandel,41,St. Victor Nunghlung,NPF,1574,2017,42336,3.72
6,Chandel,41,Chungjalen Haokip,INC,1185,2017,42336,2.8
7,Chandel,41,Thangkholun Haokip,AITC,221,2017,42336,0.52
8,Chandel,41,None Of The Above,NOTA,163,2017,42336,0.39
1,Tengnoupal,42,D. Korungthang,INC,16940,2017,41689,40.63
2,Tengnoupal,42,Yangkholet Haokip,BJP,12284,2017,41689,29.47
3,Tengnoupal,42,Khulpuwa Armstrong Charang,NPF,11015,2017,41689,26.42
4,Tengnoupal,42,Kh David Maring,NPP,1300,2017,41689,3.12
5,Tengnoupal,42,None Of The Above,NOTA,150,2017,41689,0.36
1,Phungyar,43,K. Leishiyo,NPF,11900,2017,24956,47.68
2,Phungyar,43,Somi Awungshi,BJP,7122,2017,24956,28.54
3,Phungyar,43,Victor Keishing,INC,5313,2017,24956,21.29
4,Phungyar,43,A.S. Hopingson,IND,452,2017,24956,1.81
5,Phungyar,43,M.K. Phungreiyo,AITC,97,2017,24956,0.39
6,Phungyar,43,None Of The Above,NOTA,72,2017,24956,0.29
1,Ukhrul,44,Alfred Kanngam Arthur,INC,11510,2017,32078,35.88
2,Ukhrul,44,Somatai Shaiza,BJP,11214,2017,32078,34.96
3,Ukhrul,44,Samuel Risom,NPF,8883,2017,32078,27.69
4,Ukhrul,44,Worthington Mahung,LJP,310,2017,32078,0.97
5,Ukhrul,44,Letsei Haokip,AITC,115,2017,32078,0.36
6,Ukhrul,44,None Of The Above,NOTA,46,2017,32078,0.14
1,Chingai,45,Khashim Vashum,NPF,16582,2017,32071,51.7
2,Chingai,45,Sword Vashum,BJP,8932,2017,32071,27.85
3,Chingai,45,Preshow M.K Shimray,INC,6370,2017,32071,19.86
4,Chingai,45,N.K. Shimray,NEP,157,2017,32071,0.49
5,Chingai,45,None Of The Above,NOTA,30,2017,32071,0.09
1,Saikul,46,Yamthong Haokip,INC,8677,2017,29322,29.59
2,Saikul,46,Chungkhokai Doungel,NCP,5416,2017,29322,18.47
3,Saikul,46,Paojalet Touthang,BJP,4439,2017,29322,15.14
4,Saikul,46,Doukhomang Khongsai,NEP,4008,2017,29322,13.67
5,Saikul,46,Ch. Ajang Khongsai,NPP,2993,2017,29322,10.21
6,Saikul,46,Thangjamang Haokip,LJP,2803,2017,29322,9.56
7,Saikul,46,L. Samuel Kom,RPA,464,2017,29322,1.58
8,Saikul,46,Mangvung Thangboi Haokip,NPF,304,2017,29322,1.04
9,Saikul,46,Letjam Singson,MNDF,67,2017,29322,0.23
10,Saikul,46,Horngam Keishing,AITC,61,2017,29322,0.21
11,Saikul,46,Kenn Raikhan,IND,45,2017,29322,0.15
11,Saikul,46,None Of The Above,NOTA,45,2017,29322,0.15
1,Karong,47,D.D. Thaisii,INC,14038,2017,44096,31.84
2,Karong,47,R. Yuh Jonathan Tao,BJP,9745,2017,44096,22.1
3,Karong,47,Thaiba Sanii,IND,7322,2017,44096,16.6
4,Karong,47,Solomon Vieno,IND,6553,2017,44096,14.86
5,Karong,47,Dr. V. Alexander Pao,NPF,5342,2017,44096,12.11
6,Karong,47,T.K. Savanai,LJP,951,2017,44096,2.16
7,Karong,47,None Of The Above,NOTA,145,2017,44096,0.33
1,Mao,48,Losii Dikho,NPF,25933,2017,49216,52.69
2,Mao,48,Woba Joram,BJP,10519,2017,49216,21.37
3,Mao,48,P.T. Arhai,INC,7604,2017,49216,15.45
4,Mao,48,R. Haba Pao,IND,5101,2017,49216,10.36
5,Mao,48,None Of The Above,NOTA,59,2017,49216,0.12
1,Tadubi,49,N. Kayisii,NPP,17115,2017,40757,41.99
2,Tadubi,49,M. Francis Ngajokpa,BJP,15816,2017,40757,38.81
3,Tadubi,49,K. Raina,NPF,6614,2017,40757,16.23
4,Tadubi,49,Dilungheing,LJP,354,2017,40757,0.87
5,Tadubi,49,L. Hingba Thomas,MNDF,330,2017,40757,0.81
6,Tadubi,49,R.S. Henry Hiilii,INC,305,2017,40757,0.75
7,Tadubi,49,None Of The Above,NOTA,223,2017,40757,0.55
1,Kangpokpi ,50,Nemcha Kipgen,BJP,13485,2017,26065,51.74
2,Kangpokpi ,50,Kharga Tamang,IND,11188,2017,26065,42.92
3,Kangpokpi ,50,Athikho Solomon Enah,NPF,875,2017,26065,3.36
5,Kangpokpi ,50,Soshim Keishing,NCP,228,2017,26065,0.87
4,Kangpokpi ,50,None Of The Above,NOTA,289,2017,26065,1.11
1,Saitu,51,Ngamthang Haokip,INC,19467,2017,36393,53.49
2,Saitu,51,Haokholet Kipgen,BJP,15650,2017,36393,43
3,Saitu,51,Sehpu Haokip,NPF,1166,2017,36393,3.2
4,Saitu,51,None Of The Above,NOTA,110,2017,36393,0.3
1,Tamei,52,Awangbow Newmai,NPF,15933,2017,32295,49.34
2,Tamei,52,Z. Kikhonbou Newmai,BJP,15186,2017,32295,47.02
3,Tamei,52,G.N. Kumuiteung (Dr. Aku),INC,1136,2017,32295,3.52
4,Tamei,52,None Of The Above,NOTA,40,2017,32295,0.12
1,Tamenglong,53,Samuel Jendai Kamei,BJP,13023,2017,24371,53.44
2,Tamenglong,53,Janghemlung Panmei,NPF,11019,2017,24371,45.21
3,Tamenglong,53,Jangamlung Panmei,INC,215,2017,24371,0.88
4,Tamenglong,53,None Of The Above,NOTA,114,2017,24371,0.47
1,Nungba,54,Gaikhangam,INC,10255,2017,19659,52.16
2,Nungba,54,Adim Pamei,BJP,5108,2017,19659,25.98
3,Nungba,54,Pou Mathiupuang Gonmei,LJP,4111,2017,19659,20.91
4,Nungba,54,Kamei William Kabui,AITC,110,2017,19659,0.56
5,Nungba,54,None Of The Above,NOTA,75,2017,19659,0.38
1,Tipaimukh,55,Dr. Chaltonlien Amo,INC,4997,2017,11798,42.35
2,Tipaimukh,55,Dr. Lallukhum Fimate,BJP,4371,2017,11798,37.05
3,Tipaimukh,55,Ngursanglur Sanate,NPP,2167,2017,11798,18.37
4,Tipaimukh,55,Ngurrivung,IND,132,2017,11798,1.12
5,Tipaimukh,55,Thangthatling Sinate,IND,106,2017,11798,0.9
6,Tipaimukh,55,None Of The Above,NOTA,25,2017,11798,0.21
1,Thanlon,56,Vungzagin Valte,BJP,9752,2017,13687,71.25
2,Thanlon,56,Chinkholal Thangsing,INC,2583,2017,13687,18.87
3,Thanlon,56,Thangkhangin,LJP,795,2017,13687,5.81
4,Thanlon,56,T. Nengzakham Tombing,NPP,413,2017,13687,3.02
5,Thanlon,56,P. Khamsanglian,IND,107,2017,13687,0.78
6,Thanlon,56,None Of The Above,NOTA,37,2017,13687,0.27
1,Henglep,57,T. Thangzalam Haokip,BJP,8438,2017,23782,35.48
2,Henglep,57,T. Manga Vaiphei,INC,8170,2017,23782,34.35
3,Henglep,57,Letzamang Haokip,NPP,5146,2017,23782,21.64
4,Henglep,57,Mangcha Gangte,MNDF,1303,2017,23782,5.48
5,Henglep,57,Thongzamlien,NPF,547,2017,23782,2.3
6,Henglep,57,Dr. Jainson Haokip,AITC,107,2017,23782,0.45
7,Henglep,57,None Of The Above,NOTA,71,2017,23782,0.3
1,Churachandpur,58,V. Hangkhanlian,BJP,10246,2017,33840,30.28
2,Churachandpur,58,Phungzathang Tonsing,NPP,9632,2017,33840,28.46
3,Churachandpur,58,Paukhansuan Khuptong,NEP,6411,2017,33840,18.95
4,Churachandpur,58,Thangbiaklian Hangzo,RPA,3712,2017,33840,10.97
5,Churachandpur,58,Chintwahlian @ C.T. Lian Guite,IND,3040,2017,33840,8.98
6,Churachandpur,58,Haukhanthang,INC,535,2017,33840,1.58
7,Churachandpur,58,Dr. D.K. Mang,IND,156,2017,33840,0.46
8,Churachandpur,58,None Of The Above,NOTA,108,2017,33840,0.32
1,Saikot,59,T. N. Haokip,INC,16354,2017,33892,48.25
2,Saikot,59,Paokholal Haokip,BJP,11253,2017,33892,33.2
3,Saikot,59,Holkholun Lhungdim,LJP,6096,2017,33892,17.99
4,Saikot,59,None Of The Above,NOTA,189,2017,33892,0.56
1,Singhat,60,Ginsuanhau,INC,8131,2017,18335,44.35
2,Singhat,60,Chinlunthang,BJP,6969,2017,18335,38.01
3,Singhat,60,Henlianthang Thanglet,NPP,3124,2017,18335,17.04
4,Singhat,60,None Of The Above,NOTA,111,2017,18335,0.61
2,Khundrakpam,1,Thangjam Mohendro Singh,BJP,11996,2022,24911,48.16
1,Khundrakpam,1,Thokchom Lokeshwar Singh,INC,12211,2022,24911,49.02
3,Khundrakpam,1,Elangbam Sovid Singh,RPI(AT),497,2022,24911,2
5,Khundrakpam,1,Thangjam Shyam Singh,SHS,40,2022,24911,0.16
4,Khundrakpam,1,NOTA,NOTA,167,2022,24911,0.67
