NAME,VOTES,ST_NAME,AC_NAME,ST_CD,AC_NO,#,YEAR,PARTY
RAJDEEP KAUR,16421,Punjab,Fazilka,S19,80,2.0,2017,IND
SURJIT KUMAR JYANI,10734,Punjab,Fazilka,S19,80,3.0,2017,BJP
SAMARBIR SINGH SIDHU,6480,Punjab,Fazilka,S19,80,4.0,2017,AAP
KIRTI CHOUDHARY,1819,Punjab,Fazilka,S19,80,5.0,2017,APP
RAMESH KATARIA,1149,Punjab,Fazilka,S19,80,6.0,2017,IND
HARJEET SINGH,244,Punjab,Fazilka,S19,80,7.5,2017,BSP
RACHNA KATARIA,199,Punjab,Fazilka,S19,80,9.5,2017,IND
VINOD KUMAR,199,Punjab,Fazilka,S19,80,9.5,2017,IND
NAGINDER SINGH,185,Punjab,Fazilka,S19,80,11.0,2017,IND
GURJINDER SINGH,164,Punjab,Fazilka,S19,80,12.0,2017,IKL
SURYA PRAKASH,127,Punjab,Fazilka,S19,80,13.0,2017,IND
MAKHAN SINGH,85,Punjab,Fazilka,S19,80,14.0,2017,SADASSM
ARUN,83,Punjab,Fazilka,S19,80,15.0,2017,IND
KASHMIR SINGH,64,Punjab,Fazilka,S19,80,16.0,2017,IND
None of the Above,244,Punjab,Fazilka,S19,80,7.5,2017,NOTA
ARUN NARANG,29282,Punjab,Abohar,S19,81,1.0,2017,BJP
SUNIL JAKHAR,25478,Punjab,Abohar,S19,81,2.0,2017,INC
ATUL NAGPAL,6659,Punjab,Abohar,S19,81,3.0,2017,AAP
PRITHI RAJ,311,Punjab,Abohar,S19,81,5.0,2017,BSP
DILBAG SINGH,249,Punjab,Abohar,S19,81,6.0,2017,IND
NATHU RAM,241,Punjab,Abohar,S19,81,7.0,2017,IND
GURJANT SINGH,143,Punjab,Abohar,S19,81,8.0,2017,IND
ASHOK KUMAR,141,Punjab,Abohar,S19,81,9.0,2017,IND
RAM KUMAR,139,Punjab,Abohar,S19,81,10.0,2017,RMPI
SHIV LAL DODA,80,Punjab,Abohar,S19,81,11.0,2017,IND
AMIT DODA,51,Punjab,Abohar,S19,81,12.0,2017,IND
None of the Above,594,Punjab,Abohar,S19,81,4.0,2017,NOTA
NATHU RAM,25081,Punjab,Balluana ,S19,82,1.0,2017,INC
PARKASH SINGH BHATTI,20313,Punjab,Balluana ,S19,82,2.0,2017,SAD
SIMARJEET SINGH,11110,Punjab,Balluana ,S19,82,3.0,2017,AAP
GIRI RAJ RAJORA,453,Punjab,Balluana ,S19,82,5.0,2017,AITC
SATISH KUMAR,356,Punjab,Balluana ,S19,82,6.0,2017,BSP
GURMAIL SINGH,276,Punjab,Balluana ,S19,82,7.0,2017,NAIP
VINOD KUMAR,255,Punjab,Balluana ,S19,82,8.0,2017,IND
None of the Above,461,Punjab,Balluana ,S19,82,4.0,2017,NOTA
PARKASH SINGH,47128,Punjab,Lambi,S19,83,1.0,2017,SAD
AMARINDER SINGH,32498,Punjab,Lambi,S19,83,2.0,2017,INC
JARNAIL SINGH,17770,Punjab,Lambi,S19,83,3.0,2017,AAP
GURMEET SINGH RANGHRETA,521,Punjab,Lambi,S19,83,5.0,2017,PLP
BALJINDER SINGH,392,Punjab,Lambi,S19,83,6.0,2017,SADASSM
MANMANDER SINGH,307,Punjab,Lambi,S19,83,7.0,2017,APP
None of the Above,786,Punjab,Lambi,S19,83,4.0,2017,NOTA
AMRINDER SINGH @ RAJA WARRING,30352,Punjab,Gidderbaha,S19,84,1.0,2017,INC
HARDEEP SINGH @ DIMPY DHILLON,24468,Punjab,Gidderbaha,S19,84,2.0,2017,SAD
JAGDEEP SINGH,15306,Punjab,Gidderbaha,S19,84,3.0,2017,AAP
JAGRUP SINGH,524,Punjab,Gidderbaha,S19,84,4.0,2017,CPI
SHEELA RANI,266,Punjab,Gidderbaha,S19,84,6.0,2017,BSP
OM PARKASH,232,Punjab,Gidderbaha,S19,84,7.0,2017,IND
TEK SINGH,217,Punjab,Gidderbaha,S19,84,8.0,2017,NAIP
None of the Above,427,Punjab,Gidderbaha,S19,84,5.0,2017,NOTA
PRINCIPAL BALDEV SINGH,12176,Punjab,Malout,S19,85,1.0,2017,AAP
DARSHAN SINGH,11391,Punjab,Malout,S19,85,2.0,2017,SAD
AJAIB SINGH BHATTI,9882,Punjab,Malout,S19,85,3.0,2017,INC
SUKHDEV SINGH,294,Punjab,Malout,S19,85,4.0,2017,BSP
GURTEJ SINGH,281,Punjab,Malout,S19,85,5.0,2017,CPI
BALDEV SINGH,225,Punjab,Malout,S19,85,6.0,2017,IND
RESHAM SINGH,102,Punjab,Malout,S19,85,8.0,2017,IND
None of the Above,209,Punjab,Malout,S19,85,7.0,2017,NOTA
KANWARJIT SINGH,14476,Punjab,Muktsar ,S19,86,1.0,2017,SAD
KARAN KAUR,9318,Punjab,Muktsar ,S19,86,2.0,2017,INC
SUKHDARSHAN SINGH MRAR,8137,Punjab,Muktsar ,S19,86,3.0,2017,IND
"JAGDEEP SINGH ""KAKA BRAR""",7307,Punjab,Muktsar ,S19,86,4.0,2017,AAP
HARJIT SINGH,277,Punjab,Muktsar ,S19,86,5.0,2017,RMPI
BALJIT SINGH,183,Punjab,Muktsar ,S19,86,6.0,2017,IND
ASHOK KUMAR,153,Punjab,Muktsar ,S19,86,8.0,2017,BSP
RIPENDEEP KAUR,119,Punjab,Muktsar ,S19,86,9.0,2017,IND
ALWINDER SINGH,118,Punjab,Muktsar ,S19,86,10.0,2017,IND
RAJESH GARG,41,Punjab,Muktsar ,S19,86,11.0,2017,APP
None of the Above,182,Punjab,Muktsar ,S19,86,7.0,2017,NOTA
KUSALDEEP SINGH KIKI DHILLON,25105,Punjab,Faridkot ,S19,87,1.0,2017,INC
PARAMBANS SINGH BUNTY ROMANA,19252,Punjab,Faridkot ,S19,87,2.0,2017,SAD
GURDIT SINGH SEKHON,17476,Punjab,Faridkot ,S19,87,3.0,2017,AAP
GURBAX SINGH CHAUHAN,709,Punjab,Faridkot ,S19,87,4.0,2017,BSP
HARDIP SINGH KINGRA,257,Punjab,Faridkot ,S19,87,6.0,2017,APP
BUNTY,216,Punjab,Faridkot ,S19,87,7.0,2017,IND
PREM SINGH SAFRI,118,Punjab,Faridkot ,S19,87,8.0,2017,IND
RAVINDER PAL KAUR,114,Punjab,Faridkot ,S19,87,9.0,2017,DSP
DR. JIWAN JOT KAUR,109,Punjab,Faridkot ,S19,87,10.0,2017,IND
None of the Above,366,Punjab,Faridkot ,S19,87,5.0,2017,NOTA
KULTAR SINGH SANDHWAN,18179,Punjab,Kotkapura ,S19,88,1.0,2017,AAP
MANTAR SINGH BRAR,13308,Punjab,Kotkapura ,S19,88,2.0,2017,SAD
BHAI HARNIRPAL SINGH KUKKU,11930,Punjab,Kotkapura ,S19,88,3.0,2017,INC
AVTAR KRISHAN,668,Punjab,Kotkapura ,S19,88,4.0,2017,BSP
GURDEEP SINGH,250,Punjab,Kotkapura ,S19,88,6.0,2017,IND
SURINDER KUMAR DWIVEDI,238,Punjab,Kotkapura ,S19,88,7.0,2017,APP
JAGROOP SINGH,134,Punjab,Kotkapura ,S19,88,8.0,2017,NAIP
RAMESH KUMAR,113,Punjab,Kotkapura ,S19,88,9.0,2017,IND
None of the Above,255,Punjab,Kotkapura ,S19,88,5.0,2017,NOTA
BALDEV SINGH,30922,Punjab,Jaitu ,S19,89,1.0,2017,AAP
MOHAMMAD SADIQUE,25427,Punjab,Jaitu ,S19,89,2.0,2017,INC
MANJIT SINGH @ SUBA SINGH,23202,Punjab,Jaitu ,S19,89,3.0,2017,SAD
BALVIR SINGH,1019,Punjab,Jaitu ,S19,89,4.0,2017,CPI
KIKAR SINGH,911,Punjab,Jaitu ,S19,89,5.0,2017,BSP
GURDEEP SINGH,610,Punjab,Jaitu ,S19,89,6.0,2017,SADASSM
HARPAL SINGH,461,Punjab,Jaitu ,S19,89,8.0,2017,APP
AVTAR SINGH SAHOTA,334,Punjab,Jaitu ,S19,89,9.0,2017,AITC
GURPREET SINGH,287,Punjab,Jaitu ,S19,89,10.0,2017,IND
PYARA SINGH,253,Punjab,Jaitu ,S19,89,11.0,2017,RPIA
JASWINDER SINGH,211,Punjab,Jaitu ,S19,89,12.0,2017,IND
None of the Above,463,Punjab,Jaitu ,S19,89,7.0,2017,NOTA
SIKANDER SINGH MALUKA,21336,Punjab,Rampura Phul ,S19,90,1.0,2017,SAD
GURPREET SINGH KANGAR,21243,Punjab,Rampura Phul ,S19,90,2.0,2017,INC
MANJIT SINGH SIDHU,11693,Punjab,Rampura Phul ,S19,90,3.0,2017,AAP
AVTAR SINGH,232,Punjab,Rampura Phul ,S19,90,4.0,2017,BSP
MANJIT SINGH,225,Punjab,Rampura Phul ,S19,90,5.0,2017,IND
PARAMJIT SINGH SIDHU,213,Punjab,Rampura Phul ,S19,90,6.0,2017,IND
JASWANT SINGH SIDHU,119,Punjab,Rampura Phul ,S19,90,8.0,2017,IND
SIKANDER SINGH,111,Punjab,Rampura Phul ,S19,90,9.0,2017,IND
GURPREET SINGH MEHRAJ,66,Punjab,Rampura Phul ,S19,90,10.0,2017,IND
CHARAN SINGH,59,Punjab,Rampura Phul ,S19,90,11.0,2017,IND
GURPREET SINGH,32,Punjab,Rampura Phul ,S19,90,12.0,2017,IND
GURPREET SINGH,27,Punjab,Rampura Phul ,S19,90,13.0,2017,IND
KARAMJIT SINGH,24,Punjab,Rampura Phul ,S19,90,14.0,2017,IND
SIMARJIT SINGH,16,Punjab,Rampura Phul ,S19,90,15.0,2017,IND
None of the Above,157,Punjab,Rampura Phul ,S19,90,7.0,2017,NOTA
PRITAM SINGH KOTBHAI,21781,Punjab,Bhucho Mandi ,S19,91,1.0,2017,INC
HARPREET SINGH,18103,Punjab,Bhucho Mandi ,S19,91,2.0,2017,SAD
JAGSIR SINGH,16076,Punjab,Bhucho Mandi ,S19,91,3.0,2017,AAP
KIRANJIT SINGH GEHRI,825,Punjab,Bhucho Mandi ,S19,91,4.0,2017,IND
MUMTAJ,382,Punjab,Bhucho Mandi ,S19,91,5.0,2017,BSP
SURINDER PAL SOMI TUNGWALIA,311,Punjab,Bhucho Mandi ,S19,91,6.0,2017,AITC
BALDEV SINGH,160,Punjab,Bhucho Mandi ,S19,91,8.0,2017,IND
None of the Above,238,Punjab,Bhucho Mandi ,S19,91,7.0,2017,NOTA
MANPREET SINGH BADAL,24678,Punjab,Bathinda Urban,S19,92,1.0,2017,INC
DEEPAK BANSAL,21512,Punjab,Bathinda Urban,S19,92,2.0,2017,AAP
SARUP CHAND SINGLA,13061,Punjab,Bathinda Urban,S19,92,3.0,2017,SAD
SURESH KUMAR,268,Punjab,Bathinda Urban,S19,92,5.0,2017,BSP
SATISH KUMAR,210,Punjab,Bathinda Urban,S19,92,6.0,2017,IND
PARVEEN HITESHI,145,Punjab,Bathinda Urban,S19,92,7.0,2017,SS
SANT LAL,131,Punjab,Bathinda Urban,S19,92,8.0,2017,BMP
BIMLA RANI,119,Punjab,Bathinda Urban,S19,92,9.0,2017,IND
GIAN CHAND BANSAL,116,Punjab,Bathinda Urban,S19,92,10.0,2017,DSP
JATINDER ROY KHATTAR,108,Punjab,Bathinda Urban,S19,92,11.0,2017,APP
SUKHCHAIN SINGH,91,Punjab,Bathinda Urban,S19,92,12.0,2017,HSS
HARVINDER SINGH HARRY,77,Punjab,Bathinda Urban,S19,92,13.0,2017,SADASSM
HARDEEP KUMAR SHARMA,34,Punjab,Bathinda Urban,S19,92,14.0,2017,JJJKP
None of the Above,461,Punjab,Bathinda Urban,S19,92,4.0,2017,NOTA
RUPINDER KAUR RUBY,30512,Punjab,Bathinda Rural,S19,93,1.0,2017,AAP
ER. AMIT RATTAN KOTFATTA,23864,Punjab,Bathinda Rural,S19,93,2.0,2017,SAD
HARVINDER SINGH LADDI,18256,Punjab,Bathinda Rural,S19,93,3.0,2017,INC
DAVINDERPAL SINGH,679,Punjab,Bathinda Rural,S19,93,5.0,2017,BSP
GURSEWAK SINGH,593,Punjab,Bathinda Rural,S19,93,6.0,2017,IND
SURJEET SINGH SOHI,554,Punjab,Bathinda Rural,S19,93,7.0,2017,CPI
JASWINDER SINGH GILL,447,Punjab,Bathinda Rural,S19,93,8.0,2017,APP
JAGTAR SINGH,279,Punjab,Bathinda Rural,S19,93,9.0,2017,AITC
JAGSIR SINGH,231,Punjab,Bathinda Rural,S19,93,10.0,2017,IND
None of the Above,705,Punjab,Bathinda Rural,S19,93,4.0,2017,NOTA
PROF. BALJINDER KAUR,19865,Punjab,Talwandi Sabo ,S19,94,1.0,2017,AAP
KHUSHBAZ SINGH JATANA,17684,Punjab,Talwandi Sabo ,S19,94,2.0,2017,INC
JEETMOHINDER SINGH SIDHU,15055,Punjab,Talwandi Sabo ,S19,94,3.0,2017,SAD
HARJINDER SINGH MITHAN,589,Punjab,Talwandi Sabo ,S19,94,4.0,2017,BSP
KARAMJIT SINGH,280,Punjab,Talwandi Sabo ,S19,94,5.0,2017,IND
AVTAR SINGH CHOPRA,215,Punjab,Talwandi Sabo ,S19,94,7.0,2017,SADASSM
BALJINDER SINGH,152,Punjab,Talwandi Sabo ,S19,94,8.0,2017,IND
DARSHAN SINGH,143,Punjab,Talwandi Sabo ,S19,94,9.0,2017,IND
VARINDER SINGH DHILLON,100,Punjab,Talwandi Sabo ,S19,94,10.0,2017,APP
None of the Above,259,Punjab,Talwandi Sabo ,S19,94,6.0,2017,NOTA
JAGDEV SINGH,25931,Punjab,Maur ,S19,95,1.0,2017,AAP
JANMEJA SINGH SEKHON,20007,Punjab,Maur ,S19,95,2.0,2017,SAD
HARMINDER SINGH JASSI,10100,Punjab,Maur ,S19,95,3.0,2017,INC
SUKHRAJ SINGH NATT,714,Punjab,Maur ,S19,95,4.0,2017,IND
HARVINDER SINGH,239,Punjab,Maur ,S19,95,6.0,2017,CPIMLL
TARANPAL SINGH DHILLON,189,Punjab,Maur ,S19,95,7.0,2017,AITC
DUSAHIRA SINGH,151,Punjab,Maur ,S19,95,8.0,2017,BSP
HARPAL SINGH,144,Punjab,Maur ,S19,95,9.0,2017,APP
None of the Above,344,Punjab,Maur ,S19,95,5.0,2017,NOTA
NAZAR SINGH MANSHAHIA,41839,Punjab,Mansa ,S19,96,1.0,2017,AAP
MANOJ BALA,28812,Punjab,Mansa ,S19,96,2.0,2017,INC
JAGDEEP SINGH NAKAI,24674,Punjab,Mansa ,S19,96,3.0,2017,SAD
RANJIT SINGH TAMKOT,2221,Punjab,Mansa ,S19,96,4.0,2017,CPIMLL
JASKARAN SINGH KAHAN SINGH WALA,904,Punjab,Mansa ,S19,96,5.0,2017,SADASSM
BHUPINDER SINGH BIRVAL,753,Punjab,Mansa ,S19,96,6.0,2017,BSP
ANIL JONY,509,Punjab,Mansa ,S19,96,8.0,2017,IND
MANGU SINGH,259,Punjab,Mansa ,S19,96,9.0,2017,APP
None of the Above,674,Punjab,Mansa ,S19,96,7.0,2017,NOTA
SUKHWINDER SINGH (BHOLA MANN),21172,Punjab,Sardulgarh ,S19,97,1.0,2017,AAP
DILRAJ SINGH,20571,Punjab,Sardulgarh ,S19,97,2.0,2017,SAD
AJIT INDER SINGH,15760,Punjab,Sardulgarh ,S19,97,3.0,2017,INC
SURJIT SINGH,753,Punjab,Sardulgarh ,S19,97,4.0,2017,CPIMLL
JASVEER SINGH,390,Punjab,Sardulgarh ,S19,97,5.0,2017,BSP
LAL CHAND,261,Punjab,Sardulgarh ,S19,97,7.0,2017,RMPI
PARMINDER SINGH,214,Punjab,Sardulgarh ,S19,97,8.0,2017,AITC
RAJINDER SINGH,212,Punjab,Sardulgarh ,S19,97,9.0,2017,SADASSM
JASWANT SINGH,169,Punjab,Sardulgarh ,S19,97,10.0,2017,APP
None of the Above,389,Punjab,Sardulgarh ,S19,97,6.0,2017,NOTA
BUDH RAM,24954,Punjab,Budhlada ,S19,98,1.0,2017,AAP
NISHAN SINGH,22820,Punjab,Budhlada ,S19,98,2.0,2017,SAD
RANJIT KAUR BHATTI,22155,Punjab,Budhlada ,S19,98,3.0,2017,INC
KRISHAN SINGH,793,Punjab,Budhlada ,S19,98,4.0,2017,CPI
BHAGWANT SINGH SAMAO,782,Punjab,Budhlada ,S19,98,5.0,2017,CPIMLL
SHER SINGH,544,Punjab,Budhlada ,S19,98,6.0,2017,BSP
RANJIT SINGH,515,Punjab,Budhlada ,S19,98,7.0,2017,SADASSM
KIRPAL SINGH,215,Punjab,Budhlada ,S19,98,9.0,2017,APP
KALA SINGH,202,Punjab,Budhlada ,S19,98,10.0,2017,IND
LACHHMAN SINGH MAL SINGH WALA,193,Punjab,Budhlada ,S19,98,11.0,2017,AITC
None of the Above,356,Punjab,Budhlada ,S19,98,8.0,2017,NOTA
PARMINDER SINGH DHINDSA,19190,Punjab,Lehra,S19,99,1.0,2017,SAD
RAJINDER KAUR BHATTAL,13409,Punjab,Lehra,S19,99,2.0,2017,INC
JASVIR SINGH,9823,Punjab,Lehra,S19,99,3.0,2017,AAP
RAM DASS,661,Punjab,Lehra,S19,99,4.0,2017,BSP
SATWANT SINGH,588,Punjab,Lehra,S19,99,5.0,2017,CPI
BALDEV SINGH,263,Punjab,Lehra,S19,99,7.0,2017,IND
SHAM SINGH,240,Punjab,Lehra,S19,99,8.0,2017,IND
RAJ KUMAR,237,Punjab,Lehra,S19,99,9.0,2017,DSP
GIAN SINGH,153,Punjab,Lehra,S19,99,10.0,2017,SADASSM
None of the Above,423,Punjab,Lehra,S19,99,6.0,2017,NOTA
HARPAL SINGH CHEEMA,17737,Punjab,Dirba ,S19,100,1.0,2017,AAP
GULZAR SINGH,17425,Punjab,Dirba ,S19,100,2.0,2017,SAD
AJAIB SINGH RATOLAN,16107,Punjab,Dirba ,S19,100,3.0,2017,INC
DARSHAN SINGH SIDHU,987,Punjab,Dirba ,S19,100,4.0,2017,IND
MANDEEP SINGH,553,Punjab,Dirba ,S19,100,5.0,2017,SADASSM
HARWINDER SINGH,532,Punjab,Dirba ,S19,100,6.0,2017,BSP
GHAMAND SINGH,239,Punjab,Dirba ,S19,100,8.0,2017,CPIMLL
BIKAR SINGH,216,Punjab,Dirba ,S19,100,9.0,2017,IND
JAGTAR SINGH,111,Punjab,Dirba ,S19,100,10.0,2017,APP
None of the Above,373,Punjab,Dirba ,S19,100,7.0,2017,NOTA
AMAN ARORA,14809,Punjab,Sunam ,S19,101,1.0,2017,AAP
GOBIND SINGH LONGOWAL,7855,Punjab,Sunam ,S19,101,2.0,2017,SAD
DAAMAN THIND BAJWA,5694,Punjab,Sunam ,S19,101,3.0,2017,INC
RAJINDER DEEPA,459,Punjab,Sunam ,S19,101,4.0,2017,IND
SAHBAJ SINGH DASKA,203,Punjab,Sunam ,S19,101,6.0,2017,SADASSM
LABH SINGH,170,Punjab,Sunam ,S19,101,7.0,2017,IND
RAM SINGH,168,Punjab,Sunam ,S19,101,8.0,2017,BSP
JARNAIL SINGH,153,Punjab,Sunam ,S19,101,9.0,2017,CPM
BINDER SINGH,65,Punjab,Sunam ,S19,101,10.0,2017,IND
YADWINDER SINGH,63,Punjab,Sunam ,S19,101,11.0,2017,IND
PARAMJEET KAUR,34,Punjab,Sunam ,S19,101,12.0,2017,IND
RANDHIR SINGH,27,Punjab,Sunam ,S19,101,13.0,2017,APP
None of the Above,304,Punjab,Sunam ,S19,101,5.0,2017,NOTA
PIRMAL SINGH DHAULA,50695,Punjab,Bhadaur ,S19,102,1.0,2017,AAP
SANT BALVIR SINGH GHUNAS,32582,Punjab,Bhadaur ,S19,102,2.0,2017,SAD
JOGINDER SINGH,23981,Punjab,Bhadaur ,S19,102,3.0,2017,INC
PARAMJIT SINGH,1569,Punjab,Bhadaur ,S19,102,4.0,2017,SADASSM
BAGGA SINGH,1033,Punjab,Bhadaur ,S19,102,5.0,2017,IND
KARAMJIT SINGH,789,Punjab,Bhadaur ,S19,102,6.0,2017,BSP
SAVARAN SINGH,582,Punjab,Bhadaur ,S19,102,8.0,2017,CPIMLL
RAJINDER KAUR MEEMSA,474,Punjab,Bhadaur ,S19,102,9.0,2017,IND
GORA SINGH,413,Punjab,Bhadaur ,S19,102,10.0,2017,IND
JAGDEEP SINGH,328,Punjab,Bhadaur ,S19,102,11.0,2017,CPIMLRS
GURMIT SINGH,192,Punjab,Bhadaur ,S19,102,12.0,2017,APP
None of the Above,752,Punjab,Bhadaur ,S19,102,7.0,2017,NOTA
KEWAL SINGH DHILLON,12600,Punjab,Barnala ,S19,103,1.0,2017,INC
GURMEET SINGH MEET HAHER,12442,Punjab,Barnala ,S19,103,2.0,2017,AAP
SURINDER PAL SINGH SIBIA,8657,Punjab,Barnala ,S19,103,3.0,2017,SAD
SIMRANJIT SINGH MANN,1637,Punjab,Barnala ,S19,103,4.0,2017,SADASSM
PARAMJIT KAUR,579,Punjab,Barnala ,S19,103,5.0,2017,BSP
GURKIMAT SINGH,247,Punjab,Barnala ,S19,103,7.0,2017,AITC
MAHINDER SINGH,96,Punjab,Barnala ,S19,103,8.0,2017,IND
JASPAL SINGH,73,Punjab,Barnala ,S19,103,9.0,2017,BMP
RAJ KUMAR,61,Punjab,Barnala ,S19,103,10.0,2017,IVD
None of the Above,250,Punjab,Barnala ,S19,103,6.0,2017,NOTA
KULWANT SINGH PANDORI,22286,Punjab,Mehal Kalan ,S19,104,1.0,2017,AAP
AJIT SINGH SHANT,11777,Punjab,Mehal Kalan ,S19,104,2.0,2017,SAD
HARCHAND KAUR,8200,Punjab,Mehal Kalan ,S19,104,3.0,2017,INC
MAKHAN SINGH,1268,Punjab,Mehal Kalan ,S19,104,4.0,2017,BSP
GOBIND SINGH,805,Punjab,Mehal Kalan ,S19,104,5.0,2017,IND
KHUSIA SINGH,369,Punjab,Mehal Kalan ,S19,104,6.0,2017,CPI
GURMAIL SINGH,325,Punjab,Mehal Kalan ,S19,104,7.0,2017,IND
GURMIT SINGH,118,Punjab,Mehal Kalan ,S19,104,9.0,2017,APP
DARBARA SINGH,105,Punjab,Mehal Kalan ,S19,104,10.0,2017,IND
SARABJIT SINGH,67,Punjab,Mehal Kalan ,S19,104,11.0,2017,BMP
None of the Above,321,Punjab,Mehal Kalan ,S19,104,8.0,2017,NOTA
RAZIA SULTANA,17405,Punjab,Malerkotla ,S19,105,1.0,2017,INC
MOHAMMAD OWAIS,11324,Punjab,Malerkotla ,S19,105,2.0,2017,SAD
MOHAMAD ARSHAD,8945,Punjab,Malerkotla ,S19,105,3.0,2017,AAP
SHAMSHAD ALI,358,Punjab,Malerkotla ,S19,105,4.0,2017,BSP
DHARMINDER SINGH,206,Punjab,Malerkotla ,S19,105,5.0,2017,IND
MAHMOOD AHMED THIND,172,Punjab,Malerkotla ,S19,105,6.0,2017,IUML
SAIFUL ISLAM,110,Punjab,Malerkotla ,S19,105,8.0,2017,IND
TANVEER AHMED,106,Punjab,Malerkotla ,S19,105,9.0,2017,IND
MOHD MUKARRAM SAIFY,86,Punjab,Malerkotla ,S19,105,10.0,2017,IND
PARVEEN NUSRAT,83,Punjab,Malerkotla ,S19,105,11.0,2017,AITC
MAKSOOD UL HAK,62,Punjab,Malerkotla ,S19,105,12.0,2017,NCP
None of the Above,158,Punjab,Malerkotla ,S19,105,7.0,2017,NOTA
SURJIT SINGH DHIMAN,20420,Punjab,Amargarh ,S19,106,1.0,2017,INC
IQBAL SINGH JHUNDAN,15947,Punjab,Amargarh ,S19,106,2.0,2017,SAD
PROF. JASWANT SINGH GAJJANMAJRA,14430,Punjab,Amargarh ,S19,106,3.0,2017,LIP
GURDARSHAN SINGH,222,Punjab,Amargarh ,S19,106,5.0,2017,DSP
TARSEM SINGH,211,Punjab,Amargarh ,S19,106,6.0,2017,BSP
MANJINDER SINGH,207,Punjab,Amargarh ,S19,106,7.0,2017,IND
PRITAM SINGH,202,Punjab,Amargarh ,S19,106,8.0,2017,CPI
DEVINDER KAUR CHAUNDA,201,Punjab,Amargarh ,S19,106,9.0,2017,IND
KARNAIL SINGH,173,Punjab,Amargarh ,S19,106,10.0,2017,SADASSM
KULWANT SINGH MOHALI,110,Punjab,Amargarh ,S19,106,11.0,2017,IND
HAPRINDER SINGH,102,Punjab,Amargarh ,S19,106,12.0,2017,IND
AMAR SINGH,97,Punjab,Amargarh ,S19,106,13.0,2017,IND
None of the Above,313,Punjab,Amargarh ,S19,106,4.0,2017,NOTA
JASVIR SINGH JASSI SEKHON,16411,Punjab,Dhuri ,S19,107,1.0,2017,AAP
DALVIR SINGH GOLDY,14434,Punjab,Dhuri ,S19,107,2.0,2017,INC
HARI SINGH,10490,Punjab,Dhuri ,S19,107,3.0,2017,SAD
SURJIT SINGH KALABULA,529,Punjab,Dhuri ,S19,107,4.0,2017,SADASSM
BHOLA SINGH,505,Punjab,Dhuri ,S19,107,5.0,2017,BSP
TARSEM KUMAR,131,Punjab,Dhuri ,S19,107,7.0,2017,IND
None of the Above,192,Punjab,Dhuri ,S19,107,6.0,2017,NOTA
VIJAY INDER SINGLA,28418,Punjab,Sangrur,S19,108,1.0,2017,INC
DINESH BANSAL,9926,Punjab,Sangrur,S19,108,2.0,2017,AAP
PARKASH CHAND GARG,9418,Punjab,Sangrur,S19,108,3.0,2017,SAD
GURNAIB SINGH,526,Punjab,Sangrur,S19,108,4.0,2017,SADASSM
ATMA SINGH,242,Punjab,Sangrur,S19,108,5.0,2017,BSP
MANJEET KAUR,118,Punjab,Sangrur,S19,108,7.0,2017,IND
PARMINDER KAUR,80,Punjab,Sangrur,S19,108,8.0,2017,APP
None of the Above,227,Punjab,Sangrur,S19,108,6.0,2017,NOTA
SADHU SINGH,22729,Punjab,Nabha,S19,109,1.0,2017,INC
GURDEV SINGH DEV MANN,16840,Punjab,Nabha,S19,109,2.0,2017,AAP
KABIR DASS,13546,Punjab,Nabha,S19,109,3.0,2017,SAD
JEET RAM,630,Punjab,Nabha,S19,109,4.0,2017,IND
KASHMIR SINGH,490,Punjab,Nabha,S19,109,5.0,2017,CPI
JARNAIL SINGH,396,Punjab,Nabha,S19,109,7.0,2017,APP
JAGTAR SINGH,390,Punjab,Nabha,S19,109,8.0,2017,BSP
RANJIT KAUR THUHI,210,Punjab,Nabha,S19,109,9.0,2017,IND
None of the Above,463,Punjab,Nabha,S19,109,6.0,2017,NOTA
BRAHM MOHINDRA,17618,Punjab,Patiala Rural,S19,110,1.0,2017,INC
SATBIR SINGH KHATRA,14869,Punjab,Patiala Rural,S19,110,2.0,2017,SAD
KARANVIR SINGH TIWANA,12427,Punjab,Patiala Rural,S19,110,3.0,2017,AAP
SUKH LAL,433,Punjab,Patiala Rural,S19,110,4.0,2017,BSP
UTTAM SINGH BAGRI,280,Punjab,Patiala Rural,S19,110,5.0,2017,CPI
JASBIR SINGH,155,Punjab,Patiala Rural,S19,110,7.0,2017,IND
RESHAM KAHLON,142,Punjab,Patiala Rural,S19,110,8.0,2017,IND
JASVIR KAUR,139,Punjab,Patiala Rural,S19,110,9.0,2017,IND
RANJIT KAUR,124,Punjab,Patiala Rural,S19,110,10.0,2017,BGTD
SHAMINDER KAUR,115,Punjab,Patiala Rural,S19,110,11.0,2017,APP
BHARATDEEP THAKUR,70,Punjab,Patiala Rural,S19,110,12.0,2017,HSS
SOHAN LAL SHARMA,65,Punjab,Patiala Rural,S19,110,13.5,2017,SAKP
SHANKAR BHARADWAJ,65,Punjab,Patiala Rural,S19,110,13.5,2017,SS
None of the Above,199,Punjab,Patiala Rural,S19,110,6.0,2017,NOTA
HARDIAL SINGH KAMBOJ,34492,Punjab,Rajpura,S19,111,1.0,2017,INC
ASHUTOSH JOSHI,14427,Punjab,Rajpura,S19,111,2.0,2017,AAP
JAGDISH KUMAR,12967,Punjab,Rajpura,S19,111,3.0,2017,IND
HARJIT SINGH GREWAL,11014,Punjab,Rajpura,S19,111,4.0,2017,BJP
