ST_CD,AC_NO,NAME,VOTES,ST_NAME,AC_NAME,#,YEAR,polled_votes,vote_percent,PARTY
S05,34,SUBHASH ALIAS RAJAN K. NAIK,5047,Goa,Cuncolim ,3,2017,22440,22.49,BJP
S05,34,ELVIS GOMES,3437,Goa,Cuncolim ,4,2017,22440,15.32,AAP
S05,34,JOHN INACIO MONTEIRO,488,Goa,Cuncolim ,5,2017,22440,2.17,GVP
S05,34,DEVENDRA DESSAI,313,Goa,Cuncolim ,6,2017,22440,1.39,SHI
S05,34,DERICK DIAS,111,Goa,Cuncolim ,8,2017,22440,0.49,IND
S05,34,None of the Above,247,Goa,Cuncolim ,7,2017,22440,1.1,NOTA
S05,35,FILIPE NERY RODRIGUES,1769,Goa,Velim,1,2017,4726,37.43,INC
S05,35,BENJAMIN SILVA,1377,Goa,Velim,2,2017,4726,29.14,IND
S05,35,CRUZ SILVA,703,Goa,Velim,3,2017,4726,14.88,AAP
S05,35,ANTHONY RODRIGUES,302,Goa,Velim,4,2017,4726,6.39,GFP
S05,35,VINAY TARI,287,Goa,Velim,5,2017,4726,6.07,BJP
S05,35,EDRICH CORREIA,93,Goa,Velim,6,2017,4726,1.97,IND
S05,35,WILSON MAZARELLO,33,Goa,Velim,8,2017,4726,0.7,IND
S05,35,DOMNIC JOHN NORONHA,22,Goa,Velim,9,2017,4726,0.47,GSRP
S05,35,JOSE FERNANDES,21,Goa,Velim,10,2017,4726,0.44,IND
S05,35,FREDERICK BORGES,19,Goa,Velim,11,2017,4726,0.4,NCP
S05,35,CONSTANCIO FERNANDES,18,Goa,Velim,12,2017,4726,0.38,IND
S05,35,CLIFFTON D\'SOUZA,13,Goa,Velim,13,2017,4726,0.28,API
S05,35,None of the Above,69,Goa,Velim,7,2017,4726,1.46,NOTA
S05,36,CHANDRAKANT (BABU) KAVLEKAR,13525,Goa,Quepem,1,2017,26662,50.73,INC
S05,36,PRAKASH SHANKAR VELIP,10933,Goa,Quepem,2,2017,26662,41.01,BJP
S05,36,JOAO FERNANDES,1385,Goa,Quepem,3,2017,26662,5.19,AAP
S05,36,CHARLES D\'SILVA,251,Goa,Quepem,5,2017,26662,0.94,GSRP
S05,36,SUDESH GAUDE,211,Goa,Quepem,6,2017,26662,0.79,MG
S05,36,None of the Above,357,Goa,Quepem,4,2017,26662,1.34,NOTA
S05,37,NILESH CABRAL,12830,Goa,Curchorem,1,2017,21668,59.21,BJP
S05,37,SHYAM GOPINATH SATARDEKAR,3742,Goa,Curchorem,2,2017,21668,17.27,GSM
S05,37,ROSARIO MARIANO FERNANDES,2778,Goa,Curchorem,3,2017,21668,12.82,INC
S05,37,JAMES FERNANDES,2028,Goa,Curchorem,4,2017,21668,9.36,AAP
S05,37,None of the Above,290,Goa,Curchorem,5,2017,21668,1.34,NOTA
S05,38,DEEPAK PRABHU PAUSKAR,14575,Goa,Sanvordem,1,2017,25377,57.43,MG
S05,38,GANESH CHANDRU GAONKAR,9354,Goa,Sanvordem,2,2017,25377,36.86,BJP
S05,38,SHANKAR KIRLAPALKAR,991,Goa,Sanvordem,3,2017,25377,3.91,INC
S05,38,BALKRISHNA MARATHE,152,Goa,Sanvordem,5,2017,25377,0.6,IND
S05,38,None of the Above,305,Goa,Sanvordem,4,2017,25377,1.2,NOTA
S05,39,PRASAD S. GAONKAR,7636,Goa,Sanguem,1,2017,22683,33.66,IND
S05,39,SUBHASH PHAL DESSAI,6699,Goa,Sanguem,2,2017,22683,29.53,BJP
S05,39,SAVITRI KAVLEKAR,5736,Goa,Sanguem,3,2017,22683,25.29,INC
S05,39,DATTAPRASAD SAWARDEKAR,989,Goa,Sanguem,4,2017,22683,4.36,IND
S05,39,RAVINDRA ARJUN VELIP,658,Goa,Sanguem,5,2017,22683,2.9,AAP
S05,39,VASUDEV GAONKAR,484,Goa,Sanguem,6,2017,22683,2.13,MG
S05,39,SUDESH NONI GAUNKAR,148,Goa,Sanguem,8,2017,22683,0.65,IND
S05,39,RAKHI NAIK,125,Goa,Sanguem,9,2017,22683,0.55,NCP
S05,39,None of the Above,208,Goa,Sanguem,7,2017,22683,0.92,NOTA
S05,40,ISIDORE ALEIXINHO FERNANDES,9450,Goa,Canacona,1,2017,24894,37.96,INC
S05,40,VIJAY PAI KHOT,8026,Goa,Canacona,2,2017,24894,32.24,BJP
S05,40,RAMESH TAWADKAR,6384,Goa,Canacona,3,2017,24894,25.64,IND
S05,40,SANDESH TELEKAR,424,Goa,Canacona,4,2017,24894,1.7,AAP
S05,40,GOURISH BANDEKAR,358,Goa,Canacona,5,2017,24894,1.44,MG
S05,40,None of the Above,252,Goa,Canacona,6,2017,24894,1.01,NOTA
