ST_CD,AC_NO,NAME,VOTES,ST_NAME,AC_NAME,#,YEAR,polled_votes,vote_percent,PARTY
S14,7,THOUNAOJAM SHYAMKUMAR,18761,Manipur,Andro ,1,2017,29850,62.85,INC
S14,7,DR. NIMAICHAND LUWANG,10775,Manipur,Andro ,2,2017,29850,36.1,BJP
S14,7,KEISHAM NINGTHEMJAO SINGH,162,Manipur,Andro ,3,2017,29850,0.54,MNDF
S14,7,None of the Above,152,Manipur,Andro ,4,2017,29850,0.51,NOTA
S14,8,KSH. BIREN SINGH,12339,Manipur,Lamlai ,1,2017,25696,48.02,INC
S14,8,KHONGBANTABAM IBOMCHA,11487,Manipur,Lamlai ,2,2017,25696,44.7,BJP
S14,8,HUIREM BIMOL,1712,Manipur,Lamlai ,3,2017,25696,6.66,CPI
S14,8,None of the Above,158,Manipur,Lamlai ,4,2017,25696,0.61,NOTA
S14,9,KHUMUKCHAM JOYKISAN SINGH,11596,Manipur,Thangmeiband ,1,2017,23745,48.84,INC
S14,9,JYOTIN WAIKHOM,11439,Manipur,Thangmeiband ,2,2017,23745,48.17,BJP
S14,9,ERENDRO LEICHOMBAM,573,Manipur,Thangmeiband ,3,2017,23745,2.41,PRA
S14,9,None of the Above,137,Manipur,Thangmeiband ,4,2017,23745,0.58,NOTA
S14,10,YUMNAM JOYKUMAR SINGH,6469,Manipur,Uripok ,1,2017,20195,32.03,NPP
S14,10,LAISHRAM NANDAKUMAR SINGH,6124,Manipur,Uripok ,2,2017,20195,30.32,INC
S14,10,DR. NAMEIRAKPAM DWIJAMANI SINGH,5986,Manipur,Uripok ,3,2017,20195,29.64,BJP
S14,10,NAMEIRAKPAM SANTOSH SINGH,1332,Manipur,Uripok ,4,2017,20195,6.6,LJSP
S14,10,None of the Above,284,Manipur,Uripok ,5,2017,20195,1.41,NOTA
S14,11,RAJKUMAR IMO SINGH,9211,Manipur,Sagolband ,1,2017,19567,47.07,INC
S14,11,DR. KHWAIRAKPAM LOKEN SINGH,9192,Manipur,Sagolband ,2,2017,19567,46.98,BJP
S14,11,G. SATYABATI DEVI,982,Manipur,Sagolband ,3,2017,19567,5.02,NPP
S14,11,LAISHRAM GYANESHWAR,31,Manipur,Sagolband ,5,2017,19567,0.16,IND
S14,11,None of the Above,151,Manipur,Sagolband ,4,2017,19567,0.77,NOTA
S14,12,LANGPOKLAKPAM JAYANTAKUMAR SINGH,10000,Manipur,Keishamthong ,1,2017,23107,43.28,NPP
S14,12,LAISOM IBOMCHA SINGH,6739,Manipur,Keishamthong ,2,2017,23107,29.16,INC
S14,12,RAJKUMAR SHIVACHANDRA SINGH,5003,Manipur,Keishamthong ,3,2017,23107,21.65,BJP
S14,12,POTSANGBAM DHANAKUMAR SINGH,611,Manipur,Keishamthong ,4,2017,23107,2.64,NEP
S14,12,KHABA PAONAM,204,Manipur,Keishamthong ,6,2017,23107,0.88,MPP
S14,12,HEISHNAM LOKESHWAR SINGH,171,Manipur,Keishamthong ,7,2017,23107,0.74,LJSP
S14,12,YUMNAM ROMOLA DEVI,96,Manipur,Keishamthong ,8,2017,23107,0.42,MNDF
S14,12,CHANGAMAYUM GANESHLAL SINGH,77,Manipur,Keishamthong ,9,2017,23107,0.33,AIFB
S14,12,None of the Above,206,Manipur,Keishamthong ,5,2017,23107,0.89,NOTA
S14,13,YUMNAM KHEMCHAND SINGH,9459,Manipur,Singjamei ,1,2017,17570,53.84,BJP
S14,13,IRENGBAM HEMOCHANDRA SINGH,7625,Manipur,Singjamei ,2,2017,17570,43.4,INC
S14,13,HEIGRUJAM NABASHYAM,176,Manipur,Singjamei ,4,2017,17570,1.0,AITC
S14,13,THOKCHOM SARCHIL SINGH,104,Manipur,Singjamei ,5,2017,17570,0.59,MPP
S14,13,None of the Above,206,Manipur,Singjamei ,3,2017,17570,1.17,NOTA
S14,14,THOKCHOM SATYABRATA SINGH,8014,Manipur,Yaiskul ,1,2017,21897,36.6,BJP
S14,14,ELANGBAM CHAND SINGH,7444,Manipur,Yaiskul ,2,2017,21897,34.0,INC
S14,14,N. HELENDRO SINGH,5621,Manipur,Yaiskul ,3,2017,21897,25.67,IND
S14,14,ATHOKPAM KESHOR SINGH,397,Manipur,Yaiskul ,4,2017,21897,1.81,LJSP
S14,14,YUMLEMBAM NOGEN,143,Manipur,Yaiskul ,6,2017,21897,0.65,CPI
S14,14,None of the Above,278,Manipur,Yaiskul ,5,2017,21897,1.27,NOTA
S14,15,OKRAM HENRY SINGH,16753,Manipur,Wangkhei ,1,2017,29660,56.48,INC
S14,15,YUMKHAM ERABOT SINGH,12417,Manipur,Wangkhei ,2,2017,29660,41.86,BJP
S14,15,RAJKUMAR PRIYOBARTA SINGH,149,Manipur,Wangkhei ,4,2017,29660,0.5,AITC
S14,15,None of the Above,341,Manipur,Wangkhei ,3,2017,29660,1.15,NOTA
S14,16,HEIKHAM DINGO SINGH,13163,Manipur,Sekmai ,1,2017,24013,54.82,BJP
S14,16,KHWAIRAKPAM DEVENDRO SINGH,10631,Manipur,Sekmai ,2,2017,24013,44.27,INC
S14,16,None of the Above,219,Manipur,Sekmai ,3,2017,24013,0.91,NOTA
S14,17,SOROKHAIBAM RAJEN SINGH,12593,Manipur,Lamsang ,1,2017,28028,44.93,BJP
S14,17,WANGKHEIMAYUM BRAJABIDHU SINGH,11313,Manipur,Lamsang ,2,2017,28028,40.36,INC
S14,17,PHIJAM PAKCHAO SINGH,3956,Manipur,Lamsang ,3,2017,28028,14.11,NEP
S14,17,None of the Above,166,Manipur,Lamsang ,4,2017,28028,0.59,NOTA
S14,18,DR. SAPAM RANJAN SINGH,14313,Manipur,Konthoujam ,1,2017,26029,54.99,BJP
S14,18,KONTHOUJAM SHARAT SINGH,11541,Manipur,Konthoujam ,2,2017,26029,44.34,INC
S14,18,NONGMAITHEM SANTA SINGH,83,Manipur,Konthoujam ,4,2017,26029,0.32,IND
S14,18,None of the Above,92,Manipur,Konthoujam ,3,2017,26029,0.35,NOTA
