#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
1,Narendranagar,11,Subodh Uniyal,BJP,24104,2017,52545,45.87
2,Narendranagar,11,Om Gopal Rawat,IND,19132,2017,52545,36.41
3,Narendranagar,11,Himanshu Bijalwan,INC,4328,2017,52545,8.24
4,Narendranagar,11,Sardar Singh,UKD,3314,2017,52545,6.31
6,Narendranagar,11,Jagdish Kuliyal,CPI,427,2017,52545,0.81
7,Narendranagar,11,Hakim Singh,BSP,417,2017,52545,0.79
8,Narendranagar,11,Usha Negi,SSP,260,2017,52545,0.49
5,Narendranagar,11,None Of The Above,NOTA,563,2017,52545,1.07
1,Pratapnagar,12,Vijay Singh Panwar(Guddu Bhai),BJP,15058,2017,41330,36.43
2,Pratapnagar,12,Vikram Singh Negi,INC,13119,2017,41330,31.74
3,Pratapnagar,12,Rajeshwar Prasad Painuly,IBP,5594,2017,41330,13.53
4,Pratapnagar,12,Murari Lal Khandwal,IND,3774,2017,41330,9.13
5,Pratapnagar,12,Pankaj Vyas,UKD,1078,2017,41330,2.61
6,Pratapnagar,12,Vijaypal Singh Rawat,IND,1025,2017,41330,2.48
8,Pratapnagar,12,Mohan Singh Negi,IND,503,2017,41330,1.22
9,Pratapnagar,12,Kedar Lal,IND,316,2017,41330,0.76
10,Pratapnagar,12,Kanak Pal Singh,BSP,307,2017,41330,0.74
7,Pratapnagar,12,None Of The Above,NOTA,556,2017,41330,1.35
1,Tehri,13,Dhan Singh Negi,BJP,20896,2017,44357,47.11
2,Tehri,13,Dinesh Dhanai,IND,14056,2017,44357,31.69
3,Tehri,13,Narendra Chand Ramola,INC,4466,2017,44357,10.07
4,Tehri,13,Sushil Chandra Bahuguna,HJP,1067,2017,44357,2.41
5,Tehri,13,Sanjay Kumar Maithani,IND,984,2017,44357,2.22
6,Tehri,13,Trilok Singh Negi,IND,722,2017,44357,1.63
7,Tehri,13,Gopal Dutt Chamoli,IND,585,2017,44357,1.32
8,Tehri,13,Budhi Singh Pundir,UKD,507,2017,44357,1.14
10,Tehri,13,Bhagwan Singh Rana,CPM,285,2017,44357,0.64
11,Tehri,13,Ganesh Kudiyal,IND,180,2017,44357,0.41
12,Tehri,13,Somi Lal,BSP,133,2017,44357,0.3
9,Tehri,13,None Of The Above,NOTA,476,2017,44357,1.07
1,Dhanolti,14,Pritam Singh Panwar,IND,17811,2017,49509,35.98
2,Dhanolti,14,Narayan Singh Rana,BJP,16196,2017,49509,32.71
3,Dhanolti,14,Manmohan Singh Mall (Mannu Bhai),INC,12193,2017,49509,24.63
4,Dhanolti,14,Rakesh Semwal,UKD,789,2017,49509,1.59
6,Dhanolti,14,Dinesh,BSP,551,2017,49509,1.11
7,Dhanolti,14,Uttam Singh,IND,534,2017,49509,1.08
8,Dhanolti,14,Chaman Nautiyal,IND,463,2017,49509,0.94
9,Dhanolti,14,Prem Dutt,IBP,332,2017,49509,0.67
5,Dhanolti,14,None Of The Above,NOTA,640,2017,49509,1.29
1,Chakrata,15,Pritam Singh,INC,34968,2017,71882,48.65
2,Chakrata,15,Madhu Chauhan,BJP,33425,2017,71882,46.5
3,Chakrata,15,Daulat Kunwar,BSP,2375,2017,71882,3.3
4,Chakrata,15,Swaraj Singh,IND,723,2017,71882,1.01
5,Chakrata,15,None Of The Above,NOTA,391,2017,71882,0.54
1,Vikasnagar,16,Munna Singh Chauhan,BJP,38895,2017,77083,50.46
2,Vikasnagar,16,Navprabhat,INC,32477,2017,77083,42.13
3,Vikasnagar,16,Vipul Jain,IND,2412,2017,77083,3.13
4,Vikasnagar,16,Gireesh Kumar,BSP,594,2017,77083,0.77
5,Vikasnagar,16,Sandeep Dubey,IND,499,2017,77083,0.65
7,Vikasnagar,16,Digambar Singh,UKD,392,2017,77083,0.51
8,Vikasnagar,16,Rajeev Kumar,IND,369,2017,77083,0.48
9,Vikasnagar,16,Gurumel Singh,IND,332,2017,77083,0.43
10,Vikasnagar,16,Kaushal Kishor Gautam,SP,258,2017,77083,0.33
11,Vikasnagar,16,Bhaskar Chug,AIFB,197,2017,77083,0.26
12,Vikasnagar,16,Ashok Singh,IND,103,2017,77083,0.13
13,Vikasnagar,16,Dinesh Kumar Sharma,IND,89,2017,77083,0.12
6,Vikasnagar,16,None Of The Above,NOTA,466,2017,77083,0.6
1,Sahaspur,17,Sahdev Singh Pundir,BJP,44055,2017,108777,40.5
2,Sahaspur,17,Kishore Upadhaya,INC,25192,2017,108777,23.16
3,Sahaspur,17,Aryendra Sharma,IND,21888,2017,108777,20.12
4,Sahaspur,17,Laxmi Agarwal,IND,8628,2017,108777,7.93
5,Sahaspur,17,Gaurav Pundir,IND,2963,2017,108777,2.72
6,Sahaspur,17,Prakash Joshi,IND,1410,2017,108777,1.3
7,Sahaspur,17,Shiv Prasad Devli,CPM,1110,2017,108777,1.02
8,Sahaspur,17,Iltaf,BSP,831,2017,108777,0.76
10,Sahaspur,17,Adesh Kumar,SVP,520,2017,108777,0.48
11,Sahaspur,17,Manju Singh,RLD,401,2017,108777,0.37
12,Sahaspur,17,Ram Vachan Ram,IND,332,2017,108777,0.31
13,Sahaspur,17,Omprakash Sharma,IND,315,2017,108777,0.29
14,Sahaspur,17,Shashtri Pawan Maletha,UKDD,294,2017,108777,0.27
15,Sahaspur,17,Chaitanya Anil,SHI,165,2017,108777,0.15
9,Sahaspur,17,None Of The Above,NOTA,673,2017,108777,0.62
1,Dharampur,18,Vinod Chamoli,BJP,53828,2017,106003,50.78
2,Dharampur,18,Dinesh Agarwal,INC,42875,2017,106003,40.45
3,Dharampur,18,Noor Hassan,IND,4117,2017,106003,3.88
4,Dharampur,18,Saleem Ahmed,BSP,951,2017,106003,0.9
5,Dharampur,18,Jogendra Rawat,IND,577,2017,106003,0.54
6,Dharampur,18,Rajani Rawat,IND,541,2017,106003,0.51
7,Dharampur,18,Ramsukh,IND,475,2017,106003,0.45
8,Dharampur,18,Bahadur Singh Rawat,UKD,439,2017,106003,0.41
10,Dharampur,18,Mohammad Ismail,IND,356,2017,106003,0.34
11,Dharampur,18,Rupendra Kumar Tomar,IND,236,2017,106003,0.22
12,Dharampur,18,Niraj Singhal,IND,188,2017,106003,0.18
13,Dharampur,18,Gulista Khanam,IND,180,2017,106003,0.17
14,Dharampur,18,Pritam Singh Kulvanshi,IND,163,2017,106003,0.15
15,Dharampur,18,Anil Kumar Gupta,IND,137,2017,106003,0.13
16,Dharampur,18,Brij Bhushan Karanwal,IND,131,2017,106003,0.12
17,Dharampur,18,Meherban,IND,113,2017,106003,0.11
18,Dharampur,18,Sanjay Srivastava,IND,111,2017,106003,0.1
19,Dharampur,18,Hriday Bhushan Dimri,SVP,109,2017,106003,0.1
20,Dharampur,18,Man Mohan Lakhera,HJP,99,2017,106003,0.09
9,Dharampur,18,None Of The Above,NOTA,377,2017,106003,0.36
1,Raipur,19,Umesh Sharma Kau,BJP,59764,2017,98398,60.74
2,Raipur,19,Prabhu Lal,INC,22993,2017,98398,23.37
3,Raipur,19,Rajni Rawat,IND,7569,2017,98398,7.69
4,Raipur,19,Mahender Singh Negi,IND,2714,2017,98398,2.76
5,Raipur,19,Hari Singh Khorwal,BSP,1680,2017,98398,1.71
6,Raipur,19,Tejendra Singh Rawat,IND,1079,2017,98398,1.1
8,Raipur,19,Rakesh Barthwal,IND,392,2017,98398,0.4
9,Raipur,19,Nirmala Bisht,IND,331,2017,98398,0.34
10,Raipur,19,Anil Dobhal,UKD,293,2017,98398,0.3
11,Raipur,19,Yagya Bhusan Sharma,IND,197,2017,98398,0.2
12,Raipur,19,Nagender Singh,IND,155,2017,98398,0.16
13,Raipur,19,Rukhshar Mansoori,IND,126,2017,98398,0.13
14,Raipur,19,Rajendra Prasad Gairolla,RUP,123,2017,98398,0.13
15,Raipur,19,Usha Nagar,RAP,93,2017,98398,0.09
16,Raipur,19,Mohd. Ehsaan,IND,81,2017,98398,0.08
17,Raipur,19,Rajkumar Tyagi,UPP,77,2017,98398,0.08
18,Raipur,19,Maa Prabha Kiran,SVP,74,2017,98398,0.08
19,Raipur,19,Dhan Singh,BSP,67,2017,98398,0.07
20,Raipur,19,Vijaynath,IND,42,2017,98398,0.04
7,Raipur,19,None Of The Above,NOTA,548,2017,98398,0.56
1,Rajpur Road,20,Khajan Dass,BJP,36601,2017,69459,52.69
2,Rajpur Road,20,Raj Kumar,INC,27969,2017,69459,40.27
3,Rajpur Road,20,Jag Ram Singh,BSP,1959,2017,69459,2.82
4,Rajpur Road,20,Ajay Sonkar,IND,1484,2017,69459,2.14
6,Rajpur Road,20,Manoj Kumar,UKD,297,2017,69459,0.43
7,Rajpur Road,20,T C Bharti,IND,228,2017,69459,0.33
8,Rajpur Road,20,Hari Chand,BSP,125,2017,69459,0.18
9,Rajpur Road,20,Sandeep Kumar Pal,UPP,99,2017,69459,0.14
5,Rajpur Road,20,None Of The Above,NOTA,697,2017,69459,1.0
1,Dehradun Cantt.,21,Shri Harbans Kapoor,BJP,41142,2017,72838,56.48
2,Dehradun Cantt.,21,Shri Suryakant Dhasmana,INC,24472,2017,72838,33.6
3,Dehradun Cantt.,21,Shri Anoop Nautiyal,IND,3285,2017,72838,4.51
4,Dehradun Cantt.,21,Shri Naveen Bisht,IND,1303,2017,72838,1.79
5,Dehradun Cantt.,21,Shri Devendra Kumar,BSP,802,2017,72838,1.1
7,Dehradun Cantt.,21,Kunwar Japendra Singh Uttarakhandi,RLD,325,2017,72838,0.45
8,Dehradun Cantt.,21,Shri Laxman Singh Negi ( Anil Negi),NCP,283,2017,72838,0.39
9,Dehradun Cantt.,21,Shri Kapil Bhatia,IND,159,2017,72838,0.22
10,Dehradun Cantt.,21,Shri Sanjay Goyal,IND,149,2017,72838,0.2
11,Dehradun Cantt.,21,Dr. R.K. Pathak,SP,110,2017,72838,0.15
12,Dehradun Cantt.,21,Shri Sribilash,UKD,103,2017,72838,0.14
13,Dehradun Cantt.,21,Shri Arun Khanna,IND,64,2017,72838,0.09
6,Dehradun Cantt.,21,None Of The Above,NOTA,641,2017,72838,0.88
1,Mussoorie,22,Ganesh Joshi,BJP,41322,2017,75572,54.68
2,Mussoorie,22,Godawari Thapli,INC,29245,2017,75572,38.7
3,Mussoorie,22,Rajkumar Jaiswal,IND,1692,2017,75572,2.24
4,Mussoorie,22,Ashok Panwar,BSP,862,2017,75572,1.14
6,Mussoorie,22,Jai Prakash Upadhyay,UKD,471,2017,75572,0.62
7,Mussoorie,22,Sanjay Kundaliya,IND,404,2017,75572,0.53
8,Mussoorie,22,Aniruddha Sharma,UKDD,253,2017,75572,0.33
9,Mussoorie,22,Sushil Kumar Malhotra,IND,212,2017,75572,0.28
10,Mussoorie,22,Sarika Pradhan,IND,163,2017,75572,0.22
11,Mussoorie,22,Gyanveer Tyagi,UPP,137,2017,75572,0.18
12,Mussoorie,22,Carol Alick Rogers,IND,104,2017,75572,0.14
13,Mussoorie,22,Yeshveer Arya,IND,73,2017,75572,0.1
5,Mussoorie,22,None Of The Above,NOTA,634,2017,75572,0.84
1,Doiwala,23,Trivendra Singh Rawat,BJP,58502,2017,96769,60.46
2,Doiwala,23,Hira Singh Bisht,INC,33633,2017,96769,34.76
3,Doiwala,23,A.Hameed,BSP,1569,2017,96769,1.62
5,Doiwala,23,Subhash Chandra Purohit,UKD,475,2017,96769,0.49
6,Doiwala,23,Gajendra Singh,BSP,313,2017,96769,0.32
7,Doiwala,23,Arun,IND,304,2017,96769,0.31
8,Doiwala,23,Usha Rani,IND,274,2017,96769,0.28
9,Doiwala,23,Prakash Chandra Tiwari,IND,222,2017,96769,0.23
10,Doiwala,23,Balwendra Singh Negi,UKDD,213,2017,96769,0.22
11,Doiwala,23,Surendra Dutt Petwal,HJP,142,2017,96769,0.15
12,Doiwala,23,Shikha Negi,RAP,128,2017,96769,0.13
4,Doiwala,23,None Of The Above,NOTA,994,2017,96769,1.03
1,Rishikesh,24,Premchand Aggarwal,BJP,45082,2017,98348,45.84
2,Rishikesh,24,Rajpal Singh Kharola,INC,30281,2017,98348,30.79
3,Rishikesh,24,Sandeep Gupta,IND,17149,2017,98348,17.44
4,Rishikesh,24,Lallan Bhardwaj Rajbhar,BSP,2866,2017,98348,2.91
5,Rishikesh,24,Vivek Tiwari,IND,889,2017,98348,0.9
7,Rishikesh,24,Rajendra Prasad Gairola,UKD,344,2017,98348,0.35
8,Rishikesh,24,Vijaylaxmi Gusain,IND,240,2017,98348,0.24
9,Rishikesh,24,Mohit Kumar,IND,230,2017,98348,0.23
10,Rishikesh,24,Gurucharan,NCP,217,2017,98348,0.22
11,Rishikesh,24,Ram Krishana Tiwari,SVP,168,2017,98348,0.17
12,Rishikesh,24,Usha Aswal,IND,107,2017,98348,0.11
6,Rishikesh,24,None Of The Above,NOTA,775,2017,98348,0.79
1,Hardwar,25,Madan Kaushik,BJP,61742,2017,93549,66.0
2,Hardwar,25,Brahmswroop Brahmchari,INC,25815,2017,93549,27.6
3,Hardwar,25,Anju Mittal,BSP,2661,2017,93549,2.84
4,Hardwar,25,Ravish Bhatija,IND,1571,2017,93549,1.68
6,Hardwar,25,Rajkumar Aggrwal,IND,364,2017,93549,0.39
7,Hardwar,25,Adesh,UKD,329,2017,93549,0.35
8,Hardwar,25,Vijay Laxmi,IND,232,2017,93549,0.25
9,Hardwar,25,Adesh Kumar,AVP,125,2017,93549,0.13
10,Hardwar,25,Manoj Kumar Sharma,IND,78,2017,93549,0.08
