ST_CD,AC_NO,NAME,VOTES,ST_NAME,AC_NAME,#,YEAR,polled_votes,vote_percent,PARTY
S28,67,SANJAY GROVER,254,Uttarakhand,Kichha,7,2017,88178,0.29,IND
S28,67,ANIL KUMAR SHARMA,149,Uttarakhand,Kichha,8,2017,88178,0.17,IND
S28,67,None of the Above,558,Uttarakhand,Kichha,4,2017,88178,0.63,NOTA
S28,68,SAURABH BAHUGUNA,50597,Uttarakhand,Sitarganj,1,2017,87460,57.85,BJP
S28,68,MALTI  BISWAS,22147,Uttarakhand,Sitarganj,2,2017,87460,25.32,INC
S28,68,NAVTEJ PAL SINGH,11892,Uttarakhand,Sitarganj,3,2017,87460,13.6,BSP
S28,68,YOGENDRA KUMAR YADAV,811,Uttarakhand,Sitarganj,4,2017,87460,0.93,SP
S28,68,BINDA BISWAS,437,Uttarakhand,Sitarganj,6,2017,87460,0.5,IND
S28,68,MOBEEN ALI,400,Uttarakhand,Sitarganj,7,2017,87460,0.46,IND
S28,68,ABDUL VAHEED,178,Uttarakhand,Sitarganj,8,2017,87460,0.2,IND
S28,68,AKHTAYAR AHAMAD,155,Uttarakhand,Sitarganj,9,2017,87460,0.18,IND
S28,68,HEM CHANDRA,136,Uttarakhand,Sitarganj,10,2017,87460,0.16,UKD
S28,68,RAGHUVIR,127,Uttarakhand,Sitarganj,11,2017,87460,0.15,BSS
S28,68,None of the Above,580,Uttarakhand,Sitarganj,5,2017,87460,0.66,NOTA
S28,69,DR. PREM SINGH,42785,Uttarakhand,Nanak matta,1,2017,82839,51.65,BJP
S28,69,GOPAL SINGH RANA,33254,Uttarakhand,Nanak matta,2,2017,82839,40.14,INC
S28,69,SHISH RAM RANA,3174,Uttarakhand,Nanak matta,3,2017,82839,3.83,BSP
S28,69,SUNEETA RANA,1305,Uttarakhand,Nanak matta,4,2017,82839,1.58,IND
S28,69,RITA WATI,899,Uttarakhand,Nanak matta,5,2017,82839,1.09,IND
S28,69,MAHESH CHANDRA,386,Uttarakhand,Nanak matta,7,2017,82839,0.47,IND
S28,69,ANSUIYA,228,Uttarakhand,Nanak matta,8,2017,82839,0.28,SP
S28,69,None of the Above,808,Uttarakhand,Nanak matta,6,2017,82839,0.98,NOTA
S28,70,PUSHKAR SINGH DHAMI,29539,Uttarakhand,Khatima,1,2017,80907,36.51,BJP
S28,70,BHUWAN CHANDRA KAPRI,26830,Uttarakhand,Khatima,2,2017,80907,33.16,INC
S28,70,RAMESH SINGH RANA,17804,Uttarakhand,Khatima,3,2017,80907,22.01,BSP
S28,70,DR. LALIT SINGH,4516,Uttarakhand,Khatima,4,2017,80907,5.58,IND
S28,70,RAMESH CHANDRA RANA,452,Uttarakhand,Khatima,6,2017,80907,0.56,IND
S28,70,ABDUL FAREED SIDDIQUI,269,Uttarakhand,Khatima,7,2017,80907,0.33,UKD
S28,70,RAMESH KUMAR MAX,215,Uttarakhand,Khatima,8,2017,80907,0.27,IND
S28,70,BHUWAL SINGH KUSHWAHA,156,Uttarakhand,Khatima,9,2017,80907,0.19,BSS
S28,70,ANIL KUMAR RASTOGI,121,Uttarakhand,Khatima,10,2017,80907,0.15,SHI
S28,70,VINOD BHATT,115,Uttarakhand,Khatima,11,2017,80907,0.14,SP
S28,70,None of the Above,890,Uttarakhand,Khatima,5,2017,80907,1.1,NOTA
