#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
1,Santa Cruz,13,Atanasio J. Monserrate,INC,8644.0,2012,21381.0,40.43
2,Santa Cruz,13,Rodolfo Louis,IND,6308.0,2012,21381.0,29.5
3,Santa Cruz,13,Dinar Purshottam Kamat,MAG,5824.0,2012,21381.0,27.24
4,Santa Cruz,13,Pedro Caitano Pires,CPI,221.0,2012,21381.0,1.03
5,Santa Cruz,13,Xavier Cardo,IND,189.0,2012,21381.0,0.88
6,Santa Cruz,13,Dinesh Nair,IND,79.0,2012,21381.0,0.37
7,Santa Cruz,13,Jose Lopes,IND,74.0,2012,21381.0,0.35
8,Santa Cruz,13,Heney Lobo,IND,42.0,2012,21381.0,0.2
1,Santo Andre,14,Vishnu Surya Naik Wagh,BJP,8818.0,2012,17209.0,51.24
2,Santo Andre,14,Francisco Silveira,INC,7599.0,2012,17209.0,44.16
3,Santo Andre,14,Pradip Kumar Sangodkar,IND,440.0,2012,17209.0,2.56
4,Santo Andre,14,Milton S. Marshal,AITC,352.0,2012,17209.0,2.05
1,Cumbarjua,15,Pandurang A. Madkaikar,INC,9556.0,2012,19817.0,48.22
2,Cumbarjua,15,Nirmala P. Sawant,IND,7981.0,2012,19817.0,40.27
3,Cumbarjua,15,Jose Bismarque,IND,1996.0,2012,19817.0,10.07
4,Cumbarjua,15,Pramod Naik,JMBP,155.0,2012,19817.0,0.78
5,Cumbarjua,15,Gaurish M. Dessai,IND,129.0,2012,19817.0,0.65
1,Maem,16,Anant Shet,BJP,12054.0,2012,22411.0,53.79
2,Maem,16,Pravin Zantye,IND,6335.0,2012,22411.0,28.27
3,Maem,16,Rudresh Chodankar,NCP,3585.0,2012,22411.0,16.0
4,Maem,16,Kamlakant Gadekar,CPM,225.0,2012,22411.0,1.0
5,Maem,16,Deepkumar Mapari,IND,212.0,2012,22411.0,0.95
1,Sanquelim,17,Pramod Sawant,BJP,14255.0,2012,21592.0,66.02
2,Sanquelim,17,Pratap Gauns,INC,7337.0,2012,21592.0,33.98
1,Poriem,18,Pratapsingh Raoji Rane,INC,13772.0,2012,24997.0,55.09
2,Poriem,18,Vishwajit Krishnarao,BJP,11225.0,2012,24997.0,44.91
1,Valpoi,19,Vishwajit Pratapsingh,INC,12412.0,2012,23129.0,53.66
2,Valpoi,19,Satyavijay Subrai Naik,BJP,9473.0,2012,23129.0,40.96
3,Valpoi,19,Venkatesh Atmaram,IND,805.0,2012,23129.0,3.48
4,Valpoi,19,Ravindra Talaulikar,IND,255.0,2012,23129.0,1.1
5,Valpoi,19,Gajendranath,IND,184.0,2012,23129.0,0.8
1,Priol,20,Pandurang Alias Deepak,MAG,12264.0,2012,24668.0,49.72
2,Priol,20,Govind Gaude,IND,10164.0,2012,24668.0,41.2
3,Priol,20,Dhaku A. Madkaikar,INC,1625.0,2012,24668.0,6.59
4,Priol,20,Shashi Panjikar,AITC,414.0,2012,24668.0,1.68
5,Priol,20,Rama Krishna Borkar,GVP,201.0,2012,24668.0,0.81
