ST_CD,AC_NO,NAME,VOTES,ST_NAME,AC_NAME,#,YEAR,polled_votes,vote_percent,PARTY
S24,44,DEVENDER,387,Uttar Pradesh,Sardhana,9,2017,239251,0.16,IND
S24,44,NARESH KASHYAP,273,Uttar Pradesh,Sardhana,10,2017,239251,0.11,IND
S24,44,MAMTA,148,Uttar Pradesh,Sardhana,11,2017,239251,0.06,UDFS
S24,44,None of the Above,1087,Uttar Pradesh,Sardhana,5,2017,239251,0.45,NOTA
S24,45,DINESH KHATIK,99436,Uttar Pradesh,Hastinapur ,1,2017,221371,44.92,BJP
S24,45,YOGESH VERMA,63374,Uttar Pradesh,Hastinapur ,2,2017,221371,28.63,BSP
S24,45,PRABHUDAYAL BALMIKI,48979,Uttar Pradesh,Hastinapur ,3,2017,221371,22.13,SP
S24,45,KUSUM,6538,Uttar Pradesh,Hastinapur ,4,2017,221371,2.95,RLD
S24,45,RAJKUMAR,1178,Uttar Pradesh,Hastinapur ,5,2017,221371,0.53,RKMP
S24,45,DURYODHAN,853,Uttar Pradesh,Hastinapur ,7,2017,221371,0.39,BMP
S24,45,None of the Above,1013,Uttar Pradesh,Hastinapur ,6,2017,221371,0.46,NOTA
S24,46,SATYAVIR TYAGI,90622,Uttar Pradesh,Kithore,1,2017,242879,37.31,BJP
S24,46,SHAHID MANZOOR,79800,Uttar Pradesh,Kithore,2,2017,242879,32.86,SP
S24,46,GAJRAJ SINGH,62503,Uttar Pradesh,Kithore,3,2017,242879,25.73,BSP
S24,46,MATLOOB GAUR,6598,Uttar Pradesh,Kithore,4,2017,242879,2.72,RLD
S24,46,AMRISH KUMAR TYAGI,1008,Uttar Pradesh,Kithore,6,2017,242879,0.42,IND
S24,46,JAN MOHAMMAD,777,Uttar Pradesh,Kithore,7,2017,242879,0.32,IND
S24,46,RAHAT ALI,347,Uttar Pradesh,Kithore,8,2017,242879,0.14,IND
S24,46,None of the Above,1224,Uttar Pradesh,Kithore,5,2017,242879,0.5,NOTA
S24,47,SATYA PRAKASH AGARWAL,132518,Uttar Pradesh,Meerut Cantt.,1,2017,236926,55.93,BJP
S24,47,SATENDRA SOLANKI,55899,Uttar Pradesh,Meerut Cantt.,2,2017,236926,23.59,BSP
S24,47,RAMESH DHINGRA,39650,Uttar Pradesh,Meerut Cantt.,3,2017,236926,16.74,INC
S24,47,SANJEEV DHAMA,3851,Uttar Pradesh,Meerut Cantt.,4,2017,236926,1.63,RLD
S24,47,VINOD CHAUDHARY URF VINOD KUMAR,950,Uttar Pradesh,Meerut Cantt.,6,2017,236926,0.4,IND
S24,47,PRADEEP SHARMA,617,Uttar Pradesh,Meerut Cantt.,7,2017,236926,0.26,IND
S24,47,SANJAY VERMA,610,Uttar Pradesh,Meerut Cantt.,8,2017,236926,0.26,BTSP
S24,47,DR. NARESH CHANDRA,394,Uttar Pradesh,Meerut Cantt.,9,2017,236926,0.17,IND
S24,47,KRISHAN KUMAR,332,Uttar Pradesh,Meerut Cantt.,10,2017,236926,0.14,HND
S24,47,MOHD FIROZ,285,Uttar Pradesh,Meerut Cantt.,11,2017,236926,0.12,PP
S24,47,JILE SINGH,254,Uttar Pradesh,Meerut Cantt.,12,2017,236926,0.11,SHI
S24,47,V. P. SINGH,205,Uttar Pradesh,Meerut Cantt.,13,2017,236926,0.09,BMP
S24,47,SATISH CHAND,149,Uttar Pradesh,Meerut Cantt.,14,2017,236926,0.06,RLSP
S24,47,LOKESH NYAYI,102,Uttar Pradesh,Meerut Cantt.,15,2017,236926,0.04,UDFS
S24,47,None of the Above,1110,Uttar Pradesh,Meerut Cantt.,5,2017,236926,0.47,NOTA
S24,48,RAFIQ ANSARI,103217,Uttar Pradesh,Meerut  ,1,2017,195516,52.79,SP
S24,48,DR. LAXMIKANT BAJPAI,74448,Uttar Pradesh,Meerut  ,2,2017,195516,38.08,BJP
S24,48,PANKAJ JAULI,12636,Uttar Pradesh,Meerut  ,3,2017,195516,6.46,BSP
S24,48,MEHFOOZ,1391,Uttar Pradesh,Meerut  ,4,2017,195516,0.71,IND
S24,48,GYANENDRA KUMAR SHARMA,667,Uttar Pradesh,Meerut  ,6,2017,195516,0.34,RLD
S24,48,WASIQUL HASAN ZAIDI,500,Uttar Pradesh,Meerut  ,7,2017,195516,0.26,IND
S24,48,RAJEEV KUMAR GARG,340,Uttar Pradesh,Meerut  ,8,2017,195516,0.17,IND
S24,48,RAJESH MOHAN SHARMA,323,Uttar Pradesh,Meerut  ,9,2017,195516,0.17,IND
S24,48,DHEERAJ GOYAL,279,Uttar Pradesh,Meerut  ,10,2017,195516,0.14,SHI
S24,48,AMIT SHARMA,275,Uttar Pradesh,Meerut  ,11,2017,195516,0.14,HND
S24,48,JITENDRA VERMA,258,Uttar Pradesh,Meerut  ,12,2017,195516,0.13,IND
S24,48,MURTUJA,145,Uttar Pradesh,Meerut  ,13,2017,195516,0.07,IND
S24,48,CH. ABDUL WAHAB ADVOCATE,109,Uttar Pradesh,Meerut  ,14,2017,195516,0.06,IND
S24,48,PRITI,98,Uttar Pradesh,Meerut  ,15,2017,195516,0.05,IND
S24,48,AFZAL,92,Uttar Pradesh,Meerut  ,16,2017,195516,0.05,UDFS
S24,48,None of the Above,738,Uttar Pradesh,Meerut  ,5,2017,195516,0.38,NOTA
S24,49,DR. SOMENDRA TOMAR,113225,Uttar Pradesh,Meerut South,1,2017,270796,41.81,BJP
S24,49,HAJI MOHAMMAD YAQUB,77830,Uttar Pradesh,Meerut South,2,2017,270796,28.74,BSP
S24,49,MOHAMMAD AZAD SAIFI,69117,Uttar Pradesh,Meerut South,3,2017,270796,25.52,INC
S24,49,PAPPU GURJAR,5462,Uttar Pradesh,Meerut South,4,2017,270796,2.02,RLD
S24,49,CHAHAN SINGH,692,Uttar Pradesh,Meerut South,6,2017,270796,0.26,SHI
S24,49,PRADEEP KUMAR,649,Uttar Pradesh,Meerut South,7,2017,270796,0.24,IND
S24,49,HOSIYAR SINGH,637,Uttar Pradesh,Meerut South,8,2017,270796,0.24,IND
S24,49,RAM SARAN SAINI,624,Uttar Pradesh,Meerut South,9,2017,270796,0.23,IND
S24,49,PANDIT RAVI BHATT,547,Uttar Pradesh,Meerut South,10,2017,270796,0.2,HND
S24,49,ATUL KHODAWAL,336,Uttar Pradesh,Meerut South,11,2017,270796,0.12,IND
S24,49,PRABUDH KUMAR,276,Uttar Pradesh,Meerut South,12,2017,270796,0.1,BBPP
S24,49,None of the Above,1401,Uttar Pradesh,Meerut South,5,2017,270796,0.52,NOTA
S24,50,SAHENDER SINGH RAMALA,65124,Uttar Pradesh,Chhaprauli,1,2017,200152,32.54,RLD
S24,50,SATENDER SINGH,61282,Uttar Pradesh,Chhaprauli,2,2017,200152,30.62,BJP
S24,50,MANOJ CHAUDHARY,39841,Uttar Pradesh,Chhaprauli,3,2017,200152,19.91,SP
S24,50,RAJBALA,30241,Uttar Pradesh,Chhaprauli,4,2017,200152,15.11,BSP
S24,50,SUBHASH SINGH,758,Uttar Pradesh,Chhaprauli,6,2017,200152,0.38,IND
S24,50,HUKAMCHAND,451,Uttar Pradesh,Chhaprauli,7,2017,200152,0.23,SSP
S24,50,ASAPHAK,444,Uttar Pradesh,Chhaprauli,8,2017,200152,0.22,IEMC
S24,50,SAVITA MALIK,386,Uttar Pradesh,Chhaprauli,9,2017,200152,0.19,BMP
S24,50,INDU SINGH CHHAPRAULI,348,Uttar Pradesh,Chhaprauli,10,2017,200152,0.17,SBP
S24,50,CHAMAN SINGH,250,Uttar Pradesh,Chhaprauli,11,2017,200152,0.12,AJPR
S24,50,None of the Above,1027,Uttar Pradesh,Chhaprauli,5,2017,200152,0.51,NOTA
S24,51,KRISHANPAL MALIK URF KRISHANPAL MALIK,79427,Uttar Pradesh,Baraut,1,2017,185178,42.89,BJP
S24,51,SAHAB SINGH,52941,Uttar Pradesh,Baraut,2,2017,185178,28.59,RLD
S24,51,SHOKENDRA,28376,Uttar Pradesh,Baraut,3,2017,185178,15.32,SP
S24,51,LOKESH DIXIT,22071,Uttar Pradesh,Baraut,4,2017,185178,11.92,BSP
